Entity,Code,Year,Government procurement spending (% of GDP)
Australia,AUS,2007,13.758
Australia,AUS,2008,14.15
Australia,AUS,2009,15.303
Australia,AUS,2010,14.676
Australia,AUS,2011,14.903
Australia,AUS,2012,14.457
Australia,AUS,2013,14.507
Australia,AUS,2014,14.826
Australia,AUS,2015,15.378
Australia,AUS,2016,15.837
Australia,AUS,2017,16.175
Australia,AUS,2018,16.53
Australia,AUS,2019,17.55
Australia,AUS,2020,17.923
Australia,AUS,2021,17.83
Australia,AUS,2022,17.446
Australia,AUS,2023,18.177
Australia,AUS,2024,18.919
Austria,AUT,2007,12.521
Austria,AUT,2008,13.165
Austria,AUT,2009,13.847
Austria,AUT,2010,13.69
Austria,AUT,2011,13.235
Austria,AUT,2012,13.142
Austria,AUT,2013,13.46
Austria,AUT,2014,13.377
Austria,AUT,2015,13.359
Austria,AUT,2016,13.324
Austria,AUT,2017,13.35
Austria,AUT,2018,13.324
Austria,AUT,2019,13.505
Austria,AUT,2020,14.356
Austria,AUT,2021,15.506
Austria,AUT,2022,14.763
Austria,AUT,2023,14.936
Austria,AUT,2024,15.519
Belgium,BEL,2007,12.298
Belgium,BEL,2008,13.07
Belgium,BEL,2009,14.177
Belgium,BEL,2010,13.986
Belgium,BEL,2011,14.297
Belgium,BEL,2012,14.567
Belgium,BEL,2013,14.312
Belgium,BEL,2014,14.574
Belgium,BEL,2015,14.317
Belgium,BEL,2016,14.258
Belgium,BEL,2017,14.16
Belgium,BEL,2018,14.498
Belgium,BEL,2019,14.361
Belgium,BEL,2020,14.852
Belgium,BEL,2021,14.998
Belgium,BEL,2022,14.87
Belgium,BEL,2023,14.819
Belgium,BEL,2024,15.371
Brazil,BRA,2007,15.071
Brazil,BRA,2008,15.367
Brazil,BRA,2009,16.007
Brazil,BRA,2010,16.14
Brazil,BRA,2011,15.84
Brazil,BRA,2012,15.643
Brazil,BRA,2013,16.042
Brazil,BRA,2014,16.738
Brazil,BRA,2015,16.395
Brazil,BRA,2016,16.443
Brazil,BRA,2017,15.595
Brazil,BRA,2018,15.525
Brazil,BRA,2019,15.671
Brazil,BRA,2020,15.993
Brazil,BRA,2021,15.058
Bulgaria,BGR,2007,13.573
Bulgaria,BGR,2008,13.969
Bulgaria,BGR,2009,12.325
Bulgaria,BGR,2010,11.876
Bulgaria,BGR,2011,10.655
Bulgaria,BGR,2012,10.584
Bulgaria,BGR,2013,11.764
Bulgaria,BGR,2014,12.959
Bulgaria,BGR,2015,13.743
Bulgaria,BGR,2016,9.593
Bulgaria,BGR,2017,9.352
Bulgaria,BGR,2018,10.01
Bulgaria,BGR,2019,10.126
Bulgaria,BGR,2020,10.951
Bulgaria,BGR,2021,10.384
Bulgaria,BGR,2022,10.14
Bulgaria,BGR,2023,11.269
Bulgaria,BGR,2024,10.14
Canada,CAN,2007,12.741
Canada,CAN,2008,12.872
Canada,CAN,2009,14.71
Canada,CAN,2010,14.796
Canada,CAN,2011,14.08
Canada,CAN,2012,13.807
Canada,CAN,2013,13.151
Canada,CAN,2014,12.463
Canada,CAN,2015,13.146
Canada,CAN,2016,13.364
Canada,CAN,2017,13.416
Canada,CAN,2018,13.491
Canada,CAN,2019,12.997
Canada,CAN,2020,14.19
Canada,CAN,2021,13.145
Canada,CAN,2022,13.087
Canada,CAN,2023,13.566
Canada,CAN,2024,14.017
Colombia,COL,2007,10.211
Colombia,COL,2008,9.821
Colombia,COL,2009,10.45
Colombia,COL,2010,9.79
Colombia,COL,2011,10.357
Colombia,COL,2012,10.719
Colombia,COL,2013,11.253
Colombia,COL,2014,11.273
Colombia,COL,2015,11.447
Colombia,COL,2016,10.903
Colombia,COL,2017,10.925
Colombia,COL,2018,11.638
Colombia,COL,2019,11.693
Colombia,COL,2020,10.892
Colombia,COL,2021,10.605
Colombia,COL,2022,9.994
Colombia,COL,2023,10.611
Colombia,COL,2024,10.333
Costa Rica,CRI,2007,4.747
Costa Rica,CRI,2008,5.604
Costa Rica,CRI,2009,6.556
Costa Rica,CRI,2010,5.771
Costa Rica,CRI,2011,5.602
Costa Rica,CRI,2012,5.713
Costa Rica,CRI,2013,5.975
Costa Rica,CRI,2014,6.065
Costa Rica,CRI,2015,6.09
Costa Rica,CRI,2016,6.384
Costa Rica,CRI,2017,6.79
Costa Rica,CRI,2018,6.649
Costa Rica,CRI,2019,6.766
Costa Rica,CRI,2020,7.087
Costa Rica,CRI,2021,6.494
Costa Rica,CRI,2022,5.787
Costa Rica,CRI,2023,5.62
Costa Rica,CRI,2024,5.555
Croatia,HRV,2007,16.004
Croatia,HRV,2008,15.175
Croatia,HRV,2009,15.611
Croatia,HRV,2010,13.843
Croatia,HRV,2011,13.785
Croatia,HRV,2012,14.06
Croatia,HRV,2013,14.65
Croatia,HRV,2014,14.64
Croatia,HRV,2015,14.21
Croatia,HRV,2016,13.692
Croatia,HRV,2017,13.01
Croatia,HRV,2018,13.741
Croatia,HRV,2019,14.901
Croatia,HRV,2020,16.798
Croatia,HRV,2021,15.488
Croatia,HRV,2022,13.98
Croatia,HRV,2023,15.389
Croatia,HRV,2024,15.036
Czechia,CZE,2007,14.077
Czechia,CZE,2008,14.637
Czechia,CZE,2009,16.381
Czechia,CZE,2010,15.176
Czechia,CZE,2011,14.245
Czechia,CZE,2012,13.54
Czechia,CZE,2013,13.341
Czechia,CZE,2014,13.528
Czechia,CZE,2015,14.217
Czechia,CZE,2016,12.283
Czechia,CZE,2017,11.964
Czechia,CZE,2018,12.934
Czechia,CZE,2019,13.053
Czechia,CZE,2020,14.202
Czechia,CZE,2021,13.649
Czechia,CZE,2022,13.325
Czechia,CZE,2023,13.82
Czechia,CZE,2024,14.02
Denmark,DNK,2007,12.596
Denmark,DNK,2008,13.11
Denmark,DNK,2009,14.447
Denmark,DNK,2010,14.375
Denmark,DNK,2011,14.128
Denmark,DNK,2012,14.789
Denmark,DNK,2013,14.371
Denmark,DNK,2014,14.496
Denmark,DNK,2015,14.122
Denmark,DNK,2016,14.057
Denmark,DNK,2017,13.504
Denmark,DNK,2018,13.506
Denmark,DNK,2019,13.162
Denmark,DNK,2020,13.809
Denmark,DNK,2021,13.347
Denmark,DNK,2022,12.315
Denmark,DNK,2023,12.669
Denmark,DNK,2024,12.738
EU countries in OECD,,2007,13.33
EU countries in OECD,,2008,13.73
EU countries in OECD,,2009,14.92
EU countries in OECD,,2010,14.71
EU countries in OECD,,2011,14.24
EU countries in OECD,,2012,14.08
EU countries in OECD,,2013,14.06
EU countries in OECD,,2014,13.97
EU countries in OECD,,2015,13.91
EU countries in OECD,,2016,13.65
EU countries in OECD,,2017,13.64
EU countries in OECD,,2018,13.78
EU countries in OECD,,2019,13.9
EU countries in OECD,,2020,15.01
EU countries in OECD,,2021,14.95
EU countries in OECD,,2022,14.61
EU countries in OECD,,2023,14.74
EU countries in OECD,,2024,15.01
Estonia,EST,2007,13.042
Estonia,EST,2008,14.122
Estonia,EST,2009,14.83
Estonia,EST,2010,13.416
Estonia,EST,2011,13.226
Estonia,EST,2012,14.569
Estonia,EST,2013,13.709
Estonia,EST,2014,13.203
Estonia,EST,2015,13.577
Estonia,EST,2016,13.065
Estonia,EST,2017,13.912
Estonia,EST,2018,13.39
Estonia,EST,2019,13.527
Estonia,EST,2020,14.431
Estonia,EST,2021,14.468
Estonia,EST,2022,13.968
Estonia,EST,2023,15.175
Estonia,EST,2024,14.908
Finland,FIN,2007,14.259
Finland,FIN,2008,14.966
Finland,FIN,2009,16.779
Finland,FIN,2010,16.58
Finland,FIN,2011,16.644
Finland,FIN,2012,17.348
Finland,FIN,2013,17.878
Finland,FIN,2014,17.916
Finland,FIN,2015,16.49
Finland,FIN,2016,16.854
Finland,FIN,2017,16.528
Finland,FIN,2018,16.869
Finland,FIN,2019,17.151
Finland,FIN,2020,18.211
Finland,FIN,2021,17.991
Finland,FIN,2022,17.76
Finland,FIN,2023,18.94
Finland,FIN,2024,19.618
France,FRA,2007,14.885
France,FRA,2008,15.013
France,FRA,2009,16.238
France,FRA,2010,16.233
France,FRA,2011,15.771
France,FRA,2012,16.003
France,FRA,2013,16.098
France,FRA,2014,15.775
France,FRA,2015,15.378
France,FRA,2016,15.388
France,FRA,2017,15.461
France,FRA,2018,15.371
France,FRA,2019,15.515
France,FRA,2020,16.101
France,FRA,2021,16.407
France,FRA,2022,16.276
France,FRA,2023,16.142
France,FRA,2024,16.225
Germany,DEU,2007,13.66
Germany,DEU,2008,14.156
Germany,DEU,2009,15.618
Germany,DEU,2010,15.509
Germany,DEU,2011,15.273
Germany,DEU,2012,15.263
Germany,DEU,2013,15.587
Germany,DEU,2014,15.558
Germany,DEU,2015,15.756
Germany,DEU,2016,16.136
Germany,DEU,2017,16.128
Germany,DEU,2018,16.299
Germany,DEU,2019,16.672
Germany,DEU,2020,18.441
Germany,DEU,2021,18.415
Germany,DEU,2022,18.102
Germany,DEU,2023,17.665
Germany,DEU,2024,18.463
Greece,GRC,2007,14.411
Greece,GRC,2008,14.889
Greece,GRC,2009,15.721
Greece,GRC,2010,12.997
Greece,GRC,2011,10.789
Greece,GRC,2012,10.84
Greece,GRC,2013,10.944
Greece,GRC,2014,10.983
Greece,GRC,2015,11.513
Greece,GRC,2016,11.373
Greece,GRC,2017,12.245
Greece,GRC,2018,10.342
Greece,GRC,2019,9.958
Greece,GRC,2020,11.73
Greece,GRC,2021,12.295
Greece,GRC,2022,12.222
Greece,GRC,2023,12.529
Greece,GRC,2024,11.699
Hungary,HUN,2007,13.383
Hungary,HUN,2008,12.941
Hungary,HUN,2009,13.888
Hungary,HUN,2010,13.82
Hungary,HUN,2011,13.221
Hungary,HUN,2012,13.302
Hungary,HUN,2013,13.999
Hungary,HUN,2014,14.967
Hungary,HUN,2015,16.141
Hungary,HUN,2016,12.411
Hungary,HUN,2017,14.339
Hungary,HUN,2018,15.419
Hungary,HUN,2019,16.274
Hungary,HUN,2020,16.563
Hungary,HUN,2021,16.289
Hungary,HUN,2022,15.24
Hungary,HUN,2023,15.136
Hungary,HUN,2024,13.929
Iceland,ISL,2007,15.561
Iceland,ISL,2008,16.22
Iceland,ISL,2009,15.71
Iceland,ISL,2010,14.917
Iceland,ISL,2011,15.893
Iceland,ISL,2012,14.187
Iceland,ISL,2013,14.43
Iceland,ISL,2014,14.075
Iceland,ISL,2015,13.294
Iceland,ISL,2016,12.823
Iceland,ISL,2017,13.355
Iceland,ISL,2018,14.664
Iceland,ISL,2019,14.12
Iceland,ISL,2020,15.467
Iceland,ISL,2021,15.933
Iceland,ISL,2022,14.971
Iceland,ISL,2023,15.074
Iceland,ISL,2024,15.487
Indonesia,IDN,2010,6.519
Indonesia,IDN,2011,6.891
Indonesia,IDN,2012,6.965
Indonesia,IDN,2013,7.609
Indonesia,IDN,2014,7.285
Indonesia,IDN,2015,7.883
Indonesia,IDN,2016,7.698
Indonesia,IDN,2017,7.48
Indonesia,IDN,2018,7.168
Indonesia,IDN,2019,6.705
Indonesia,IDN,2020,6.626
Indonesia,IDN,2021,7.245
Indonesia,IDN,2022,6.163
Indonesia,IDN,2023,6.223
Ireland,IRL,2007,11.363
