Time Period,Asset Type,Value
2016-07-01,Business Investment,97
2016-10-01,Business Investment,93
2017-01-01,Business Investment,95
2017-04-01,Business Investment,94
2017-07-01,Business Investment,95
2017-10-01,Business Investment,97
2018-01-01,Business Investment,97
2018-04-01,Business Investment,95
2018-07-01,Business Investment,92
2018-10-01,Business Investment,94
2019-01-01,Business Investment,96
2019-04-01,Business Investment,97
2019-07-01,Business Investment,96
2019-10-01,Business Investment,95
2020-01-01,Business Investment,94
2020-04-01,Business Investment,76
2020-07-01,Business Investment,87
2020-10-01,Business Investment,92
2021-01-01,Business Investment,89
2021-04-01,Business Investment,93
2021-07-01,Business Investment,92
2021-10-01,Business Investment,95
2022-01-01,Business Investment,98
2022-04-01,Business Investment,99
2022-07-01,Business Investment,97
2022-10-01,Business Investment,96
2023-01-01,Business Investment,100
2023-04-01,Business Investment,100
2023-07-01,Business Investment,98
2023-10-01,Business Investment,100
2024-01-01,Business Investment,100
2024-04-01,Business Investment,102
2024-07-01,Business Investment,104
2024-10-01,Business Investment,102
2025-01-01,Business Investment,107
2025-04-01,Business Investment,105
2025-07-01,Business Investment,107
