"Title","Gross Domestic Product at market prices: Current price: Seasonally adjusted £m"
"CDID","YBHA"
"Source dataset ID","PN2"
"PreUnit","£"
"Unit","m"
"Release date","12-02-2026"
"Next release","31 March 2026"
"Important notes","Following a quality review it has been identified that the methodology used to estimate elements of purchased software within gross fixed capital formation (GFCF) has led to some double counting from 1997 onwards. When this issue is amended in The Blue Book 2017 it will reduce the level of GFCF across the period by around 1.1% per year. The average impact on quarter-on-quarter GFCF growth is negative 0.02% and the average impact on quarter-on-quarter GDP growth is 0.00%."
"2002 Q2","297001"
"2002 Q3","299863"
"2002 Q4","303904"
"2003 Q1","307576"
"2003 Q2","313623"
"2003 Q3","318875"
"2003 Q4","322428"
"2004 Q1","324300"
"2004 Q2","331067"
"2004 Q3","332518"
"2004 Q4","339258"
"2005 Q1","341839"
"2005 Q2","349602"
"2005 Q3","353424"
"2005 Q4","358384"
"2006 Q1","362595"
"2006 Q2","368522"
"2006 Q3","372582"
"2006 Q4","374381"
"2007 Q1","378672"
"2007 Q2","387949"
"2007 Q3","390894"
"2007 Q4","394214"
"2008 Q1","399716"
"2008 Q2","402687"
"2008 Q3","402137"
"2008 Q4","397677"
"2009 Q1","389775"
"2009 Q2","389151"
"2009 Q3","391179"
"2009 Q4","389300"
"2010 Q1","398126"
"2010 Q2","402937"
"2010 Q3","406177"
"2010 Q4","408599"
"2011 Q1","416521"
"2011 Q2","414040"
"2011 Q3","418119"
"2011 Q4","421265"
"2012 Q1","426653"
"2012 Q2","426698"
"2012 Q3","433287"
"2012 Q4","435070"
"2013 Q1","440038"
"2013 Q2","443626"
"2013 Q3","450725"
"2013 Q4","454683"
"2014 Q1","460682"
"2014 Q2","464667"
"2014 Q3","474115"
"2014 Q4","475602"
"2015 Q1","478016"
"2015 Q2","479382"
"2015 Q3","482690"
"2015 Q4","487928"
"2016 Q1","492644"
"2016 Q2","497056"
"2016 Q3","504373"
"2016 Q4","510682"
"2017 Q1","517306"
"2017 Q2","521616"
"2017 Q3","525161"
"2017 Q4","533139"
"2018 Q1","535163"
"2018 Q2","540719"
"2018 Q3","545160"
"2018 Q4","550517"
"2019 Q1","553984"
"2019 Q2","560995"
"2019 Q3","567451"
"2019 Q4","570531"
"2020 Q1","559365"
"2020 Q2","481227"
"2020 Q3","540319"
"2020 Q4","543809"
"2021 Q1","545116"
"2021 Q2","576525"
"2021 Q3","592707"
"2021 Q4","608304"
"2022 Q1","623014"
"2022 Q2","639293"
"2022 Q3","650233"
"2022 Q4","668409"
"2023 Q1","679194"
"2023 Q2","689618"
"2023 Q3","692982"
"2023 Q4","690370"
"2024 Q1","706057"
"2024 Q2","717352"
"2024 Q3","729194"
"2024 Q4","738061"
"2025 Q1","747938"
"2025 Q2","757010"
"2025 Q3","763950"
"2025 Q4","768713"
