"Figure 2: Intangible investment in current prices has remained higher than tangible investment since 1998",""
"Total investment in intangible assets (purchased and own production combined), compared with the total investment in tangible assets, UK, 1997 to 2023, £ billion, current prices",""
"",""
"Notes",""
"Unit","£ billion"
"",""
"Year","Intangible assets total","Tangible assets total"
"1997","78.6","80.6"
"1998","87.9","85.3"
"1999","91.8","87.9"
"2000","99.1","92.3"
"2001","100.9","94.3"
"2002","105.5","91.9"
"2003","111.4","87.5"
"2004","116","83.1"
"2005","122.9","88.4"
"2006","126.7","96.8"
"2007","133.6","107.1"
"2008","135.8","104.2"
"2009","135.7","83.3"
"2010","138.8","83.7"
"2011","140.2","90.5"
"2012","142","98.2"
"2013","148.9","101.5"
"2014","153.5","109.8"
"2015","161.5","124.6"
"2016","169.3","136.2"
"2017","177.9","139.2"
"2018","186.8","135.6"
"2019","195.5","139.8"
"2020","195.8","120.4"
"2021","209.5","128.7"
"2022","230.1","149"
"2023","244.7","159.4"
