Time Period,Asset Type,Value
1997-01-01,Transport Equipment,3514
1997-04-01,Transport Equipment,3684
1997-07-01,Transport Equipment,3903
1997-10-01,Transport Equipment,3793
1998-01-01,Transport Equipment,4439
1998-04-01,Transport Equipment,3938
1998-07-01,Transport Equipment,3853
1998-10-01,Transport Equipment,4334
1999-01-01,Transport Equipment,4420
1999-04-01,Transport Equipment,3933
1999-07-01,Transport Equipment,4237
1999-10-01,Transport Equipment,4401
2000-01-01,Transport Equipment,3827
2000-04-01,Transport Equipment,3792
2000-07-01,Transport Equipment,3580
2000-10-01,Transport Equipment,4213
2001-01-01,Transport Equipment,3810
2001-04-01,Transport Equipment,5232
2001-07-01,Transport Equipment,4703
2001-10-01,Transport Equipment,4186
2002-01-01,Transport Equipment,4313
2002-04-01,Transport Equipment,4942
2002-07-01,Transport Equipment,4855
2002-10-01,Transport Equipment,4947
2003-01-01,Transport Equipment,4685
2003-04-01,Transport Equipment,3958
2003-07-01,Transport Equipment,4627
2003-10-01,Transport Equipment,4338
2004-01-01,Transport Equipment,4207
2004-04-01,Transport Equipment,4141
2004-07-01,Transport Equipment,4149
2004-10-01,Transport Equipment,3996
2005-01-01,Transport Equipment,3806
2005-04-01,Transport Equipment,4276
2005-07-01,Transport Equipment,4081
2005-10-01,Transport Equipment,4260
2006-01-01,Transport Equipment,4835
2006-04-01,Transport Equipment,4180
2006-07-01,Transport Equipment,5160
2006-10-01,Transport Equipment,5173
2007-01-01,Transport Equipment,5240
2007-04-01,Transport Equipment,5096
2007-07-01,Transport Equipment,4926
2007-10-01,Transport Equipment,4681
2008-01-01,Transport Equipment,4303
2008-04-01,Transport Equipment,5613
2008-07-01,Transport Equipment,4485
2008-10-01,Transport Equipment,4663
2009-01-01,Transport Equipment,4219
2009-04-01,Transport Equipment,4762
2009-07-01,Transport Equipment,4305
2009-10-01,Transport Equipment,3753
2010-01-01,Transport Equipment,4420
2010-04-01,Transport Equipment,4008
2010-07-01,Transport Equipment,4532
2010-10-01,Transport Equipment,7149
2011-01-01,Transport Equipment,3492
2011-04-01,Transport Equipment,4194
2011-07-01,Transport Equipment,3399
2011-10-01,Transport Equipment,4959
2012-01-01,Transport Equipment,8836
2012-04-01,Transport Equipment,2939
2012-07-01,Transport Equipment,955
2012-10-01,Transport Equipment,3306
2013-01-01,Transport Equipment,2456
2013-04-01,Transport Equipment,3067
2013-07-01,Transport Equipment,4446
2013-10-01,Transport Equipment,4302
2014-01-01,Transport Equipment,4744
2014-04-01,Transport Equipment,5143
