Year,Firm Size,Median Investment Share of GVA
2008,"Large, 250 to 999 employees",4.58%
2008,"Medium-large, 100 to 249 employees",2.80%
2008,"Medium-small, 50 to 99 employees",2.25%
2008,"Micro, 1 to 9 employees",0.00%
2008,"Small, 10 to 49 employees",1.05%
2008,"Very large, 1000 employees or more",4.39%
2009,"Large, 250 to 999 employees",3.62%
2009,"Medium-large, 100 to 249 employees",2.23%
2009,"Medium-small, 50 to 99 employees",1.79%
2009,"Micro, 1 to 9 employees",0.00%
2009,"Small, 10 to 49 employees",0.84%
2009,"Very large, 1000 employees or more",3.35%
2010,"Large, 250 to 999 employees",3.86%
2010,"Medium-large, 100 to 249 employees",2.79%
2010,"Medium-small, 50 to 99 employees",2.15%
2010,"Micro, 1 to 9 employees",0.00%
2010,"Small, 10 to 49 employees",0.86%
2010,"Very large, 1000 employees or more",3.36%
2011,"Large, 250 to 999 employees",4.04%
2011,"Medium-large, 100 to 249 employees",3.02%
2011,"Medium-small, 50 to 99 employees",2.31%
2011,"Micro, 1 to 9 employees",0.32%
2011,"Small, 10 to 49 employees",1.08%
2011,"Very large, 1000 employees or more",5.00%
2012,"Large, 250 to 999 employees",3.95%
2012,"Medium-large, 100 to 249 employees",2.95%
2012,"Medium-small, 50 to 99 employees",2.05%
2012,"Micro, 1 to 9 employees",0.21%
2012,"Small, 10 to 49 employees",0.91%
2012,"Very large, 1000 employees or more",4.92%
2013,"Large, 250 to 999 employees",3.95%
2013,"Medium-large, 100 to 249 employees",3.16%
2013,"Medium-small, 50 to 99 employees",2.09%
2013,"Micro, 1 to 9 employees",0.14%
2013,"Small, 10 to 49 employees",0.92%
2013,"Very large, 1000 employees or more",5.22%
2014,"Large, 250 to 999 employees",4.42%
2014,"Medium-large, 100 to 249 employees",3.29%
2014,"Medium-small, 50 to 99 employees",2.44%
2014,"Micro, 1 to 9 employees",1.65%
2014,"Small, 10 to 49 employees",1.69%
2014,"Very large, 1000 employees or more",4.93%
2015,"Large, 250 to 999 employees",4.55%
2015,"Medium-large, 100 to 249 employees",3.38%
2015,"Medium-small, 50 to 99 employees",2.89%
2015,"Micro, 1 to 9 employees",1.68%
2015,"Small, 10 to 49 employees",1.78%
2015,"Very large, 1000 employees or more",5.81%
2016,"Large, 250 to 999 employees",4.64%
2016,"Medium-large, 100 to 249 employees",3.19%
2016,"Medium-small, 50 to 99 employees",2.60%
2016,"Micro, 1 to 9 employees",1.72%
2016,"Small, 10 to 49 employees",1.91%
2016,"Very large, 1000 employees or more",5.74%
2017,"Large, 250 to 999 employees",4.49%
2017,"Medium-large, 100 to 249 employees",3.33%
2017,"Medium-small, 50 to 99 employees",2.23%
2017,"Micro, 1 to 9 employees",1.59%
2017,"Small, 10 to 49 employees",1.53%
2017,"Very large, 1000 employees or more",5.43%
2018,"Large, 250 to 999 employees",4.39%
2018,"Medium-large, 100 to 249 employees",3.11%
2018,"Medium-small, 50 to 99 employees",2.38%
2018,"Micro, 1 to 9 employees",1.52%
2018,"Small, 10 to 49 employees",1.48%
2018,"Very large, 1000 employees or more",5.35%
2019,"Large, 250 to 999 employees",3.91%
2019,"Medium-large, 100 to 249 employees",2.93%
2019,"Medium-small, 50 to 99 employees",2.40%
2019,"Micro, 1 to 9 employees",1.14%
2019,"Small, 10 to 49 employees",1.44%
2019,"Very large, 1000 employees or more",4.88%
