SDZ,Area,Series,Count,Population,Value
N21000001,Dunsilly_A,Economically inactive: Looking after home or family,85,3272,0.02597799511002445
N21000002,Dunsilly_B,Economically inactive: Looking after home or family,74,3132,0.02362707535121328
N21000003,Dunsilly_C,Economically inactive: Looking after home or family,84,2527,0.0332409972299169
N21000004,Dunsilly_D,Economically inactive: Looking after home or family,108,2991,0.03610832497492478
N21000005,Dunsilly_E,Economically inactive: Looking after home or family,74,2160,0.03425925925925926
N21000006,Dunsilly_F,Economically inactive: Looking after home or family,91,3916,0.02323799795709908
N21000007,Antrim_A,Economically inactive: Looking after home or family,71,1837,0.038649972781709306
N21000008,Antrim_B,Economically inactive: Looking after home or family,35,1791,0.01954215522054718
N21000009,Antrim_C,Economically inactive: Looking after home or family,56,2452,0.022838499184339316
N21000010,Antrim_D,Economically inactive: Looking after home or family,87,2423,0.035905901774659514
N21000011,Antrim_E,Economically inactive: Looking after home or family,99,1651,0.05996365838885524
N21000012,Antrim_F,Economically inactive: Looking after home or family,99,2203,0.044938719927371765
N21000013,Antrim_G,Economically inactive: Looking after home or family,59,2133,0.027660571964369433
N21000014,Antrim_H,Economically inactive: Looking after home or family,76,1394,0.054519368723098996
N21000015,Antrim_J,Economically inactive: Looking after home or family,51,2296,0.02221254355400697
N21000016,Antrim_K,Economically inactive: Looking after home or family,132,2150,0.061395348837209304
N21000017,Antrim_L,Economically inactive: Looking after home or family,36,2043,0.01762114537444934
N21000018,Antrim_N,Economically inactive: Looking after home or family,51,1571,0.032463399108847865
N21000019,Ballyclare_A,Economically inactive: Looking after home or family,58,2028,0.028599605522682446
N21000020,Ballyclare_B,Economically inactive: Looking after home or family,91,3014,0.030192435301924354
N21000021,Ballyclare_C,Economically inactive: Looking after home or family,113,2361,0.047861075815332485
N21000022,Ballyclare_D,Economically inactive: Looking after home or family,93,2538,0.03664302600472813
N21000023,Ballyclare_E,Economically inactive: Looking after home or family,68,2936,0.02316076294277929
