SDZ,Area,Series,Count,Population,Value
N21000727,Crotlieve_J,Economically inactive: Retired,379,1788,0.21196868008948547
N21000728,Crotlieve_K,Economically inactive: Retired,549,2805,0.19572192513368983
N21000729,Crotlieve_L,Economically inactive: Retired,512,2502,0.20463629096722621
N21000730,The_Mournes_A,Economically inactive: Retired,328,2243,0.14623272403031654
N21000731,The_Mournes_B,Economically inactive: Retired,269,1885,0.1427055702917772
N21000732,The_Mournes_C,Economically inactive: Retired,420,1598,0.26282853566958697
N21000733,The_Mournes_D,Economically inactive: Retired,645,2474,0.26071139854486663
N21000734,The_Mournes_E,Economically inactive: Retired,554,2341,0.2366510038445109
N21000735,The_Mournes_F,Economically inactive: Retired,341,2339,0.14578879863189398
N21000736,The_Mournes_G,Economically inactive: Retired,546,3592,0.1520044543429844
N21000737,The_Mournes_H,Economically inactive: Retired,307,2012,0.1525844930417495
N21000738,The_Mournes_J,Economically inactive: Retired,271,2098,0.12917063870352716
N21000739,The_Mournes_K,Economically inactive: Retired,444,2989,0.1485446637671462
N21000740,The_Mournes_L,Economically inactive: Retired,237,1826,0.12979189485213583
N21000741,The_Mournes_N,Economically inactive: Retired,325,2153,0.15095215977705528
N21000742,The_Mournes_P,Economically inactive: Retired,486,2654,0.18311981914091938
N21000743,Slieve_Croob_A,Economically inactive: Retired,545,2646,0.20597127739984883
N21000744,Slieve_Croob_B,Economically inactive: Retired,168,1344,0.125
N21000745,Slieve_Croob_C,Economically inactive: Retired,410,2808,0.146011396011396
N21000746,Slieve_Croob_D,Economically inactive: Retired,395,3085,0.1280388978930308
N21000747,Slieve_Croob_E,Economically inactive: Retired,325,2609,0.1245688003066309
N21000748,Slieve_Croob_F,Economically inactive: Retired,292,1969,0.14829862874555613
N21000749,Slieve_Croob_G,Economically inactive: Retired,396,2788,0.14203730272596843
N21000750,Slieve_Croob_H,Economically inactive: Retired,264,1539,0.17153996101364521
N21000751,Slieve_Croob_J,Economically inactive: Retired,321,2599,0.12350904193920739
N21000752,Rowallane_A,Economically inactive: Retired,295,1673,0.1763299462044232
N21000753,Rowallane_B,Economically inactive: Retired,425,1915,0.22193211488250653
N21000754,Rowallane_C,Economically inactive: Retired,486,2286,0.2125984251968504
N21000755,Rowallane_D,Economically inactive: Retired,476,2279,0.2088635366388767
N21000756,Rowallane_E,Economically inactive: Retired,500,2766,0.18076644974692696
N21000757,Rowallane_F,Economically inactive: Retired,436,2597,0.1678860223334617
N21000758,Rowallane_G,Economically inactive: Retired,592,2940,0.20136054421768707
N21000759,Rowallane_H,Economically inactive: Retired,514,2787,0.18442770003588088
N21000760,Rowallane_J,Economically inactive: Retired,339,1997,0.16975463194792187
N21000761,Downpatrick_A,Economically inactive: Retired,434,2681,0.1618798955613577
N21000762,Downpatrick_B,Economically inactive: Retired,397,1964,0.20213849287169042
N21000763,Downpatrick_C,Economically inactive: Retired,561,2751,0.2039258451472192
N21000764,Downpatrick_D,Economically inactive: Retired,357,2247,0.1588785046728972
N21000765,Downpatrick_E,Economically inactive: Retired,360,2251,0.15992892047978677
N21000766,Downpatrick_F,Economically inactive: Retired,250,1976,0.12651821862348178
N21000767,Downpatrick_G,Economically inactive: Retired,197,2320,0.08491379310344828
N21000768,Downpatrick_H,Economically inactive: Retired,431,2365,0.18224101479915433
N21000769,Downpatrick_J,Economically inactive: Retired,324,1720,0.1883720930232558
N21000770,Downpatrick_K,Economically inactive: Retired,248,1641,0.15112736136502133
N21000771,Comber_A,Economically inactive: Retired,579,2037,0.28424153166421207
N21000772,Comber_B,Economically inactive: Retired,486,2289,0.21231979030144169
N21000773,Comber_C,Economically inactive: Retired,628,2803,0.22404566535854442
N21000774,Comber_D,Economically inactive: Retired,605,2400,0.2520833333333333
N21000775,Comber_E,Economically inactive: Retired,337,1341,0.2513049962714392
N21000776,Comber_F,Economically inactive: Retired,818,3233,0.2530157748221466
N21000777,Comber_G,Economically inactive: Retired,459,3138,0.1462715105162524
N21000778,Comber_H,Economically inactive: Retired,482,2246,0.21460373998219057
N21000779,Newtownards_A,Economically inactive: Retired,627,2318,0.27049180327868855
N21000780,Newtownards_B,Economically inactive: Retired,370,1768,0.20927601809954752
N21000781,Newtownards_C,Economically inactive: Retired,468,1992,0.23493975903614459
N21000782,Newtownards_D,Economically inactive: Retired,220,1961,0.11218765935747067
N21000783,Newtownards_E,Economically inactive: Retired,420,1402,0.2995720399429387
N21000784,Newtownards_F,Economically inactive: Retired,205,1797,0.11407902058987202
N21000785,Newtownards_G,Economically inactive: Retired,567,1992,0.28463855421686746
N21000786,Newtownards_H,Economically inactive: Retired,282,2443,0.11543184609087188
N21000787,Newtownards_J,Economically inactive: Retired,385,1638,0.23504273504273504
N21000788,Newtownards_K,Economically inactive: Retired,245,1349,0.1816160118606375
N21000789,Newtownards_L,Economically inactive: Retired,298,1401,0.21270521056388295
N21000790,Newtownards_N,Economically inactive: Retired,555,2310,0.24025974025974026
N21000791,Newtownards_P,Economically inactive: Retired,320,1612,0.19851116625310175
N21000792,Newtownards_Q,Economically inactive: Retired,324,1764,0.1836734693877551
N21000793,Newtownards_R,Economically inactive: Retired,260,1327,0.19593067068575734
N21000794,Newtownards_S,Economically inactive: Retired,329,2321,0.14174924601464886
N21000795,Holywood_and_Clandeboye_A,Economically inactive: Retired,449,1547,0.2902391725921138
N21000796,Holywood_and_Clandeboye_B,Economically inactive: Retired,541,1104,0.490036231884058
N21000797,Holywood_and_Clandeboye_C,Economically inactive: Retired,319,1316,0.24240121580547114
N21000798,Holywood_and_Clandeboye_D,Economically inactive: Retired,500,1730,0.28901734104046245
N21000799,Holywood_and_Clandeboye_E,Economically inactive: Retired,538,1895,0.28390501319261213
N21000800,Holywood_and_Clandeboye_F,Economically inactive: Retired,528,2201,0.23989095865515675
N21000801,Holywood_and_Clandeboye_G,Economically inactive: Retired,189,1972,0.09584178498985801
N21000802,Holywood_and_Clandeboye_H,Economically inactive: Retired,510,2253,0.22636484687083888
N21000803,Holywood_and_Clandeboye_J,Economically inactive: Retired,352,1912,0.18410041841004185
N21000804,Holywood_and_Clandeboye_K,Economically inactive: Retired,558,2199,0.25375170532060026
N21000805,Holywood_and_Clandeboye_L,Economically inactive: Retired,382,2680,0.14253731343283582
N21000806,Bangor_West_A,Economically inactive: Retired,987,3110,0.31736334405144695
N21000807,Bangor_West_B,Economically inactive: Retired,443,1235,0.35870445344129553
N21000808,Bangor_West_C,Economically inactive: Retired,613,1822,0.336443468715697
N21000809,Bangor_West_D,Economically inactive: Retired,428,2011,0.21282943809050223
N21000810,Bangor_West_E,Economically inactive: Retired,527,2123,0.24823363165332077
N21000811,Bangor_West_F,Economically inactive: Retired,349,2118,0.1647780925401322
N21000812,Bangor_West_G,Economically inactive: Retired,468,2166,0.21606648199445982
N21000813,Bangor_West_H,Economically inactive: Retired,304,2632,0.11550151975683891
N21000814,Bangor_West_J,Economically inactive: Retired,306,2300,0.13304347826086957
N21000815,Bangor_Central_A,Economically inactive: Retired,357,1580,0.2259493670886076
N21000816,Bangor_Central_B,Economically inactive: Retired,697,2266,0.30759046778464255
N21000817,Bangor_Central_C,Economically inactive: Retired,303,1754,0.17274800456100342
N21000818,Bangor_Central_D,Economically inactive: Retired,463,1476,0.3136856368563686
N21000819,Bangor_Central_E,Economically inactive: Retired,543,2126,0.255409219190969
N21000820,Bangor_Central_F,Economically inactive: Retired,424,1333,0.31807951987997
N21000821,Bangor_Central_G,Economically inactive: Retired,549,1647,0.3333333333333333
N21000822,Bangor_Central_H,Economically inactive: Retired,352,1396,0.2521489971346705
N21000823,Bangor_Central_J,Economically inactive: Retired,626,2275,0.27516483516483514
N21000824,Bangor_Central_K,Economically inactive: Retired,273,2062,0.13239573229873908
N21000825,Bangor_Central_L,Economically inactive: Retired,270,2125,0.12705882352941175
N21000826,Bangor_Central_N,Economically inactive: Retired,131,1645,0.07963525835866261
N21000827,Bangor_Central_P,Economically inactive: Retired,285,2359,0.12081390419669351
N21000828,Bangor_Central_Q,Economically inactive: Retired,168,2591,0.06483983018139715
N21000829,Bangor_East_and_Donaghadee_A,Economically inactive: Retired,460,1220,0.3770491803278688
N21000830,Bangor_East_and_Donaghadee_B,Economically inactive: Retired,866,2707,0.3199113409678611
N21000831,Bangor_East_and_Donaghadee_C,Economically inactive: Retired,641,1962,0.32670744138634045
N21000832,Bangor_East_and_Donaghadee_D,Economically inactive: Retired,378,1178,0.32088285229202035
N21000833,Bangor_East_and_Donaghadee_E,Economically inactive: Retired,522,1490,0.3503355704697987
N21000834,Bangor_East_and_Donaghadee_F,Economically inactive: Retired,787,2409,0.3266915732669157
N21000835,Bangor_East_and_Donaghadee_G,Economically inactive: Retired,546,3202,0.17051842598376016
N21000836,Bangor_East_and_Donaghadee_H,Economically inactive: Retired,541,3319,0.16300090388671287
N21000837,Bangor_East_and_Donaghadee_J,Economically inactive: Retired,600,2401,0.24989587671803415
N21000838,Bangor_East_and_Donaghadee_K,Economically inactive: Retired,727,2962,0.24544226873733963
N21000839,Ards_Peninsula_A,Economically inactive: Retired,489,2549,0.1918399372302864
N21000840,Ards_Peninsula_B,Economically inactive: Retired,305,1407,0.21677327647476902
N21000841,Ards_Peninsula_C,Economically inactive: Retired,615,2398,0.2564637197664721
N21000842,Ards_Peninsula_D,Economically inactive: Retired,636,2982,0.21327967806841047
N21000843,Ards_Peninsula_E,Economically inactive: Retired,448,2008,0.22310756972111553
N21000844,Ards_Peninsula_F,Economically inactive: Retired,402,1922,0.20915712799167535
N21000845,Ards_Peninsula_G,Economically inactive: Retired,309,1411,0.21899362154500354
N21000846,Ards_Peninsula_H,Economically inactive: Retired,382,1948,0.19609856262833675
N21000847,Ards_Peninsula_J,Economically inactive: Retired,433,2280,0.1899122807017544
N21000848,Ards_Peninsula_K,Economically inactive: Retired,276,1360,0.20294117647058824
N21000849,Ards_Peninsula_L,Economically inactive: Retired,465,2327,0.19982810485603783
N21000850,Ards_Peninsula_N,Economically inactive: Retired,478,2372,0.2015177065767285
