SDZ,Area,Series,Count,Population,Value
N21000001,Dunsilly_A,Economically active: Employee (including full-time students),1275,3272,0.38966992665036676
N21000002,Dunsilly_B,Economically active: Employee (including full-time students),1293,3132,0.4128352490421456
N21000003,Dunsilly_C,Economically active: Employee (including full-time students),976,2527,0.38622872971903444
N21000004,Dunsilly_D,Economically active: Employee (including full-time students),1117,2991,0.3734536944165831
N21000005,Dunsilly_E,Economically active: Employee (including full-time students),980,2160,0.4537037037037037
N21000006,Dunsilly_F,Economically active: Employee (including full-time students),1617,3916,0.41292134831460675
N21000007,Antrim_A,Economically active: Employee (including full-time students),753,1837,0.40990745781164944
N21000008,Antrim_B,Economically active: Employee (including full-time students),919,1791,0.5131211613623674
N21000009,Antrim_C,Economically active: Employee (including full-time students),1118,2452,0.4559543230016313
N21000010,Antrim_D,Economically active: Employee (including full-time students),1058,2423,0.4366487825010318
N21000011,Antrim_E,Economically active: Employee (including full-time students),582,1651,0.3525136281041793
N21000012,Antrim_F,Economically active: Employee (including full-time students),832,2203,0.37766681797548796
N21000013,Antrim_G,Economically active: Employee (including full-time students),856,2133,0.4013127051101735
N21000014,Antrim_H,Economically active: Employee (including full-time students),511,1394,0.366571018651363
N21000015,Antrim_J,Economically active: Employee (including full-time students),958,2296,0.4172473867595819
N21000016,Antrim_K,Economically active: Employee (including full-time students),712,2150,0.3311627906976744
N21000017,Antrim_L,Economically active: Employee (including full-time students),990,2043,0.4845814977973568
N21000018,Antrim_N,Economically active: Employee (including full-time students),664,1571,0.42266072565245066
N21000019,Ballyclare_A,Economically active: Employee (including full-time students),930,2028,0.45857988165680474
N21000020,Ballyclare_B,Economically active: Employee (including full-time students),1332,3014,0.44193762441937623
N21000021,Ballyclare_C,Economically active: Employee (including full-time students),763,2361,0.3231681490893689
N21000022,Ballyclare_D,Economically active: Employee (including full-time students),1153,2538,0.45429472025216705
N21000023,Ballyclare_E,Economically active: Employee (including full-time students),1315,2936,0.4478882833787466
N21000024,Ballyclare_F,Economically active: Employee (including full-time students),1316,3187,0.4129275180420458
N21000025,Ballyclare_G,Economically active: Employee (including full-time students),614,1404,0.4373219373219373
N21000026,Ballyclare_H,Economically active: Employee (including full-time students),674,1600,0.42125
N21000027,Three_Mile_Water_A,Economically active: Employee (including full-time students),897,2217,0.40460081190798375
N21000028,Three_Mile_Water_B,Economically active: Employee (including full-time students),558,1359,0.4105960264900662
N21000029,Three_Mile_Water_C,Economically active: Employee (including full-time students),1004,2052,0.48927875243664715
N21000030,Three_Mile_Water_D,Economically active: Employee (including full-time students),837,1959,0.42725880551301687
N21000031,Three_Mile_Water_E,Economically active: Employee (including full-time students),980,2520,0.3888888888888889
N21000032,Three_Mile_Water_F,Economically active: Employee (including full-time students),629,1898,0.3314014752370917
N21000033,Three_Mile_Water_G,Economically active: Employee (including full-time students),1153,2796,0.4123748211731044
N21000034,Three_Mile_Water_H,Economically active: Employee (including full-time students),1014,2269,0.4468929043631556
N21000035,Three_Mile_Water_J,Economically active: Employee (including full-time students),483,1461,0.33059548254620125
N21000036,Three_Mile_Water_K,Economically active: Employee (including full-time students),937,2122,0.441564561734213
N21000037,Macedon_A,Economically active: Employee (including full-time students),763,1669,0.457159976033553
N21000038,Macedon_B,Economically active: Employee (including full-time students),849,2078,0.40856592877767084
N21000039,Macedon_C,Economically active: Employee (including full-time students),984,2211,0.4450474898236092
N21000040,Macedon_D,Economically active: Employee (including full-time students),600,1785,0.33613445378151263
N21000041,Macedon_E,Economically active: Employee (including full-time students),620,1677,0.3697078115682767
N21000042,Macedon_F,Economically active: Employee (including full-time students),551,1672,0.32954545454545453
N21000043,Macedon_G,Economically active: Employee (including full-time students),652,1898,0.34351949420442573
N21000044,Macedon_H,Economically active: Employee (including full-time students),526,1306,0.40275650842266464
N21000045,Macedon_J,Economically active: Employee (including full-time students),859,2049,0.4192288921425085
N21000046,Macedon_K,Economically active: Employee (including full-time students),637,1888,0.3373940677966102
N21000047,Macedon_L,Economically active: Employee (including full-time students),621,2090,0.2971291866028708
N21000048,Glengormley_Urban_A,Economically active: Employee (including full-time students),553,1502,0.3681757656458056
N21000049,Glengormley_Urban_B,Economically active: Employee (including full-time students),737,2081,0.3541566554541086
N21000050,Glengormley_Urban_C,Economically active: Employee (including full-time students),1112,2325,0.4782795698924731
N21000051,Glengormley_Urban_D,Economically active: Employee (including full-time students),994,2143,0.46383574428371444
N21000052,Glengormley_Urban_E,Economically active: Employee (including full-time students),657,1683,0.39037433155080214
N21000053,Glengormley_Urban_F,Economically active: Employee (including full-time students),817,1898,0.43045310853530033
N21000054,Glengormley_Urban_G,Economically active: Employee (including full-time students),800,1858,0.43057050592034446
N21000055,Glengormley_Urban_H,Economically active: Employee (including full-time students),513,1307,0.3925019127773527
N21000056,Glengormley_Urban_J,Economically active: Employee (including full-time students),959,2187,0.43850022862368543
N21000057,Glengormley_Urban_K,Economically active: Employee (including full-time students),941,2119,0.4440773949976404
N21000058,Glengormley_Urban_L,Economically active: Employee (including full-time students),1213,2539,0.4777471445450965
N21000059,Airport_A,Economically active: Employee (including full-time students),546,1547,0.35294117647058826
N21000060,Airport_B,Economically active: Employee (including full-time students),738,1761,0.4190800681431005
N21000061,Airport_C,Economically active: Employee (including full-time students),869,2443,0.35571019238641016
N21000062,Airport_D,Economically active: Employee (including full-time students),1172,2503,0.46823811426288453
N21000063,Airport_E,Economically active: Employee (including full-time students),1518,2938,0.5166780122532335
N21000064,Airport_F,Economically active: Employee (including full-time students),1455,2962,0.4912221471978393
N21000065,Airport_G,Economically active: Employee (including full-time students),962,2509,0.38341968911917096
N21000066,Airport_H,Economically active: Employee (including full-time students),1181,2885,0.4093587521663778
N21000067,Airport_J,Economically active: Employee (including full-time students),1116,2481,0.4498186215235792
N21000068,Armagh_A,Economically active: Employee (including full-time students),1379,3814,0.3615626638699528
N21000069,Armagh_B,Economically active: Employee (including full-time students),726,1826,0.39759036144578314
N21000070,Armagh_C,Economically active: Employee (including full-time students),1124,3019,0.3723087114938721
N21000071,Armagh_D,Economically active: Employee (including full-time students),1199,3589,0.3340763443856227
N21000072,Armagh_E,Economically active: Employee (including full-time students),1049,2786,0.3765254845656856
N21000073,Armagh_F,Economically active: Employee (including full-time students),790,2306,0.3425845620121422
N21000074,Armagh_G,Economically active: Employee (including full-time students),1159,3067,0.3778937072057385
N21000075,Armagh_H,Economically active: Employee (including full-time students),1007,2503,0.4023172193367959
N21000076,Armagh_J,Economically active: Employee (including full-time students),1211,3327,0.3639915840096183
N21000077,Armagh_K,Economically active: Employee (including full-time students),1292,3533,0.3656948768751769
N21000078,Armagh_L,Economically active: Employee (including full-time students),900,2635,0.3415559772296015
N21000079,Portadown_A,Economically active: Employee (including full-time students),1192,2965,0.4020236087689713
N21000080,Portadown_B,Economically active: Employee (including full-time students),1120,3020,0.3708609271523179
N21000081,Portadown_C,Economically active: Employee (including full-time students),723,1820,0.39725274725274723
N21000082,Portadown_D,Economically active: Employee (including full-time students),797,2448,0.3255718954248366
N21000083,Portadown_E,Economically active: Employee (including full-time students),845,2013,0.4197714853452558
N21000084,Portadown_F,Economically active: Employee (including full-time students),636,1475,0.4311864406779661
N21000085,Portadown_G,Economically active: Employee (including full-time students),698,2043,0.34165442976015664
N21000086,Portadown_H,Economically active: Employee (including full-time students),703,1901,0.3698053655970542
N21000087,Portadown_J,Economically active: Employee (including full-time students),1178,2919,0.4035628639945187
N21000088,Portadown_K,Economically active: Employee (including full-time students),949,2360,0.4021186440677966
N21000089,Portadown_L,Economically active: Employee (including full-time students),879,1901,0.46238821672803787
N21000090,Portadown_N,Economically active: Employee (including full-time students),578,1526,0.37876802096985585
N21000091,Portadown_P,Economically active: Employee (including full-time students),530,1409,0.376153300212917
N21000092,Portadown_Q,Economically active: Employee (including full-time students),1015,2203,0.4607353608715388
N21000093,Portadown_R,Economically active: Employee (including full-time students),1148,2921,0.39301609038000684
N21000094,Craigavon_A,Economically active: Employee (including full-time students),1317,3080,0.4275974025974026
N21000095,Craigavon_B,Economically active: Employee (including full-time students),1141,2685,0.4249534450651769
N21000096,Craigavon_C,Economically active: Employee (including full-time students),862,2027,0.42525900345337936
N21000097,Craigavon_D,Economically active: Employee (including full-time students),597,1680,0.35535714285714287
N21000098,Craigavon_E,Economically active: Employee (including full-time students),739,2544,0.2904874213836478
N21000099,Craigavon_F,Economically active: Employee (including full-time students),1448,2672,0.5419161676646707
