SDZ,Area,Series,Count,Population,Value
N21000001,Dunsilly_A,Economically inactive: Student,119,3272,0.03636919315403423
N21000002,Dunsilly_B,Economically inactive: Student,129,3132,0.04118773946360153
N21000003,Dunsilly_C,Economically inactive: Student,111,2527,0.043925603482390184
N21000004,Dunsilly_D,Economically inactive: Student,70,2991,0.02340354396522902
N21000005,Dunsilly_E,Economically inactive: Student,83,2160,0.038425925925925926
N21000006,Dunsilly_F,Economically inactive: Student,140,3916,0.03575076608784474
N21000007,Antrim_A,Economically inactive: Student,67,1837,0.03647250952640174
N21000008,Antrim_B,Economically inactive: Student,41,1791,0.022892238972640984
N21000009,Antrim_C,Economically inactive: Student,82,2452,0.033442088091353996
N21000010,Antrim_D,Economically inactive: Student,61,2423,0.025175402393726783
N21000011,Antrim_E,Economically inactive: Student,55,1651,0.03331314354936402
N21000012,Antrim_F,Economically inactive: Student,75,2203,0.03404448479346346
N21000013,Antrim_G,Economically inactive: Student,60,2133,0.02812939521800281
N21000014,Antrim_H,Economically inactive: Student,67,1394,0.04806312769010043
N21000015,Antrim_J,Economically inactive: Student,66,2296,0.028745644599303136
N21000016,Antrim_K,Economically inactive: Student,85,2150,0.03953488372093023
N21000017,Antrim_L,Economically inactive: Student,80,2043,0.03915810083210964
N21000018,Antrim_N,Economically inactive: Student,30,1571,0.019096117122851686
N21000019,Ballyclare_A,Economically inactive: Student,60,2028,0.029585798816568046
N21000020,Ballyclare_B,Economically inactive: Student,120,3014,0.039814200398142006
N21000021,Ballyclare_C,Economically inactive: Student,63,2361,0.026683608640406607
N21000022,Ballyclare_D,Economically inactive: Student,89,2538,0.035066981875492516
N21000023,Ballyclare_E,Economically inactive: Student,98,2936,0.03337874659400545
N21000024,Ballyclare_F,Economically inactive: Student,102,3187,0.03200502039535613
N21000025,Ballyclare_G,Economically inactive: Student,40,1404,0.02849002849002849
N21000026,Ballyclare_H,Economically inactive: Student,50,1600,0.03125
N21000027,Three_Mile_Water_A,Economically inactive: Student,61,2217,0.02751465944970681
N21000028,Three_Mile_Water_B,Economically inactive: Student,51,1359,0.037527593818984545
N21000029,Three_Mile_Water_C,Economically inactive: Student,96,2052,0.04678362573099415
N21000030,Three_Mile_Water_D,Economically inactive: Student,55,1959,0.02807554874936192
N21000031,Three_Mile_Water_E,Economically inactive: Student,113,2520,0.04484126984126984
N21000032,Three_Mile_Water_F,Economically inactive: Student,59,1898,0.03108535300316122
N21000033,Three_Mile_Water_G,Economically inactive: Student,273,2796,0.09763948497854077
N21000034,Three_Mile_Water_H,Economically inactive: Student,65,2269,0.02864698104892023
N21000035,Three_Mile_Water_J,Economically inactive: Student,45,1461,0.030800821355236138
N21000036,Three_Mile_Water_K,Economically inactive: Student,72,2122,0.033930254476908575
N21000037,Macedon_A,Economically inactive: Student,59,1669,0.035350509286998205
N21000038,Macedon_B,Economically inactive: Student,56,2078,0.026948989412897015
N21000039,Macedon_C,Economically inactive: Student,87,2211,0.03934871099050204
N21000040,Macedon_D,Economically inactive: Student,71,1785,0.039775910364145656
N21000041,Macedon_E,Economically inactive: Student,62,1677,0.03697078115682767
N21000042,Macedon_F,Economically inactive: Student,65,1672,0.038875598086124404
N21000043,Macedon_G,Economically inactive: Student,58,1898,0.030558482613277135
N21000044,Macedon_H,Economically inactive: Student,28,1306,0.021439509954058193
N21000045,Macedon_J,Economically inactive: Student,58,2049,0.028306490971205467
N21000046,Macedon_K,Economically inactive: Student,54,1888,0.028601694915254237
N21000047,Macedon_L,Economically inactive: Student,92,2090,0.04401913875598086
N21000048,Glengormley_Urban_A,Economically inactive: Student,58,1502,0.03861517976031957
N21000049,Glengormley_Urban_B,Economically inactive: Student,50,2081,0.024026910139356077
N21000050,Glengormley_Urban_C,Economically inactive: Student,95,2325,0.04086021505376344
N21000051,Glengormley_Urban_D,Economically inactive: Student,61,2143,0.028464769015398975
N21000052,Glengormley_Urban_E,Economically inactive: Student,54,1683,0.03208556149732621
N21000053,Glengormley_Urban_F,Economically inactive: Student,73,1898,0.038461538461538464
N21000054,Glengormley_Urban_G,Economically inactive: Student,50,1858,0.02691065662002153
N21000055,Glengormley_Urban_H,Economically inactive: Student,44,1307,0.03366488140780413
N21000056,Glengormley_Urban_J,Economically inactive: Student,71,2187,0.03246456332876086
N21000057,Glengormley_Urban_K,Economically inactive: Student,71,2119,0.03350637092968381
N21000058,Glengormley_Urban_L,Economically inactive: Student,113,2539,0.04450571090980701
N21000059,Airport_A,Economically inactive: Student,48,1547,0.031027795733678087
N21000060,Airport_B,Economically inactive: Student,51,1761,0.028960817717206135
N21000061,Airport_C,Economically inactive: Student,87,2443,0.03561195251739664
N21000062,Airport_D,Economically inactive: Student,113,2503,0.04514582500998801
N21000063,Airport_E,Economically inactive: Student,104,2938,0.035398230088495575
N21000064,Airport_F,Economically inactive: Student,162,2962,0.054692775151924375
N21000065,Airport_G,Economically inactive: Student,89,2509,0.03547229972100439
N21000066,Airport_H,Economically inactive: Student,144,2885,0.04991334488734835
N21000067,Airport_J,Economically inactive: Student,104,2481,0.04191858121725111
N21000068,Armagh_A,Economically inactive: Student,139,3814,0.036444677503932876
N21000069,Armagh_B,Economically inactive: Student,60,1826,0.03285870755750274
N21000070,Armagh_C,Economically inactive: Student,136,3019,0.045048029148724744
N21000071,Armagh_D,Economically inactive: Student,146,3589,0.040679855112844804
N21000072,Armagh_E,Economically inactive: Student,116,2786,0.0416367552045944
N21000073,Armagh_F,Economically inactive: Student,63,2306,0.027320034692107545
N21000074,Armagh_G,Economically inactive: Student,132,3067,0.04303880013042061
N21000075,Armagh_H,Economically inactive: Student,93,2503,0.03715541350379545
N21000076,Armagh_J,Economically inactive: Student,128,3327,0.03847309888788698
N21000077,Armagh_K,Economically inactive: Student,176,3533,0.04981602037928107
N21000078,Armagh_L,Economically inactive: Student,112,2635,0.04250474383301708
N21000079,Portadown_A,Economically inactive: Student,94,2965,0.03170320404721754
N21000080,Portadown_B,Economically inactive: Student,113,3020,0.03741721854304636
N21000081,Portadown_C,Economically inactive: Student,64,1820,0.035164835164835165
N21000082,Portadown_D,Economically inactive: Student,82,2448,0.03349673202614379
N21000083,Portadown_E,Economically inactive: Student,79,2013,0.039244908097367116
N21000084,Portadown_F,Economically inactive: Student,35,1475,0.023728813559322035
