SDZ,Area,Series,Count,Population,Value
N21000001,Dunsilly_A,Economically inactive: Long-term sick or disabled,108,3272,0.03300733496332518
N21000002,Dunsilly_B,Economically inactive: Long-term sick or disabled,83,3132,0.026500638569604086
N21000003,Dunsilly_C,Economically inactive: Long-term sick or disabled,160,2527,0.06331618519984171
N21000004,Dunsilly_D,Economically inactive: Long-term sick or disabled,237,2991,0.07923771313941826
N21000005,Dunsilly_E,Economically inactive: Long-term sick or disabled,86,2160,0.03981481481481482
N21000006,Dunsilly_F,Economically inactive: Long-term sick or disabled,106,3916,0.027068437180796732
N21000007,Antrim_A,Economically inactive: Long-term sick or disabled,114,1837,0.06205770277626565
N21000008,Antrim_B,Economically inactive: Long-term sick or disabled,98,1791,0.05471803461753211
N21000009,Antrim_C,Economically inactive: Long-term sick or disabled,95,2452,0.03874388254486134
N21000010,Antrim_D,Economically inactive: Long-term sick or disabled,157,2423,0.06479570780024763
N21000011,Antrim_E,Economically inactive: Long-term sick or disabled,182,1651,0.11023622047244094
N21000012,Antrim_F,Economically inactive: Long-term sick or disabled,210,2203,0.09532455742169768
N21000013,Antrim_G,Economically inactive: Long-term sick or disabled,193,2133,0.09048288795124239
N21000014,Antrim_H,Economically inactive: Long-term sick or disabled,127,1394,0.09110473457675754
N21000015,Antrim_J,Economically inactive: Long-term sick or disabled,73,2296,0.031794425087108016
N21000016,Antrim_K,Economically inactive: Long-term sick or disabled,242,2150,0.11255813953488372
N21000017,Antrim_L,Economically inactive: Long-term sick or disabled,76,2043,0.03720019579050416
N21000018,Antrim_N,Economically inactive: Long-term sick or disabled,116,1571,0.07383831954169319
N21000019,Ballyclare_A,Economically inactive: Long-term sick or disabled,52,2028,0.02564102564102564
N21000020,Ballyclare_B,Economically inactive: Long-term sick or disabled,104,3014,0.034505640345056404
N21000021,Ballyclare_C,Economically inactive: Long-term sick or disabled,252,2361,0.10673443456162643
N21000022,Ballyclare_D,Economically inactive: Long-term sick or disabled,100,2538,0.039401103230890466
N21000023,Ballyclare_E,Economically inactive: Long-term sick or disabled,77,2936,0.026226158038147138
N21000024,Ballyclare_F,Economically inactive: Long-term sick or disabled,83,3187,0.026043300909946658
N21000025,Ballyclare_G,Economically inactive: Long-term sick or disabled,39,1404,0.027777777777777776
N21000026,Ballyclare_H,Economically inactive: Long-term sick or disabled,32,1600,0.02
N21000027,Three_Mile_Water_A,Economically inactive: Long-term sick or disabled,171,2217,0.07713125845737483
N21000028,Three_Mile_Water_B,Economically inactive: Long-term sick or disabled,55,1359,0.04047093451066961
N21000029,Three_Mile_Water_C,Economically inactive: Long-term sick or disabled,31,2052,0.015107212475633527
N21000030,Three_Mile_Water_D,Economically inactive: Long-term sick or disabled,71,1959,0.03624298111281266
N21000031,Three_Mile_Water_E,Economically inactive: Long-term sick or disabled,35,2520,0.013888888888888888
N21000032,Three_Mile_Water_F,Economically inactive: Long-term sick or disabled,169,1898,0.08904109589041095
N21000033,Three_Mile_Water_G,Economically inactive: Long-term sick or disabled,63,2796,0.022532188841201718
N21000034,Three_Mile_Water_H,Economically inactive: Long-term sick or disabled,80,2269,0.03525782282944028
N21000035,Three_Mile_Water_J,Economically inactive: Long-term sick or disabled,155,1461,0.10609171800136892
N21000036,Three_Mile_Water_K,Economically inactive: Long-term sick or disabled,115,2122,0.05419415645617342
N21000037,Macedon_A,Economically inactive: Long-term sick or disabled,53,1669,0.03175554224086279
N21000038,Macedon_B,Economically inactive: Long-term sick or disabled,133,2078,0.06400384985563042
N21000039,Macedon_C,Economically inactive: Long-term sick or disabled,119,2211,0.053821800090456805
N21000040,Macedon_D,Economically inactive: Long-term sick or disabled,163,1785,0.09131652661064425
N21000041,Macedon_E,Economically inactive: Long-term sick or disabled,121,1677,0.07215265354800239
N21000042,Macedon_F,Economically inactive: Long-term sick or disabled,186,1672,0.11124401913875598
N21000043,Macedon_G,Economically inactive: Long-term sick or disabled,281,1898,0.14805057955742887
N21000044,Macedon_H,Economically inactive: Long-term sick or disabled,93,1306,0.07120980091883614
N21000045,Macedon_J,Economically inactive: Long-term sick or disabled,157,2049,0.07662274280136652
N21000046,Macedon_K,Economically inactive: Long-term sick or disabled,223,1888,0.11811440677966102
N21000047,Macedon_L,Economically inactive: Long-term sick or disabled,211,2090,0.10095693779904306
N21000048,Glengormley_Urban_A,Economically inactive: Long-term sick or disabled,121,1502,0.08055925432756325
N21000049,Glengormley_Urban_B,Economically inactive: Long-term sick or disabled,73,2081,0.035079288803459875
N21000050,Glengormley_Urban_C,Economically inactive: Long-term sick or disabled,51,2325,0.02193548387096774
N21000051,Glengormley_Urban_D,Economically inactive: Long-term sick or disabled,76,2143,0.03546430237984134
N21000052,Glengormley_Urban_E,Economically inactive: Long-term sick or disabled,124,1683,0.0736779560308972
N21000053,Glengormley_Urban_F,Economically inactive: Long-term sick or disabled,72,1898,0.037934668071654375
N21000054,Glengormley_Urban_G,Economically inactive: Long-term sick or disabled,53,1858,0.02852529601722282
N21000055,Glengormley_Urban_H,Economically inactive: Long-term sick or disabled,125,1307,0.09563886763580719
N21000056,Glengormley_Urban_J,Economically inactive: Long-term sick or disabled,74,2187,0.03383630544124371
N21000057,Glengormley_Urban_K,Economically inactive: Long-term sick or disabled,70,2119,0.03303445021236432
N21000058,Glengormley_Urban_L,Economically inactive: Long-term sick or disabled,90,2539,0.035447026388341865
N21000059,Airport_A,Economically inactive: Long-term sick or disabled,71,1547,0.04589528118939883
N21000060,Airport_B,Economically inactive: Long-term sick or disabled,83,1761,0.04713231118682567
N21000061,Airport_C,Economically inactive: Long-term sick or disabled,58,2443,0.02374130167826443
N21000062,Airport_D,Economically inactive: Long-term sick or disabled,58,2503,0.02317219336795845
N21000063,Airport_E,Economically inactive: Long-term sick or disabled,45,2938,0.01531654186521443
N21000064,Airport_F,Economically inactive: Long-term sick or disabled,64,2962,0.02160702228224173
N21000065,Airport_G,Economically inactive: Long-term sick or disabled,73,2509,0.029095257074531686
N21000066,Airport_H,Economically inactive: Long-term sick or disabled,149,2885,0.05164644714038128
N21000067,Airport_J,Economically inactive: Long-term sick or disabled,144,2481,0.05804111245465538
N21000068,Armagh_A,Economically inactive: Long-term sick or disabled,165,3814,0.043261667540639745
N21000069,Armagh_B,Economically inactive: Long-term sick or disabled,44,1826,0.024096385542168676
N21000070,Armagh_C,Economically inactive: Long-term sick or disabled,210,3019,0.06955945677376615
N21000071,Armagh_D,Economically inactive: Long-term sick or disabled,270,3589,0.07522986904430204
N21000072,Armagh_E,Economically inactive: Long-term sick or disabled,138,2786,0.04953338119167265
N21000073,Armagh_F,Economically inactive: Long-term sick or disabled,308,2306,0.13356461405030357
N21000074,Armagh_G,Economically inactive: Long-term sick or disabled,126,3067,0.04108249103358331
N21000075,Armagh_H,Economically inactive: Long-term sick or disabled,106,2503,0.04234918098282062
N21000076,Armagh_J,Economically inactive: Long-term sick or disabled,96,3327,0.028854824165915238
N21000077,Armagh_K,Economically inactive: Long-term sick or disabled,120,3533,0.03396546844041891
N21000078,Armagh_L,Economically inactive: Long-term sick or disabled,196,2635,0.07438330170777989
N21000079,Portadown_A,Economically inactive: Long-term sick or disabled,128,2965,0.043170320404721754
N21000080,Portadown_B,Economically inactive: Long-term sick or disabled,92,3020,0.030463576158940398
N21000081,Portadown_C,Economically inactive: Long-term sick or disabled,112,1820,0.06153846153846154
N21000082,Portadown_D,Economically inactive: Long-term sick or disabled,262,2448,0.10702614379084967
N21000083,Portadown_E,Economically inactive: Long-term sick or disabled,152,2013,0.07550919026328863
N21000084,Portadown_F,Economically inactive: Long-term sick or disabled,89,1475,0.06033898305084746
N21000085,Portadown_G,Economically inactive: Long-term sick or disabled,222,2043,0.10866372980910426
N21000086,Portadown_H,Economically inactive: Long-term sick or disabled,101,1901,0.05312993161493951
N21000087,Portadown_J,Economically inactive: Long-term sick or disabled,113,2919,0.03871188763275094
N21000088,Portadown_K,Economically inactive: Long-term sick or disabled,173,2360,0.07330508474576271
N21000089,Portadown_L,Economically inactive: Long-term sick or disabled,131,1901,0.06891109942135717
N21000090,Portadown_N,Economically inactive: Long-term sick or disabled,80,1526,0.05242463958060288
N21000091,Portadown_P,Economically inactive: Long-term sick or disabled,99,1409,0.07026259758694109
N21000092,Portadown_Q,Economically inactive: Long-term sick or disabled,94,2203,0.042669087607807535
N21000093,Portadown_R,Economically inactive: Long-term sick or disabled,101,2921,0.03457719958918179
N21000094,Craigavon_A,Economically inactive: Long-term sick or disabled,106,3080,0.03441558441558441
N21000095,Craigavon_B,Economically inactive: Long-term sick or disabled,140,2685,0.0521415270018622
N21000096,Craigavon_C,Economically inactive: Long-term sick or disabled,116,2027,0.05722742969906265
N21000097,Craigavon_D,Economically inactive: Long-term sick or disabled,136,1680,0.08095238095238096
N21000098,Craigavon_E,Economically inactive: Long-term sick or disabled,347,2544,0.1363993710691824
N21000099,Craigavon_F,Economically inactive: Long-term sick or disabled,59,2672,0.022080838323353294
N21000100,Craigavon_G,Economically inactive: Long-term sick or disabled,124,2340,0.05299145299145299
N21000101,Craigavon_H,Economically inactive: Long-term sick or disabled,77,1858,0.041442411194833155
N21000102,Craigavon_J,Economically inactive: Long-term sick or disabled,81,2664,0.030405405405405407
N21000103,Craigavon_K,Economically inactive: Long-term sick or disabled,119,1378,0.08635703918722787
N21000104,Craigavon_L,Economically inactive: Long-term sick or disabled,73,1596,0.045739348370927316
N21000105,Craigavon_N,Economically inactive: Long-term sick or disabled,84,2721,0.030871003307607496
N21000106,Craigavon_P,Economically inactive: Long-term sick or disabled,40,1945,0.02056555269922879
N21000107,Lurgan_A,Economically inactive: Long-term sick or disabled,107,2824,0.037889518413597736
N21000108,Lurgan_B,Economically inactive: Long-term sick or disabled,87,2447,0.03555373927257867
N21000109,Lurgan_C,Economically inactive: Long-term sick or disabled,58,2367,0.024503591043515
N21000110,Lurgan_D,Economically inactive: Long-term sick or disabled,98,2854,0.03433777154870357
N21000111,Lurgan_E,Economically inactive: Long-term sick or disabled,359,2858,0.12561231630510847
N21000112,Lurgan_F,Economically inactive: Long-term sick or disabled,204,2815,0.07246891651865009
N21000113,Lurgan_G,Economically inactive: Long-term sick or disabled,200,1585,0.12618296529968454
N21000114,Lurgan_H,Economically inactive: Long-term sick or disabled,56,2041,0.027437530622243998
N21000115,Lurgan_J,Economically inactive: Long-term sick or disabled,90,2250,0.04
N21000116,Lurgan_K,Economically inactive: Long-term sick or disabled,176,1694,0.1038961038961039
N21000117,Lurgan_L,Economically inactive: Long-term sick or disabled,248,1404,0.17663817663817663
N21000118,Lurgan_N,Economically inactive: Long-term sick or disabled,112,2146,0.0521901211556384
N21000119,Lurgan_P,Economically inactive: Long-term sick or disabled,122,2139,0.05703599812996728
N21000120,Lurgan_Q,Economically inactive: Long-term sick or disabled,131,1801,0.07273736812881733
N21000121,Lurgan_R,Economically inactive: Long-term sick or disabled,265,2524,0.10499207606973059
N21000122,Lurgan_S,Economically inactive: Long-term sick or disabled,87,2627,0.03311762466692044
N21000123,Lurgan_T,Economically inactive: Long-term sick or disabled,103,1823,0.05650027427317608
N21000124,Lagan_River_A,Economically inactive: Long-term sick or disabled,57,1935,0.02945736434108527
N21000125,Lagan_River_B,Economically inactive: Long-term sick or disabled,40,1931,0.020714655618850338
N21000126,Lagan_River_C,Economically inactive: Long-term sick or disabled,37,1521,0.024326101249178174
N21000127,Lagan_River_D,Economically inactive: Long-term sick or disabled,59,1726,0.034183082271147164
N21000128,Lagan_River_E,Economically inactive: Long-term sick or disabled,84,1977,0.042488619119878605
N21000129,Lagan_River_F,Economically inactive: Long-term sick or disabled,154,2980,0.05167785234899329
N21000130,Lagan_River_G,Economically inactive: Long-term sick or disabled,100,2611,0.038299502106472615
N21000131,Lagan_River_H,Economically inactive: Long-term sick or disabled,27,1689,0.015985790408525755
N21000132,Lagan_River_J,Economically inactive: Long-term sick or disabled,60,1955,0.030690537084398978
N21000133,Lagan_River_K,Economically inactive: Long-term sick or disabled,68,2424,0.028052805280528052
N21000134,Lagan_River_L,Economically inactive: Long-term sick or disabled,55,1430,0.038461538461538464
N21000135,Lagan_River_N,Economically inactive: Long-term sick or disabled,98,2625,0.037333333333333336
N21000136,Banbridge_A,Economically inactive: Long-term sick or disabled,94,2305,0.040780911062906725
N21000137,Banbridge_B,Economically inactive: Long-term sick or disabled,190,1957,0.0970873786407767
N21000138,Banbridge_C,Economically inactive: Long-term sick or disabled,41,1926,0.021287642782969886
N21000139,Banbridge_D,Economically inactive: Long-term sick or disabled,310,2926,0.10594668489405332
N21000140,Banbridge_E,Economically inactive: Long-term sick or disabled,248,2524,0.098256735340729
N21000141,Banbridge_F,Economically inactive: Long-term sick or disabled,83,2074,0.04001928640308582
N21000142,Banbridge_G,Economically inactive: Long-term sick or disabled,177,1525,0.1160655737704918
N21000143,Banbridge_H,Economically inactive: Long-term sick or disabled,120,2959,0.04055424129773572
N21000144,Banbridge_J,Economically inactive: Long-term sick or disabled,78,2511,0.03106332138590203
N21000145,Banbridge_K,Economically inactive: Long-term sick or disabled,74,3032,0.024406332453825858
N21000146,Banbridge_L,Economically inactive: Long-term sick or disabled,102,3400,0.03
N21000147,Banbridge_N,Economically inactive: Long-term sick or disabled,141,2918,0.04832076764907471
N21000148,Banbridge_P,Economically inactive: Long-term sick or disabled,116,2396,0.048414023372287146
N21000149,Banbridge_Q,Economically inactive: Long-term sick or disabled,168,2490,0.06746987951807229
N21000150,Cusher_A,Economically inactive: Long-term sick or disabled,59,1410,0.04184397163120567
N21000151,Cusher_B,Economically inactive: Long-term sick or disabled,144,2738,0.052593133674214754
N21000152,Cusher_C,Economically inactive: Long-term sick or disabled,74,1832,0.04039301310043668
N21000153,Cusher_D,Economically inactive: Long-term sick or disabled,62,1778,0.03487064116985377
N21000154,Cusher_E,Economically inactive: Long-term sick or disabled,104,2975,0.03495798319327731
N21000155,Cusher_F,Economically inactive: Long-term sick or disabled,129,1713,0.07530647985989491
N21000156,Cusher_G,Economically inactive: Long-term sick or disabled,75,2345,0.031982942430703626
N21000157,Cusher_H,Economically inactive: Long-term sick or disabled,122,2524,0.04833597464342314
N21000158,Cusher_J,Economically inactive: Long-term sick or disabled,105,1906,0.05508919202518363
N21000159,Cusher_K,Economically inactive: Long-term sick or disabled,128,3592,0.035634743875278395
N21000160,Cusher_L,Economically inactive: Long-term sick or disabled,159,3382,0.04701360141927853
N21000161,Oldpark_A,Economically inactive: Long-term sick or disabled,214,2707,0.07905430365718508
N21000162,Oldpark_B,Economically inactive: Long-term sick or disabled,127,1676,0.07577565632458234
N21000163,Oldpark_C,Economically inactive: Long-term sick or disabled,137,1998,0.06856856856856856
N21000164,Oldpark_D,Economically inactive: Long-term sick or disabled,138,2127,0.06488011283497884
N21000165,Oldpark_E,Economically inactive: Long-term sick or disabled,187,2310,0.08095238095238096
N21000166,Oldpark_F,Economically inactive: Long-term sick or disabled,180,1555,0.1157556270096463
N21000167,Oldpark_G,Economically inactive: Long-term sick or disabled,178,2192,0.0812043795620438
N21000168,Oldpark_H,Economically inactive: Long-term sick or disabled,193,1551,0.12443584784010316
