SDZ,Area,Series,Count,Population,Value
N21000001,Dunsilly_A,Economically inactive: Other,46,3272,0.014058679706601468
N21000002,Dunsilly_B,Economically inactive: Other,45,3132,0.014367816091954023
N21000003,Dunsilly_C,Economically inactive: Other,68,2527,0.026909378709932725
N21000004,Dunsilly_D,Economically inactive: Other,77,2991,0.02574389836175192
N21000005,Dunsilly_E,Economically inactive: Other,26,2160,0.012037037037037037
N21000006,Dunsilly_F,Economically inactive: Other,86,3916,0.021961184882533197
N21000007,Antrim_A,Economically inactive: Other,55,1837,0.029940119760479042
N21000008,Antrim_B,Economically inactive: Other,27,1791,0.01507537688442211
N21000009,Antrim_C,Economically inactive: Other,34,2452,0.013866231647634585
N21000010,Antrim_D,Economically inactive: Other,40,2423,0.01650846058605035
N21000011,Antrim_E,Economically inactive: Other,71,1651,0.04300423985463356
N21000012,Antrim_F,Economically inactive: Other,71,2203,0.03222877893781208
N21000013,Antrim_G,Economically inactive: Other,60,2133,0.02812939521800281
N21000014,Antrim_H,Economically inactive: Other,42,1394,0.03012912482065997
N21000015,Antrim_J,Economically inactive: Other,38,2296,0.016550522648083623
N21000016,Antrim_K,Economically inactive: Other,71,2150,0.03302325581395349
N21000017,Antrim_L,Economically inactive: Other,34,2043,0.016642192853646598
N21000018,Antrim_N,Economically inactive: Other,44,1571,0.028007638446849142
N21000019,Ballyclare_A,Economically inactive: Other,34,2028,0.016765285996055226
N21000020,Ballyclare_B,Economically inactive: Other,46,3014,0.015262110152621102
N21000021,Ballyclare_C,Economically inactive: Other,112,2361,0.04743752647183397
N21000022,Ballyclare_D,Economically inactive: Other,49,2538,0.019306540583136328
N21000023,Ballyclare_E,Economically inactive: Other,46,2936,0.015667574931880108
N21000024,Ballyclare_F,Economically inactive: Other,29,3187,0.009099466582993411
N21000025,Ballyclare_G,Economically inactive: Other,24,1404,0.017094017094017096
N21000026,Ballyclare_H,Economically inactive: Other,25,1600,0.015625
N21000027,Three_Mile_Water_A,Economically inactive: Other,49,2217,0.02210193955796121
N21000028,Three_Mile_Water_B,Economically inactive: Other,15,1359,0.011037527593818985
N21000029,Three_Mile_Water_C,Economically inactive: Other,21,2052,0.01023391812865497
N21000030,Three_Mile_Water_D,Economically inactive: Other,27,1959,0.013782542113323124
N21000031,Three_Mile_Water_E,Economically inactive: Other,26,2520,0.010317460317460317
N21000032,Three_Mile_Water_F,Economically inactive: Other,68,1898,0.03582718651211802
N21000033,Three_Mile_Water_G,Economically inactive: Other,36,2796,0.012875536480686695
N21000034,Three_Mile_Water_H,Economically inactive: Other,37,2269,0.01630674305861613
N21000035,Three_Mile_Water_J,Economically inactive: Other,54,1461,0.03696098562628337
N21000036,Three_Mile_Water_K,Economically inactive: Other,33,2122,0.015551366635249765
N21000037,Macedon_A,Economically inactive: Other,23,1669,0.01378070701018574
N21000038,Macedon_B,Economically inactive: Other,38,2078,0.01828681424446583
