SDZ,Area,Count,Population,Value
N21000324,Court_J,696,9685,0.3593185338151781
N21000325,Court_K,807,8105,0.49784083898827886
N21000326,Court_L,413,6840,0.3019005847953216
N21000327,Court_N,655,8390,0.3903456495828367
N21000328,Court_P,604,7515,0.4018629407850965
N21000329,Court_Q,551,6440,0.4277950310559006
N21000330,Court_R,597,7605,0.39250493096646943
N21000331,Court_S,981,10945,0.4481498401096391
N21000332,Court_T,572,7175,0.3986062717770035
N21000333,Court_U,464,6335,0.36621941594317287
N21000334,Court_W,852,10225,0.4166259168704156
N21000335,Court_X,787,11050,0.3561085972850679
N21000336,Benbradagh_A,906,15025,0.30149750415973375
N21000337,Benbradagh_B,641,9260,0.3461123110151188
N21000338,Benbradagh_C,489,7325,0.3337883959044369
N21000339,Benbradagh_D,878,14875,0.29512605042016804
N21000340,Benbradagh_E,963,16540,0.2911124546553809
N21000341,Benbradagh_F,1086,16730,0.32456664674237895
N21000342,Benbradagh_G,540,9340,0.2890792291220557
N21000343,Limavady_A,1396,14300,0.4881118881118881
N21000344,Limavady_B,611,6140,0.497557003257329
N21000345,Limavady_C,1044,11340,0.4603174603174603
N21000346,Limavady_D,841,16160,0.260210396039604
N21000347,Limavady_E,1290,13695,0.4709748083242059
N21000348,Limavady_F,611,10475,0.2916467780429594
N21000349,Limavady_G,640,9040,0.35398230088495575
N21000350,Bann_A,533,5775,0.4614718614718615
N21000351,Bann_B,948,13915,0.34063959755659357
N21000352,Bann_C,777,12010,0.3234804329725229
N21000353,Bann_D,1135,17645,0.3216208557665061
N21000354,Bann_E,587,9315,0.31508319914117017
N21000355,Bann_F,532,6260,0.4249201277955271
N21000356,Bann_G,735,14285,0.25726286314315716
N21000357,Bann_H,559,8470,0.3299881936245573
N21000358,Coleraine_A,1184,14150,0.4183745583038869
N21000359,Coleraine_B,1118,13645,0.40967387321363136
N21000360,Coleraine_C,847,13120,0.32278963414634143
N21000361,Coleraine_D,583,6440,0.452639751552795
N21000362,Coleraine_E,796,9385,0.42408098028769314
N21000363,Coleraine_F,775,11755,0.3296469587409613
N21000364,Coleraine_G,941,10940,0.43007312614259596
N21000365,Coleraine_H,1199,13875,0.43207207207207204
N21000366,Coleraine_J,936,13965,0.3351235230934479
N21000367,Coleraine_K,570,10855,0.26255181943804695
N21000368,Causeway_A,570,7135,0.3994393833216538
N21000369,Causeway_B,617,6430,0.4797822706065319
N21000370,Causeway_C,540,6235,0.4330392943063352
N21000371,Causeway_D,774,8915,0.43409983174425126
N21000372,Causeway_E,1077,15405,0.3495618305744888
N21000373,Causeway_F,848,10340,0.41005802707930367
N21000374,Causeway_G,1151,13265,0.43384847342630983
N21000375,Causeway_H,1255,15660,0.40070242656449556
N21000376,Causeway_J,722,9995,0.3611805902951476
N21000377,Causeway_K,1108,14925,0.3711892797319933
N21000378,Causeway_L,981,14410,0.34038861901457323
N21000379,The_Glens_A,1050,15775,0.33280507131537246
N21000380,The_Glens_B,1209,13070,0.46250956388676356
N21000381,The_Glens_C,921,13945,0.33022588741484404
N21000382,The_Glens_D,656,9410,0.3485653560042508
N21000383,The_Glens_E,729,9610,0.3792924037460978
N21000384,The_Glens_F,839,15440,0.27169689119170987
N21000385,The_Glens_G,707,10135,0.3487913172175629
N21000386,Ballymoney_A,829,12955,0.3199536858355847
N21000387,Ballymoney_B,778,11875,0.3275789473684211
N21000388,Ballymoney_C,903,11045,0.40878225441376187
N21000389,Ballymoney_D,880,9640,0.45643153526970953
N21000390,Ballymoney_E,883,10940,0.40356489945155394
N21000391,Ballymoney_F,620,11735,0.26416702172986795
N21000392,Ballymoney_G,502,8625,0.2910144927536232
N21000393,Ballymoney_H,877,16185,0.27092987333951185
N21000394,Ballymoney_J,390,6180,0.31553398058252424
N21000395,Ballymoney_K,922,16560,0.2783816425120773
N21000396,Ballymoney_L,441,6850,0.3218978102189781
N21000397,The_Moor_A,1063,12800,0.415234375
N21000398,The_Moor_B,1251,14600,0.4284246575342466
N21000399,The_Moor_C,641,5750,0.5573913043478261
N21000400,The_Moor_D,1166,14610,0.3990417522245038
N21000401,The_Moor_E,659,7825,0.42108626198083066
N21000402,The_Moor_F,1048,11140,0.4703770197486535
N21000403,The_Moor_G,726,8675,0.41844380403458215
N21000404,The_Moor_H,545,10235,0.2662432828529555
N21000405,Foyleside_A,1123,14780,0.37990527740189445
N21000406,Foyleside_B,968,10585,0.45725082664147376
N21000407,Foyleside_C,877,12100,0.362396694214876
N21000408,Foyleside_D,1299,15515,0.41862713503061555
N21000409,Foyleside_E,1147,16830,0.3407605466428996
N21000410,Foyleside_F,706,7720,0.4572538860103627
N21000411,Foyleside_G,830,10315,0.4023267086766844
N21000412,Ballyarnett_A,677,12360,0.2738673139158576
N21000413,Ballyarnett_B,772,11420,0.33800350262697026
N21000414,Ballyarnett_C,333,7350,0.22653061224489796
N21000415,Ballyarnett_D,1001,15220,0.3288436268068331
N21000416,Ballyarnett_E,615,10155,0.30280649926144754
N21000417,Ballyarnett_F,921,10510,0.43815413891531874
N21000418,Ballyarnett_G,1225,14315,0.4278728606356968
