SDZ,Area,Count,Population,Value
N21000694,Slieve_Gullion_A,701,13225,0.2650283553875236
N21000695,Slieve_Gullion_B,620,10420,0.29750479846449135
N21000696,Slieve_Gullion_C,718,14365,0.24991298294465714
N21000697,Slieve_Gullion_D,930,11980,0.38814691151919867
N21000698,Slieve_Gullion_E,1019,13860,0.3676046176046176
N21000699,Slieve_Gullion_F,985,17750,0.2774647887323944
N21000700,Slieve_Gullion_G,796,13805,0.28830134009416875
N21000701,Slieve_Gullion_H,891,15295,0.2912716574043805
N21000702,Slieve_Gullion_J,662,9720,0.3405349794238683
N21000703,Slieve_Gullion_K,885,13615,0.3250091810503122
N21000704,Slieve_Gullion_L,691,11825,0.2921775898520085
N21000705,Slieve_Gullion_N,640,7865,0.406865861411316
N21000706,Newry_A,950,13920,0.34123563218390807
N21000707,Newry_B,623,10965,0.28408572731418147
N21000708,Newry_C,643,7925,0.4056782334384858
N21000709,Newry_D,678,11115,0.3049932523616734
N21000710,Newry_E,847,10820,0.3914048059149723
N21000711,Newry_F,806,11090,0.36339044183949504
N21000712,Newry_G,720,10025,0.35910224438902744
N21000713,Newry_H,688,8000,0.43
N21000714,Newry_J,680,9200,0.3695652173913044
N21000715,Newry_K,603,11250,0.268
N21000716,Newry_L,875,13370,0.32722513089005234
N21000717,Newry_N,749,12015,0.3116937161880982
N21000718,Newry_P,635,9885,0.32119372787051087
N21000719,Crotlieve_A,711,14720,0.24150815217391305
N21000720,Crotlieve_B,673,13925,0.24165170556552962
N21000721,Crotlieve_C,753,15160,0.2483509234828496
N21000722,Crotlieve_D,488,8595,0.28388598022105876
N21000723,Crotlieve_E,590,11315,0.26071586389748125
N21000724,Crotlieve_F,642,12450,0.25783132530120484
N21000725,Crotlieve_G,856,16100,0.2658385093167702
N21000726,Crotlieve_H,955,15590,0.30628608082103914
N21000727,Crotlieve_J,588,8940,0.3288590604026846
N21000728,Crotlieve_K,1094,14025,0.39001782531194296
N21000729,Crotlieve_L,987,12510,0.39448441247002397
N21000730,The_Mournes_A,684,11215,0.30494872938029427
N21000731,The_Mournes_B,825,9425,0.43766578249336874
N21000732,The_Mournes_C,606,7990,0.3792240300375469
N21000733,The_Mournes_D,1103,12370,0.44583670169765566
N21000734,The_Mournes_E,861,11705,0.36779154207603587
N21000735,The_Mournes_F,663,11695,0.2834544677212484
N21000736,The_Mournes_G,1041,17960,0.2898106904231626
N21000737,The_Mournes_H,660,10060,0.32803180914512925
N21000738,The_Mournes_J,608,10490,0.2897998093422307
N21000739,The_Mournes_K,864,14945,0.2890598862495818
N21000740,The_Mournes_L,480,9130,0.2628696604600219
N21000741,The_Mournes_N,828,10765,0.3845796562935439
N21000742,The_Mournes_P,957,13270,0.36058779201205726
N21000743,Slieve_Croob_A,848,13230,0.3204837490551776
N21000744,Slieve_Croob_B,395,6720,0.29389880952380953
N21000745,Slieve_Croob_C,784,14040,0.2792022792022792
N21000746,Slieve_Croob_D,758,15425,0.24570502431118316
N21000747,Slieve_Croob_E,675,13045,0.25871981602146416
N21000748,Slieve_Croob_F,613,9845,0.31132554596241746
N21000749,Slieve_Croob_G,869,13940,0.3116929698708752
N21000750,Slieve_Croob_H,544,7695,0.3534762833008447
N21000751,Slieve_Croob_J,795,12995,0.305886879569065
N21000752,Rowallane_A,466,8365,0.2785415421398685
N21000753,Rowallane_B,645,9575,0.3368146214099217
N21000754,Rowallane_C,764,11430,0.3342082239720035
N21000755,Rowallane_D,766,11395,0.33611232996928475
N21000756,Rowallane_E,795,13830,0.2874186550976139
N21000757,Rowallane_F,946,12985,0.36426646130150175
N21000758,Rowallane_G,973,14700,0.33095238095238094
N21000759,Rowallane_H,995,13935,0.3570147111589523
N21000760,Rowallane_J,618,9985,0.30946419629444166
N21000761,Downpatrick_A,783,13405,0.29205520328235735
N21000762,Downpatrick_B,706,9820,0.3594704684317719
N21000763,Downpatrick_C,945,13755,0.3435114503816794
N21000764,Downpatrick_D,686,11235,0.3052959501557632
N21000765,Downpatrick_E,959,11255,0.42603287427809866
N21000766,Downpatrick_F,501,9880,0.2535425101214575
N21000767,Downpatrick_G,878,11600,0.378448275862069
N21000768,Downpatrick_H,731,11825,0.3090909090909091
N21000769,Downpatrick_J,694,8600,0.40348837209302324
N21000770,Downpatrick_K,567,8205,0.34552102376599636
N21000771,Comber_A,767,10185,0.37653411880216003
N21000772,Comber_B,952,11445,0.41590214067278286
N21000773,Comber_C,941,14015,0.33571173742418836
N21000774,Comber_D,827,12000,0.34458333333333335
N21000775,Comber_E,485,6705,0.3616703952274422
N21000776,Comber_F,1133,16165,0.3504484998453449
N21000777,Comber_G,794,15690,0.25302740599107715
N21000778,Comber_H,704,11230,0.3134461264470169
N21000779,Newtownards_A,837,11590,0.3610871440897325
N21000780,Newtownards_B,551,8840,0.31165158371040724
N21000781,Newtownards_C,637,9960,0.31977911646586343
N21000782,Newtownards_D,428,9805,0.2182559918408975
N21000783,Newtownards_E,545,7010,0.3887303851640514
N21000784,Newtownards_F,612,8985,0.34056761268781305
N21000785,Newtownards_G,789,9960,0.3960843373493976
N21000786,Newtownards_H,668,12215,0.2734343020875972
N21000787,Newtownards_J,729,8190,0.4450549450549451
N21000788,Newtownards_K,494,6745,0.36619718309859156
N21000789,Newtownards_L,536,7005,0.38258386866523914
N21000790,Newtownards_N,825,11550,0.35714285714285715
N21000791,Newtownards_P,677,8060,0.41997518610421836
N21000792,Newtownards_Q,611,8820,0.3463718820861678
N21000793,Newtownards_R,556,6635,0.4189902034664657
N21000794,Newtownards_S,865,11605,0.37268418785006463
N21000795,Holywood_and_Clandeboye_A,613,7735,0.39625080801551393
N21000796,Holywood_and_Clandeboye_B,617,5520,0.5588768115942029
N21000797,Holywood_and_Clandeboye_C,517,6580,0.39285714285714285
N21000798,Holywood_and_Clandeboye_D,703,8650,0.40635838150289016
N21000799,Holywood_and_Clandeboye_E,741,9475,0.39102902374670184
N21000800,Holywood_and_Clandeboye_F,822,11005,0.37346660608814175
N21000801,Holywood_and_Clandeboye_G,360,9860,0.18255578093306288
N21000802,Holywood_and_Clandeboye_H,825,11265,0.36617842876165113
N21000803,Holywood_and_Clandeboye_J,579,9560,0.30282426778242677
N21000804,Holywood_and_Clandeboye_K,774,10995,0.35197817189631647
N21000805,Holywood_and_Clandeboye_L,871,13400,0.325
N21000806,Bangor_West_A,1317,15550,0.4234726688102894
N21000807,Bangor_West_B,550,6175,0.44534412955465585
N21000808,Bangor_West_C,771,9110,0.42316136114160263
N21000809,Bangor_West_D,673,10055,0.33465937344604674
N21000810,Bangor_West_E,771,10615,0.36316533207724916
N21000811,Bangor_West_F,677,10590,0.31964117091595845
N21000812,Bangor_West_G,734,10830,0.33887349953831947
N21000813,Bangor_West_H,928,13160,0.3525835866261398
N21000814,Bangor_West_J,575,11500,0.25
N21000815,Bangor_Central_A,549,7900,0.34746835443037977
N21000816,Bangor_Central_B,941,11330,0.4152691968225949
N21000817,Bangor_Central_C,585,8770,0.33352337514253133
N21000818,Bangor_Central_D,632,7380,0.4281842818428184
N21000819,Bangor_Central_E,762,10630,0.35841956726246477
N21000820,Bangor_Central_F,614,6665,0.46061515378844714
N21000821,Bangor_Central_G,678,8235,0.4116575591985428
N21000822,Bangor_Central_H,592,6980,0.42406876790830944
N21000823,Bangor_Central_J,847,11375,0.3723076923076923
N21000824,Bangor_Central_K,735,10310,0.3564500484966052
N21000825,Bangor_Central_L,708,10625,0.3331764705882353
N21000826,Bangor_Central_N,527,8225,0.3203647416413374
N21000827,Bangor_Central_P,553,11795,0.2344213649851632
N21000828,Bangor_Central_Q,471,12955,0.18178309532998843
N21000829,Bangor_East_and_Donaghadee_A,613,6100,0.5024590163934426
N21000830,Bangor_East_and_Donaghadee_B,1113,13535,0.4111562615441448
N21000831,Bangor_East_and_Donaghadee_C,793,9810,0.4041794087665647
N21000832,Bangor_East_and_Donaghadee_D,486,5890,0.4125636672325976
N21000833,Bangor_East_and_Donaghadee_E,686,7450,0.46040268456375844
N21000834,Bangor_East_and_Donaghadee_F,988,12045,0.41012868410128683
N21000835,Bangor_East_and_Donaghadee_G,939,16010,0.2932542161149282
N21000836,Bangor_East_and_Donaghadee_H,861,16595,0.2594154865923471
N21000837,Bangor_East_and_Donaghadee_J,1034,12005,0.4306538942107455
N21000838,Bangor_East_and_Donaghadee_K,1046,14810,0.35313977042538824
N21000839,Ards_Peninsula_A,883,12745,0.34641035700274614
N21000840,Ards_Peninsula_B,433,7035,0.30774697938877044
N21000841,Ards_Peninsula_C,889,11990,0.3707256046705588
N21000842,Ards_Peninsula_D,1073,14910,0.3598256203890007
N21000843,Ards_Peninsula_E,777,10040,0.38695219123505975
N21000844,Ards_Peninsula_F,726,9610,0.3777315296566077
N21000845,Ards_Peninsula_G,518,7055,0.36711552090715804
N21000846,Ards_Peninsula_H,626,9740,0.3213552361396304
N21000847,Ards_Peninsula_J,801,11400,0.35131578947368425
N21000848,Ards_Peninsula_K,455,6800,0.33455882352941174
N21000849,Ards_Peninsula_L,760,11635,0.32660077352814787
N21000850,Ards_Peninsula_N,956,11860,0.403035413153457
