SDZ,Area,Series,Count,Population,Value
N21000001,Dunsilly_A,No code required,682,3272,0.20843520782396088
N21000002,Dunsilly_B,No code required,509,3132,0.16251596424010217
N21000003,Dunsilly_C,No code required,578,2527,0.22872971903442818
N21000004,Dunsilly_D,No code required,536,2991,0.17920427950518222
N21000005,Dunsilly_E,No code required,484,2160,0.22407407407407406
N21000006,Dunsilly_F,No code required,972,3916,0.24821246169560776
N21000007,Antrim_A,No code required,550,1837,0.2994011976047904
N21000008,Antrim_B,No code required,390,1791,0.21775544388609716
N21000009,Antrim_C,No code required,463,2452,0.18882544861337683
N21000010,Antrim_D,No code required,592,2423,0.2443252166735452
N21000011,Antrim_E,No code required,367,1651,0.22228952150211992
N21000012,Antrim_F,No code required,442,2203,0.20063549704947797
N21000013,Antrim_G,No code required,299,2133,0.1401781528363807
N21000014,Antrim_H,No code required,306,1394,0.21951219512195122
N21000015,Antrim_J,No code required,369,2296,0.16071428571428573
N21000016,Antrim_K,No code required,496,2150,0.23069767441860464
N21000017,Antrim_L,No code required,439,2043,0.21488007831620168
N21000018,Antrim_N,No code required,227,1571,0.14449395289624442
N21000019,Ballyclare_A,No code required,400,2028,0.19723865877712032
N21000020,Ballyclare_B,No code required,662,3014,0.21964167219641673
N21000021,Ballyclare_C,No code required,491,2361,0.20796272765777213
N21000022,Ballyclare_D,No code required,495,2538,0.1950354609929078
N21000023,Ballyclare_E,No code required,555,2936,0.18903269754768393
N21000024,Ballyclare_F,No code required,618,3187,0.19391277063068715
N21000025,Ballyclare_G,No code required,253,1404,0.1801994301994302
N21000026,Ballyclare_H,No code required,322,1600,0.20125
N21000027,Three_Mile_Water_A,No code required,477,2217,0.21515561569688768
N21000028,Three_Mile_Water_B,No code required,178,1359,0.1309786607799853
N21000029,Three_Mile_Water_C,No code required,425,2052,0.2071150097465887
N21000030,Three_Mile_Water_D,No code required,271,1959,0.1383358856559469
N21000031,Three_Mile_Water_E,No code required,453,2520,0.17976190476190476
N21000032,Three_Mile_Water_F,No code required,470,1898,0.2476290832455216
N21000033,Three_Mile_Water_G,No code required,465,2796,0.16630901287553648
N21000034,Three_Mile_Water_H,No code required,399,2269,0.17584839136183342
