date,value,series
1997,4980,Salford
1998,5146,Salford
1999,4941,Salford
2000,5407,Salford
2001,5651,Salford
2002,5991,Salford
2003,6022,Salford
2004,6124,Salford
2005,5840,Salford
2006,7034,Salford
2007,7154,Salford
2008,7086,Salford
2009,7727,Salford
2010,6494,Salford
2011,5932,Salford
2012,7188,Salford
2013,9347,Salford
2014,10639,Salford
2015,13809,Salford
2016,14633,Salford
2017,15490,Salford
1997,4945,Synthetic Salford
1998,5097,Synthetic Salford
1999,4986,Synthetic Salford
2000,5321,Synthetic Salford
2001,5607,Synthetic Salford
2002,6007,Synthetic Salford
2003,5915,Synthetic Salford
2004,6059,Synthetic Salford
2005,6072,Synthetic Salford
2006,6952,Synthetic Salford
2007,7068,Synthetic Salford
2008,7140,Synthetic Salford
2009,7628,Synthetic Salford
2012,7233,Synthetic Salford
2013,7702,Synthetic Salford
2014,8385,Synthetic Salford
2015,7872,Synthetic Salford
2016,8346,Synthetic Salford
2017,8962,Synthetic Salford
