date,value
Feb-Apr 2008,1615745.258
Mar-May 2008,1588979.018
Apr-Jun 2008,1608363.338
May-Jul 2008,1604572.416
Jun-Aug 2008,1613542.227
Jul-Sep 2008,1593139.275
Aug-Oct 2008,1615785.737
Sep-Nov 2008,1641526.316
Oct-Dec 2008,1660445.457
Nov-Jan 2009,1645704.12
Dec-Feb 2009,1659857.488
Jan-Mar 2009,1644717.863
Feb-Apr 2009,1651314.744
Mar-May 2009,1655573.348
Apr-Jun 2009,1656374.738
May-Jul 2009,1672394.081
Jun-Aug 2009,1687612.998
Jul-Sep 2009,1745605.629
Aug-Oct 2009,1801307.214
Sep-Nov 2009,1816873.885
Oct-Dec 2009,1845355.454
Nov-Jan 2010,1870479.386
Dec-Feb 2010,1836810.787
Jan-Mar 2010,1825653.581
Feb-Apr 2010,1818949
Mar-May 2010,1846582.634
Apr-Jun 2010,1872547.597
May-Jul 2010,1846721.048
Jun-Aug 2010,1824172.317
Jul-Sep 2010,1786193.144
Aug-Oct 2010,1781411.075
Sep-Nov 2010,1795806.296
Oct-Dec 2010,1800159.377
Nov-Jan 2011,1806154.301
Dec-Feb 2011,1821702.7
Jan-Mar 2011,1840841.041
Feb-Apr 2011,1867331.718
Mar-May 2011,1852657.774
Apr-Jun 2011,1838876.293
May-Jul 2011,1814415.664
Jun-Aug 2011,1815367.441
Jul-Sep 2011,1855794.808
Aug-Oct 2011,1880919.397
Sep-Nov 2011,1890254.84
Oct-Dec 2011,1898855.116
Nov-Jan 2012,1918062.167
Dec-Feb 2012,1916411.904
Jan-Mar 2012,1925201.978
Feb-Apr 2012,1897265.469
Mar-May 2012,1850074.308
Apr-Jun 2012,1865611.092
May-Jul 2012,1847643.757
Jun-Aug 2012,1895240.188
Jul-Sep 2012,1898645.147
Aug-Oct 2012,1878074.197
Sep-Nov 2012,1840001.596
Oct-Dec 2012,1835255.019
Nov-Jan 2013,1849073.466
Dec-Feb 2013,1868064.121
Jan-Mar 2013,1871281.574
Feb-Apr 2013,1881594.935
Mar-May 2013,1917990.838
Apr-Jun 2013,1929210.068
May-Jul 2013,1904178.68
Jun-Aug 2013,1865123.998
Jul-Sep 2013,1836458.276
Aug-Oct 2013,1862744.376
Sep-Nov 2013,1862855.127
Oct-Dec 2013,1857364.122
Nov-Jan 2014,1864256.578
Dec-Feb 2014,1858144.711
Jan-Mar 2014,1891772.654
Feb-Apr 2014,1868390.487
Mar-May 2014,1865137.933
Apr-Jun 2014,1857743.016
May-Jul 2014,1876543.305
Jun-Aug 2014,1871404.769
Jul-Sep 2014,1876274.527
Aug-Oct 2014,1860288.045
Sep-Nov 2014,1876630.871
Oct-Dec 2014,1873722.212
Nov-Jan 2015,1853292.883
Dec-Feb 2015,1858082.195
Jan-Mar 2015,1866287.027
Feb-Apr 2015,1869060.066
Mar-May 2015,1872932.99
Apr-Jun 2015,1885398.759
May-Jul 2015,1894565.238
Jun-Aug 2015,1893574.615
Jul-Sep 2015,1892688.306
Aug-Oct 2015,1904446.306
Sep-Nov 2015,1905795.634
Oct-Dec 2015,1912703.101
Nov-Jan 2016,1909408.018
Dec-Feb 2016,1892160.419
Jan-Mar 2016,1885112.657
Feb-Apr 2016,1926896.583
Mar-May 2016,1903347.599
Apr-Jun 2016,1897708.344
May-Jul 2016,1874800.75
Jun-Aug 2016,1889294.906
Jul-Sep 2016,1868761.259
Aug-Oct 2016,1865518.625
