date,value,month,year
Mar 1992,984,Mar,1992
Apr 1992,999,Apr,1992
May 1992,"1,012",May,1992
Jun 1992,"1,035",Jun,1992
Jul 1992,"1,109",Jul,1992
Aug 1992,"1,077",Aug,1992
Sep 1992,"1,044",Sep,1992
Oct 1992,"1,016",Oct,1992
Nov 1993,"1,022",Nov,1993
Dec 1993,"1,013",Dec,1993
Jan 1993,"1,007",Jan,1993
Feb 1993,"1,001",Feb,1993
Mar 1993,980,Mar,1993
Apr 1993,"1,000",Apr,1993
May 1993,"1,028",May,1993
Jun 1993,"1,070",Jun,1993
Jul 1993,"1,090",Jul,1993
Aug 1993,"1,107",Aug,1993
Sep 1993,"1,104",Sep,1993
Oct 1993,"1,103",Oct,1993
Nov 1994,"1,100",Nov,1994
Dec 1994,"1,100",Dec,1994
Jan 1994,"1,113",Jan,1994
Feb 1994,"1,120",Feb,1994
Mar 1994,"1,144",Mar,1994
Apr 1994,"1,152",Apr,1994
May 1994,"1,122",May,1994
Jun 1994,"1,082",Jun,1994
Jul 1994,"1,103",Jul,1994
Aug 1994,"1,109",Aug,1994
Sep 1994,"1,134",Sep,1994
Oct 1994,"1,134",Oct,1994
Nov 1995,"1,146",Nov,1995
Dec 1995,"1,153",Dec,1995
Jan 1995,"1,152",Jan,1995
Feb 1995,"1,162",Feb,1995
Mar 1995,"1,171",Mar,1995
Apr 1995,"1,193",Apr,1995
May 1995,"1,160",May,1995
Jun 1995,"1,108",Jun,1995
Jul 1995,"1,111",Jul,1995
Aug 1995,"1,098",Aug,1995
Sep 1995,"1,114",Sep,1995
Oct 1995,"1,129",Oct,1995
Nov 1996,"1,132",Nov,1996
Dec 1996,"1,137",Dec,1996
Jan 1996,"1,147",Jan,1996
Feb 1996,"1,139",Feb,1996
Mar 1996,"1,140",Mar,1996
Apr 1996,"1,137",Apr,1996
May 1996,"1,150",May,1996
Jun 1996,"1,137",Jun,1996
Jul 1996,"1,133",Jul,1996
Aug 1996,"1,116",Aug,1996
Sep 1996,"1,106",Sep,1996
Oct 1996,"1,124",Oct,1996
Nov 1997,"1,134",Nov,1997
Dec 1997,"1,147",Dec,1997
Jan 1997,"1,137",Jan,1997
Feb 1997,"1,143",Feb,1997
Mar 1997,"1,135",Mar,1997
Apr 1997,"1,156",Apr,1997
May 1997,"1,157",May,1997
Jun 1997,"1,191",Jun,1997
Jul 1997,"1,210",Jul,1997
Aug 1997,"1,213",Aug,1997
Sep 1997,"1,207",Sep,1997
Oct 1997,"1,203",Oct,1997
Nov 1998,"1,199",Nov,1998
Dec 1998,"1,195",Dec,1998
Jan 1998,"1,208",Jan,1998
Feb 1998,"1,212",Feb,1998
Mar 1998,"1,204",Mar,1998
Apr 1998,"1,218",Apr,1998
May 1998,"1,219",May,1998
Jun 1998,"1,229",Jun,1998
Jul 1998,"1,265",Jul,1998
Aug 1998,"1,285",Aug,1998
Sep 1998,"1,267",Sep,1998
Oct 1998,"1,276",Oct,1998
Nov 1999,"1,284",Nov,1999
Dec 1999,"1,268",Dec,1999
Jan 1999,"1,269",Jan,1999
Feb 1999,"1,272",Feb,1999
Mar 1999,"1,278",Mar,1999
Apr 1999,"1,272",Apr,1999
May 1999,"1,248",May,1999
Jun 1999,"1,262",Jun,1999
Jul 1999,"1,256",Jul,1999
Aug 1999,"1,248",Aug,1999
Sep 1999,"1,240",Sep,1999
Oct 1999,"1,222",Oct,1999
Nov 2000,"1,219",Nov,2000
Dec 2000,"1,226",Dec,2000
Jan 2000,"1,230",Jan,2000
Feb 2000,"1,234",Feb,2000
