"Sector","Year","Market Share"
"Vehicles",1995,0.0000035645059826921435
"Services",1995,0.00022728015168056915
"Agriculture",1995,0.0008528464196681704
"Machinery",1995,0.00002782699189214754
"Textiles",1995,0.0007720838995194832
"Minerals",1995,0.000005733975599702973
"Electronics",1995,0.00008886230885585932
"Chemicals",1995,0.00019837085259813325
"Metals",1995,0.00015551325600666625
"Stone",1995,0.000018201254461299034
"Electronics",1996,0.00008400778478007583
"Chemicals",1996,0.00023446329788081961
"Machinery",1996,0.000030841780950165164
"Minerals",1996,0.0000714211833833683
"Stone",1996,0.000020311956043575065
"Vehicles",1996,0.0001605706818963572
"Services",1996,0.0002653560966938215
"Metals",1996,0.0001578989137346323
"Textiles",1996,0.0008306662597138952
"Agriculture",1996,0.0008732923607963724
"Electronics",1997,0.00008078375624815113
"Stone",1997,0.000041218977086510216
"Agriculture",1997,0.001108138990595026
"Metals",1997,0.0001919797717617231
"Textiles",1997,0.002270222867826792
"Minerals",1997,0.00007751218358686037
"Chemicals",1997,0.000232606914194671
"Vehicles",1997,0.000005117274052266711
"Services",1997,0.0003128723367204516
"Machinery",1997,0.000029491376766737898
"Vehicles",1998,0.000007431420096370926
"Minerals",1998,0.00015468900471630732
"Textiles",1998,0.0009273163548655281
"Metals",1998,0.00026505841803574755
"Chemicals",1998,0.0003225207854400107
"Services",1998,0.00036724493929184474
"Machinery",1998,0.00004189233689731922
"Agriculture",1998,0.0010115690899776735
"Electronics",1998,0.00007997823368089457
"Stone",1998,0.00003661860232340238
"Agriculture",1999,0.0008968484190616944
"Machinery",1999,0.000037709848501402685
"Services",1999,0.00037448766333753855
"Textiles",1999,0.001256519644925757
"Vehicles",1999,0.000011050277791958305
"Electronics",1999,0.00007006961164859155
"Chemicals",1999,0.0002927772963077736
"Minerals",1999,0.0001282335527486914
"Metals",1999,0.0002741294777536558
"Stone",1999,0.00008162574939706675
"Metals",2000,0.00025300429841842287
"Textiles",2000,0.001723081348169944
"Vehicles",2000,0.00010096035293468001
"Stone",2000,0.000047058993887905443
"Machinery",2000,0.000035069721294728636
"Minerals",2000,0.00006059547187360195
"Agriculture",2000,0.0008235950923039401
"Services",2000,0.0003924783220535516
"Electronics",2000,0.0001236379940028248
"Chemicals",2000,0.00025750729799708
"Services",2001,0.00040526856562597355
"Agriculture",2001,0.0006654123286549585
"Minerals",2001,0.00005756596758244925
"Machinery",2001,0.00004088457077596778
"Metals",2001,0.0002807027224666566
"Chemicals",2001,0.00027394396815065753
"Vehicles",2001,0.000005695529888619857
"Stone",2001,0.00006880975005645436
"Electronics",2001,0.00012884093681939346
"Textiles",2001,0.0021232069652935624
"Services",2002,0.000389818141575378
"Metals",2002,0.00029137728225284956
"Electronics",2002,0.00010112643609233888
"Machinery",2002,0.000043438196924348816
"Chemicals",2002,0.00025141413288261094
"Stone",2002,0.00007779666632889867
"Textiles",2002,0.002172449509047765
"Agriculture",2002,0.0006383206304930767
"Minerals",2002,0.00011091424848635038
"Vehicles",2002,0.000004994637224106871
"Vehicles",2003,0.000004080659959282706
"Textiles",2003,0.0019334252167278658
"Services",2003,0.000397897690496798
"Electronics",2003,0.00010401023862515059
"Metals",2003,0.00025952641863328586
"Chemicals",2003,0.00020441371091507187
"Agriculture",2003,0.0005920823037213172
"Stone",2003,0.00003583516869067795
"Machinery",2003,0.00007521977599299088
"Minerals",2003,0.00008525918816692181
"Minerals",2004,0.00006985690163546618
"Electronics",2004,0.00011880913266681896
"Metals",2004,0.000231496168592576
"Stone",2004,0.000038514820115709126
"Machinery",2004,0.000042746627570521815
"Chemicals",2004,0.00018949645855678569
"Agriculture",2004,0.0005597768285435818
"Textiles",2004,0.0018024347554733572
"Vehicles",2004,0.000007095685024182246
"Services",2004,0.00032539278325325406
"Stone",2005,0.00004537998416964186
"Electronics",2005,0.00015528096205116054
"Vehicles",2005,0.000006392756069003329
"Machinery",2005,0.00003867966993558742
"Metals",2005,0.00022381793810073226
"Chemicals",2005,0.00019298270008660315
"Minerals",2005,0.00004902419679710846
"Agriculture",2005,0.0007082787172088709
"Textiles",2005,0.0023594256768325332
"Services",2005,0.00028677085032810073
"Chemicals",2006,0.00017410642868607963
"Electronics",2006,0.0001457216314747646
"Textiles",2006,0.0021705342543017806
"Minerals",2006,0.00005573632240370572
"Stone",2006,0.00006187546589442068
"Machinery",2006,0.00003175863187089229
"Metals",2006,0.00018525388780508704
"Services",2006,0.00026198865092815795
"Vehicles",2006,0.000011784345365195805
"Agriculture",2006,0.0007575301703250475
"Chemicals",2007,0.00020340632928587862
"Minerals",2007,0.00006800735070371265
"Vehicles",2007,0.000005974173264407087
"Electronics",2007,0.00015460058928991145
"Textiles",2007,0.002120882681275363
"Services",2007,0.00022606880280063866
"Agriculture",2007,0.0008097565921202705
"Stone",2007,0.0000798696273115259
"Metals",2007,0.00020510826297034422
"Machinery",2007,0.000028635978855548046
"Metals",2008,0.00022637665173939217
"Electronics",2008,0.00014105796979440444
"Textiles",2008,0.002183432663623858
"Vehicles",2008,0.00000732626567770254
"Agriculture",2008,0.0008573259785685794
"Services",2008,0.00019733549384801154
"Machinery",2008,0.000033176346383865725
"Stone",2008,0.00010512194911617835
"Chemicals",2008,0.00022936151729393967
"Minerals",2008,0.00006824435102092006
"Stone",2009,0.00021239989299764105
"Agriculture",2009,0.0008140976984383009
"Electronics",2009,0.00013418727314139128
"Textiles",2009,0.002086492030029455
"Vehicles",2009,0.000005518779784060767
"Minerals",2009,0.00006076171761984315
"Services",2009,0.00018512976662479053
