"Sector","Year","Market Share"
"Metals",2009,0.0002005841528698351
"Machinery",2009,0.0000309622172619457
"Chemicals",2009,0.00022408552958189573
"Machinery",2010,0.00003331434024682101
"Metals",2010,0.00020966921936357245
"Services",2010,0.00019575630223196388
"Minerals",2010,0.00005147941392705075
"Textiles",2010,0.0022379151022490456
"Electronics",2010,0.00017051686298884004
"Chemicals",2010,0.0002303219242961098
"Vehicles",2010,0.000006246419653365664
"Agriculture",2010,0.0007424357894048938
"Stone",2010,0.00023692564991472552
"Agriculture",2011,0.0008825583059470653
"Stone",2011,0.0001858332233685821
"Electronics",2011,0.00016463733859814743
"Metals",2011,0.00022194905947842773
"Chemicals",2011,0.0002211173919884493
"Minerals",2011,0.00005146659844781532
"Textiles",2011,0.0021060489011977914
"Vehicles",2011,0.000009162576103608852
"Machinery",2011,0.000029322204100361057
"Services",2011,0.00019030680274876972
"Metals",2012,0.00022430045465231054
"Machinery",2012,0.000029457348671016704
"Agriculture",2012,0.0007890992328513102
"Chemicals",2012,0.00023704598990003278
"Minerals",2012,0.00004702004609422379
"Electronics",2012,0.00013353650560202532
"Vehicles",2012,0.0000067878682988883426
"Services",2012,0.00021048076206059446
"Stone",2012,0.00009598592719536008
"Textiles",2012,0.0018482500975063143
"Minerals",2013,0.000046257316155386235
"Textiles",2013,0.0022239815952021765
"Agriculture",2013,0.0008208935557455292
"Chemicals",2013,0.0002616492177462359
"Machinery",2013,0.00003096893459093707
"Metals",2013,0.00025271964762345
"Stone",2013,0.00008299311497262332
"Services",2013,0.00022599735157947495
"Vehicles",2013,0.000012448866872227382
"Electronics",2013,0.00015672943999337405
"Agriculture",2014,0.0006655694155726048
"Minerals",2014,0.000049234420038315283
"Chemicals",2014,0.0002508140617992215
"Services",2014,0.00022890616059683986
"Machinery",2014,0.000030835398159257035
"Metals",2014,0.0002107268499404103
"Stone",2014,0.00008213945858037252
"Electronics",2014,0.00015971028290311332
"Textiles",2014,0.0020970427222159176
"Vehicles",2014,0.000009254993595743948
"Machinery",2015,0.000036510260164825977
"Agriculture",2015,0.000772067276023894
"Electronics",2015,0.000152636695957783
"Vehicles",2015,0.000010682006693771416
"Textiles",2015,0.002389326407956977
"Services",2015,0.00025562924702548655
"Metals",2015,0.00025280897209919463
"Minerals",2015,0.0000685658258072848
"Stone",2015,0.00007454060894739204
"Chemicals",2015,0.00030442589953444193
"Machinery",2016,0.00003658605171772811
"Stone",2016,0.000075294242177974
"Minerals",2016,0.00010922992890605844
"Vehicles",2016,0.000010614636867377635
"Metals",2016,0.00025853170427512763
"Services",2016,0.0002598443011972351
"Textiles",2016,0.0024066632970302726
"Chemicals",2016,0.0003068752250701554
"Agriculture",2016,0.0007148313409269227
"Electronics",2016,0.00017804279624829717
"Minerals",2017,0.00010122012844358794
"Vehicles",2017,0.00002028928262831457
"Electronics",2017,0.0002080621800367717
"Textiles",2017,0.0023240254615451528
"Metals",2017,0.0002490653318658127
"Services",2017,0.00023985722349902677
"Agriculture",2017,0.000752861882203946
"Chemicals",2017,0.00029767830935049347
"Machinery",2017,0.00003378637347699288
"Stone",2017,0.00007902428062264896
"Textiles",2018,0.0022684138909588487
"Stone",2018,0.0000711825902727526
"Agriculture",2018,0.0006840045153934988
"Machinery",2018,0.000029591828394422325
"Chemicals",2018,0.0002692693183315649
"Minerals",2018,0.00008991288252702676
"Electronics",2018,0.00023323525007008455
"Vehicles",2018,0.000009529345558518164
"Metals",2018,0.0002562219710905936
"Services",2018,0.00024326026271237328
"Minerals",2019,0.00009051500632734075
"Textiles",2019,0.002242306731700814
"Agriculture",2019,0.0007484768460527056
"Vehicles",2019,0.000007923297978277984
"Services",2019,0.00027487461281249295
"Electronics",2019,0.00018044733430294067
"Metals",2019,0.0002476613708314501
"Stone",2019,0.00008668804729448539
"Machinery",2019,0.000029225685917450956
"Chemicals",2019,0.0003025736611244753
"Services",2020,0.00021848983822811963
"Agriculture",2020,0.0006637866924091211
"Textiles",2020,0.0017414790093115686
"Electronics",2020,0.00015223002977546627
"Stone",2020,0.00008391826730939384
"Metals",2020,0.00021414079593574142
"Vehicles",2020,0.000020182917661111373
"Chemicals",2020,0.00028571853258878304
"Minerals",2020,0.00010254287038275013
"Machinery",2020,0.000025611639267171607
"Agriculture",2021,0.0006664800977149916
"Chemicals",2021,0.00028981298864355843
"Machinery",2021,0.00002711381547987462
"Metals",2021,0.00021969529358671335
"Minerals",2021,0.00009956074100396503
"Stone",2021,0.000080692761387755
"Vehicles",2021,0.0000114067675419566
"Textiles",2021,0.0020523025537095307
"Services",2021,0.00026237280161546766
"Electronics",2021,0.00015313657814400056
"Services",2022,0.00031576459542793564
"Metals",2022,0.0002207191799639011
"Minerals",2022,0.00009003995098957342
"Machinery",2022,0.00002661509331886163
"Textiles",2022,0.0018530483936273453
"Chemicals",2022,0.00031373094262192964
"Stone",2022,0.00005484134172375205
"Vehicles",2022,0.000022914825027211744
"Agriculture",2022,0.0006926190801921694
"Electronics",2022,0.00015453253237578688
"Stone",2023,0.000042307055878911266
"Agriculture",2023,0.0007070639238338054
"Vehicles",2023,0.000009088929196214652
"Textiles",2023,0.001644578218468411
"Services",2023,0.0003355142443657984
"Machinery",2023,0.00002694698537515576
"Metals",2023,0.00025763756498218285
"Electronics",2023,0.00013441510016100653
"Minerals",2023,0.00011095456394059539
"Chemicals",2023,0.0002964943213647736
"Chemicals",2024,0.0003053734303853907
"Machinery",2024,0.00003209319677365886
"Minerals",2024,0.00011012906507631398
"Metals",2024,0.00025282650551817246
"Agriculture",2024,0.0007290879663970993
"Electronics",2024,0.00014264392290203214
"Stone",2024,0.000056302098630206064
"Textiles",2024,0.0015666241577588433
"Vehicles",2024,0.000011971989621275626
"Services",2024,0.00036253816732782524
