Date,Index,Growth
2015-05-01,92.1,-0.1
2015-06-01,92.0,-0.2
2015-07-01,92.3,0.3
2015-08-01,92.3,0
2015-09-01,92.6,0.3
2015-10-01,93.0,0.5
2015-11-01,93.0,0
2015-12-01,93.1,0.1
2016-01-01,93.1,0
2016-02-01,93.4,0.3
2016-03-01,93.7,0.3
2016-04-01,94.2,0.6
2016-05-01,94.0,-0.3
2016-06-01,94.2,0.2
2016-07-01,94.6,0.4
2016-08-01,94.6,0.1
2016-09-01,94.9,0.3
2016-10-01,95.1,0.1
2016-11-01,95.3,0.3
2016-12-01,95.4,0.1
2017-01-01,95.8,0.5
2017-02-01,95.9,0.1
2017-03-01,96.0,0.1
2017-04-01,96.2,0.3
2017-05-01,96.5,0.3
2017-06-01,96.6,0.1
2017-07-01,96.7,0.1
2017-08-01,97.0,0.3
2017-09-01,97.5,0.5
2017-10-01,97.5,0
2017-11-01,97.8,0.3
2017-12-01,97.4,-0.4
2018-01-01,97.4,0
2018-02-01,97.4,0.1
2018-03-01,97.9,0.5
2018-04-01,97.7,-0.2
2018-05-01,98.1,0.4
2018-06-01,98.3,0.2
2018-07-01,98.5,0.2
2018-08-01,98.7,0.2
2018-09-01,98.8,0.1
2018-10-01,98.7,-0.1
2018-11-01,99.1,0.4
2018-12-01,99.0,-0.1
2019-01-01,99.3,0.2
2019-02-01,99.7,0.4
2019-03-01,99.7,0
2019-04-01,99.3,-0.4
2019-05-01,99.6,0.4
2019-06-01,99.9,0.3
2019-07-01,100.3,0.4
2019-08-01,100.3,0
2019-09-01,100.7,0.4
2019-10-01,100.5,-0.1
2019-11-01,100.3,-0.2
2019-12-01,100.4,0
2020-01-01,100.7,0.3
2020-02-01,100.2,-0.5
2020-03-01,93.1,-7
2020-04-01,73.7,-20.9
2020-05-01,76.0,3.2
2020-06-01,82.8,9
2020-07-01,88.9,7.4
2020-08-01,90.8,2
2020-09-01,91.8,1.1
2020-10-01,92.3,0.6
2020-11-01,90.7,-1.8
2020-12-01,92.3,1.8
2021-01-01,89.6,-2.9
2021-02-01,90.2,0.7
2021-03-01,92.2,2.3
2021-04-01,95.1,3.1
2021-05-01,96.3,1.3
2021-06-01,97.3,1
2021-07-01,97.2,-0.2
2021-08-01,98.0,0.9
2021-09-01,98.6,0.6
2021-10-01,98.7,0.1
2021-11-01,99.7,1
2021-12-01,99.8,0.1
2022-01-01,100.0,0.2
2022-02-01,99.9,-0.1
2022-03-01,100.0,0.1
2022-04-01,100.0,0
2022-05-01,100.8,0.8
2022-06-01,100.0,-0.7
2022-07-01,100.4,0.4
2022-08-01,100.4,0
2022-09-01,99.7,-0.7
2022-10-01,100.4,0.7
2022-11-01,100.5,0.2
2022-12-01,100.0,-0.5
2023-01-01,100.5,0.4
2023-02-01,100.5,0.1
2023-03-01,100.3,-0.2
2023-04-01,100.5,0.2
2023-05-01,100.4,-0.1
