Date,Index,Growth
2007-01-01,84.0,0.3
2007-02-01,84.6,0.7
2007-03-01,84.9,0.4
2007-04-01,84.9,0
2007-05-01,85.0,0.2
2007-06-01,85.0,0
2007-07-01,85.1,0.1
2007-08-01,85.8,0.8
2007-09-01,85.8,0
2007-10-01,85.6,-0.2
2007-11-01,86.2,0.7
2007-12-01,86.6,0.5
2008-01-01,86.8,0.3
2008-02-01,86.9,0.1
2008-03-01,86.4,-0.6
2008-04-01,87.0,0.7
2008-05-01,86.3,-0.9
2008-06-01,86.1,-0.2
2008-07-01,85.4,-0.8
2008-08-01,85.3,-0.1
2008-09-01,84.4,-1.1
2008-10-01,83.7,-0.8
2008-11-01,82.9,-1
2008-12-01,82.7,-0.2
2009-01-01,82.0,-0.8
2009-02-01,81.7,-0.3
2009-03-01,80.9,-1
2009-04-01,81.8,1.1
2009-05-01,80.8,-1.2
2009-06-01,81.0,0.2
2009-07-01,81.6,0.7
2009-08-01,81.2,-0.5
2009-09-01,81.6,0.5
2009-10-01,81.6,0.1
2009-11-01,81.7,0
2009-12-01,82.0,0.5
2010-01-01,81.4,-0.8
2010-02-01,82.8,1.7
2010-03-01,83.4,0.8
2010-04-01,83.3,-0.2
2010-05-01,83.6,0.4
2010-06-01,83.8,0.2
2010-07-01,83.9,0.1
2010-08-01,84.1,0.3
2010-09-01,84.3,0.2
2010-10-01,84.6,0.4
2010-11-01,84.4,-0.3
2010-12-01,83.6,-0.9
2011-01-01,83.9,0.5
2011-02-01,84.3,0.5
2011-03-01,84.5,0.2
2011-04-01,83.8,-0.9
2011-05-01,84.7,1
2011-06-01,84.7,0
2011-07-01,84.8,0.2
2011-08-01,84.5,-0.4
2011-09-01,84.8,0.3
2011-10-01,84.0,-0.8
2011-11-01,85.0,1.1
2011-12-01,85.6,0.7
2012-01-01,85.9,0.3
2012-02-01,85.2,-0.8
2012-03-01,85.7,0.6
2012-04-01,85.1,-0.7
2012-05-01,86.3,1.5
2012-06-01,85.2,-1.4
2012-07-01,86.6,1.7
2012-08-01,87.0,0.5
2012-09-01,85.9,-1.3
2012-10-01,86.2,0.4
2012-11-01,86.4,0.2
2012-12-01,86.3,-0.2
2013-01-01,86.2,-0.1
2013-02-01,86.9,0.9
2013-03-01,86.9,0
2013-04-01,86.8,-0.1
2013-05-01,87.2,0.4
2013-06-01,87.3,0.2
2013-07-01,87.7,0.4
2013-08-01,87.9,0.2
2013-09-01,87.9,0
2013-10-01,88.5,0.6
2013-11-01,88.4,0
2013-12-01,88.0,-0.5
2014-01-01,88.3,0.3
2014-02-01,89.1,1
2014-03-01,89.8,0.8
2014-04-01,89.8,0
2014-05-01,90.1,0.2
2014-06-01,90.2,0.2
2014-07-01,90.7,0.5
2014-08-01,90.6,-0.1
2014-09-01,91.0,0.5
2014-10-01,91.2,0.2
2014-11-01,91.2,0
2014-12-01,91.6,0.5
2015-01-01,91.3,-0.3
2015-02-01,91.6,0.3
2015-03-01,91.8,0.3
2015-04-01,92.3,0.5
