Date,Series,Value
2015-01-01,Level,91.3
2015-02-01,Level,91.6
2015-03-01,Level,91.8
2015-04-01,Level,92.3
2015-05-01,Level,92.1
2015-06-01,Level,92
2015-07-01,Level,92.3
2015-08-01,Level,92.3
2015-09-01,Level,92.6
2015-10-01,Level,93
2015-11-01,Level,93
2015-12-01,Level,93.1
2016-01-01,Level,93.1
2016-02-01,Level,93.4
2016-03-01,Level,93.7
2016-04-01,Level,94.2
2016-05-01,Level,94
2016-06-01,Level,94.2
2016-07-01,Level,94.6
2016-08-01,Level,94.6
2016-09-01,Level,94.9
2016-10-01,Level,95.1
2016-11-01,Level,95.3
2016-12-01,Level,95.4
2017-01-01,Level,95.8
2017-02-01,Level,95.9
2017-03-01,Level,96
2017-04-01,Level,96.2
2017-05-01,Level,96.5
2017-06-01,Level,96.6
2017-07-01,Level,96.7
2017-08-01,Level,97
2017-09-01,Level,97.5
2017-10-01,Level,97.5
2017-11-01,Level,97.8
2017-12-01,Level,97.4
2018-01-01,Level,97.4
2018-02-01,Level,97.4
2018-03-01,Level,97.9
2018-04-01,Level,97.7
2018-05-01,Level,98.1
2018-06-01,Level,98.3
2018-07-01,Level,98.5
2018-08-01,Level,98.7
2018-09-01,Level,98.8
2018-10-01,Level,98.7
2018-11-01,Level,99.1
2018-12-01,Level,99
2019-01-01,Level,99.3
2019-02-01,Level,99.7
2019-03-01,Level,99.7
2019-04-01,Level,99.3
2019-05-01,Level,99.6
2019-06-01,Level,99.9
2019-07-01,Level,100.3
2019-08-01,Level,100.3
2019-09-01,Level,100.7
2019-10-01,Level,100.5
2019-11-01,Level,100.3
2019-12-01,Level,100.4
2020-01-01,Level,100.7
2020-02-01,Level,100.2
2020-03-01,Level,93.1
2020-04-01,Level,73.7
2020-05-01,Level,76
2020-06-01,Level,82.8
2020-07-01,Level,88.9
2020-08-01,Level,90.8
2020-09-01,Level,91.8
2020-10-01,Level,92.3
2020-11-01,Level,90.7
2020-12-01,Level,92.3
2021-01-01,Level,89.6
2021-02-01,Level,90.2
2021-03-01,Level,92.2
2021-04-01,Level,95.1
2021-05-01,Level,96.3
2021-06-01,Level,97.3
2021-07-01,Level,97.2
2021-08-01,Level,98
2021-09-01,Level,98.6
2021-10-01,Level,98.7
2021-11-01,Level,99.7
2021-12-01,Level,99.8
2022-01-01,Level,100
2022-02-01,Level,99.9
2022-03-01,Level,100
2022-04-01,Level,100
2022-05-01,Level,100.8
2022-06-01,Level,100
2022-07-01,Level,100.4
2022-08-01,Level,100.4
2022-09-01,Level,99.7
2022-10-01,Level,100.4
2022-11-01,Level,100.5
2022-12-01,Level,100
2023-01-01,Level,100.5
2023-02-01,Level,100.5
2023-03-01,Level,100.3
2023-04-01,Level,100.5
2023-05-01,Level,100.4
2023-06-01,Level,101
2019-01-01,Growth,0.2
2019-02-01,Growth,0.4
2019-03-01,Growth,0.0
2019-04-01,Growth,-0.4
2019-05-01,Growth,0.4
2019-06-01,Growth,0.3
2019-07-01,Growth,0.4
2019-08-01,Growth,0.0
2019-09-01,Growth,0.4
2019-10-01,Growth,-0.1
2019-11-01,Growth,-0.2
2019-12-01,Growth,0.0
2020-01-01,Growth,0.3
2020-02-01,Growth,-0.5
2020-03-01,Growth,-7.0
2020-04-01,Growth,-20.9
2020-05-01,Growth,3.2
2020-06-01,Growth,9.0
2020-07-01,Growth,7.4
2020-08-01,Growth,2.0
2020-09-01,Growth,1.1
2020-10-01,Growth,0.6
2020-11-01,Growth,-1.8
2020-12-01,Growth,1.8
2021-01-01,Growth,-2.9
2021-02-01,Growth,0.7
2021-03-01,Growth,2.3
2021-04-01,Growth,3.1
2021-05-01,Growth,1.3
2021-06-01,Growth,1.0
2021-07-01,Growth,-0.2
2021-08-01,Growth,0.9
2021-09-01,Growth,0.6
2021-10-01,Growth,0.1
2021-11-01,Growth,1.0
2021-12-01,Growth,0.1
2022-01-01,Growth,0.2
2022-02-01,Growth,-0.1
2022-03-01,Growth,0.1
2022-04-01,Growth,0.0
2022-05-01,Growth,0.8
2022-06-01,Growth,-0.7
2022-07-01,Growth,0.4
2022-08-01,Growth,0.0
2022-09-01,Growth,-0.7
2022-10-01,Growth,0.7
2022-11-01,Growth,0.2
2022-12-01,Growth,-0.5
2023-01-01,Growth,0.4
2023-02-01,Growth,0.1
2023-03-01,Growth,-0.2
2023-04-01,Growth,0.2
2023-05-01,Growth,-0.1
2023-06-01,Growth,0.5
