Date,Series,Value,
2023-07-01,Inflation,3.20%,
2023-06-01,Inflation,3.00%,
2023-05-01,Inflation,4.00%,
2023-04-01,Inflation,4.90%,
2023-03-01,Inflation,5.00%,
2023-02-01,Inflation,6.00%,
2023-01-01,Inflation,6.40%,
2022-12-01,Inflation,6.50%,
2022-11-01,Inflation,7.10%,
2022-10-01,Inflation,7.70%,
2022-09-01,Inflation,8.20%,
2022-08-01,Inflation,8.30%,
2022-07-01,Inflation,8.50%,
2022-06-01,Inflation,9.10%,
2022-05-01,Inflation,8.60%,
2022-04-01,Inflation,8.30%,
2022-03-01,Inflation,8.50%,
2022-02-01,Inflation,7.90%,
2022-01-01,Inflation,7.50%,
2021-12-01,Inflation,7.00%,
2021-11-01,Inflation,6.80%,
2021-10-01,Inflation,6.20%,
2021-09-01,Inflation,5.40%,
2021-08-01,Inflation,5.30%,
2021-07-01,Inflation,5.40%,
2021-06-01,Inflation,5.40%,
2021-05-01,Inflation,5.00%,
2021-04-01,Inflation,4.20%,
2021-03-01,Inflation,2.60%,
2021-02-01,Inflation,1.70%,
2021-01-01,Inflation,1.40%,
2020-12-01,Inflation,1.40%,
2020-11-01,Inflation,1.20%,
2020-10-01,Inflation,1.20%,
2020-09-01,Inflation,1.40%,
2020-08-01,Inflation,1.30%,
2020-07-01,Inflation,1.00%,
2020-06-01,Inflation,0.60%,
2020-05-01,Inflation,0.10%,
2020-04-01,Inflation,0.30%,
2020-03-01,Inflation,1.50%,
2020-02-01,Inflation,2.30%,
