id,date,value,country,iso3
AL,2000-01-01,1700.0,Albania,ALB
AL,2001-01-01,1850.0,Albania,ALB
AL,2002-01-01,1940.0,Albania,ALB
AL,2003-01-01,2060.0,Albania,ALB
AL,2004-01-01,2180.0,Albania,ALB
AL,2005-01-01,2310.0,Albania,ALB
AL,2006-01-01,2460.0,Albania,ALB
AL,2007-01-01,2630.0,Albania,ALB
AL,2008-01-01,2850.0,Albania,ALB
AL,2009-01-01,2960.0,Albania,ALB
AL,2010-01-01,3090.0,Albania,ALB
AL,2011-01-01,3180.0,Albania,ALB
AL,2012-01-01,3230.0,Albania,ALB
AL,2013-01-01,3260.0,Albania,ALB
AL,2014-01-01,3330.0,Albania,ALB
AL,2015-01-01,3410.0,Albania,ALB
AL,2016-01-01,3530.0,Albania,ALB
AL,2017-01-01,3670.0,Albania,ALB
AL,2018-01-01,3830.0,Albania,ALB
AL,2019-01-01,3920.0,Albania,ALB
AL,2020-01-01,3810.0,Albania,ALB
AT,2000-01-01,31710.0,Austria,AUT
AT,2001-01-01,31990.0,Austria,AUT
AT,2002-01-01,32360.0,Austria,AUT
AT,2003-01-01,32520.0,Austria,AUT
AT,2004-01-01,33200.0,Austria,AUT
AT,2005-01-01,33710.0,Austria,AUT
AT,2006-01-01,34700.0,Austria,AUT
AT,2007-01-01,35870.0,Austria,AUT
AT,2008-01-01,36280.0,Austria,AUT
AT,2009-01-01,34830.0,Austria,AUT
AT,2010-01-01,35390.0,Austria,AUT
AT,2011-01-01,36300.0,Austria,AUT
AT,2012-01-01,36390.0,Austria,AUT
AT,2013-01-01,36180.0,Austria,AUT
AT,2014-01-01,36130.0,Austria,AUT
AT,2015-01-01,36140.0,Austria,AUT
AT,2016-01-01,36390.0,Austria,AUT
AT,2017-01-01,36980.0,Austria,AUT
AT,2018-01-01,37690.0,Austria,AUT
AT,2019-01-01,38070.0,Austria,AUT
AT,2020-01-01,35390.0,Austria,AUT
AT,2021-01-01,36740.0,Austria,AUT
AT,2022-01-01,38080.0,Austria,AUT
AT,2023-01-01,37460.0,Austria,AUT
BE,2000-01-01,29890.0,Belgium,BEL
BE,2001-01-01,30110.0,Belgium,BEL
BE,2002-01-01,30490.0,Belgium,BEL
BE,2003-01-01,30680.0,Belgium,BEL
BE,2004-01-01,31640.0,Belgium,BEL
BE,2005-01-01,32200.0,Belgium,BEL
BE,2006-01-01,32800.0,Belgium,BEL
BE,2007-01-01,33760.0,Belgium,BEL
BE,2008-01-01,33640.0,Belgium,BEL
BE,2009-01-01,32700.0,Belgium,BEL
BE,2010-01-01,33330.0,Belgium,BEL
BE,2011-01-01,33460.0,Belgium,BEL
BE,2012-01-01,33490.0,Belgium,BEL
BE,2013-01-01,33490.0,Belgium,BEL
BE,2014-01-01,33870.0,Belgium,BEL
BE,2015-01-01,34360.0,Belgium,BEL
BE,2016-01-01,34620.0,Belgium,BEL
BE,2017-01-01,35050.0,Belgium,BEL
BE,2018-01-01,35510.0,Belgium,BEL
BE,2019-01-01,36110.0,Belgium,BEL
BE,2020-01-01,34050.0,Belgium,BEL
BE,2021-01-01,36260.0,Belgium,BEL
BE,2022-01-01,37050.0,Belgium,BEL
BE,2023-01-01,37300.0,Belgium,BEL
BG,2000-01-01,2990.0,Bulgaria,BGR
BG,2001-01-01,3210.0,Bulgaria,BGR
BG,2002-01-01,3420.0,Bulgaria,BGR
BG,2003-01-01,3620.0,Bulgaria,BGR
BG,2004-01-01,3870.0,Bulgaria,BGR
BG,2005-01-01,4170.0,Bulgaria,BGR
BG,2006-01-01,4480.0,Bulgaria,BGR
BG,2007-01-01,4800.0,Bulgaria,BGR
BG,2008-01-01,5120.0,Bulgaria,BGR
BG,2009-01-01,4970.0,Bulgaria,BGR
BG,2010-01-01,5080.0,Bulgaria,BGR
BG,2011-01-01,5320.0,Bulgaria,BGR
BG,2012-01-01,5390.0,Bulgaria,BGR
BG,2013-01-01,5390.0,Bulgaria,BGR
