id,name,date,value
00000,United States,1997-01-01,10332355.0
00000,United States,1998-01-01,10849273.0
00000,United States,1999-01-01,11426924.0
00000,United States,2000-01-01,11928916.0
00000,United States,2001-01-01,12041461.0
00000,United States,2002-01-01,12245105.0
00000,United States,2003-01-01,12616710.0
00000,United States,2004-01-01,13159877.0
00000,United States,2005-01-01,13667016.0
00000,United States,2006-01-01,14095064.0
00000,United States,2007-01-01,14398387.0
00000,United States,2008-01-01,14372138.0
00000,United States,2009-01-01,13941688.0
00000,United States,2010-01-01,14366648.0
00000,United States,2011-01-01,14634972.0
00000,United States,2012-01-01,15045864.0
00000,United States,2013-01-01,15417297.0
00000,United States,2014-01-01,15860786.0
00000,United States,2015-01-01,16394174.0
00000,United States,2016-01-01,16710707.0
00000,United States,2017-01-01,17156255.0
00000,United States,2018-01-01,17711775.0
00000,United States,2019-01-01,18216263.0
00000,United States,2020-01-01,17789792.0
00000,United States,2021-01-01,19004921.0
00000,United States,2022-01-01,19506244.0
00000,United States,2023-01-01,20092919.0
01000,Alabama,2023-01-01,206767.8
01000,Alabama,2022-01-01,200919.8
01000,Alabama,2021-01-01,197288.1
01000,Alabama,2020-01-01,186091.4
01000,Alabama,2019-01-01,189121.3
01000,Alabama,2018-01-01,185088.3
01000,Alabama,2017-01-01,180865.6
01000,Alabama,2016-01-01,177596.3
01000,Alabama,2015-01-01,174038.5
01000,Alabama,2014-01-01,170987.9
01000,Alabama,2013-01-01,171884.8
01000,Alabama,2012-01-01,167918.7
01000,Alabama,2011-01-01,164892.3
01000,Alabama,2010-01-01,162994.0
01000,Alabama,2009-01-01,157448.9
01000,Alabama,2008-01-01,164772.3
01000,Alabama,2007-01-01,166049.8
01000,Alabama,2006-01-01,165152.7
01000,Alabama,2005-01-01,162679.8
01000,Alabama,2004-01-01,156070.3
01000,Alabama,2003-01-01,144810.9
01000,Alabama,2002-01-01,139911.4
01000,Alabama,2001-01-01,136791.2
01000,Alabama,2000-01-01,136604.7
01000,Alabama,1998-01-01,128772.9
01000,Alabama,1999-01-01,134461.5
01000,Alabama,1997-01-01,123633.1
02000,Alaska,1997-01-01,31938.0
02000,Alaska,1999-01-01,30847.0
02000,Alaska,1998-01-01,31225.7
02000,Alaska,2000-01-01,29476.7
02000,Alaska,2001-01-01,30896.3
02000,Alaska,2002-01-01,32435.1
02000,Alaska,2003-01-01,31602.9
02000,Alaska,2004-01-01,33169.4
02000,Alaska,2005-01-01,34472.4
02000,Alaska,2006-01-01,37418.6
02000,Alaska,2007-01-01,39895.2
02000,Alaska,2008-01-01,39622.7
02000,Alaska,2009-01-01,44186.8
02000,Alaska,2010-01-01,42887.1
02000,Alaska,2011-01-01,42956.0
02000,Alaska,2012-01-01,45718.8
02000,Alaska,2013-01-01,43748.7
02000,Alaska,2014-01-01,42503.5
02000,Alaska,2015-01-01,43022.1
02000,Alaska,2016-01-01,42574.0
02000,Alaska,2017-01-01,42616.9
02000,Alaska,2018-01-01,41416.8
02000,Alaska,2019-01-01,41531.6
02000,Alaska,2020-01-01,39904.5
02000,Alaska,2021-01-01,41307.2
02000,Alaska,2022-01-01,40652.6
02000,Alaska,2023-01-01,43779.1
04000,Arizona,2023-01-01,375920.2
04000,Arizona,2022-01-01,365208.0
04000,Arizona,2021-01-01,350642.3
04000,Arizona,2020-01-01,321774.8
