Station,Other local authorities/stations,Sunderland/Newcastle,Leeds,Labels
Farringdon,982425.0,0.0,0.0,
London Blackfriars,969750.0,0.0,0.0,
Moorgate,932150.0,0.0,0.0,
Old Street,919975.0,0.0,0.0,
London Liverpool Street,778200.0,0.0,0.0,
London Charing Cross,731500.0,0.0,0.0,
Tottenham Court Road,731500.0,0.0,0.0,
Bond Street,731500.0,0.0,0.0,
London Bridge,660735.0,0.0,0.0,
London Fenchurch Street,633130.0,0.0,0.0,
London Waterloo,495100.0,0.0,0.0,
London Euston,321190.0,0.0,0.0,
London Victoria,312655.0,0.0,0.0,
London Kings Cross,268585.0,0.0,0.0,
Manchester Oxford Road,235995.0,0.0,0.0,
Manchester Piccadilly,233985.0,0.0,0.0,
Manchester Victoria,204545.0,0.0,0.0,
Birmingham New Street,181460.0,0.0,0.0,
Birmingham Snow Hill,179375.0,0.0,0.0,
Leeds,167920.0,0.0,167920.0,Leeds
Birmingham Moor Street,164125.0,0.0,0.0,
London St Pancras International,155210.0,0.0,0.0,
London Marylebone,146220.0,0.0,0.0,
Liverpool Lime Street,132430.0,0.0,0.0,
Liverpool Central,130980.0,0.0,0.0,
Whitechapel,129570.0,0.0,0.0,
Reading,127140.0,0.0,0.0,
Liverpool James Street,106990.0,0.0,0.0,
Bristol Temple Meads,102805.0,0.0,0.0,
Newcastle,102380.0,102380.0,0.0,Newcastle
London Paddington,97365.0,0.0,0.0,
Nottingham,90150.0,0.0,0.0,
Cardiff Central,88705.0,0.0,0.0,
Cardiff Queen Street,86960.0,0.0,0.0,
Highbury and Islington,76220.0,0.0,0.0,
Leicester,73500.0,0.0,0.0,
Sheffield,73135.0,0.0,0.0,
Stratford (London),64075.0,0.0,0.0,
Derby,59295.0,0.0,0.0,
Brighton,59245.0,0.0,0.0,
Gatwick Airport,58375.0,0.0,0.0,
West Croydon,57255.0,0.0,0.0,
Clifton Down,55975.0,0.0,0.0,
Oxford,54805.0,0.0,0.0,
Shepherd's Bush,52940.0,0.0,0.0,
Milton Keynes Central,51940.0,0.0,0.0,
East Croydon,51005.0,0.0,0.0,
Cambridge,47085.0,0.0,0.0,
Preston (Lancs),45650.0,0.0,0.0,
West Brompton,45175.0,0.0,0.0,
Hull,44400.0,0.0,0.0,
Watford Junction,44375.0,0.0,0.0,
York,44015.0,0.0,0.0,
Norwich,43790.0,0.0,0.0,
Watford High Street,40610.0,0.0,0.0,
Middlesbrough,40570.0,0.0,0.0,
Southampton Central,39750.0,0.0,0.0,
Denmark Hill,39145.0,0.0,0.0,
Blackburn,38030.0,0.0,0.0,
Coventry,37955.0,0.0,0.0,
Bath Spa,36775.0,0.0,0.0,
Guildford,36205.0,0.0,0.0,
Basingstoke,35850.0,0.0,0.0,
Exeter Central,35755.0,0.0,0.0,
Cardiff Bay,35745.0,0.0,0.0,
Harrow-On-The-Hill,35320.0,0.0,0.0,
Stockport,35290.0,0.0,0.0,
Salford Crescent,33510.0,0.0,0.0,
Huddersfield,33475.0,0.0,0.0,
Willesden Junction,31865.0,0.0,0.0,
Lincoln,31710.0,0.0,0.0,
Imperial Wharf,31665.0,0.0,0.0,
Plymouth,31635.0,0.0,0.0,
Hampstead Heath,31350.0,0.0,0.0,
Ipswich,31265.0,0.0,0.0,
Wimbledon,31135.0,0.0,0.0,
Bournemouth,30960.0,0.0,0.0,
Bedford,30465.0,0.0,0.0,
Bolton,30050.0,0.0,0.0,
Swindon (Wilts),28410.0,0.0,0.0,
Stoke-On-Trent,27905.0,0.0,0.0,
Peterborough,27870.0,0.0,0.0,
Crewe,27470.0,0.0,0.0,
Durham,27465.0,0.0,0.0,
Winchester,27325.0,0.0,0.0,
Canterbury West,26930.0,0.0,0.0,
Banbury,26775.0,0.0,0.0,
Maidstone West,26770.0,0.0,0.0,
Digby and Sowton,26475.0,0.0,0.0,
Canterbury East,26415.0,0.0,0.0,
Wembley Central,25980.0,0.0,0.0,
Maidstone East,25620.0,0.0,0.0,
Salisbury,25390.0,0.0,0.0,
Chester,24975.0,0.0,0.0,
Wrexham General,24900.0,0.0,0.0,
Hereford,24835.0,0.0,0.0,
Birchwood,24695.0,0.0,0.0,
Newbury,24555.0,0.0,0.0,
Slough,24335.0,0.0,0.0,
Woolwich Arsenal,24285.0,0.0,0.0,
Newport (South Wales),24060.0,0.0,0.0,
Seven Sisters,23940.0,0.0,0.0,
Bromley South,23700.0,0.0,0.0,
Sunderland,23480.0,23480.0,0.0,Sunderland
Doncaster,23455.0,0.0,0.0,
Dartford,23225.0,0.0,0.0,
West Hampstead,23205.0,0.0,0.0,
Swansea,22945.0,0.0,0.0,
Chichester,22345.0,0.0,0.0,
Aylesbury,22140.0,0.0,0.0,
Highams Park,21940.0,0.0,0.0,
Worcester Foregate Street,21810.0,0.0,0.0,
Birkenhead Hamilton Square,21660.0,0.0,0.0,
Solihull,21585.0,0.0,0.0,
Richmond (London),21430.0,0.0,0.0,
St Albans City,21365.0,0.0,0.0,
Darlington,21315.0,0.0,0.0,
West Hampstead Thameslink,20915.0,0.0,0.0,
Dorchester South,20280.0,0.0,0.0,
Ellesmere Port,20260.0,0.0,0.0,
Bury St Edmunds,20255.0,0.0,0.0,
Eastleigh,20225.0,0.0,0.0,
Fratton,20195.0,0.0,0.0,
Queens Park (London),20080.0,0.0,0.0,
Barnsley,20030.0,0.0,0.0,
Dorchester West,19890.0,0.0,0.0,
Colchester,19780.0,0.0,0.0,
Leyland,19345.0,0.0,0.0,
Grimsby Town,19195.0,0.0,0.0,
Finsbury Park,19005.0,0.0,0.0,
Ashford International,18960.0,0.0,0.0,
Clapham Junction,18710.0,0.0,0.0,
Lancaster,18615.0,0.0,0.0,
Carlisle,18565.0,0.0,0.0,
Skipton,18555.0,0.0,0.0,
Wokingham,18520.0,0.0,0.0,
Grimsby Docks,18415.0,0.0,0.0,
Grantham,17865.0,0.0,0.0,
Barking,17730.0,0.0,0.0,
Strood (Kent),17665.0,0.0,0.0,
Havant,17440.0,0.0,0.0,
West Ham,17410.0,0.0,0.0,
Eastbourne,17230.0,0.0,0.0,
Walthamstow Central,17185.0,0.0,0.0,
High Wycombe,17140.0,0.0,0.0,
New Clee,16740.0,0.0,0.0,
Horsham,16675.0,0.0,0.0,
Maidenhead,16620.0,0.0,0.0,
Kings Lynn,16595.0,0.0,0.0,
Beverley,16540.0,0.0,0.0,
Sellafield,16500.0,0.0,0.0,
Stafford,16245.0,0.0,0.0,
Truro,16170.0,0.0,0.0,
Lewes,16145.0,0.0,0.0,
Stratford-Upon-Avon,15945.0,0.0,0.0,
Tottenham Hale,15805.0,0.0,0.0,
Grays,15625.0,0.0,0.0,
Bletchley,15450.0,0.0,0.0,
Stansted Airport,15350.0,0.0,0.0,
Peckham Rye,15220.0,0.0,0.0,
Boston,15015.0,0.0,0.0,
Greenford,14910.0,0.0,0.0,
Canada Water,14600.0,0.0,0.0,
Redcar Central,14435.0,0.0,0.0,
Scarborough,14390.0,0.0,0.0,
Shrewsbury,14260.0,0.0,0.0,
Sittingbourne,14260.0,0.0,0.0,
Shotton,14180.0,0.0,0.0,
Barnstaple,14100.0,0.0,0.0,
Reigate,14030.0,0.0,0.0,
Hartlepool,13990.0,0.0,0.0,
Edmonton Green,13980.0,0.0,0.0,
Southport,13920.0,0.0,0.0,
Redhill,13895.0,0.0,0.0,
Burnley Central,13595.0,0.0,0.0,
Tonbridge,13365.0,0.0,0.0,
Gravesend,13325.0,0.0,0.0,
Lewisham,12975.0,0.0,0.0,
Accrington,12875.0,0.0,0.0,
Sevenoaks,12830.0,0.0,0.0,
Haverfordwest,12735.0,0.0,0.0,
Surrey Quays,12370.0,0.0,0.0,
Carmarthen,12110.0,0.0,0.0,
Hastings,11840.0,0.0,0.0,
Kendal,11615.0,0.0,0.0,
Trefforest,11465.0,0.0,0.0,
Merthyr Tydfil,11435.0,0.0,0.0,
Dover Priory,11360.0,0.0,0.0,
Streatham (Greater London),11330.0,0.0,0.0,
Barrow-In-Furness,11195.0,0.0,0.0,
Lowestoft,10980.0,0.0,0.0,
Fareham,10775.0,0.0,0.0,
Bognor Regis,10600.0,0.0,0.0,
Elstree and Borehamwood,10355.0,0.0,0.0,
Bexhill,10240.0,0.0,0.0,
