log(lab prod),Coefficient,Lower (95),Upper (95),Lower (90),Upper (90),Lower (80),Upper (80)
t-2,-0.3075921,-0.4953526,-0.1198316,-0.4650435,-0.1501407,-0.4301779,-0.1850063
t-1,-0.3462399,-0.6787116,-0.0137682,-0.6251187,-0.0673611,-0.56342,-0.1290597
t,-0.2615326,-0.6782521,0.155187,-0.6111247,0.0880596,-0.5338149,0.0107497
t+1,0.162054,-0.3322652,0.6563731,-0.2525833,0.5766913,-0.1608497,0.4849576
t+2,0.2333228,-0.3932008,0.8598463,-0.2920646,0.7587101,-0.1757243,0.6423698
