msa_name,tier,la_count,la_matched,area_km2,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020,pop_2021,pop_2022,pop_2023,pop_2024,density_2024,growth_2011_2024,growth_2021_2024,rank_pop_2024,rank_density_2024,rank_growth_2021_24,rank_growth_2011_24
Greater Manchester,Established,10,10,1275.9659,2685386,2700093,2714958,2733895,2756962,2784566,2804283,2823878,2847959,2856110,2869531,2919285,2965612,3009664,2358.7,12.08,4.88,3,2,2,4
West Midlands,Established,7,7,901.6991999999999,2739733,2758833,2781813,2805420,2831662,2865850,2889499,2907123,2921091,2921476,2918251,2949985,2994216,3036605,3367.6,10.84,4.06,2,1,8,7
North East,Established,12,12,8580.802800000001,2596441,2598972,2603299,2610482,2611804,2618253,2623787,2629393,2636676,2637426,2647493,2684586,2724805,2760678,321.7,6.33,4.28,4,14,6,18
Liverpool City Region,Established,6,6,731.2959999999999,1506492,1507352,1508304,1512487,1518273,1527115,1533538,1540983,1546117,1546236,1552288,1569291,1589504,1607084,2197.6,6.68,3.53,10,3,14,16
South Yorkshire,Established,4,4,1551.5367,1343805,1348437,1352510,1356290,1359690,1366070,1368187,1372522,1374386,1373015,1374792,1392826,1412806,1430623,922.1,6.46,4.06,12,6,8,17
West Yorkshire,Established,5,5,2029.208,2227371,2241490,2255832,2269503,2284951,2302614,2315182,2325461,2339795,2346416,2350407,2376124,2408679,2435236,1200.1,9.33,3.61,5,4,11,10
West of England,Established,4,4,1326.3764999999999,1070120,1080068,1092297,1102356,1117093,1133563,1142087,1152594,1160199,1166857,1171975,1189561,1207002,1225337,923.8,14.5,4.55,13,5,3,2
Lancashire,Established,14,14,3065.819299999999,1461295,1465418,1470467,1475344,1481431,1488803,1496853,1503339,1513857,1520252,1532158,1553617,1577362,1601645,522.4,9.6,4.54,11,9,4,8
Tees Valley,Existing,5,5,795.1074000000001,663028,664161,665405,667432,668875,670923,672690,673541,674626,674447,678365,690947,702389,712858,896.6,7.52,5.08,18,7,1,14
York & North Yorkshire,Existing,2,2,8309.3944,798989,803120,805319,805878,806923,808662,810837,811641,814537,813068,820478,828803,835592,844571,101.6,5.7,2.94,17,19,17,19
Hull & East Yorkshire,Existing,2,2,2475.1491,590796,593057,593666,596521,597446,601661,604263,605415,607693,608641,609661,615368,624306,631285,255.0,6.85,3.55,19,16,13,15
Greater Lincolnshire,Existing,9,9,6976.4674,1042019,1047189,1053666,1061217,1066703,1075192,1082346,1086125,1089503,1090957,1096557,1104005,1113124,1120749,160.6,7.56,2.21,14,18,19,13
East Midlands,Existing,23,23,7380.317600000001,3012816,3037405,3062568,3088270,3115298,3149392,3179185,3205963,3225355,3236796,3255011,3302616,3353439,3400821,460.8,12.88,4.48,1,12,5,3
Cambridgeshire & Peterborough,Existing,6,6,3389.5924999999997,806769,817454,827484,838791,851257,862377,869702,876713,881675,884999,897217,908156,921579,933972,275.5,15.77,4.1,16,15,7,1
Sussex & Brighton,DPP,13,13,3782.4790999999996,1609080,1621930,1633978,1647545,1660505,1675053,1683734,1692217,1696921,1698432,1708363,1722343,1741806,1759789,465.2,9.37,3.01,8,11,16,9
Hampshire & Solent,DPP,13,13,3768.6358,1763421,1775398,1785335,1797378,1810880,1827010,1835240,1840195,1844218,1849132,1860901,1879730,1904905,1920959,509.7,8.93,3.23,7,10,15,11
Cheshire & Warrington,DPP,3,3,2266.9522,902971,907646,913337,921067,927267,934711,942398,948975,956163,959568,969386,980915,995099,1008341,444.8,11.67,4.02,15,13,10,5
Cumbria,DPP,2,2,6767.932,499817,498835,498080,498303,498718,498946,498693,498941,499171,498439,500729,503177,506716,510680,75.5,2.17,1.99,20,20,20,20
Greater Essex,DPP,14,14,3663.919299999999,1729141,1742829,1756952,1779577,1793535,1809967,1822045,1833375,1846380,1852594,1863314,1877490,1904539,1929610,526.7,11.59,3.56,6,8,12,6
Norfolk & Suffolk,DPP,12,12,9183.6361,1589559,1597473,1605646,1617161,1627439,1638933,1652138,1658872,1664285,1666551,1681811,1694311,1711682,1726590,188.0,8.62,2.66,9,17,18,12
