OA21CD,LSOA21CD,LSOA21NM,MSOA21CD,MSOA21NM,LAD22CD,LAD22NM,LAD25CD,LAD25NM,CAUTH25CD,CAUTH25NM
E00140249,E01027555,Craven 008A,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140250,E01027555,Craven 008A,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140251,E01027555,Craven 008A,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140252,E01027555,Craven 008A,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140258,E01027555,Craven 008A,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140259,E01027555,Craven 008A,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140260,E01027555,Craven 008A,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140253,E01027556,Craven 007A,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140254,E01027556,Craven 007A,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140255,E01027556,Craven 007A,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140256,E01027556,Craven 007A,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140257,E01027556,Craven 007A,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140261,E01027556,Craven 007A,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140262,E01027557,Craven 009D,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140265,E01027557,Craven 009D,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140266,E01027557,Craven 009D,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140267,E01027557,Craven 009D,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140269,E01027557,Craven 009D,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140270,E01027557,Craven 009D,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00189796,E01027557,Craven 009D,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140271,E01027558,Craven 001A,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140275,E01027558,Craven 001A,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140276,E01027558,Craven 001A,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140277,E01027558,Craven 001A,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140281,E01027558,Craven 001A,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140282,E01027558,Craven 001A,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140272,E01027559,Craven 001B,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140273,E01027559,Craven 001B,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140274,E01027559,Craven 001B,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140278,E01027559,Craven 001B,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140279,E01027559,Craven 001B,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140280,E01027559,Craven 001B,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140283,E01027560,Craven 007B,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140284,E01027560,Craven 007B,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140285,E01027560,Craven 007B,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
