LSOA21CD,LSOA21NM,MSOA21CD,MSOA21NM,LAD22CD,LAD22NM,LAD25CD,LAD25NM,CAUTH25CD,CAUTH25NM,n_oas
E01027558,Craven 001A,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027559,Craven 001B,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027569,Craven 001C,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027570,Craven 001D,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,8
E01027568,Craven 003A,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,7
E01027571,Craven 003B,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,7
E01027572,Craven 003C,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,7
E01027573,Craven 003D,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027574,Craven 005A,E02005746,Craven 005,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027575,Craven 005B,E02005746,Craven 005,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,7
E01027577,Craven 005C,E02005746,Craven 005,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,7
E01027579,Craven 005D,E02005746,Craven 005,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027578,Craven 006A,E02005747,Craven 006,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027580,Craven 006B,E02005747,Craven 006,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027582,Craven 006D,E02005747,Craven 006,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01034956,Craven 006E,E02005747,Craven 006,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01034957,Craven 006F,E02005747,Craven 006,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027556,Craven 007A,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
