LSOA21CD,LSOA21NM,LAD24CD,LAD24NM,imd_rank,imd_decile,population,rurality_score,pct_rural,dominant_ruc,urban_rural_flag,town,dist_to_centre_km,dist_to_coast_km,coastal
E01027784,Ryedale 001D,E06000065,North Yorkshire,13965,5,1612,80.0,100.0,Larger rural: Further from a major town or city,Rural,Ryedale,17.979265999826026,29.31406296261383,Inland
E01027786,Ryedale 010A,E06000065,North Yorkshire,31517,10,1602,20.0,0.0,Urban: Further from a major town or city,Urban,Ryedale,1.0048807992162185,31.300559576994672,Inland
E01027787,Ryedale 009A,E06000065,North Yorkshire,11356,4,1993,20.0,0.0,Urban: Further from a major town or city,Urban,Ryedale,2.6270030498738057,28.15312797455662,Inland
E01027788,Ryedale 010B,E06000065,North Yorkshire,20484,7,1549,20.0,0.0,Urban: Further from a major town or city,Urban,Ryedale,2.3252918076364733,29.464916410000093,Inland
E01027790,Ryedale 010D,E06000065,North Yorkshire,16571,5,1986,20.0,0.0,Urban: Further from a major town or city,Urban,Ryedale,2.1147855936900553,31.388062687860412,Inland
E01027791,Ryedale 010C,E06000065,North Yorkshire,30376,9,1714,20.0,0.0,Urban: Further from a major town or city,Urban,Ryedale,1.528446132913812,30.638039358859068,Inland
E01027792,Ryedale 002A,E06000065,North Yorkshire,28653,9,2548,80.0,100.0,Larger rural: Further from a major town or city,Rural,Ryedale,13.195862170522345,23.30929748261731,Inland
E01027793,Ryedale 002B,E06000065,North Yorkshire,13880,5,1489,83.33333333333333,100.0,Larger rural: Further from a major town or city,Rural,Ryedale,9.864643392558916,24.89320792345823,Inland
E01027794,Ryedale 002C,E06000065,North Yorkshire,28400,9,1980,80.0,100.0,Larger rural: Further from a major town or city,Rural,Ryedale,13.917988639949074,24.23409989684339,Inland
E01027795,Ryedale 002D,E06000065,North Yorkshire,9724,3,1573,80.0,100.0,Larger rural: Further from a major town or city,Rural,Ryedale,12.267665264017296,25.281376150952305,Inland
E01027796,Ryedale 004B,E06000065,North Yorkshire,13897,5,1855,88.57142857142857,100.0,Larger rural: Further from a major town or city,Rural,Ryedale,9.392818039027112,21.082380516289767,Inland
E01027797,Ryedale 007D,E06000065,North Yorkshire,21604,7,1674,65.0,100.0,Smaller rural: Nearer to a major town or city,Rural,Ryedale,13.749397332273746,19.58474032640373,Inland
E01027798,Ryedale 004C,E06000065,North Yorkshire,12616,4,1984,100.0,100.0,Smaller rural: Further from a major town or city,Rural,Ryedale,19.23373097511807,12.299408120058388,Inland
E01027799,Ryedale 007E,E06000065,North Yorkshire,19463,6,1829,65.0,100.0,Smaller rural: Nearer to a major town or city,Rural,Ryedale,14.418433530606318,21.758893803159346,Inland
E01027800,Ryedale 003D,E06000065,North Yorkshire,16362,5,1723,100.0,100.0,Smaller rural: Further from a major town or city,Rural,Ryedale,13.261676105011237,34.59273914986769,Inland
E01027801,Ryedale 002E,E06000065,North Yorkshire,25007,8,1729,88.57142857142857,100.0,Larger rural: Further from a major town or city,Rural,Ryedale,9.223828246567308,23.031235284995883,Inland
E01027802,Ryedale 002F,E06000065,North Yorkshire,16735,5,1610,96.66666666666667,100.0,Smaller rural: Further from a major town or city,Rural,Ryedale,19.008849664904798,16.59311920895841,Inland
E01027803,Ryedale 004D,E06000065,North Yorkshire,11999,4,1848,100.0,100.0,Smaller rural: Further from a major town or city,Rural,Ryedale,12.771088972245806,22.588506997391875,Inland
E01027804,Scarborough 010A,E06000065,North Yorkshire,1015,1,1637,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,0.18052452376971467,0.6783814675594279,Coastal (≤5 km)
E01027805,Scarborough 006A,E06000065,North Yorkshire,1587,1,1229,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,1.2729091508436687,0.23665120070616183,Coastal (≤5 km)
E01027806,Scarborough 006B,E06000065,North Yorkshire,167,1,1610,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,0.6892611610680914,0.5693206199408546,Coastal (≤5 km)
E01027807,Scarborough 011A,E06000065,North Yorkshire,11917,4,1531,52.0,40.0,Urban: Further from a major town or city,Urban,Scarborough,6.4162520665266225,1.6982418088378548,Coastal (≤5 km)
E01027808,Scarborough 011B,E06000065,North Yorkshire,22282,7,1690,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,4.995895884022457,1.8291946860137256,Coastal (≤5 km)
E01027809,Scarborough 011C,E06000065,North Yorkshire,20691,7,1195,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,3.7493603727117235,0.44101733925822934,Coastal (≤5 km)
E01027810,Scarborough 008A,E06000065,North Yorkshire,8554,3,1569,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,0.8203359308207344,1.1557996975667926,Coastal (≤5 km)
E01027811,Scarborough 008B,E06000065,North Yorkshire,7862,3,1514,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,0.8810546836075827,1.4051849924063617,Coastal (≤5 km)
E01027812,Scarborough 008C,E06000065,North Yorkshire,4448,2,1805,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,0.5681913692104107,1.064597032425962,Coastal (≤5 km)
E01027813,Scarborough 002A,E06000065,North Yorkshire,10556,4,1869,85.0,100.0,Smaller rural: Further from a major town or city,Rural,Scarborough,39.35284554358281,13.851018243562285,Inland
E01027814,Scarborough 013A,E06000065,North Yorkshire,14899,5,1645,96.0,100.0,Smaller rural: Further from a major town or city,Rural,Scarborough,8.27432169919119,8.522800708449138,Inland
