msa_name,tier,n_itl3,gva_ph_1998,gva_ph_1999,gva_ph_2000,gva_ph_2001,gva_ph_2002,gva_ph_2003,gva_ph_2004,gva_ph_2005,gva_ph_2006,gva_ph_2007,gva_ph_2008,gva_ph_2009,gva_ph_2010,gva_ph_2011,gva_ph_2012,gva_ph_2013,gva_ph_2014,gva_ph_2015,gva_ph_2016,gva_ph_2017,gva_ph_2018,gva_ph_2019,gva_ph_2020,gva_ph_2021,gva_ph_2022,gva_ph_2023,method,gva_growth_2019_23,gva_growth_2013_23,gva_growth_2018_23,rank_gva_growth_1823,gva_index_eng,rank_gva_ph,rank_gva_growth
Hull & East Yorkshire,Existing,2,11950.932984786306,12063.612737984258,12716.67975319795,13337.27253942778,14257.694971696572,15124.723491364812,15743.79332250531,16183.881952119635,17362.426521609596,17820.22316940731,18794.097062978733,18412.696754476172,17657.94026487011,17349.76799358007,17657.113434757957,17882.0,18339.31653227744,19142.311544338834,19385.60211819204,20109.73730190003,21087.05256076347,21687.0,20324.073411115703,23644.829900721765,24934.803043699725,26972.0,pop_weighted (2 ITL3),24.37,50.83,27.91,6,73.6,16,4
Greater Lincolnshire,Existing,2,12552.204699566266,12578.436544356244,13043.161602840295,13742.528724562582,14241.191536612274,15045.78849436361,15054.483209417818,15403.38783100535,16018.706278905134,16988.73379425832,17813.87784649329,16991.96883725443,17153.766516578566,17081.322796022723,17568.693115951144,18238.0,18689.670768036623,19264.045845745848,19357.69508518368,20451.2685055753,20771.19030763868,22254.0,21272.15996420884,23832.289994645696,24647.48911711543,25994.0,pop_weighted (2 ITL3),16.81,42.53,25.14,10,71.0,17,17
East Midlands,Existing,7,14578.55440519419,15025.978927005977,15611.536727222414,16133.482957942579,16821.15027588097,17567.298834718626,18288.983278061714,19059.852907120123,19880.79153728456,20616.735739341013,21399.459576273788,20811.77039152941,21323.106634115007,21580.355363553652,22159.21623950816,22763.0,23500.0860540478,23996.177329004644,24104.568348492397,24554.919991387942,25406.918293727722,26237.0,25990.99367664061,27329.381743040503,29383.24989749329,31570.0,pop_weighted (7 ITL3),20.330000000000002,38.690000000000005,24.26,14,86.2,7,10
Cambridgeshire & Peterborough,Existing,2,17286.59558323269,17988.335678221836,18592.426136012215,19488.036296399983,20221.779285335277,20800.979849801268,21496.070164359215,22495.60955164994,24093.307168457613,24649.264869316685,24943.024935464025,24177.948911596293,24544.84441377245,24789.74552480037,25488.033724726803,25718.0,26509.869886358087,26814.920938953685,27677.41806291159,29241.717373117226,29894.214389650806,30813.0,30784.15833694127,31998.251473829157,33815.70072560247,37085.0,pop_weighted (2 ITL3),20.36,44.2,24.05,15,101.2,3,9
Sussex & Brighton,DPP,4,13311.379190908747,14033.482913137284,14535.610931412568,14993.742994340359,15688.733764265366,16243.229108752641,16401.180486805075,16927.321495045948,17709.996069022614,18152.355835839353,19241.981238438726,18592.000155011523,18804.90183751807,18918.02925641547,19589.689530292122,20001.0,20533.17284588525,21513.665026989227,22390.11918319262,23313.081241538956,24061.659000485706,25007.0,23787.521359439572,25187.722544875836,27222.360815153927,29823.0,pop_weighted (4 ITL3),19.259999999999998,49.11,23.94,16,81.4,9,15
Hampshire & Solent,DPP,5,16515.86176266008,16718.516379556982,17601.064178003624,18459.486587520114,19344.120956688126,19966.572601783293,20987.092639265473,21883.50586407196,22382.661939571786,23484.97529903066,24489.31575800368,24176.060881776255,24815.454049939497,25400.879419183635,25982.854496680935,26743.0,27406.214397043423,28017.444710366137,28359.42841978996,29580.711433378565,30277.962941459024,32247.0,30953.03755567863,32292.41274604245,34014.78197547909,36619.0,pop_weighted (5 ITL3),13.56,36.93,20.94,18,100.0,4,20
Cheshire & Warrington,DPP,3,16774.24191060387,17623.31447222839,18006.88345380711,20254.87743229568,20800.51652046681,20995.168942989592,22327.918028256485,23463.109421273664,24975.33763273805,25938.54340522903,25814.087024507106,25542.6139821264,26537.725739851012,26940.2252298515,27789.8149741885,28641.0,30022.901790676104,30477.25385514406,32033.36438585508,33218.39631835626,33753.65408768374,35221.0,33744.45671636691,35103.122728492344,38539.53271081571,42015.0,pop_weighted (3 ITL3),19.29,46.7,24.48,13,114.7,1,14
Cumbria,DPP,2,13396.647723774266,13851.016565492308,13748.77272476101,13808.46259048461,14636.810130329415,15592.741002849723,15981.211649128902,16691.322440972854,17979.06912747969,18389.050189849935,19719.034563739846,19242.556816836255,19705.61789641535,19564.79592908059,20381.73153798183,21113.0,22102.082859037408,22910.16524838371,22649.099910008765,23046.89631667443,23567.81535218939,24879.0,22873.425208598113,23911.28269484287,27300.58809273834,29808.0,pop_weighted (2 ITL3),19.81,41.18,26.479999999999997,8,81.4,10,12
Greater Essex,DPP,6,13222.685129577289,13301.820067743427,13936.925242276477,14830.778514905707,15186.255201915004,16543.816292026575,16812.45093747096,17269.302776682438,17845.020981980415,18373.36694391661,18766.07332955639,18113.023953828197,18574.276031627604,18332.89109490538,18725.097043956568,19052.0,19881.44132149565,20668.53750172614,21519.18999453411,23102.44024144426,23753.236944478427,24067.0,22086.813973880293,24635.924311867595,26992.445813921375,28891.0,pop_weighted (6 ITL3),20.04,51.64,21.63,17,78.9,11,11
Norfolk & Suffolk,DPP,7,12628.285144670563,13065.42188034927,13723.653598039824,14303.473785434446,14889.948040582305,15512.290003633856,15913.396398396433,16532.719766288363,17578.99521932228,17933.298414074576,18431.88380376729,18257.76294545365,18276.450591289737,18475.306757329923,19173.264930051264,19915.0,20452.390362812715,20770.173237201772,21273.927386044837,22005.422950641536,21982.66028736646,23538.0,22509.45950007069,23718.33055497458,25519.982059751757,27828.0,pop_weighted (7 ITL3),18.23,39.73,26.590000000000003,7,76.0,13,16
