msa_name,tier,n_itl3,gva_ph_1998,gva_ph_1999,gva_ph_2000,gva_ph_2001,gva_ph_2002,gva_ph_2003,gva_ph_2004,gva_ph_2005,gva_ph_2006,gva_ph_2007,gva_ph_2008,gva_ph_2009,gva_ph_2010,gva_ph_2011,gva_ph_2012,gva_ph_2013,gva_ph_2014,gva_ph_2015,gva_ph_2016,gva_ph_2017,gva_ph_2018,gva_ph_2019,gva_ph_2020,gva_ph_2021,gva_ph_2022,gva_ph_2023,method,gva_growth_2019_23,gva_growth_2013_23,gva_growth_2018_23,rank_gva_growth_1823,gva_index_eng,rank_gva_ph,rank_gva_growth
Greater Manchester,Established,5,13535.190966316564,14244.175020198192,14602.693756971581,15520.930922858417,16194.757810866695,16775.309423822135,17598.411800667116,18596.640876824076,19425.515634546933,20207.739937995935,20354.25351630625,20301.565413816777,20430.893532262482,20217.052376035706,20985.507472656573,21732.0,22165.32194703825,22872.314512147914,23355.937941645774,24836.698773474076,25733.243563891705,26622.0,26578.44001035874,28180.430128418688,31347.464682500613,34017.0,pop_weighted (5 ITL3),27.779999999999998,56.53,32.190000000000005,3,92.9,6,3
West Midlands,Established,7,13666.614464353943,14031.329843939115,14471.463419806722,15187.341581235289,15623.184843044055,16270.711967339696,16919.575513590204,17628.35983375949,17953.258158396053,18568.80493324463,18737.690982881664,18109.31021977038,18623.75177575699,18822.074864672424,19195.507117055015,19874.0,20720.00161311008,21291.13559843378,22480.104940992904,23065.589601752177,23624.131819481292,23928.0,22261.87918306495,23974.43504309642,25804.320348298184,27950.0,pop_weighted (7 ITL3),16.81,40.64,18.310000000000002,20,76.3,12,17
North East,Established,7,11264.983092735078,11489.861666431176,11870.715840950088,12387.326747418621,13219.560645991181,13979.266481821636,15143.115500375257,15813.607694128572,16618.18459375992,16896.122162503372,17302.508825035187,17174.69761028771,17339.62196450755,17578.146674349173,18001.814412774493,18222.0,18712.58821530348,19354.80335033149,19590.639067382803,20085.441936945947,20357.320811214013,21259.0,19979.478394233716,21626.208277289566,23256.895063316457,25412.0,pop_weighted (7 ITL3),19.54,39.46,24.83,11,69.4,18,13
Liverpool City Region,Established,4,10827.458567578315,11504.244191898857,12026.26128716883,12796.468467521943,13494.333672013407,14586.492508354808,15305.10328630818,15853.803334247665,17081.811290188638,17157.163162848286,17935.556586834635,18273.863441048277,18393.894932633077,18351.436658227976,18143.829207098566,18601.0,19469.69861982103,20038.867720999755,20281.83183684973,20926.668541255636,21018.65092947234,22229.0,21555.59579466299,23557.266058468555,25262.11603745571,27297.0,pop_weighted (4 ITL3),22.8,46.75,29.87,4,74.5,15,7
South Yorkshire,Established,4,10633.784188345748,10730.010673793855,11197.391772118748,12009.690624190442,12688.48781644472,13482.00107587312,14203.164145678882,14702.166918883413,15431.19302154719,16419.017048342095,16164.712325683782,15753.195849961,16059.294163529885,16259.388032044033,16713.14666557192,17066.0,17571.63142851885,18183.61728503418,18385.851318581605,19149.839280127635,19334.9346831766,20108.0,19971.699215603556,21323.915185807535,23354.944193328738,24977.0,pop_weighted (4 ITL3),24.21,46.36,29.18,5,68.2,19,5
West Yorkshire,Established,4,13374.911987857244,14129.248960529818,14454.000685437954,14964.206207634974,15470.009589073512,16472.883559826776,17348.70738691208,18272.443218876404,19096.06064319903,19950.471360857966,19940.042513759618,19662.11415800943,19697.922029045796,20004.64867879863,20306.063732444214,20724.0,21256.96935706252,22149.60540570163,22339.316744157277,23186.74194278274,24262.752049982584,24747.0,23702.229512110163,25999.158056760574,28394.816107501247,30665.0,pop_weighted (4 ITL3),23.91,47.97,26.39,9,83.7,8,6
West of England,Established,3,15937.237862903292,16593.763930797133,17454.424696893624,18760.090340363975,19598.206526584047,20483.177960765595,21341.908005951937,21772.11906442574,22566.80603014742,23662.34586852383,24702.950447472333,24562.78086448904,25329.088283200857,25339.090465467332,26261.152155505955,26479.0,27896.335637389166,28226.364193265625,29336.12513649522,30210.191653369257,30428.680099121626,31772.0,30785.576423237082,34352.25179411467,36965.1488307393,40793.0,pop_weighted (3 ITL3),28.389999999999997,54.059999999999995,34.06,1,111.4,2,2
Lancashire,Established,6,12647.42829990833,13190.541791928548,13447.356143358342,13890.137099156693,14511.801708802419,15598.650144354942,16467.161070191876,16961.45804260531,17288.964202890646,18003.998630625058,18297.83745202433,17385.206937278825,17688.55824661682,17966.51029250102,18594.901150782127,19005.0,19611.28583546453,20562.54895642218,21526.517922962514,21986.340467185088,22015.221031063254,22705.0,21803.697793531224,23803.30260713774,25552.55868152016,27439.0,pop_weighted (6 ITL3),20.849999999999998,44.379999999999995,24.64,12,74.9,14,8
Tees Valley,Existing,3,11664.824479028004,12097.529128445918,12524.575332187718,12698.945228356366,13341.183677420917,14298.760994263863,15210.717961129802,15650.567006317013,16376.27417285863,16769.34237722971,17327.435196166225,17360.05148002033,17388.98760800639,17534.42793523247,17765.29876322095,18172.0,18851.617082556815,19775.472033303486,19817.61867996224,19680.716484739936,20090.23152697437,20603.0,19902.588014618683,21076.344991165864,22790.694096860858,23935.0,pop_weighted (3 ITL3),16.17,31.71,19.139999999999997,19,65.3,20,19
York & North Yorkshire,Existing,2,14459.607265268216,14760.020622504762,15341.443544217751,16092.424230964394,17558.240275158212,18469.67442005189,19125.68545893211,19559.686011833524,20269.231447883656,21267.41743099503,21532.076369807273,20873.59090082241,20759.96268274469,21293.796750088557,21721.73494001857,22341.0,22791.26915288801,23193.650683587206,23880.85745435571,25432.126219494683,25641.673682850003,26505.0,25239.442991316337,28337.17791218681,31120.82085515419,34100.0,pop_weighted (2 ITL3),28.65,52.629999999999995,32.99,2,93.1,5,1
