msa_name,tier,n_lsoas,imd_avg_rank,imd_median_rank,pct_decile_1,pct_decile_2,pct_decile_3,pct_decile_4,pct_decile_5,pct_decile_6,pct_decile_7,pct_decile_8,pct_decile_9,pct_decile_10,pct_decile_1_2,pct_decile_9_10,n_lsoas_decile1,n_lsoas_decile2,rank_pct_decile1,rank_avg_rank,rank_median_rank
Cambridgeshire and Peterborough,Existing,516,20027.0,21444.0,4.07,6.98,6.4,7.17,8.91,11.05,13.18,17.64,12.98,11.63,11.05,24.61,21,36,19,16,17
Cheshire & Warrington,DPP,598,21038.0,23693.0,5.52,7.53,8.03,6.35,6.52,6.19,9.7,11.2,16.05,22.91,13.05,38.96,33,45,14,19,20
Cumbria,DPP,319,16322.0,16383.0,8.46,9.4,10.03,9.72,13.48,15.99,8.15,9.09,11.6,4.08,17.86,15.68,27,30,12,11,11
East Midlands,Existing,1335,16590.0,16241.0,10.34,11.99,10.34,9.74,9.51,8.91,8.76,9.66,9.81,10.94,22.33,20.75,138,160,11,12,10
Greater Essex,DPP,1111,18507.0,18579.0,4.23,7.29,8.91,12.06,11.07,12.06,10.35,11.52,13.05,9.45,11.52,22.5,47,81,18,14,14
Greater Lincolnshire,Existing,645,15439.0,15475.0,12.4,9.15,11.01,11.16,11.32,11.94,8.53,11.16,8.99,4.34,21.55,13.33,80,59,10,9,9
Greater Manchester,Established,1702,13461.0,11140.0,23.03,13.92,10.81,8.64,7.29,6.23,6.93,7.29,8.11,7.76,36.95,15.87,392,237,4,6,6
Hampshire & Solent,DPP,1142,20757.0,22098.0,4.29,5.87,6.48,9.46,7.01,10.95,11.12,11.03,14.71,19.09,10.16,33.8,49,67,17,18,19
Hull and East Yorkshire,Existing,381,15867.0,16902.0,21.78,6.82,6.04,7.61,7.61,9.71,11.55,8.92,10.24,9.71,28.6,19.95,83,26,6,10,12
Lancashire,Established,945,14586.0,13758.0,19.26,12.59,8.99,8.89,6.77,8.47,9.1,9.95,9.42,6.56,31.85,15.98,182,119,8,8,8
Liverpool City Region,Established,1003,12509.0,9994.0,28.81,12.66,8.67,7.68,7.38,6.68,6.08,8.18,7.88,5.98,41.47,13.86,289,127,2,3,3
Norfolk & Suffolk,DPP,1001,16945.0,16964.0,5.39,7.19,8.69,13.39,14.89,14.59,13.79,9.29,7.99,4.8,12.58,12.79,54,72,15,13,13
North East,Established,1257,13375.0,10928.0,18.54,17.26,11.69,10.18,9.31,4.93,5.81,7.24,6.76,8.27,35.8,15.03,233,217,9,5,5
South Yorkshire,Established,369,12398.0,9980.0,22.22,14.36,13.55,8.13,7.05,7.32,10.57,8.94,6.5,1.36,36.58,7.86,82,53,5,2,2
Sussex & Brighton,DPP,1029,19046.0,19494.0,4.66,4.18,9.23,9.91,11.95,12.93,13.31,12.05,11.27,10.5,8.84,21.77,48,43,16,15,15
Tees Valley,Existing,425,13001.0,10413.0,30.12,11.29,7.76,7.06,6.82,5.65,5.88,7.53,9.88,8.0,41.41,17.88,128,48,1,4,4
West Midlands,Established,1719,11698.0,8361.0,27.11,17.57,10.65,8.09,7.1,6.69,5.88,5.18,5.24,6.52,44.68,11.76,466,302,3,1,1
West Yorkshire,Established,1404,14013.0,12158.0,21.15,13.6,10.11,7.98,7.69,6.98,8.19,7.62,9.76,6.91,34.75,16.67,297,191,7,7,7
West of England,Established,561,20217.0,21408.0,5.88,6.42,5.35,8.73,10.87,8.38,11.05,12.48,14.08,16.76,12.3,30.84,33,36,13,17,16
York and North Yorkshire,Existing,500,21081.0,21730.0,2.0,4.2,7.0,5.4,9.4,14.0,16.4,13.0,12.6,16.0,6.2,28.6,10,21,20,20,18
