district,LAD25CD,LAD25NM,msa_name
BN9,E07000063,Lewes,Sussex & Brighton
WF13,E08000034,Kirklees,West Yorkshire
GU13,E07000089,Hart,Hampshire & Solent
RH6,E07000211,,
BD20,E08000032,Bradford,West Yorkshire
BB10,E07000117,Burnley,Lancashire
RG16,E06000037,,
CM6,E07000077,Uttlesford,Greater Essex
NG3,E06000018,Nottingham,East Midlands
SW1V,E09000033,,
B98,E07000236,,
SR2,E08000024,Sunderland,North East
BS6,E06000023,"Bristol, City of",West of England
W9,E09000033,,
KT15,E07000212,,
DL13,E06000047,County Durham,North East
NR33,E07000244,East Suffolk,Norfolk & Suffolk
BL4,E08000001,Bolton,Greater Manchester
NE15,E08000021,Newcastle upon Tyne,North East
SP5,E06000054,,
RM7,E09000016,,
NE4,E08000021,Newcastle upon Tyne,North East
NN15,E06000061,,
TQ13,E07000045,Teignbridge,Devon and Torbay
L25,E08000012,Liverpool,Liverpool City Region
CM14,E07000068,Brentwood,Greater Essex
TW20,E07000212,,
YO31,E06000014,York,York & North Yorkshire
DA7,E09000004,,
CB6,E07000009,East Cambridgeshire,Cambridgeshire & Peterborough
ST17,E07000197,,
TN4,E07000116,,
KT6,E09000021,,
SW8,E09000022,,
TN9,E07000115,,
TW15,E07000213,,
PR4,E07000119,Fylde,Lancashire
PO2,E06000044,Portsmouth,Hampshire & Solent
HR9,E06000019,,
L43,E08000015,Wirral,Liverpool City Region
LN4,E07000139,North Kesteven,Greater Lincolnshire
KT8,E07000207,,
PE3,E06000031,Peterborough,Cambridgeshire & Peterborough
SO30,E07000086,Eastleigh,Hampshire & Solent
TW11,E09000027,,
CB7,E07000009,East Cambridgeshire,Cambridgeshire & Peterborough
LS26,E08000035,Leeds,West Yorkshire
BD18,E08000032,Bradford,West Yorkshire
GL20,E07000083,,
BD5,E08000032,Bradford,West Yorkshire
TN24,E07000105,,
DA11,E07000109,,
TW8,E09000018,,
SM5,E09000029,,
HG2,E06000065,North Yorkshire,York & North Yorkshire
B11,E08000025,Birmingham,West Midlands
AL4,E07000240,,
SS6,E07000075,Rochford,Greater Essex
B14,E08000025,Birmingham,West Midlands
HU8,E06000010,"Kingston upon Hull, City of",Hull & East Yorkshire
NE63,E06000057,Northumberland,North East
WS13,E07000194,,
CH2,E06000050,Cheshire West and Chester,Cheshire & Warrington
E7,E09000025,,
DL5,E06000047,County Durham,North East
CA1,E06000063,Cumberland,Cumbria
RG13,E06000037,,
WF12,E08000034,Kirklees,West Yorkshire
SE23,E09000023,,
SR7,E06000047,County Durham,North East
WD23,E07000098,,
SE1P,E09000028,,
RG22,E07000084,Basingstoke and Deane,Hampshire & Solent
B63,E08000027,Dudley,West Midlands
M19,E08000003,Manchester,Greater Manchester
DE13,E07000193,,
LU4,E06000032,,
B73,E08000025,Birmingham,West Midlands
M1,E08000003,Manchester,Greater Manchester
EX5,E07000040,East Devon,Devon and Torbay
HP20,E06000060,,
DY11,E07000239,,
IP28,E07000245,West Suffolk,Norfolk & Suffolk
KT10,E07000207,,
MK10,E06000042,,
DH4,E08000024,Sunderland,North East
BA4,E06000066,,
BA5,E06000066,,
CT10,E07000114,,
KT2,E09000021,,
FY6,E07000128,Wyre,Lancashire
S65,E08000018,Rotherham,South Yorkshire
RG27,E07000089,Hart,Hampshire & Solent
LS22,E08000035,Leeds,West Yorkshire
M16,E08000009,Trafford,Greater Manchester
SL2,E06000039,,
NR3,E07000148,Norwich,Norfolk & Suffolk
S80,E07000171,Bassetlaw,East Midlands
NR14,E07000149,South Norfolk,Norfolk & Suffolk
HP11,E06000060,,
TN38,E07000062,Hastings,Sussex & Brighton
PO4,E06000044,Portsmouth,Hampshire & Solent
N14,E09000010,,
S61,E08000018,Rotherham,South Yorkshire
ME19,E07000115,,
DY6,E08000027,Dudley,West Midlands
RM9,E09000002,,
RM13,E09000016,,
TF9,E06000051,,
SG18,E06000056,,
LE17,E07000131,,
CT2,E07000106,,
BS35,E06000025,South Gloucestershire,West of England
GL3,E07000083,,
CV10,E07000219,,
LN2,E07000138,Lincoln,Greater Lincolnshire
CO5,E07000071,Colchester,Greater Essex
DN31,E06000012,North East Lincolnshire,Greater Lincolnshire
BS48,E06000024,,
CM16,E07000072,Epping Forest,Greater Essex
NG15,E07000170,Ashfield,East Midlands
S30,E08000019,,
W1F,E09000033,,
GU35,E07000085,East Hampshire,Hampshire & Solent
SN12,E06000054,,
SO53,E07000086,Eastleigh,Hampshire & Solent
HP3,E07000096,,
KT19,E07000208,,
E8,E09000012,,
EC1V,E09000019,,
PE31,E07000146,King's Lynn and West Norfolk,Norfolk & Suffolk
M45,E08000002,Bury,Greater Manchester
PL15,E06000052,,
M32,E08000009,Trafford,Greater Manchester
LE18,E07000135,,
PL26,E06000052,,
PO5,E06000044,Portsmouth,Hampshire & Solent
EX10,E07000040,East Devon,Devon and Torbay
WS2,E08000030,Walsall,West Midlands
CH65,E06000050,Cheshire West and Chester,Cheshire & Warrington
OL14,E08000033,Calderdale,West Yorkshire
SS2,E06000033,Southend-on-Sea,Greater Essex
RM12,E09000016,,
WV14,E08000031,Wolverhampton,West Midlands
DY2,E08000027,Dudley,West Midlands
KT20,E07000211,,
DN35,E06000012,North East Lincolnshire,Greater Lincolnshire
DL7,E06000065,North Yorkshire,York & North Yorkshire
CT16,E07000108,,
HU7,E06000010,"Kingston upon Hull, City of",Hull & East Yorkshire
RG2,E06000038,,
SG8,E07000099,,
DN6,E08000017,Doncaster,South Yorkshire
CO7,E07000076,Tendring,Greater Essex
TA20,E06000066,,
SS17,E06000034,Thurrock,Greater Essex
L37,E08000014,Sefton,Liverpool City Region
BH22,E06000059,,
CH62,E08000015,Wirral,Liverpool City Region
UB4,E09000017,,
EX15,E07000042,Mid Devon,Devon and Torbay
LA4,E07000121,Lancaster,Lancashire
UB7,E09000017,,
DA8,E09000004,,
DT9,E06000059,,
BS2,E06000023,"Bristol, City of",West of England
CR7,E09000008,,
AL2,E07000240,,
RM17,E06000034,Thurrock,Greater Essex
ME9,E07000113,,
SN11,E06000054,,
WN6,E08000010,Wigan,Greater Manchester
NR2,E07000148,Norwich,Norfolk & Suffolk
IP22,E07000149,South Norfolk,Norfolk & Suffolk
TR13,E06000052,,
SE22,E09000028,,
MK43,E06000055,,
CB3,E07000012,South Cambridgeshire,Cambridgeshire & Peterborough
L8,E08000012,Liverpool,Liverpool City Region
NR1,E07000148,Norwich,Norfolk & Suffolk
B76,E08000025,Birmingham,West Midlands
ST7,E07000195,,
BD19,E08000034,Kirklees,West Yorkshire
GL15,E07000080,,
EX13,E07000040,East Devon,Devon and Torbay
HR6,E06000019,,
L23,E08000014,Sefton,Liverpool City Region
E13,E09000025,,
SP1,E06000054,,
SG5,E07000099,,
CB23,E07000012,South Cambridgeshire,Cambridgeshire & Peterborough
SK1,E08000007,Stockport,Greater Manchester
BH14,E06000058,,
LN6,E07000138,Lincoln,Greater Lincolnshire
BS21,E06000024,,
BB12,E07000117,Burnley,Lancashire
L31,E08000014,Sefton,Liverpool City Region
ME16,E07000110,,
BN17,E07000224,Arun,Sussex & Brighton
CH63,E08000015,Wirral,Liverpool City Region
TN21,E07000065,Wealden,Sussex & Brighton
UB10,E09000017,,
CO16,E07000076,Tendring,Greater Essex
LA3,E07000121,Lancaster,Lancashire
LS25,E08000035,Leeds,West Yorkshire
SW20,E09000024,,
SK3,E08000007,Stockport,Greater Manchester
TW12,E09000027,,
HX6,E08000033,Calderdale,West Yorkshire
KT16,E07000212,,
L66,E06000050,Cheshire West and Chester,Cheshire & Warrington
S35,E08000019,,
N21,E09000010,,
W1D,E09000033,,
NG6,E06000018,Nottingham,East Midlands
TS23,E06000004,Stockton-on-Tees,Tees Valley
SG2,E07000243,,
SN25,E06000030,,
B66,E08000028,Sandwell,West Midlands
CV8,E07000222,,
B18,E08000025,Birmingham,West Midlands
B33,E08000025,Birmingham,West Midlands
PL9,E06000026,,
BH20,E06000059,,
W1J,E09000033,,
BN13,E07000229,Worthing,Sussex & Brighton
BN22,E07000061,Eastbourne,Sussex & Brighton
TR7,E06000052,,
OX15,E07000177,,
CM13,E07000068,Brentwood,Greater Essex
TQ4,E06000027,Torbay,Devon and Torbay
TR15,E06000052,,
BN14,E07000229,Worthing,Sussex & Brighton
B37,E08000029,Solihull,West Midlands
BD8,E08000032,Bradford,West Yorkshire
CH45,E08000015,Wirral,Liverpool City Region
NE9,E08000037,Gateshead,North East
RM1,E09000016,,
CB9,E07000245,West Suffolk,Norfolk & Suffolk
L4,E08000012,Liverpool,Liverpool City Region
CB24,E07000012,South Cambridgeshire,Cambridgeshire & Peterborough
PE9,E07000141,South Kesteven,Greater Lincolnshire
CV22,E07000220,,
PE25,E07000137,East Lindsey,Greater Lincolnshire
L45,E08000015,Wirral,Liverpool City Region
WN5,E08000010,Wigan,Greater Manchester
HX7,E08000033,Calderdale,West Yorkshire
WR4,E07000237,,
DN32,E06000012,North East Lincolnshire,Greater Lincolnshire
WN3,E08000010,Wigan,Greater Manchester
WV3,E08000031,Wolverhampton,West Midlands
WD17,E07000103,,
ST10,E07000198,,
BH24,E07000091,New Forest,Hampshire & Solent
PO13,E07000088,Gosport,Hampshire & Solent
SG14,E07000242,,
BD7,E08000032,Bradford,West Yorkshire
CH44,E08000015,Wirral,Liverpool City Region
GL54,E07000079,,
B5,E08000025,Birmingham,West Midlands
CV4,E08000026,Coventry,West Midlands
BN15,E07000223,Adur,Sussex & Brighton
FY3,E06000009,Blackpool,Lancashire
NE10,E08000037,Gateshead,North East
PR3,E07000128,Wyre,Lancashire
BH8,E06000058,,
SO22,E07000094,Winchester,Hampshire & Solent
BD6,E08000032,Bradford,West Yorkshire
B92,E08000029,Solihull,West Midlands
L44,E08000015,Wirral,Liverpool City Region
BS30,E06000025,South Gloucestershire,West of England
S43,E07000034,Chesterfield,East Midlands
E1W,E09000030,,
HP17,E06000060,,
YO32,E06000014,York,York & North Yorkshire
TA2,E06000066,,
WR10,E07000238,,
B30,E08000025,Birmingham,West Midlands
ME3,E06000035,,
TQ3,E06000027,Torbay,Devon and Torbay
SY8,E06000051,,
SK15,E08000008,Tameside,Greater Manchester
BD10,E08000032,Bradford,West Yorkshire
L62,E08000015,Wirral,Liverpool City Region
BA21,E06000066,,
W1G,E09000033,,
TF3,E06000020,,
IP24,E07000143,Breckland,Norfolk & Suffolk
M12,E08000003,Manchester,Greater Manchester
SK2,E08000007,Stockport,Greater Manchester
RG17,E06000037,,
DN37,E06000012,North East Lincolnshire,Greater Lincolnshire
TW16,E07000213,,
SG13,E07000242,,
HG5,E06000065,North Yorkshire,York & North Yorkshire
WS14,E07000194,,
NE32,E08000023,South Tyneside,North East
PL12,E06000052,,
N20,E09000003,,
NR12,E07000147,North Norfolk,Norfolk & Suffolk
BH9,E06000058,,
HA6,E09000017,,
LE8,E07000129,,
L63,E08000015,Wirral,Liverpool City Region
DE55,E07000032,Amber Valley,East Midlands
LE13,E07000133,,
PE10,E07000141,South Kesteven,Greater Lincolnshire
SW1P,E09000033,,
SK12,E07000037,High Peak,East Midlands
BD2,E08000032,Bradford,West Yorkshire
MK6,E06000042,,
MK16,E06000042,,
PL3,E06000026,,
W1T,E09000007,,
SO21,E07000094,Winchester,Hampshire & Solent
SN4,E06000054,,
ST15,E07000197,,
WS9,E08000030,Walsall,West Midlands
DN16,E06000013,North Lincolnshire,Greater Lincolnshire
HP6,E06000060,,
N18,E09000010,,
FY7,E07000128,Wyre,Lancashire
B6,E08000025,Birmingham,West Midlands
CT21,E07000112,,
BD3,E08000032,Bradford,West Yorkshire
HU12,E06000011,East Riding of Yorkshire,Hull & East Yorkshire
N10,E09000014,,
PL19,E07000047,West Devon,Devon and Torbay
HD4,E08000034,Kirklees,West Yorkshire
DN3,E08000017,Doncaster,South Yorkshire
BA22,E06000066,,
DL12,E06000047,County Durham,North East
HD5,E08000034,Kirklees,West Yorkshire
W1S,E09000033,,
HP23,E07000096,,
SS16,E07000066,Basildon,Greater Essex
RM11,E09000016,,
NE38,E08000024,Sunderland,North East
TW2,E09000027,,
PR25,E07000126,South Ribble,Lancashire
S73,E08000016,,
NE30,E08000022,North Tyneside,North East
N13,E09000010,,
GL53,E07000078,,
MK3,E06000042,,
CR5,E09000008,,
SE8,E09000023,,
BS24,E06000024,,
B2,E08000025,Birmingham,West Midlands
WA12,E08000013,St. Helens,Liverpool City Region
L9,E08000012,Liverpool,Liverpool City Region
CV23,E07000220,,
S42,E07000038,North East Derbyshire,East Midlands
B93,E08000029,Solihull,West Midlands
S3,E08000019,,
HP12,E06000060,,
LS19,E08000035,Leeds,West Yorkshire
GL14,E07000080,,
HP9,E06000060,,
DH2,E06000047,County Durham,North East
HP10,E06000060,,
B15,E08000025,Birmingham,West Midlands
B28,E08000025,Birmingham,West Midlands
WS15,E07000192,,
L13,E08000012,Liverpool,Liverpool City Region
W7,E09000009,,
S20,E08000019,,
RM14,E09000016,,
TN39,E07000064,Rother,Sussex & Brighton
PL2,E06000026,,
EX34,E07000043,North Devon,Devon and Torbay
NE99,E08000021,Newcastle upon Tyne,North East
N2,E09000003,,
W1V,E09000033,,
L18,E08000012,Liverpool,Liverpool City Region
YO42,E06000011,East Riding of Yorkshire,Hull & East Yorkshire
B62,E08000027,Dudley,West Midlands
IP3,E07000202,Ipswich,Norfolk & Suffolk
TN40,E07000064,Rother,Sussex & Brighton
BS31,E06000022,Bath and North East Somerset,West of England
YO26,E06000014,York,York & North Yorkshire
TQ14,E07000045,Teignbridge,Devon and Torbay
SE26,E09000023,,
PO18,E07000225,Chichester,Sussex & Brighton
S31,E08000018,Rotherham,South Yorkshire
L65,E06000050,Cheshire West and Chester,Cheshire & Warrington
WV4,E08000031,Wolverhampton,West Midlands
DA15,E09000004,,
TW18,E07000213,,
W1W,E09000033,,
CT19,E07000112,,
NN13,E06000062,,
OL13,E07000125,Rossendale,Lancashire
BD17,E08000032,Bradford,West Yorkshire
EX23,E06000052,,
IP2,E07000202,Ipswich,Norfolk & Suffolk
NR34,E07000244,East Suffolk,Norfolk & Suffolk
DN20,E06000013,North Lincolnshire,Greater Lincolnshire
DY3,E08000027,Dudley,West Midlands
GU8,E07000216,,
ST2,E06000021,,
YO24,E06000014,York,York & North Yorkshire
SN13,E06000054,,
B61,E07000234,,
NR21,E07000147,North Norfolk,Norfolk & Suffolk
TN17,E07000116,,
IP17,E07000244,East Suffolk,Norfolk & Suffolk
ST14,E07000193,,
WF5,E08000036,Wakefield,West Yorkshire
WR1,E07000237,,
LA2,E07000121,Lancaster,Lancashire
IP5,E07000244,East Suffolk,Norfolk & Suffolk
TQ5,E06000027,Torbay,Devon and Torbay
S12,E08000019,,
SE3,E09000011,,
CM12,E07000066,Basildon,Greater Essex
SK5,E08000007,Stockport,Greater Manchester
TF7,E06000020,,
BS13,E06000023,"Bristol, City of",West of England
KT11,E07000207,,
CM15,E07000068,Brentwood,Greater Essex
SY13,E06000051,,
SS15,E07000066,Basildon,Greater Essex
SP3,E06000054,,
RH17,E07000228,Mid Sussex,Sussex & Brighton
MK44,E06000055,,
BS10,E06000023,"Bristol, City of",West of England
SM4,E09000024,,
BA20,E06000066,,
RM10,E09000002,,
CH42,E08000015,Wirral,Liverpool City Region
CO12,E07000076,Tendring,Greater Essex
CV47,E07000221,,
W1R,E09000033,,
BL5,E08000001,Bolton,Greater Manchester
TS26,E06000001,Hartlepool,Tees Valley
NG22,E07000175,Newark and Sherwood,East Midlands
SW12,E09000032,,
DY13,E07000239,,
B75,E08000025,Birmingham,West Midlands
SY10,E06000051,,
M4,E08000003,Manchester,Greater Manchester
TS12,E06000003,Redcar and Cleveland,Tees Valley
NR19,E07000143,Breckland,Norfolk & Suffolk
NR18,E07000149,South Norfolk,Norfolk & Suffolk
TW10,E09000027,,
W1Y,E09000033,,
GU10,E07000216,,
SW10,E09000020,,
TW14,E09000018,,
DL15,E06000047,County Durham,North East
DT3,E06000059,,
L1,E08000012,Liverpool,Liverpool City Region
B9,E08000025,Birmingham,West Midlands
YO21,E06000065,North Yorkshire,York & North Yorkshire
CV12,E07000219,,
SM2,E09000029,,
NR20,E07000143,Breckland,Norfolk & Suffolk
N5,E09000019,,
CB10,E07000077,Uttlesford,Greater Essex
DL6,E06000065,North Yorkshire,York & North Yorkshire
RH5,E07000210,,
TN8,E07000111,,
N1P,E09000019,,
SE14,E09000023,,
L33,E08000011,Knowsley,Liverpool City Region
B44,E08000025,Birmingham,West Midlands
B17,E08000025,Birmingham,West Midlands
IP7,E07000200,Babergh,Norfolk & Suffolk
L12,E08000012,Liverpool,Liverpool City Region
B71,E08000028,Sandwell,West Midlands
MK14,E06000042,,
CA3,E06000063,Cumberland,Cumbria
WS10,E08000028,Sandwell,West Midlands
GU6,E07000216,,
BN43,E07000223,Adur,Sussex & Brighton
RM15,E06000034,Thurrock,Greater Essex
E9,E09000012,,
LS2,E08000035,Leeds,West Yorkshire
SE4,E09000023,,
SE20,E09000006,,
TW6,E09000017,,
L2,E08000012,Liverpool,Liverpool City Region
WD24,E07000103,,
BS11,E06000023,"Bristol, City of",West of England
HU15,E06000011,East Riding of Yorkshire,Hull & East Yorkshire
B42,E08000025,Birmingham,West Midlands
DE6,E07000035,Derbyshire Dales,East Midlands
WV16,E06000051,,
S63,E08000018,Rotherham,South Yorkshire
CH49,E08000015,Wirral,Liverpool City Region
DN7,E08000017,Doncaster,South Yorkshire
BA13,E06000054,,
YO10,E06000014,York,York & North Yorkshire
RM8,E09000002,,
HU1,E06000010,"Kingston upon Hull, City of",Hull & East Yorkshire
BN23,E07000061,Eastbourne,Sussex & Brighton
SS5,E07000075,Rochford,Greater Essex
B67,E08000028,Sandwell,West Midlands
DL16,E06000047,County Durham,North East
LE14,E07000133,,
TN31,E07000064,Rother,Sussex & Brighton
MK4,E06000042,,
B8,E08000025,Birmingham,West Midlands
BA6,E06000066,,
GL11,E07000082,,
IG6,E09000026,,
WR5,E07000237,,
EN9,E07000072,Epping Forest,Greater Essex
TR26,E06000052,,
HU6,E06000010,"Kingston upon Hull, City of",Hull & East Yorkshire
NN18,E06000061,,
PL21,E07000044,South Hams,Devon and Torbay
M15,E08000003,Manchester,Greater Manchester
B21,E08000025,Birmingham,West Midlands
GU32,E07000085,East Hampshire,Hampshire & Solent
CA10,E06000064,Westmorland and Furness,Cumbria
HD3,E08000034,Kirklees,West Yorkshire
TR16,E06000052,,
BS7,E06000023,"Bristol, City of",West of England
YO30,E06000014,York,York & North Yorkshire
TN14,E07000111,,
S72,E08000016,,
PE4,E06000031,Peterborough,Cambridgeshire & Peterborough
NR10,E07000144,Broadland,Norfolk & Suffolk
B12,E08000025,Birmingham,West Midlands
B24,E08000025,Birmingham,West Midlands
GL17,E07000080,,
L42,E08000015,Wirral,Liverpool City Region
W1M,E09000033,,
TA3,E06000066,,
MK13,E06000042,,
M13,E08000003,Manchester,Greater Manchester
HD2,E08000034,Kirklees,West Yorkshire
L5,E08000012,Liverpool,Liverpool City Region
GU27,E07000216,,
SE19,E09000008,,
CH64,E06000050,Cheshire West and Chester,Cheshire & Warrington
HP18,E06000060,,
NE37,E08000024,Sunderland,North East
B20,E08000025,Birmingham,West Midlands
CV9,E07000218,,
TA21,E06000066,,
NE16,E08000037,Gateshead,North East
YO61,E06000065,North Yorkshire,York & North Yorkshire
WF3,E08000035,Leeds,West Yorkshire
L17,E08000012,Liverpool,Liverpool City Region
RG10,E06000041,,
W1X,E09000033,,
SS4,E07000075,Rochford,Greater Essex
WV11,E08000031,Wolverhampton,West Midlands
BH11,E06000058,,
SG19,E06000056,,
BN4,E07000223,Adur,Sussex & Brighton
CA13,E06000063,Cumberland,Cumbria
BN6,E07000228,Mid Sussex,Sussex & Brighton
DA16,E09000004,,
M43,E08000008,Tameside,Greater Manchester
S62,E08000018,Rotherham,South Yorkshire
DN12,E08000017,Doncaster,South Yorkshire
SW5,E09000020,,
LS21,E08000035,Leeds,West Yorkshire
PE27,E07000011,Huntingdonshire,Cambridgeshire & Peterborough
NG11,E06000018,Nottingham,East Midlands
BN50,E06000043,Brighton and Hove,Sussex & Brighton
IG3,E09000026,,
PO38,E06000046,Isle of Wight,Hampshire & Solent
WF14,E08000034,Kirklees,West Yorkshire
WV2,E08000031,Wolverhampton,West Midlands
B1,E08000025,Birmingham,West Midlands
DY9,E08000027,Dudley,West Midlands
TN25,E07000105,,
NE21,E08000037,Gateshead,North East
OL3,E08000004,Oldham,Greater Manchester
BS39,E06000022,Bath and North East Somerset,West of England
BR7,E09000006,,
EX6,E07000045,Teignbridge,Devon and Torbay
L21,E08000014,Sefton,Liverpool City Region
N4,E09000014,,
B26,E08000025,Birmingham,West Midlands
SN7,E07000180,,
DN2,E08000017,Doncaster,South Yorkshire
GU17,E07000089,Hart,Hampshire & Solent
BD9,E08000032,Bradford,West Yorkshire
HP14,E06000060,,
YO15,E06000011,East Riding of Yorkshire,Hull & East Yorkshire
BH17,E06000058,,
NE26,E08000022,North Tyneside,North East
PO15,E07000087,Fareham,Hampshire & Solent
CB11,E07000077,Uttlesford,Greater Essex
L19,E08000012,Liverpool,Liverpool City Region
L11,E08000012,Liverpool,Liverpool City Region
L15,E08000012,Liverpool,Liverpool City Region
CM0,E07000074,Maldon,Greater Essex
BN20,E07000061,Eastbourne,Sussex & Brighton
DA14,E09000004,,
NE11,E08000037,Gateshead,North East
ME20,E07000115,,
L40,E07000127,West Lancashire,Lancashire
L49,E08000015,Wirral,Liverpool City Region
HU10,E06000011,East Riding of Yorkshire,Hull & East Yorkshire
BH6,E06000058,,
B3,E08000025,Birmingham,West Midlands
WD7,E07000098,,
BN18,E07000224,Arun,Sussex & Brighton
PO36,E06000046,Isle of Wight,Hampshire & Solent
IP6,E07000203,Mid Suffolk,Norfolk & Suffolk
TN1,E07000116,,
SK23,E07000037,High Peak,East Midlands
L64,E06000050,Cheshire West and Chester,Cheshire & Warrington
PE20,E07000136,Boston,Greater Lincolnshire
TF10,E06000020,,
BN10,E07000063,Lewes,Sussex & Brighton
PL27,E06000052,,
TR27,E06000052,,
NR15,E07000149,South Norfolk,Norfolk & Suffolk
SE27,E09000022,,
BD12,E08000032,Bradford,West Yorkshire
BS32,E06000025,South Gloucestershire,West of England
SE7,E09000011,,
LS18,E08000035,Leeds,West Yorkshire
SW1W,E09000033,,
TD15,E06000057,Northumberland,North East
WR2,E07000237,,
MK8,E06000042,,
YO62,E06000065,North Yorkshire,York & North Yorkshire
TW5,E09000018,,
CH46,E08000015,Wirral,Liverpool City Region
FY2,E06000009,Blackpool,Lancashire
NR28,E07000147,North Norfolk,Norfolk & Suffolk
B68,E08000028,Sandwell,West Midlands
IP25,E07000143,Breckland,Norfolk & Suffolk
BS14,E06000023,"Bristol, City of",West of England
SN16,E06000054,,
DH3,E06000047,County Durham,North East
SS13,E07000066,Basildon,Greater Essex
BN8,E07000063,Lewes,Sussex & Brighton
M2,E08000003,Manchester,Greater Manchester
DE65,E07000039,South Derbyshire,East Midlands
CH4,E06000050,Cheshire West and Chester,Cheshire & Warrington
SO32,E07000094,Winchester,Hampshire & Solent
BN12,E07000229,Worthing,Sussex & Brighton
B19,E08000025,Birmingham,West Midlands
TA7,E06000066,,
LN1,E07000138,Lincoln,Greater Lincolnshire
CT17,E07000108,,
DN11,E08000017,Doncaster,South Yorkshire
SP8,E06000059,,
W1N,E09000033,,
RG8,E06000037,,
MK9,E06000042,,
CT12,E07000114,,
EC2M,E09000001,,
SP6,E07000091,New Forest,Hampshire & Solent
RH8,E07000215,,
BR8,E07000111,,
SR1,E08000024,Sunderland,North East
TF4,E06000020,,
PO11,E07000090,Havant,Hampshire & Solent
EN4,E09000003,,
WF6,E08000036,Wakefield,West Yorkshire
NE2,E08000021,Newcastle upon Tyne,North East
E12,E09000025,,
RG19,E06000037,,
CO6,E07000071,Colchester,Greater Essex
DH5,E08000024,Sunderland,North East
BB18,E07000122,Pendle,Lancashire
SW14,E09000027,,
CT15,E07000108,,
NR17,E07000143,Breckland,Norfolk & Suffolk
M18,E08000003,Manchester,Greater Manchester
B46,E07000218,,
M46,E08000010,Wigan,Greater Manchester
CB22,E07000012,South Cambridgeshire,Cambridgeshire & Peterborough
CA15,E06000063,Cumberland,Cumbria
L6,E08000012,Liverpool,Liverpool City Region
IP19,E07000244,East Suffolk,Norfolk & Suffolk
NE47,E06000057,Northumberland,North East
TW4,E09000018,,
BH19,E06000059,,
TS20,E06000004,Stockton-on-Tees,Tees Valley
L32,E08000011,Knowsley,Liverpool City Region
L7,E08000012,Liverpool,Liverpool City Region
SM7,E07000211,,
S13,E08000019,,
SW1Y,E09000033,,
WF7,E08000036,Wakefield,West Yorkshire
TN12,E07000116,,
IG2,E09000026,,
NR29,E07000145,Great Yarmouth,Norfolk & Suffolk
RG18,E06000037,,
BN26,E07000065,Wealden,Sussex & Brighton
HR8,E06000019,,
TW17,E07000213,,
LE65,E07000134,,
S25,E08000018,Rotherham,South Yorkshire
DL2,E06000005,Darlington,Tees Valley
E18,E09000026,,
MK7,E06000042,,
TR8,E06000052,,
HP15,E06000060,,
DA2,E07000107,,
CV35,E07000221,,
SW13,E09000027,,
M35,E08000004,Oldham,Greater Manchester
NE31,E08000023,South Tyneside,North East
RG20,E06000037,,
WN4,E08000010,Wigan,Greater Manchester
SY2,E06000051,,
TN37,E07000062,Hastings,Sussex & Brighton
LA23,E06000064,Westmorland and Furness,Cumbria
TN15,E07000111,,
LN8,E07000142,West Lindsey,Greater Lincolnshire
NG23,E07000175,Newark and Sherwood,East Midlands
CT4,E07000106,,
KT9,E09000021,,
HP27,E06000060,,
TS14,E06000003,Redcar and Cleveland,Tees Valley
MK11,E06000042,,
CW6,E06000050,Cheshire West and Chester,Cheshire & Warrington
EN7,E07000095,,
RG5,E06000041,,
OL15,E08000005,Rochdale,Greater Manchester
LE19,E07000129,,
WC1H,E09000007,,
SP7,E06000059,,
GU4,E07000209,,
UB2,E09000009,,
L46,E08000015,Wirral,Liverpool City Region
CH48,E08000015,Wirral,Liverpool City Region
SR6,E08000024,Sunderland,North East
TN26,E07000105,,
PL31,E06000052,,
DL17,E06000047,County Durham,North East
TS4,E06000002,Middlesbrough,Tees Valley
ST8,E07000198,,
DY12,E07000239,,
DN33,E06000012,North East Lincolnshire,Greater Lincolnshire
NE22,E06000057,Northumberland,North East
BA15,E06000054,,
M3,E08000003,Manchester,Greater Manchester
HU16,E06000011,East Riding of Yorkshire,Hull & East Yorkshire
TN29,E07000112,,
TN33,E07000064,Rother,Sussex & Brighton
AL9,E07000241,,
L30,E08000014,Sefton,Liverpool City Region
ST18,E07000197,,
TA8,E06000066,,
S26,E08000018,Rotherham,South Yorkshire
SE11,E09000022,,
MK5,E06000042,,
EX7,E07000045,Teignbridge,Devon and Torbay
LA5,E07000121,Lancaster,Lancashire
PL30,E06000052,,
HP16,E06000060,,
B79,E07000199,,
WD25,E07000103,,
BN41,E06000043,Brighton and Hove,Sussex & Brighton
CM18,E07000073,Harlow,Greater Essex
EX22,E07000046,Torridge,Devon and Torbay
PE24,E07000137,East Lindsey,Greater Lincolnshire
NE40,E08000037,Gateshead,North East
GU29,E07000225,Chichester,Sussex & Brighton
NG32,E07000141,South Kesteven,Greater Lincolnshire
CM5,E07000072,Epping Forest,Greater Essex
B65,E08000028,Sandwell,West Midlands
SO17,E06000045,Southampton,Hampshire & Solent
OX13,E07000180,,
CA6,E06000063,Cumberland,Cumbria
AL8,E07000241,,
NR6,E07000144,Broadland,Norfolk & Suffolk
YO23,E06000014,York,York & North Yorkshire
GU47,E06000036,,
EX12,E07000040,East Devon,Devon and Torbay
NE20,E06000057,Northumberland,North East
CA8,E06000063,Cumberland,Cumbria
BH10,E06000058,,
BR4,E09000006,,
TS9,E06000065,North Yorkshire,York & North Yorkshire
