district,LAD25CD,LAD25NM,msa_name
SK14,E08000008,Tameside,Greater Manchester
HA3,E09000015,,
S6,E08000019,,
UB3,E09000017,,
HA8,E09000003,,
CT9,E07000114,,
NG7,E06000018,Nottingham,East Midlands
WD6,E07000098,,
EX2,E07000041,Exeter,Devon and Torbay
W4,E09000018,,
HA1,E09000015,,
RH16,E07000228,Mid Sussex,Sussex & Brighton
BS1,E06000023,"Bristol, City of",West of England
HX3,E08000033,Calderdale,West Yorkshire
NN4,E06000062,,
NW11,E09000003,,
RG24,E07000084,Basingstoke and Deane,Hampshire & Solent
N17,E09000014,,
L69,E08000012,Liverpool,Liverpool City Region
NG8,E06000018,Nottingham,East Midlands
SN3,E06000030,,
GU2,E07000209,,
M21,E08000003,Manchester,Greater Manchester
LS1,E08000035,Leeds,West Yorkshire
M8,E08000003,Manchester,Greater Manchester
PE11,E07000140,South Holland,Greater Lincolnshire
ME15,E07000110,,
EN1,E09000010,,
HX1,E08000033,Calderdale,West Yorkshire
LU1,E06000032,,
DN4,E08000017,Doncaster,South Yorkshire
CO4,E07000071,Colchester,Greater Essex
LS17,E08000035,Leeds,West Yorkshire
NG24,E07000175,Newark and Sherwood,East Midlands
GU34,E07000085,East Hampshire,Hampshire & Solent
BR6,E09000006,,
YO2,E06000014,York,York & North Yorkshire
PE18,E07000011,Huntingdonshire,Cambridgeshire & Peterborough
BL9,E08000002,Bury,Greater Manchester
PE30,E07000146,King's Lynn and West Norfolk,Norfolk & Suffolk
WA14,E08000009,Trafford,Greater Manchester
S60,E08000018,Rotherham,South Yorkshire
DY8,E08000027,Dudley,West Midlands
HA2,E09000015,,
CM9,E07000074,Maldon,Greater Essex
S40,E07000034,Chesterfield,East Midlands
GL1,E07000081,,
NG18,E07000174,Mansfield,East Midlands
PO20,E07000225,Chichester,Sussex & Brighton
NN1,E06000062,,
SO16,E06000045,Southampton,Hampshire & Solent
DE7,E07000036,Erewash,East Midlands
BS17,E06000025,South Gloucestershire,West of England
DA1,E07000107,,
LE67,E07000134,,
WD1,E07000103,,
MK42,E06000055,,
DH8,E06000047,County Durham,North East
GL50,E07000078,,
LE1,E06000016,,
WA16,E06000049,Cheshire East,Cheshire & Warrington
GU15,E07000214,,
RH19,E07000228,Mid Sussex,Sussex & Brighton
PO1,E06000044,Portsmouth,Hampshire & Solent
MK18,E06000060,,
CM23,E07000242,,
CW9,E06000050,Cheshire West and Chester,Cheshire & Warrington
WF2,E08000036,Wakefield,West Yorkshire
DN14,E06000011,East Riding of Yorkshire,Hull & East Yorkshire
SW3,E09000020,,
IG11,E09000002,,
NG1,E06000018,Nottingham,East Midlands
GU22,E07000217,,
PL1,E06000026,,
BN21,E07000061,Eastbourne,Sussex & Brighton
ME10,E07000113,,
SO23,E07000094,Winchester,Hampshire & Solent
HU17,E06000011,East Riding of Yorkshire,Hull & East Yorkshire
HA0,E09000005,,
NE12,E08000022,North Tyneside,North East
N7,E09000019,,
SY1,E06000051,,
M26,E08000002,Bury,Greater Manchester
LS29,E08000032,Bradford,West Yorkshire
CA14,E06000063,Cumberland,Cumbria
DL14,E06000047,County Durham,North East
S66,E08000018,Rotherham,South Yorkshire
E3,E09000030,,
EX39,E07000046,Torridge,Devon and Torbay
SE6,E09000023,,
RG40,E06000041,,
HU9,E06000010,"Kingston upon Hull, City of",Hull & East Yorkshire
BB1,E06000008,Blackburn with Darwen,Lancashire
NW6,E09000005,,
BD1,E08000032,Bradford,West Yorkshire
SK7,E08000007,Stockport,Greater Manchester
W6,E09000013,,
WA9,E08000013,St. Helens,Liverpool City Region
HR1,E06000019,,
YO6,E06000065,North Yorkshire,York & North Yorkshire
M14,E08000003,Manchester,Greater Manchester
SN10,E06000054,,
OX6,E07000177,,
SP10,E07000093,Test Valley,Hampshire & Solent
LS11,E08000035,Leeds,West Yorkshire
BS5,E06000023,"Bristol, City of",West of England
NE6,E08000021,Newcastle upon Tyne,North East
SS7,E07000069,Castle Point,Greater Essex
BS23,E06000024,,
PR6,E07000118,Chorley,Lancashire
KT12,E07000207,,
RG6,E06000041,,
HA5,E09000015,,
TW3,E09000018,,
SM1,E09000029,,
LA14,E06000064,Westmorland and Furness,Cumbria
MK40,E06000055,,
IP11,E07000244,East Suffolk,Norfolk & Suffolk
BL8,E08000002,Bury,Greater Manchester
N22,E09000014,,
RG9,E07000179,,
NG31,E07000141,South Kesteven,Greater Lincolnshire
SW16,E09000022,,
AL5,E07000240,,
DE5,E07000032,Amber Valley,East Midlands
SO41,E07000091,New Forest,Hampshire & Solent
SW17,E09000032,,
DL3,E06000005,Darlington,Tees Valley
DN22,E07000171,Bassetlaw,East Midlands
S2,E08000019,,
EX16,E07000042,Mid Devon,Devon and Torbay
OX1,E07000178,,
SK13,E07000037,High Peak,East Midlands
CV2,E08000026,Coventry,West Midlands
GU9,E07000216,,
NW4,E09000003,,
BS22,E06000024,,
BB8,E07000122,Pendle,Lancashire
S75,E08000016,,
TS19,E06000004,Stockton-on-Tees,Tees Valley
W12,E09000013,,
SR5,E08000024,Sunderland,North East
DE23,E06000015,Derby,East Midlands
LS28,E08000035,Leeds,West Yorkshire
W1U,E09000033,,
CV1,E08000026,Coventry,West Midlands
PE12,E07000140,South Holland,Greater Lincolnshire
BS18,E06000022,Bath and North East Somerset,West of England
WN7,E08000010,Wigan,Greater Manchester
PE29,E07000011,Huntingdonshire,Cambridgeshire & Peterborough
E4,E09000031,,
SS9,E06000033,Southend-on-Sea,Greater Essex
WR14,E07000235,,
TF2,E06000020,,
M30,E08000006,Salford,Greater Manchester
PO9,E07000090,Havant,Hampshire & Solent
M5,E08000006,Salford,Greater Manchester
DN21,E07000142,West Lindsey,Greater Lincolnshire
NW5,E09000007,,
NN14,E06000061,,
LE3,E06000016,,
PO14,E07000087,Fareham,Hampshire & Solent
SG6,E07000099,,
ME8,E06000035,,
M60,E08000003,Manchester,Greater Manchester
SK11,E06000049,Cheshire East,Cheshire & Warrington
B31,E08000025,Birmingham,West Midlands
BH1,E06000058,,
WV1,E08000031,Wolverhampton,West Midlands
ST1,E06000021,,
RG42,E06000036,,
PE21,E07000136,Boston,Greater Lincolnshire
SE9,E09000011,,
UB8,E09000017,,
SW4,E09000022,,
B90,E08000029,Solihull,West Midlands
HR2,E06000019,,
OX10,E07000179,,
DT4,E06000059,,
PO30,E06000046,Isle of Wight,Hampshire & Solent
W8,E09000020,,
EN8,E07000095,,
S10,E08000019,,
TN13,E07000111,,
CV21,E07000220,,
LS27,E08000035,Leeds,West Yorkshire
BS20,E06000024,,
DA12,E07000109,,
CM3,E07000070,Chelmsford,Greater Essex
HD9,E08000034,Kirklees,West Yorkshire
CV34,E07000222,,
OL1,E08000004,Oldham,Greater Manchester
WN2,E08000010,Wigan,Greater Manchester
NE23,E06000057,Northumberland,North East
M7,E08000006,Salford,Greater Manchester
S1,E08000019,,
TQ1,E06000027,Torbay,Devon and Torbay
CT1,E07000106,,
WF17,E08000034,Kirklees,West Yorkshire
TS10,E06000003,Redcar and Cleveland,Tees Valley
BB7,E07000124,Ribble Valley,Lancashire
DH7,E06000047,County Durham,North East
HA7,E09000015,,
AL7,E07000241,,
MK45,E06000056,,
CO3,E07000071,Colchester,Greater Essex
HG3,E06000065,North Yorkshire,York & North Yorkshire
HU3,E06000010,"Kingston upon Hull, City of",Hull & East Yorkshire
BB11,E07000117,Burnley,Lancashire
BN27,E07000065,Wealden,Sussex & Brighton
TN22,E07000065,Wealden,Sussex & Brighton
EN3,E09000010,,
B77,E07000199,,
NW9,E09000003,,
SO40,E07000091,New Forest,Hampshire & Solent
LS8,E08000035,Leeds,West Yorkshire
GL6,E07000082,,
OL11,E08000005,Rochdale,Greater Manchester
RH11,E07000226,Crawley,Sussex & Brighton
LS16,E08000035,Leeds,West Yorkshire
NR32,E07000244,East Suffolk,Norfolk & Suffolk
TR1,E06000052,,
LE10,E07000132,,
DE4,E07000035,Derbyshire Dales,East Midlands
CT14,E07000108,,
PO12,E07000088,Gosport,Hampshire & Solent
MK41,E06000055,,
SP4,E06000054,,
ST16,E07000197,,
WF4,E08000036,Wakefield,West Yorkshire
GL2,E07000081,,
BA11,E06000066,,
EX8,E07000040,East Devon,Devon and Torbay
SG12,E07000242,,
LE7,E07000130,,
SN1,E06000030,,
NG34,E07000139,North Kesteven,Greater Lincolnshire
CW12,E06000049,Cheshire East,Cheshire & Warrington
LN11,E07000137,East Lindsey,Greater Lincolnshire
DH9,E06000047,County Durham,North East
TR11,E06000052,,
B91,E08000029,Solihull,West Midlands
BS4,E06000023,"Bristol, City of",West of England
NE24,E06000057,Northumberland,North East
BR2,E09000006,,
S71,E08000016,,
SO19,E06000045,Southampton,Hampshire & Solent
ME7,E06000035,,
SP2,E06000054,,
BN16,E07000224,Arun,Sussex & Brighton
E15,E09000025,,
LE15,E06000017,,
WF10,E08000036,Wakefield,West Yorkshire
UB5,E09000009,,
SL9,E06000060,,
BL6,E08000001,Bolton,Greater Manchester
B70,E08000028,Sandwell,West Midlands
BD21,E08000032,Bradford,West Yorkshire
RG7,E06000037,,
BA12,E06000054,,
NE28,E08000022,North Tyneside,North East
SO14,E06000045,Southampton,Hampshire & Solent
S18,E07000038,North East Derbyshire,East Midlands
M41,E08000009,Trafford,Greater Manchester
EX1,E07000041,Exeter,Devon and Torbay
WA1,E06000007,Warrington,Cheshire & Warrington
NR31,E07000145,Great Yarmouth,Norfolk & Suffolk
L20,E08000014,Sefton,Liverpool City Region
NE5,E08000021,Newcastle upon Tyne,North East
RG30,E06000038,,
NW8,E09000033,,
TW9,E09000027,,
NW7,E09000003,,
NE29,E08000022,North Tyneside,North East
HP22,E06000060,,
SS14,E07000066,Basildon,Greater Essex
HP2,E07000096,,
W1H,E09000033,,
UB6,E09000009,,
CA11,E06000064,Westmorland and Furness,Cumbria
LE12,E07000130,,
BS16,E06000025,South Gloucestershire,West of England
CT6,E07000106,,
BH15,E06000058,,
DE21,E06000015,Derby,East Midlands
E2,E09000030,,
LS6,E08000035,Leeds,West Yorkshire
GL5,E07000082,,
W11,E09000020,,
DT11,E06000059,,
OL6,E08000008,Tameside,Greater Manchester
SE5,E09000028,,
DN15,E06000013,North Lincolnshire,Greater Lincolnshire
KT1,E09000021,,
FY4,E06000009,Blackpool,Lancashire
CR4,E09000024,,
NW2,E09000003,,
LS14,E08000035,Leeds,West Yorkshire
BL2,E08000001,Bolton,Greater Manchester
RM3,E09000016,,
SO51,E07000093,Test Valley,Hampshire & Solent
TW7,E09000018,,
ME13,E07000113,,
CB2,E07000008,Cambridge,Cambridgeshire & Peterborough
LS9,E08000035,Leeds,West Yorkshire
WF9,E08000036,Wakefield,West Yorkshire
ME17,E07000110,,
CT20,E07000112,,
CA7,E06000063,Cumberland,Cumbria
CW8,E06000050,Cheshire West and Chester,Cheshire & Warrington
NN16,E06000061,,
TS18,E06000004,Stockton-on-Tees,Tees Valley
SK4,E08000007,Stockport,Greater Manchester
KT22,E07000210,,
NE1,E08000021,Newcastle upon Tyne,North East
TW1,E09000027,,
HX2,E08000033,Calderdale,West Yorkshire
OX3,E07000178,,
