LAD22CD,LAD22NM,LAD25CD,LAD25NM,n_oas,n_lsoas
E07000163,Craven,E06000065,North Yorkshire,194,33
E07000164,Hambleton,E06000065,North Yorkshire,319,53
E07000165,Harrogate,E06000065,North Yorkshire,540,105
E07000166,Richmondshire,E06000065,North Yorkshire,170,34
E07000167,Ryedale,E06000065,North Yorkshire,198,32
E07000168,Scarborough,E06000065,North Yorkshire,391,68
E07000169,Selby,E06000065,North Yorkshire,294,54
E06000014,York,E06000014,York,659,121
