"Decade","Top1Share","Source"
1890,0.392181487864639,"Observed"
1900,0.338406518126521,"Observed"
1910,0.403499103921261,"Observed"
1920,0.406531856316145,"True"
1930,0.419134867504002,"True"
1940,0.270565323134813,"True"
1950,0.347961970014048,"True"
1960,0.331745565603919,"True"
1970,0.349959412970892,"True"
1980,0.234375275692765,"True"
1990,0.207541022528927,"True"
1920,0.41297428612777,"Observed"
1930,0.427820106485732,"Observed"
1940,0.277302941217279,"Observed"
1950,0.183129465390624,"Observed"
1960,0.172796567102247,"Observed"
1970,0.170836376426887,"Observed"
1980,0.141899347864941,"Observed"
1990,0.125215966336947,"Observed"
