"Decade","Top10Share","Source"
1890,0.79596376101764,"Observed"
1900,0.74319310298537,"Observed"
1910,0.782289914779322,"Observed"
1920,0.805990339900314,"True"
1930,0.784700083478773,"True"
1940,0.658342521668272,"True"
1950,0.679984358892861,"True"
1960,0.657110327757962,"True"
1970,0.652050035517468,"True"
1980,0.517206794514172,"True"
1990,0.537553911018885,"True"
1920,0.82491909176111,"Observed"
1930,0.804342838158127,"Observed"
1940,0.680829080570358,"Observed"
1950,0.578992410121658,"Observed"
1960,0.554476086884394,"Observed"
1970,0.535250711329899,"Observed"
1980,0.448708062705512,"Observed"
1990,0.480484359594396,"Observed"
