year,disease,rate
1992,Diphtheria,0.00015724615747884249
1993,Diphtheria,0.00011767964685593227
1994,Diphtheria,0.00017606932968528116
1995,Diphtheria,0.00023404597341651224
1996,Diphtheria,0.00021396435233292046
1997,Diphtheria,0.00042669026755186534
1998,Diphtheria,0.0004447013486283786
1999,Diphtheria,0.00044287430739994247
2000,Diphtheria,0.0003644022639660572
2001,Diphtheria,0.0002482812349539184
2002,Diphtheria,0.0003802126464695554
2003,Diphtheria,0.0002459175883248015
2004,Diphtheria,0.00018813959702229202
2005,Diphtheria,0.00016798772524890786
2006,Diphtheria,0.00018535387780886656
2007,Diphtheria,0.00016547952878490663
2008,Diphtheria,0.00010940575897327801
2009,Diphtheria,0.0001991481780666416
2010,Diphtheria,0.00016160187535744315
2011,Diphtheria,3.5605607861874885e-05
2012,Diphtheria,7.06991831062888e-05
2013,Diphtheria,0.00015792315192712572
2014,Diphtheria,0.000243715164725252
2015,Diphtheria,0.00015549032448498366
2016,Diphtheria,0.00015419883689873312
2017,Diphtheria,0.0002214616283487511
2018,Diphtheria,0.0003728284774796686
2019,Diphtheria,0.00016858349471831282
2020,Diphtheria,1.6826392883755e-05
2021,Diphtheria,6.704600851309989e-05
1912,Poliomyelitis,0.011589176094915627
1913,Poliomyelitis,0.019932192267731172
1914,Poliomyelitis,0.013769037249438688
1915,Poliomyelitis,0.014737558099988663
1916,Poliomyelitis,0.02032215230067548
1917,Poliomyelitis,0.010468754569114249
1918,Poliomyelitis,0.006936280272748648
1919,Poliomyelitis,0.015054347826086957
1920,Poliomyelitis,0.007808335998294424
1921,Poliomyelitis,0.012865127069492777
1922,Poliomyelitis,0.009291977489857349
1923,Poliomyelitis,0.015266977034513251
1924,Poliomyelitis,0.02002835416935172
1925,Poliomyelitis,0.009528701682290997
1926,Poliomyelitis,0.02965690034258833
1927,Poliomyelitis,0.020439851346535663
1928,Poliomyelitis,0.011549274371248384
1929,Poliomyelitis,0.013434343434343434
1930,Poliomyelitis,0.01281374839828145
1931,Poliomyelitis,0.008527558267480244
1932,Poliomyelitis,0.002338250292281287
1933,Poliomyelitis,0.0020570012391573733
1934,Poliomyelitis,0.0020016309585588255
1935,Poliomyelitis,0.001648419239758888
1936,Poliomyelitis,0.0012977790837189942
1937,Poliomyelitis,0.0023153225609904705
1938,Poliomyelitis,0.002329249059808322
1939,Poliomyelitis,0.002122527737578389
1940,Poliomyelitis,0.003208904710571837
1941,Poliomyelitis,0.002142322484061637
1942,Poliomyelitis,0.002431817587532359
1943,Poliomyelitis,0.012057750277645565
1944,Poliomyelitis,0.014079661241233294
1945,Poliomyelitis,0.02262896930055913
1946,Poliomyelitis,0.016683431880075567
1947,Poliomyelitis,0.18609103527497248
1948,Poliomyelitis,0.04284460458240946
1949,Poliomyelitis,0.137217570822342
1950,Poliomyelitis,0.17704768423454256
1951,Poliomyelitis,0.059659933812621246
1952,Poliomyelitis,0.08895461267205097
1953,Poliomyelitis,0.1030855380988007
1954,Poliomyelitis,0.04426977458553553
1955,Poliomyelitis,0.1424585405368916
1956,Poliomyelitis,0.07164125640853428
1957,Poliomyelitis,0.10786737034315363
1958,Poliomyelitis,0.04420403910527833
1959,Poliomyelitis,0.022650156435905344
1960,Poliomyelitis,0.008257782632441289
1961,Poliomyelitis,0.01896259865530065
1962,Poliomyelitis,0.005808308667668296
1963,Poliomyelitis,0.0010857277888834246
1964,Poliomyelitis,0.0007818393510310771
1965,Poliomyelitis,0.0019089013538515758
1966,Poliomyelitis,0.00047950131862862616
1967,Poliomyelitis,0.00039360373219202063
1968,Poliomyelitis,0.0004947362128355188
1969,Poliomyelitis,0.00020517871065698222
1970,Poliomyelitis,0.00012272172235846607
1971,Poliomyelitis,0.00014241536458333334
1972,Poliomyelitis,0.00010136415884980061
1973,Poliomyelitis,0.00010109383529792354
1974,Poliomyelitis,0.00012129077644290541
1975,Poliomyelitis,6.0643058997610666e-05
1976,Poliomyelitis,0.0002628429089026915
1977,Poliomyelitis,0.0003236219771684695
1978,Poliomyelitis,6.0676543459574245e-05
1979,Poliomyelitis,0.00016158939327222562
1980,Poliomyelitis,6.0480212890349376e-05
1981,Poliomyelitis,4.029471554952926e-05
1982,Poliomyelitis,4.0337523420470314e-05
1983,Poliomyelitis,8.061753515634974e-05
1985,Poliomyelitis,8.022348176208391e-05
1986,Poliomyelitis,6.000171124880482e-05
1987,Poliomyelitis,5.9852781310865285e-05
1988,Poliomyelitis,3.979816915686464e-05
1989,Poliomyelitis,1.983818941130292e-05
1990,Poliomyelitis,1.9778235349450167e-05
1991,Poliomyelitis,7.882078897521012e-05
1992,Poliomyelitis,5.8967309054565935e-05
1993,Poliomyelitis,1.9613274475988714e-05
1995,Poliomyelitis,1.9503831118042687e-05
1996,Poliomyelitis,1.9451304757538223e-05
1997,Poliomyelitis,3.879002432289685e-05
1998,Poliomyelitis,3.866968248942423e-05
2009,Poliomyelitis,1.8104379824240146e-05
2011,Poliomyelitis,1.7802803930937442e-05
2014,Poliomyelitis,1.7408226051803713e-05
2019,Poliomyelitis,1.6858349471831282e-05
1940,Whooping Cough,1.343904334528316
1941,Whooping Cough,4.473840435691608
1942,Whooping Cough,1.7262244070810344
1943,Whooping Cough,2.5420699137976626
1944,Whooping Cough,2.488924176260421
1945,Whooping Cough,1.6534180820761684
1946,Whooping Cough,2.2801344488333863
1947,Whooping Cough,2.218015603312114
1948,Whooping Cough,3.381605691056911
1949,Whooping Cough,2.3584356004128915
1950,Whooping Cough,3.5998402920374173
1951,Whooping Cough,3.8671916010498686
1952,Whooping Cough,2.613331816630645
1953,Whooping Cough,3.578453376861865
1954,Whooping Cough,2.3921940642363464
1955,Whooping Cough,1.780630498863662
1956,Whooping Cough,2.0688651577227035
1957,Whooping Cough,1.8932015053332443
1958,Whooping Cough,0.7405174133764881
1959,Whooping Cough,0.732670867668444
1960,Whooping Cough,1.2677225559803387
1961,Whooping Cough,0.5296972478255787
1962,Whooping Cough,0.17892162641215845
1963,Whooping Cough,0.7395083569106573
1964,Whooping Cough,0.6676485441939976
1965,Whooping Cough,0.2715464618198752
1966,Whooping Cough,0.40480335233965375
1967,Whooping Cough,0.6946691553471067
1968,Whooping Cough,0.3580447200308386
1969,Whooping Cough,0.10248676597316261
1970,Whooping Cough,0.33948919128430327
1971,Whooping Cough,0.3427327473958333
1972,Whooping Cough,0.0419444889320475
1973,Whooping Cough,0.049354010392446274
1974,Whooping Cough,0.3280915502780591
1975,Whooping Cough,0.18017052828190128
1976,Whooping Cough,0.0789944034679089
1977,Whooping Cough,0.3534558781886878
1978,Whooping Cough,1.3340142589877129
1979,Whooping Cough,0.622442342884613
1980,Whooping Cough,0.42600245952865756
1981,Whooping Cough,0.39075800404155997
1982,Whooping Cough,1.327407051959127
1983,Whooping Cough,0.389785782480951
1984,Whooping Cough,0.1109767178208252
1985,Whooping Cough,0.44215171973172546
1986,Whooping Cough,0.7301408236162895
1987,Whooping Cough,0.3033139447563617
1988,Whooping Cough,0.10182361578783819
1989,Whooping Cough,0.23103555388403382
1990,Whooping Cough,0.30233010555169526
1991,Whooping Cough,0.10248673086501697
1992,Whooping Cough,0.04538517220233091
1993,Whooping Cough,0.08023790588126983
1994,Whooping Cough,0.07754875809693938
1995,Whooping Cough,0.036452660359621775
1996,Whooping Cough,0.046430264456243736
1997,Whooping Cough,0.05797169135056935
1998,Whooping Cough,0.030491044642911004
1999,Whooping Cough,0.021931905918631936
2000,Whooping Cough,0.01365549536546488
2001,Whooping Cough,0.016959518203006122
2002,Whooping Cough,0.016786388341630872
2003,Whooping Cough,0.007736945663449522
2004,Whooping Cough,0.009482235689923518
2005,Whooping Cough,0.011087189866427921
2006,Whooping Cough,0.010194463279487661
2007,Whooping Cough,0.0200230229829737
2008,Whooping Cough,0.027570251261266058
2009,Whooping Cough,0.02091055869699737
2010,Whooping Cough,0.007272084391084941
2011,Whooping Cough,0.016218354381084005
2012,Whooping Cough,0.11589363590698391
2013,Whooping Cough,0.057431386250831384
2014,Whooping Cough,0.0436250144858201
2015,Whooping Cough,0.05326407448746718
2016,Whooping Cough,0.07800747826665909
2017,Whooping Cough,0.05628532462032874
2018,Whooping Cough,0.04434964207110422
2019,Whooping Cough,0.06733224779049415
2020,Whooping Cough,0.023809345930513325
2021,Whooping Cough,0.00883331162160091
1940,Measles,0.3343277595327033
1941,Measles,0.3205998502955372
1942,Measles,0.30714117616295794
1943,Measles,9.945131947749749
1944,Measles,4.1942305147545325
1945,Measles,11.783837957590464
1946,Measles,2.6105154689761774
1947,Measles,9.42389795625329
1948,Measles,9.229628603104212
1949,Measles,8.852735405436404
1950,Measles,8.389801505817934
1951,Measles,14.063494237133403
1952,Measles,8.861380957797747
1953,Measles,12.356888616835567
1954,Measles,3.320120160816732
1955,Measles,15.611777412749488
1956,Measles,3.5945104887276957
1957,Measles,14.11089585142628
1958,Measles,5.748475913897448
1959,Measles,11.887454281055831
1960,Measles,3.4814636810486075
1961,Measles,16.528004467899958
1962,Measles,3.9628311111015853
1964,Measles,6.482948506369878
1965,Measles,10.534807033147757
1966,Measles,7.164208353746886
1967,Measles,9.53778492249114
1968,Measles,4.868080650248296
1969,Measles,2.9158151750174404
1970,Measles,6.287606537795223
1971,Measles,2.7514851888020835
1972,Measles,2.9581305205455015
1973,Measles,3.0849390404173156
1974,Measles,2.216305927682396
1975,Measles,2.892107912302051
1976,Measles,1.1221774715320911
1977,Measles,3.50646434899394
1978,Measles,2.5093189057996663
1979,Measles,1.5626300289648989
1980,Measles,2.812067818478721
1981,Measles,1.0673868675492553
1982,Measles,1.8998973531041519
1983,Measles,2.0900700620797346
1984,Measles,1.2487646623739042
1985,Measles,1.9536022278702674
1986,Measles,1.6412668089293907
1987,Measles,0.8412308413242117
1988,Measles,1.711341172829758
1989,Measles,0.5201970027431851
1990,Measles,0.2630900866183861
1991,Measles,0.19074630932000852
1992,Measles,0.2018254431240943
1993,Measles,0.1885227942632035
1994,Measles,0.3203483637329421
1995,Measles,0.1452450303360639
1996,Measles,0.10919962490881958
1997,Measles,0.07684303818365866
1998,Measles,0.07208028816028676
1999,Measles,0.046944676584393906
2000,Measles,0.04560782019533074
2001,Measles,0.0429717522035628
2002,Measles,0.06058688521492366
2003,Measles,0.04706484305785431
2004,Measles,0.044325689058452
2005,Measles,0.03899181756055206
2006,Measles,0.06867361172818506
2007,Measles,0.06747887451562304
2008,Measles,0.09277608360933975
2009,Measles,0.0939798356676306
2010,Measles,0.040131132380431714
2011,Measles,0.04192560325735767
2012,Measles,0.07442856501514554
2013,Measles,0.10866867554274327
2014,Measles,0.03222262642188867
2015,Measles,0.02061110634562061
2016,Measles,0.028115587927869005
2017,Measles,0.028841118214956586
2018,Measles,0.04419712133031708
2019,Measles,0.04083092242077537
2020,Measles,0.011761648625744745
2021,Measles,0.0060341407661789895
1912,Scarlet Fever,2.959451647534891
1913,Scarlet Fever,3.573768250669875
1914,Scarlet Fever,4.464657667649526
1915,Scarlet Fever,3.6584287495748784
1916,Scarlet Fever,2.2373130881588823
1917,Scarlet Fever,1.463900342135275
1918,Scarlet Fever,1.458881965671291
1919,Scarlet Fever,2.25
1920,Scarlet Fever,3.1843620083146784
1921,Scarlet Fever,3.6136507434356218
1922,Scarlet Fever,2.8331893731187017
1923,Scarlet Fever,2.226403807641291
1924,Scarlet Fever,2.182085320273231
1925,Scarlet Fever,2.3465262617182483
1926,Scarlet Fever,2.089021833614563
1927,Scarlet Fever,2.1522170747849105
1928,Scarlet Fever,2.599701137198288
1929,Scarlet Fever,3.0384343434343433
1930,Scarlet Fever,2.792517775935278
1931,Scarlet Fever,2.042187656296889
1932,Scarlet Fever,2.1157185144648145
1933,Scarlet Fever,3.210111524163569
1934,Scarlet Fever,3.7578520770010133
1935,Scarlet Fever,2.9636117603641283
1936,Scarlet Fever,2.567692646734739
1937,Scarlet Fever,2.3332358460676073
1938,Scarlet Fever,2.4087832099963604
1939,Scarlet Fever,1.8837674867342018
1940,Scarlet Fever,1.6370929328887665
1941,Scarlet Fever,1.534031954159461
1942,Scarlet Fever,2.224825458253798
1943,Scarlet Fever,3.068221481834047
1944,Scarlet Fever,2.437316395394998
1945,Scarlet Fever,1.9434275767486022
1946,Scarlet Fever,1.8825290119973503
1947,Scarlet Fever,1.3891255444407218
1948,Scarlet Fever,1.7283582779009607
1949,Scarlet Fever,1.6209886454868678
1950,Scarlet Fever,1.5032854209445585
1951,Scarlet Fever,1.112495720643615
1952,Scarlet Fever,1.5302240928222046
1953,Scarlet Fever,1.3870185222970368
1954,Scarlet Fever,0.9718118986312508
1955,Scarlet Fever,0.7339843837897437
1956,Scarlet Fever,0.7411064096536593
1957,Scarlet Fever,0.6579597835526755
1958,Scarlet Fever,0.8613137067990867
1959,Scarlet Fever,1.0558101617238795
1960,Scarlet Fever,0.7027853631895139
1961,Scarlet Fever,0.43271957433728314
1963,Scarlet Fever,0.37121245989726037
1964,Scarlet Fever,0.425341737754177
1965,Scarlet Fever,0.5606086668316852
1966,Scarlet Fever,0.4425588692108034
1967,Scarlet Fever,0.3999221078929978
1968,Scarlet Fever,0.3070868901087801
1969,Scarlet Fever,0.33019409906028147
1970,Scarlet Fever,0.2689446545485784
1971,Scarlet Fever,0.2541097005208333
1972,Scarlet Fever,0.22727871697302293
1973,Scarlet Fever,0.2433935178632807
1974,Scarlet Fever,0.2104192819990337
1975,Scarlet Fever,0.19179378125644334
1976,Scarlet Fever,0.19636387163561075
1977,Scarlet Fever,0.21781781700795302
1978,Scarlet Fever,0.18544774232694544
1979,Scarlet Fever,0.1936042918142853
1980,Scarlet Fever,0.2241396689716348
1981,Scarlet Fever,0.14401331337401757
1982,Scarlet Fever,0.15330275775949745
1983,Scarlet Fever,0.13178951559684274
1984,Scarlet Fever,0.12727020004574244
1985,Scarlet Fever,0.12911969389607406
1986,Scarlet Fever,0.13776392902725587
1987,Scarlet Fever,0.12846401962022053
1988,Scarlet Fever,0.11837965415709388
1989,Scarlet Fever,0.1645577811667577
1990,Scarlet Fever,0.14214617745649838
1991,Scarlet Fever,0.10280201402091782
1992,Scarlet Fever,0.09130105018615292
1993,Scarlet Fever,0.11483572205691392
1994,Scarlet Fever,0.12115526208232735
1995,Scarlet Fever,0.10329228960115407
1996,Scarlet Fever,0.09478620808348374
1997,Scarlet Fever,0.06922079840420943
1998,Scarlet Fever,0.06455903491609376
1999,Scarlet Fever,0.04016677414070783
2000,Scarlet Fever,0.037073135591915184
2001,Scarlet Fever,0.0335370652753139
2002,Scarlet Fever,0.04104395518638851
2003,Scarlet Fever,0.04829443099947832
2004,Scarlet Fever,0.04140952530460647
2005,Scarlet Fever,0.0313203781075186
2006,Scarlet Fever,0.0401476499334005
2007,Scarlet Fever,0.035817124674777566
2008,Scarlet Fever,0.05324413603366196
2009,Scarlet Fever,0.07560389014602685
2010,Scarlet Fever,0.053310663104027635
2011,Scarlet Fever,0.0484058238882189
2012,Scarlet Fever,0.07518858123353814
2013,Scarlet Fever,0.08147079937751606
2014,Scarlet Fever,0.27221243077205465
2015,Scarlet Fever,0.30572853134291894
2016,Scarlet Fever,0.3290603179418965
2017,Scarlet Fever,0.30345353736740793
2018,Scarlet Fever,0.5406690793414249
2019,Scarlet Fever,0.2718914602816949
2020,Scarlet Fever,0.14842561162760284
2021,Scarlet Fever,0.044568834159083144
