year,disease,rate
1912,Diphtheria,1.231976216037658
1913,Diphtheria,1.3917810466451577
1914,Diphtheria,1.605675332052912
1915,Diphtheria,1.5525450629180364
1916,Diphtheria,1.5397494370994746
1917,Diphtheria,1.30452963710267
1918,Diphtheria,1.332324241711733
1919,Diphtheria,1.4835597826086957
1920,Diphtheria,1.8516416160324058
1921,Diphtheria,1.753295370663292
1922,Diphtheria,1.3650831043057192
1923,Diphtheria,1.04057322687196
1924,Diphtheria,1.0820982085320272
1925,Diphtheria,1.2256324643636831
1926,Diphtheria,1.306974484839188
1927,Diphtheria,1.328564883164486
1928,Diphtheria,1.550591393764405
1929,Diphtheria,1.586868686868687
1930,Diphtheria,1.8602798924650135
1931,Diphtheria,1.2576272881864559
1932,Diphtheria,1.0795502599437825
1933,Diphtheria,1.1755885997521685
1934,Diphtheria,1.6991375688832875
1935,Diphtheria,1.6012793701562307
1936,Diphtheria,1.415191361198854
1937,Diphtheria,1.4949915917233312
1938,Diphtheria,1.577289821666869
1939,Diphtheria,1.1418958031837916
1940,Diphtheria,1.16021960941613
1941,Diphtheria,1.3113078491598482
1942,Diphtheria,1.0826556493998902
1943,Diphtheria,0.8821725104447617
1944,Diphtheria,0.6139737991266375
1945,Diphtheria,0.4904525793860112
1946,Diphtheria,0.294070021344979
1947,Diphtheria,0.14157851912123678
1948,Diphtheria,0.08257113821138211
1949,Diphtheria,0.04335359559582521
1950,Diphtheria,0.02194843714350901
1951,Diphtheria,0.015154627410704096
1952,Diphtheria,0.008554203162325105
1953,Diphtheria,0.006030515314334943
1954,Diphtheria,0.003907485205764106
1955,Diphtheria,0.00348777030219842
1956,Diphtheria,0.0011865583092663487
1957,Diphtheria,0.000823925000556706
1958,Diphtheria,0.0017734820102418586
1959,Diphtheria,0.0022473890627065615
1960,Diphtheria,0.0010704533042053524
1961,Diphtheria,0.0011256337101320023
1962,Diphtheria,0.0003429259729988662
1963,Diphtheria,0.0007025297457480984
1964,Diphtheria,0.00042261586542220383
1965,Diphtheria,0.0005244234488603229
1966,Diphtheria,0.00041695766837271847
1967,Diphtheria,0.00012429591542905915
1968,Diphtheria,0.0003092101330221992
1969,Diphtheria,0.0002667323238540769
1970,Diphtheria,0.0004499796486477089
1971,Diphtheria,0.0003458658854166667
1972,Diphtheria,8.10913270798405e-05
1973,Diphtheria,4.043753411916941e-05
1974,Diphtheria,6.0645388221452706e-05
1975,Diphtheria,0.00022235788299123909
1976,Diphtheria,4.043737060041408e-05
1977,Diphtheria,4.045274714605869e-05
1980,Diphtheria,0.00010080035481724896
1981,Diphtheria,4.029471554952926e-05
1982,Diphtheria,8.067504684094063e-05
1983,Diphtheria,8.061753515634974e-05
1984,Diphtheria,8.046164061687526e-05
1985,Diphtheria,8.022348176208391e-05
1986,Diphtheria,8.000228166507308e-05
1987,Diphtheria,3.990185420724353e-05
1988,Diphtheria,1.989908457843232e-05
1989,Diphtheria,3.967637882260584e-05
1990,Diphtheria,3.955647069890033e-05
1991,Diphtheria,3.941039448760506e-05
