year,Diphtheria,Poliomyelitis,Whooping Cough,Measles,Scarlet Fever
1912,44754.0,421.0,,,107508.0
1913,50903.0,729.0,,,130707.0
1914,59357.0,509.0,,,165045.0
1915,54780.0,520.0,,,129084.0
1916,53340.0,704.0,,,77505.0
1917,44611.0,358.0,,,50061.0
1918,45331.0,236.0,,,49637.0
1919,54595.0,554.0,,,82800.0
1920,69481.0,293.0,,,119490.0
1921,66506.0,488.0,,,137073.0
1922,52153.0,355.0,,,108242.0
1923,40009.0,587.0,,,85603.0
1924,41980.0,777.0,,,84654.0
1925,47720.0,371.0,,,91362.0
1926,51121.0,1160.0,,,81710.0
1927,52194.0,803.0,,,84552.0
1928,61222.0,456.0,,,102644.0
1929,62840.0,532.0,,,120322.0
1930,74041.0,510.0,,,111145.0
1931,50290.0,341.0,,,81663.0
1932,43399.0,94.0,,,85054.0
1933,47435.0,83.0,,,129528.0
1934,68759.0,81.0,,,152069.0
1935,65084.0,67.0,,,120456.0
1936,57795.0,53.0,,,104862.0
1937,61341.0,95.0,,,95735.0
1938,65008.0,96.0,,,99278.0
1939,47343.0,88.0,,,78101.0
1940,46280.0,128.0,53607.0,13336.0,65302.0
1941,50804.0,83.0,173330.0,12421.0,59433.0
1942,41404.0,93.0,66016.0,11746.0,85084.0
1943,33362.0,456.0,96136.0,376105.0,116034.0
1944,23199.0,532.0,94044.0,158479.0,92094.0
1945,18596.0,858.0,62691.0,446796.0,73687.0
1946,11986.0,680.0,92936.0,106402.0,76730.0
1947,5916.0,7776.0,92682.0,393787.0,58046.0
1948,3575.0,1855.0,146410.0,399606.0,74831.0
1949,1890.0,5982.0,102816.0,385935.0,70667.0
1950,962.0,7760.0,157781.0,367725.0,65889.0
1951,664.0,2614.0,169441.0,616192.0,48744.0
1952,376.0,3910.0,114869.0,389502.0,67261.0
1953,266.0,4547.0,157842.0,545050.0,61180.0
1954,173.0,1960.0,105912.0,146995.0,43026.0
1955,155.0,6331.0,79133.0,693803.0,32619.0
1956,53.0,3200.0,92410.0,160556.0,33103.0
1957,37.0,4844.0,85018.0,633678.0,29547.0
1958,80.0,1994.0,33404.0,259308.0,38853.0
1959,102.0,1028.0,33253.0,539524.0,47919.0
1960,49.0,378.0,58030.0,159364.0,32170.0
1961,52.0,876.0,24470.0,763531.0,19990.0
1962,16.0,271.0,8348.0,184895.0,
1963,33.0,51.0,34737.0,,17437.0
1964,20.0,37.0,31596.0,306801.0,20129.0
1965,25.0,91.0,12945.0,502209.0,26725.0
1966,20.0,23.0,19417.0,343642.0,21228.0
1967,6.0,19.0,33533.0,460407.0,19305.0
1968,15.0,24.0,17369.0,236154.0,14897.0
1969,13.0,10.0,4995.0,142111.0,16093.0
1970,22.0,6.0,16598.0,307408.0,13149.0
1971,17.0,7.0,16846.0,135241.0,12490.0
1972,4.0,5.0,2069.0,145916.0,11211.0
1973,2.0,5.0,2441.0,152578.0,12038.0
1974,3.0,6.0,16230.0,109636.0,10409.0
1975,11.0,3.0,8913.0,143072.0,9488.0
1976,2.0,13.0,3907.0,55502.0,9712.0
1977,2.0,16.0,17475.0,173361.0,10769.0
1978,,3.0,65957.0,124067.0,9169.0
1979,,8.0,30816.0,77363.0,9585.0
1980,5.0,3.0,21131.0,139487.0,11118.0
1981,2.0,2.0,19395.0,52979.0,7148.0
1982,4.0,2.0,65815.0,94200.0,7601.0
1983,4.0,4.0,19340.0,103703.0,6539.0
1984,4.0,,5517.0,62080.0,6327.0
1985,4.0,4.0,22046.0,97408.0,6438.0
1986,4.0,3.0,36506.0,82061.0,6888.0
1987,2.0,3.0,15203.0,42165.0,6439.0
1988,1.0,2.0,5117.0,86001.0,5949.0
1989,2.0,1.0,11646.0,26222.0,8295.0
1990,2.0,1.0,15286.0,13302.0,7187.0
1991,2.0,4.0,5201.0,9680.0,5217.0
1992,8.0,3.0,2309.0,10268.0,4645.0
1993,6.0,1.0,4091.0,9612.0,5855.0
1994,9.0,,3964.0,16375.0,6193.0
1995,12.0,1.0,1869.0,7447.0,5296.0
1996,11.0,1.0,2387.0,5614.0,4873.0
1997,22.0,2.0,2989.0,3962.0,3569.0
1998,23.0,2.0,1577.0,3728.0,3339.0
1999,23.0,,1139.0,2438.0,2086.0
2000,19.0,,712.0,2378.0,1933.0
2001,13.0,,888.0,2250.0,1756.0
2002,20.0,,883.0,3187.0,2159.0
2003,13.0,,409.0,2488.0,2553.0
2004,10.0,,504.0,2356.0,2201.0
2005,9.0,,594.0,2089.0,1678.0
2006,10.0,,550.0,3705.0,2166.0
2007,9.0,,1089.0,3670.0,1948.0
2008,6.0,,1512.0,5088.0,2920.0
2009,11.0,1.0,1155.0,5191.0,4176.0
2010,9.0,,405.0,2235.0,2969.0
2011,2.0,1.0,911.0,2355.0,2719.0
2012,4.0,,6557.0,4211.0,4254.0
2013,9.0,,3273.0,6193.0,4643.0
2014,14.0,1.0,2506.0,1851.0,15637.0
2015,9.0,,3083.0,1193.0,17696.0
2016,9.0,,4553.0,1641.0,19206.0
2017,13.0,,3304.0,1693.0,17813.0
2018,22.0,,2617.0,2608.0,31904.0
2019,10.0,1.0,3994.0,2422.0,16128.0
2020,1.0,,1415.0,699.0,8821.0
2021,4.0,,527.0,360.0,2659.0
