geo_id,value
W02000001,62.8
W02000002,53.1
W02000003,2298.2
W02000004,99.2
W02000005,100.0
W02000006,152.4
W02000007,68.5
W02000008,831.4
W02000009,55.9
W02000010,3111.9
W02000011,1265.2
W02000012,72.3
W02000013,206.1
W02000014,72.5
W02000015,1378.1
W02000016,77.4
W02000017,63.9
W02000018,28.2
W02000019,28.5
W02000020,46.4
W02000021,101.5
W02000022,31.1
W02000023,32.9
W02000024,10.2
W02000025,24.8
W02000026,25.6
W02000027,1260.9
W02000028,1371.1
W02000029,679.5
W02000030,2858.6
W02000031,784.0
W02000032,1649.5
W02000033,3533.4
W02000034,949.8
W02000035,711.1
W02000036,674.4
W02000037,310.9
W02000038,75.8
W02000039,236.4
W02000040,14.1
W02000041,19.2
W02000042,3145.3
W02000043,809.5
W02000044,2511.7
W02000045,3389.0
W02000047,3024.2
W02000049,122.9
W02000050,210.2
W02000051,165.8
W02000052,269.0
W02000053,49.9
W02000054,38.4
W02000055,697.3
W02000056,28.4
W02000057,30.1
W02000419,4181.9
W02000058,158.0
W02000059,183.2
W02000060,659.3
W02000061,651.1
W02000062,677.4
W02000063,70.7
W02000064,581.5
W02000065,1073.9
W02000066,440.6
W02000067,842.9
W02000068,606.8
W02000069,420.1
W02000070,949.7
W02000071,1060.1
W02000072,734.2
W02000073,1590.5
W02000074,1749.2
W02000075,361.8
W02000076,141.6
W02000077,180.8
W02000080,1169.7
W02000081,1529.9
W02000082,1633.9
W02000083,702.3
W02000085,3270.3
W02000087,4890.9
W02000088,2082.7
W02000089,4093.5
W02000090,167.2
W02000091,809.3
W02000092,447.8
W02000093,107.7
W02000094,665.6
W02000095,53.2
W02000096,48.7
W02000424,433.4
W02000425,130.8
W02000426,3392.1
W02000116,38.1
W02000117,1549.8
W02000118,1132.6
W02000120,43.8
W02000122,37.6
W02000123,33.7
W02000124,112.9
W02000125,41.4
W02000421,15.0
W02000126,28.8
W02000127,48.9
W02000128,34.9
W02000129,31.4
W02000130,1666.9
W02000131,726.6
W02000132,45.0
W02000133,44.9
W02000134,175.1
W02000135,809.5
W02000136,116.9
W02000137,1183.3
W02000138,1532.8
W02000139,97.9
W02000140,72.8
W02000141,215.8
W02000142,34.7
W02000143,13.7
W02000144,32.8
W02000145,22.1
W02000146,25.0
W02000147,66.0
W02000148,942.4
W02000149,216.9
W02000151,124.5
W02000152,250.5
W02000153,59.8
W02000154,549.1
W02000156,184.7
W02000157,189.8
W02000158,224.1
W02000159,196.3
W02000160,342.5
W02000161,1082.6
W02000162,198.1
W02000163,3350.1
W02000164,502.5
W02000165,2818.1
W02000166,919.1
W02000167,2212.0
W02000418,38.9
W02000168,418.2
W02000169,137.8
W02000170,1689.1
W02000171,365.2
W02000172,938.7
W02000173,870.5
W02000174,1290.1
W02000175,3329.7
W02000176,2504.2
W02000177,1075.5
W02000178,2637.4
W02000179,743.2
W02000180,2377.0
W02000181,874.1
W02000182,5005.7
W02000183,3553.4
W02000184,1408.7
W02000185,223.1
W02000186,4887.4
W02000188,1345.9
W02000189,2861.2
W02000191,5480.3
W02000192,4250.6
W02000193,8393.9
W02000194,1668.1
W02000195,552.3
W02000196,2529.1
W02000197,48.6
W02000198,1644.9
W02000428,964.3
W02000200,116.1
W02000201,129.4
W02000202,241.5
W02000204,621.0
W02000205,716.7
W02000206,3119.2
W02000207,484.9
W02000208,788.8
W02000210,2252.7
W02000211,847.7
W02000212,179.2
W02000213,748.4
W02000214,3293.8
W02000215,3487.0
W02000216,827.9
W02000217,128.4
W02000417,311.0
W02000427,116.3
W02000218,457.6
W02000219,1139.7
W02000220,207.5
W02000221,248.8
W02000222,310.9
W02000223,423.2
W02000224,628.8
W02000225,829.3
W02000226,417.6
W02000227,446.1
W02000228,1615.2
W02000229,2887.9
W02000230,207.1
W02000231,3497.2
W02000232,729.7
W02000233,4449.5
W02000234,3815.3
W02000235,1307.7
W02000236,1086.0
W02000237,88.4
W02000238,152.3
W02000239,74.0
W02000240,2620.7
W02000241,4574.2
W02000242,418.6
W02000243,3579.4
W02000244,986.5
W02000245,2804.7
W02000246,1206.2
W02000247,352.1
W02000248,6731.5
W02000249,5769.8
W02000250,367.7
W02000251,1999.2
W02000367,705.7
W02000368,4433.7
W02000369,1216.7
W02000370,1289.0
W02000371,3320.4
W02000372,1191.6
W02000373,4801.0
W02000374,2883.0
W02000375,3452.8
W02000376,1011.4
W02000377,1014.2
W02000378,4486.6
W02000379,5981.1
W02000380,297.1
W02000381,3098.2
W02000382,4858.4
W02000383,6046.1
W02000384,2881.4
W02000385,3455.0
W02000386,4351.3
W02000387,5434.8
W02000388,2145.2
W02000389,4233.7
W02000390,3583.0
W02000391,7414.0
W02000392,3436.0
W02000393,4258.4
W02000394,9720.6
W02000395,4108.7
W02000396,10626.3
W02000397,4279.3
W02000398,5162.6
W02000399,11677.7
W02000400,3311.6
W02000401,6638.0
W02000402,10882.1
W02000403,2491.7
W02000404,3646.2
W02000405,6226.9
W02000406,4616.5
W02000407,3655.8
W02000408,10666.2
W02000409,3957.8
W02000410,11230.5
W02000411,4365.6
W02000412,3586.7
W02000422,1430.7
W02000423,4972.0
W02000252,112.2
W02000253,645.4
W02000254,612.6
W02000255,619.3
W02000256,594.0
W02000257,603.6
W02000258,265.1
W02000259,2695.9
W02000260,425.2
W02000261,574.1
W02000262,915.0
W02000263,696.3
W02000264,827.6
W02000265,889.5
W02000266,346.3
W02000267,770.8
W02000268,916.2
W02000269,1151.6
W02000270,1028.0
W02000271,1542.5
W02000272,803.3
W02000273,1414.3
W02000274,644.6
W02000275,408.7
W02000276,972.7
W02000277,611.2
W02000278,818.7
W02000279,1291.0
W02000280,408.7
W02000281,632.0
W02000282,601.2
W02000290,396.0
W02000291,241.8
W02000292,1318.1
W02000293,2214.7
W02000294,301.7
W02000295,616.0
W02000296,2458.7
W02000297,621.0
W02000298,1958.6
W02000299,601.9
W02000300,1457.7
W02000301,826.8
W02000302,577.4
W02000303,382.9
W02000304,308.0
W02000305,2236.4
W02000306,990.2
W02000307,488.8
W02000308,1152.1
W02000309,610.1
W02000310,161.8
W02000311,3077.7
W02000312,2982.6
W02000313,1167.1
W02000314,802.0
W02000315,901.3
W02000316,380.6
W02000317,1507.2
W02000318,595.0
W02000319,569.9
W02000320,495.9
W02000321,594.9
W02000322,571.2
W02000323,337.6
W02000324,284.4
W02000325,1274.4
W02000326,453.7
W02000327,515.1
W02000328,2320.5
W02000329,1329.1
W02000330,1687.0
W02000331,4223.9
W02000332,2316.6
W02000333,1562.0
W02000334,507.6
W02000335,684.8
W02000336,58.5
W02000337,3169.2
W02000338,151.7
W02000339,396.9
W02000340,27.9
W02000341,63.4
W02000342,71.8
W02000343,2093.7
W02000344,122.3
W02000345,2319.2
W02000346,325.3
W02000347,571.7
W02000348,3670.6
W02000349,1615.1
W02000350,141.8
W02000351,4701.3
W02000352,3391.4
W02000353,4497.8
W02000354,3914.6
W02000355,1307.1
W02000356,3192.8
W02000357,8133.2
W02000358,2032.7
W02000359,7369.7
W02000360,4255.7
W02000361,781.4
W02000362,1914.3
W02000363,2627.0
W02000364,1681.4
W02000365,3582.1
W02000366,179.7
W02000097,17.6
W02000098,52.0
W02000099,170.2
W02000100,12.2
W02000101,43.3
W02000102,23.4
W02000103,30.5
W02000104,267.3
W02000105,1324.4
W02000106,17.6
W02000107,18.6
W02000108,16.4
W02000109,441.3
W02000110,11.7
W02000111,26.1
W02000113,744.1
W02000114,29.1
W02000414,8.5
W02000416,61.8
W02000284,819.7
W02000285,813.6
W02000286,2080.2
W02000287,952.1
W02000288,196.1
W02000289,880.2
W02000415,350.5
