geo_id,value,date
W06000015,15.03,1998-06-30
W06000016,16.06,1998-06-30
W06000018,15.18,1998-06-30
W06000019,16.9,1998-06-30
W06000020,16.42,1998-06-30
W06000021,17.86,1998-06-30
W06000022,16.0,1998-06-30
W06000023,19.51,1998-06-30
W06000024,16.14,1998-06-30
W92000004,17.4,1998-06-30
W06000001,18.64,1999-06-30
W06000002,19.06,1999-06-30
W06000003,23.2,1999-06-30
W06000004,20.5,1999-06-30
W06000005,14.83,1999-06-30
W06000006,16.11,1999-06-30
W06000008,18.56,1999-06-30
W06000009,18.86,1999-06-30
W06000010,19.55,1999-06-30
W06000011,18.19,1999-06-30
W06000012,18.4,1999-06-30
W06000013,16.47,1999-06-30
W06000014,16.74,1999-06-30
W06000015,14.73,1999-06-30
W06000016,16.09,1999-06-30
W06000018,15.16,1999-06-30
W06000019,16.83,1999-06-30
W06000020,16.54,1999-06-30
W06000021,17.74,1999-06-30
W06000022,16.07,1999-06-30
W06000023,19.6,1999-06-30
W06000024,16.12,1999-06-30
W92000004,17.33,1999-06-30
W06000001,18.81,2000-06-30
W06000002,19.01,2000-06-30
W06000003,23.16,2000-06-30
W06000004,20.3,2000-06-30
W06000005,14.82,2000-06-30
W06000006,16.08,2000-06-30
W06000008,18.47,2000-06-30
W06000009,18.88,2000-06-30
W06000010,19.54,2000-06-30
W06000011,18.19,2000-06-30
W06000012,18.31,2000-06-30
W06000013,16.51,2000-06-30
W06000014,16.75,2000-06-30
W06000015,14.6,2000-06-30
W06000016,16.12,2000-06-30
W06000018,15.17,2000-06-30
W06000019,16.79,2000-06-30
W06000020,16.59,2000-06-30
W06000021,17.86,2000-06-30
W06000022,16.09,2000-06-30
W06000023,19.82,2000-06-30
W06000024,16.03,2000-06-30
W92000004,17.32,2000-06-30
W06000001,18.9,2001-06-30
W06000002,19.02,2001-06-30
W06000003,23.11,2001-06-30
W06000004,20.23,2001-06-30
W06000005,14.94,2001-06-30
W06000006,16.05,2001-06-30
W06000008,18.63,2001-06-30
W06000009,19.09,2001-06-30
W06000010,19.44,2001-06-30
W06000011,18.31,2001-06-30
W06000012,18.33,2001-06-30
W06000013,16.56,2001-06-30
W06000014,16.81,2001-06-30
W06000015,14.54,2001-06-30
W06000016,16.3,2001-06-30
W06000018,15.27,2001-06-30
W06000019,16.92,2001-06-30
W06000020,16.84,2001-06-30
W06000021,18.01,2001-06-30
W06000022,16.07,2001-06-30
W06000023,20.0,2001-06-30
W06000024,16.12,2001-06-30
W92000004,17.39,2001-06-30
W06000001,19.17,2002-06-30
W06000002,19.12,2002-06-30
W06000003,23.16,2002-06-30
W06000004,20.23,2002-06-30
W06000005,15.15,2002-06-30
W06000006,16.0,2002-06-30
W06000008,18.85,2002-06-30
W06000009,19.29,2002-06-30
W06000010,19.58,2002-06-30
W06000011,18.24,2002-06-30
W06000012,18.32,2002-06-30
W06000013,16.57,2002-06-30
W06000014,16.82,2002-06-30
W06000015,14.37,2002-06-30
W06000016,16.28,2002-06-30
W06000018,15.32,2002-06-30
W06000019,16.97,2002-06-30
W06000020,16.89,2002-06-30
W06000021,18.2,2002-06-30
W06000022,16.05,2002-06-30
W06000023,20.13,2002-06-30
W06000024,16.11,2002-06-30
W92000004,17.42,2002-06-30
W06000001,19.45,2003-06-30
W06000002,19.24,2003-06-30
W06000003,23.19,2003-06-30
W06000004,20.26,2003-06-30
W06000005,15.4,2003-06-30
W06000006,16.01,2003-06-30
W06000008,19.01,2003-06-30
W06000009,19.57,2003-06-30
W06000010,19.54,2003-06-30
W06000011,18.14,2003-06-30
W06000012,18.19,2003-06-30
W06000013,16.57,2003-06-30
W06000014,16.86,2003-06-30
W06000015,14.2,2003-06-30
W06000016,16.26,2003-06-30
W06000018,15.39,2003-06-30
W06000019,17.02,2003-06-30
W06000020,16.9,2003-06-30
W06000021,18.32,2003-06-30
W06000022,16.06,2003-06-30
W06000023,20.2,2003-06-30
W06000024,16.19,2003-06-30
W92000004,17.45,2003-06-30
W06000001,19.67,2004-06-30
W06000002,19.27,2004-06-30
W06000003,23.18,2004-06-30
W06000004,20.29,2004-06-30
W06000005,15.61,2004-06-30
W06000006,16.1,2004-06-30
W06000008,19.13,2004-06-30
W06000009,19.79,2004-06-30
W06000010,19.51,2004-06-30
W06000011,17.97,2004-06-30
W06000012,18.11,2004-06-30
W06000013,16.7,2004-06-30
W06000014,16.92,2004-06-30
W06000015,13.95,2004-06-30
W06000016,16.17,2004-06-30
W06000018,15.46,2004-06-30
W06000019,16.99,2004-06-30
W06000020,17.03,2004-06-30
W06000021,18.46,2004-06-30
W06000022,16.12,2004-06-30
W06000023,20.29,2004-06-30
W06000024,16.3,2004-06-30
W92000004,17.46,2004-06-30
W06000001,19.95,2005-06-30
W06000002,19.42,2005-06-30
W06000003,23.25,2005-06-30
W06000004,20.32,2005-06-30
W06000005,15.84,2005-06-30
W06000006,16.15,2005-06-30
W06000008,19.37,2005-06-30
W06000009,19.97,2005-06-30
W06000010,19.53,2005-06-30
W06000011,17.89,2005-06-30
W06000012,18.06,2005-06-30
W06000013,16.72,2005-06-30
W06000014,17.09,2005-06-30
