geo_id,value
W02000191,250000
W02000192,160000
W02000193,160000
W02000194,372975
W02000195,380000
W02000196,323578
W02000197,440000
W02000198,418750
W02000428,260000
W02000200,145000
W02000201,150000
W02000202,210000
W02000204,225000
W02000205,185000
W02000206,115000
W02000207,186500
W02000208,163000
W02000210,140000
W02000211,123500
W02000212,155000
W02000213,194000
W02000214,157500
W02000215,142750
W02000216,127750
W02000217,158375
W02000417,142125
W02000427,131500
W02000218,117000
W02000219,137500
W02000220,126000
W02000221,121000
W02000222,180000
W02000223,224995
W02000224,178000
W02000225,190000
W02000226,225000
W02000227,205000
W02000228,235000
W02000229,200000
W02000230,260000
W02000231,199998
W02000232,213000
W02000233,190000
W02000234,290000
W02000235,340000
W02000236,302475
W02000237,432500
W02000238,455000
W02000239,440000
W02000240,341500
W02000241,300000
W02000242,299975
W02000243,215750
W02000244,390000
W02000245,223500
W02000246,270000
W02000247,263000
W02000248,185000
W02000249,236250
W02000250,270000
W02000251,240000
W02000367,496998
W02000368,320000
W02000369,299995
W02000370,366500
W02000371,270500
W02000372,347250
W02000373,227500
W02000374,406200
W02000375,207500
W02000376,260000
W02000377,240000
W02000378,399500
W02000379,195000
W02000380,339748
W02000381,215000
W02000382,240000
W02000383,200000
W02000384,427500
W02000385,460000
W02000386,392500
W02000387,340000
W02000388,257500
W02000389,275000
W02000390,430000
W02000391,290000
W02000392,330000
W02000393,240000
W02000394,280000
W02000395,395000
W02000396,264000
W02000397,250000
W02000398,172500
W02000399,236000
W02000400,390000
W02000401,344000
W02000402,210000
W02000403,210000
W02000404,225000
W02000405,180000
W02000406,310300
W02000407,182000
W02000408,215000
W02000409,215750
W02000410,230000
W02000411,217500
W02000412,214000
W02000422,170000
W02000423,179525
W02000252,153500
W02000253,132000
W02000254,158600
W02000255,195000
W02000256,125250
W02000257,130000
W02000258,108000
W02000259,105000
W02000260,93000
W02000261,128000
W02000262,127250
W02000263,125000
W02000264,89250
W02000265,119725
W02000266,130000
W02000267,114000
W02000268,126500
W02000269,129000
W02000270,147000
W02000271,120500
W02000272,157750
W02000273,152250
W02000274,160000
W02000275,175500
W02000276,245000
W02000277,203500
W02000278,265250
W02000279,184000
W02000280,240000
W02000281,245000
W02000282,253750
W02000290,132000
W02000291,111000
W02000292,159000
W02000293,152500
W02000294,200000
W02000295,202000
W02000296,166500
W02000297,195000
W02000298,182500
W02000299,156000
W02000300,200500
W02000301,188750
W02000302,186000
W02000303,158000
W02000304,155000
W02000305,200500
W02000306,190000
W02000307,147500
W02000308,185000
W02000309,223995
W02000310,270000
W02000311,210000
W02000312,250000
W02000313,253500
W02000314,160000
W02000315,154000
W02000316,168000
W02000317,147000
W02000318,148750
W02000319,134500
W02000320,135000
W02000321,127500
W02000322,112500
W02000323,139950
W02000324,162500
W02000325,155500
W02000326,158750
W02000327,249950
W02000328,194000
W02000329,252500
W02000330,193500
W02000331,160600
W02000332,170000
W02000333,181250
W02000334,223750
W02000335,300000
W02000336,322500
W02000337,300000
W02000338,340000
W02000339,281000
W02000340,480000
W02000341,320000
W02000342,433000
W02000343,275000
W02000344,370000
W02000345,255000
W02000346,319998
W02000347,270000
W02000348,230000
W02000349,170000
W02000350,300000
W02000351,202000
W02000352,160000
W02000353,180000
W02000354,223750
W02000355,307500
W02000356,163500
W02000357,182500
W02000358,355000
W02000359,157000
W02000360,180000
W02000361,190000
W02000362,280000
W02000363,220000
W02000364,181500
W02000365,190000
W02000366,310000
W02000097,300000
W02000098,273500
W02000099,215000
W02000100,199500
W02000101,240000
W02000102,249288
W02000103,225250
W02000104,202500
W02000105,155000
W02000106,221000
W02000107,270000
W02000108,252500
W02000109,180000
W02000110,250000
W02000111,301250
W02000113,232000
W02000114,425000
W02000414,310000
W02000416,172500
W02000284,130000
W02000285,196250
W02000286,152000
W02000287,149000
W02000288,115000
W02000289,141250
W02000415,186500
