geo_id,value
W02000001,185000
W02000002,262500
W02000003,138000
W02000004,255000
W02000005,275000
W02000006,195000
W02000007,205000
W02000008,250000
W02000009,205000
W02000010,134250
W02000011,192500
W02000012,177000
W02000013,213000
W02000014,200000
W02000015,191500
W02000016,190000
W02000017,150000
W02000018,120250
W02000019,190000
W02000020,195000
W02000021,231250
W02000022,194999
W02000023,312000
W02000024,219000
W02000025,200000
W02000026,193500
W02000027,165000
W02000028,250000
W02000029,256250
W02000030,209500
W02000031,175500
W02000032,280000
W02000033,198500
W02000034,256250
W02000035,212000
W02000036,225000
W02000037,195000
W02000038,255000
W02000039,212500
W02000040,222000
W02000041,185000
W02000042,180000
W02000043,225000
W02000044,176000
W02000045,160000
W02000047,135000
W02000049,225250
W02000050,218750
W02000051,230000
W02000052,155000
W02000053,246500
W02000054,336000
W02000055,210000
W02000056,250000
W02000057,223500
W02000419,177000
W02000058,182000
W02000059,192750
W02000060,157500
W02000061,195000
W02000062,165000
W02000063,266500
W02000064,162250
W02000065,193500
W02000066,165000
W02000067,265000
W02000068,161000
W02000069,225000
W02000070,275000
W02000071,223500
W02000072,210000
W02000073,199000
W02000074,192000
W02000075,277500
W02000076,225000
W02000077,217500
W02000080,182000
W02000081,176500
W02000082,160000
W02000083,180000
W02000085,210000
W02000087,135000
W02000088,160000
W02000089,137500
W02000090,175000
W02000091,195000
W02000092,140000
W02000093,198500
W02000094,162500
W02000095,275000
W02000096,193000
W02000424,299998
W02000425,297500
W02000426,210000
W02000116,240000
W02000117,200000
W02000118,200000
W02000120,250000
W02000122,290000
W02000123,217500
W02000124,239000
W02000125,232500
W02000421,219500
W02000126,245000
W02000127,254975
W02000128,278750
W02000129,268500
W02000130,167000
W02000131,182500
W02000132,251240
W02000133,230000
W02000134,264000
W02000135,201000
W02000136,277500
W02000137,150000
W02000138,160000
W02000139,246000
W02000140,200000
W02000141,260000
W02000142,187500
W02000143,190000
W02000144,245000
W02000145,290250
W02000146,305000
W02000147,190000
W02000148,176000
W02000149,189000
W02000151,151000
W02000152,213250
W02000153,226248
W02000154,195000
W02000156,170000
W02000157,211250
W02000158,197500
W02000159,197500
W02000160,189975
W02000161,140000
W02000162,185000
W02000163,144750
W02000164,162000
W02000165,138748
W02000166,175000
W02000167,119500
W02000418,265000
W02000168,190000
W02000169,169000
W02000170,210000
W02000171,249998
W02000172,180000
W02000173,215000
W02000174,196000
W02000175,142000
W02000176,179995
W02000177,169000
W02000178,135000
W02000179,200000
W02000180,137500
W02000181,135000
W02000182,140000
W02000183,123000
W02000184,181500
W02000185,275000
W02000186,121000
W02000188,140000
W02000189,254500
