COUNTRYNEW,Immigration is most important national problem (%),Share of population born abroad (%)
United Kingdom,21.4,17.1
Netherlands,13.4,16.2
Cyprus,12.7,14.9
Portugal,11.7,10.8
Malta,11.7,37.0
Ireland,10.9,23.1
Dominican Republic,10.6,6.5
Germany,8.1,19.8
United States,7.8,15.2
Switzerland,7.7,31.1
Iceland,6.8,25.1
Chile,6.2,7.8
Sweden,5.3,21.4
Italy,5.3,11.0
Czech Republic,5.2,9.5
Norway,4.9,18.2
Georgia,4.6,2.1
