GSScode,winner_2019,rqf4_rate,activity_rate,employment_rate,activity_rate_quintile,employment_rate_quintile,rqf4_rate_quintile
E14001284,Con,45.7,70.2,70.2,Lowest Quintile,Second Quintile,Third Quintile
E14001285,Con,50.5,72.6,71.1,Lowest Quintile,Second Quintile,Fourth Quintile
E14001286,Lab,46.0,71.4,69.5,Lowest Quintile,Lowest Quintile,Third Quintile
E14001287,Con,57.2,74.8,74.8,Second Quintile,Third Quintile,Fourth Quintile
E14001288,Con,41.4,87.2,84.4,Highest Quintile,Highest Quintile,Second Quintile
E14001289,Con,46.7,84.9,83.4,Highest Quintile,Highest Quintile,Third Quintile
E14001290,Lab,67.9,72.9,68.2,Lowest Quintile,Lowest Quintile,Highest Quintile
E14001291,Con,33.9,77.1,73.9,Second Quintile,Second Quintile,Lowest Quintile
E14001292,Con,51.1,86.1,84.7,Highest Quintile,Highest Quintile,Fourth Quintile
E14001293,Lab,72.7,83.7,79.4,Fourth Quintile,Fourth Quintile,Highest Quintile
E14001294,Con,52.1,78.8,76.2,Third Quintile,Third Quintile,Fourth Quintile
E14001295,Lab,24.1,72.4,69.7,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001296,Lab,56.9,86.1,81.4,Highest Quintile,Fourth Quintile,Fourth Quintile
E14001297,Lab,45.2,81.4,73.0,Fourth Quintile,Second Quintile,Third Quintile
E14001313,Lab,27.7,81.3,77.6,Fourth Quintile,Third Quintile,Lowest Quintile
E14001314,Lab,48.3,69.0,67.7,Lowest Quintile,Lowest Quintile,Third Quintile
E14001315,Con,33.9,79.5,79.5,Third Quintile,Fourth Quintile,Lowest Quintile
E14001298,Con,37.8,89.1,88.8,Highest Quintile,Highest Quintile,Second Quintile
E14001299,Con,39.8,79.5,79.5,Third Quintile,Fourth Quintile,Second Quintile
E14001300,Lab,63.8,74.9,72.7,Second Quintile,Second Quintile,Highest Quintile
E14001301,Lab,34.4,67.9,65.1,Lowest Quintile,Lowest Quintile,Lowest Quintile
S14000093,SNP,55.6,74.9,71.2,Second Quintile,Second Quintile,Fourth Quintile
S14000094,SNP,47.0,76.0,74.2,Second Quintile,Second Quintile,Third Quintile
E14001302,Con,47.1,87.3,84.6,Highest Quintile,Highest Quintile,Third Quintile
E14001303,Con,37.0,73.4,70.6,Lowest Quintile,Second Quintile,Second Quintile
E14001304,Con,37.4,78.2,74.2,Third Quintile,Second Quintile,Second Quintile
E14001305,Lab,70.8,80.6,77.9,Third Quintile,Third Quintile,Highest Quintile
E14001306,Lab,73.8,86.3,82.2,Highest Quintile,Highest Quintile,Highest Quintile
E14001307,Lab,32.2,77.0,71.3,Second Quintile,Second Quintile,Lowest Quintile
E14001308,Con,51.5,76.7,76.7,Second Quintile,Third Quintile,Fourth Quintile
E14001309,Con,55.1,81.8,80.6,Fourth Quintile,Fourth Quintile,Fourth Quintile
E14001310,Lab,70.8,68.5,62.8,Lowest Quintile,Lowest Quintile,Highest Quintile
E14001311,Con,31.3,75.9,75.9,Second Quintile,Third Quintile,Lowest Quintile
S14000040,SNP,51.3,71.8,71.2,Lowest Quintile,Second Quintile,Fourth Quintile
E14001312,LD,70.5,88.6,82.6,Highest Quintile,Highest Quintile,Highest Quintile
E14001316,Con,52.9,85.9,80.3,Highest Quintile,Fourth Quintile,Fourth Quintile
E14001317,Lab,26.4,75.7,70.6,Second Quintile,Second Quintile,Lowest Quintile
N05000009,DUP,,,,,,
E14001577,Lab,46.2,80.1,74.7,Third Quintile,Second Quintile,Third Quintile
E14001318,Con,54.2,73.4,69.0,Lowest Quintile,Lowest Quintile,Fourth Quintile
E14001319,Lab,62.3,69.8,67.6,Lowest Quintile,Lowest Quintile,Highest Quintile
E14001320,Lab,34.7,58.8,52.4,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001321,Lab,62.9,81.6,81.6,Fourth Quintile,Fourth Quintile,Highest Quintile
E14001322,Con,62.3,86.6,86.6,Highest Quintile,Highest Quintile,Highest Quintile
E14001323,Lab,44.9,77.9,74.2,Third Quintile,Second Quintile,Third Quintile
E14001324,Con,62.9,91.4,91.4,Highest Quintile,Highest Quintile,Highest Quintile
E14001325,Lab,44.4,87.3,85.9,Highest Quintile,Highest Quintile,Third Quintile
E14001326,Lab,25.1,66.1,57.4,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001327,Lab,43.8,72.6,66.4,Lowest Quintile,Lowest Quintile,Third Quintile
E14001328,Lab,36.3,76.2,70.6,Second Quintile,Second Quintile,Second Quintile
E14001364,Con,43.3,85.7,85.7,Highest Quintile,Highest Quintile,Third Quintile
E14001404,Con,42.8,79.0,77.9,Third Quintile,Third Quintile,Third Quintile
E14001488,Con,39.0,88.0,84.5,Highest Quintile,Highest Quintile,Second Quintile
E14001329,Con,28.1,67.3,65.3,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001330,Con,39.4,77.5,75.8,Second Quintile,Third Quintile,Second Quintile
E14001331,Lab,52.1,79.1,69.7,Third Quintile,Lowest Quintile,Fourth Quintile
E14001332,Lab,68.6,75.7,70.0,Second Quintile,Lowest Quintile,Highest Quintile
E14001333,Lab,79.7,91.8,90.9,Highest Quintile,Highest Quintile,Highest Quintile
E14001334,Lab,70.2,73.6,72.0,Lowest Quintile,Second Quintile,Highest Quintile
E14001335,Con,45.8,92.4,91.3,Highest Quintile,Highest Quintile,Third Quintile
E14001336,Con,51.4,74.3,74.3,Second Quintile,Second Quintile,Fourth Quintile
E14001337,Lab,46.3,71.1,67.3,Lowest Quintile,Lowest Quintile,Third Quintile
E14001338,Lab,46.4,78.3,64.7,Third Quintile,Lowest Quintile,Third Quintile
E14001339,Lab,35.5,71.9,69.7,Lowest Quintile,Lowest Quintile,Second Quintile
E14001340,Lab,60.7,73.7,70.8,Second Quintile,Second Quintile,Highest Quintile
E14001341,Lab,29.1,78.2,69.7,Third Quintile,Lowest Quintile,Lowest Quintile
S14000095,SNP,40.9,77.6,72.0,Third Quintile,Second Quintile,Second Quintile
W07000098,Lab,42.4,71.5,67.7,Lowest Quintile,Lowest Quintile,Third Quintile
N05000006,DUP,,,,,,
S14000096,SNP,55.5,83.1,78.7,Fourth Quintile,Fourth Quintile,Fourth Quintile
E14001342,Con,43.5,77.6,74.4,Third Quintile,Second Quintile,Third Quintile
E14001343,Con,20.3,79.4,79.4,Third Quintile,Fourth Quintile,Lowest Quintile
E14001344,Con,25.5,75.4,73.6,Second Quintile,Second Quintile,Lowest Quintile
E14001345,Lab,41.1,78.4,76.3,Third Quintile,Third Quintile,Second Quintile
E14001346,Lab,43.2,71.7,65.9,Lowest Quintile,Lowest Quintile,Third Quintile
E14001347,Con,63.3,90.1,88.2,Highest Quintile,Highest Quintile,Highest Quintile
E14001348,Con,61.7,85.7,81.4,Highest Quintile,Fourth Quintile,Highest Quintile
E14001349,Con,38.3,82.4,79.8,Fourth Quintile,Fourth Quintile,Second Quintile
E14001350,Lab,39.3,73.3,71.7,Lowest Quintile,Second Quintile,Second Quintile
E14001351,Con,53.2,84.2,84.2,Fourth Quintile,Highest Quintile,Fourth Quintile
E14001352,Lab,56.8,76.5,69.8,Second Quintile,Lowest Quintile,Fourth Quintile
E14001353,Lab,49.8,68.3,66.6,Lowest Quintile,Lowest Quintile,Fourth Quintile
E14001354,Lab,73.7,76.3,75.3,Second Quintile,Third Quintile,Highest Quintile
E14001355,Con,42.2,73.3,73.3,Lowest Quintile,Second Quintile,Second Quintile
E14001356,Con,49.0,82.0,81.3,Fourth Quintile,Fourth Quintile,Fourth Quintile
E14001357,Con,40.7,82.9,82.9,Fourth Quintile,Highest Quintile,Second Quintile
E14001358,Con,37.4,78.8,75.8,Third Quintile,Third Quintile,Second Quintile
W07000099,Lab,31.7,75.9,72.5,Second Quintile,Second Quintile,Lowest Quintile
E14001367,Lab,37.8,73.4,66.4,Lowest Quintile,Lowest Quintile,Second Quintile
E14001368,Con,38.7,76.7,72.6,Second Quintile,Second Quintile,Second Quintile
S14000045,SNP,59.8,86.6,85.3,Highest Quintile,Highest Quintile,Highest Quintile
E14001369,Con,55.3,76.7,74.4,Second Quintile,Second Quintile,Fourth Quintile
E14001370,Con,46.3,77.4,76.5,Second Quintile,Third Quintile,Third Quintile
E14001371,Lab,59.0,78.2,76.0,Third Quintile,Third Quintile,Highest Quintile
W07000101,Con,58.0,80.2,76.2,Third Quintile,Third Quintile,Highest Quintile
W07000102,Con,39.3,83.7,80.0,Fourth Quintile,Fourth Quintile,Second Quintile
S14000098,SNP,51.2,77.3,74.8,Second Quintile,Third Quintile,Fourth Quintile
E14001372,Con,39.0,79.5,79.5,Third Quintile,Fourth Quintile,Second Quintile
S14000099,SNP,41.8,72.8,70.5,Lowest Quintile,Second Quintile,Second Quintile
S14000027,SNP,51.0,79.1,77.8,Third Quintile,Third Quintile,Fourth Quintile
W07000103,Lab,40.6,78.2,76.9,Third Quintile,Third Quintile,Second Quintile
E14001373,Con,41.6,82.7,80.1,Fourth Quintile,Fourth Quintile,Second Quintile
E14001374,Con,33.1,89.6,85.1,Highest Quintile,Highest Quintile,Lowest Quintile
E14001375,Con,47.4,78.1,77.0,Third Quintile,Third Quintile,Third Quintile
E14001376,Con,56.8,83.8,82.3,Fourth Quintile,Highest Quintile,Fourth Quintile
E14001380,Con,48.3,90.2,90.2,Highest Quintile,Highest Quintile,Third Quintile
E14001377,Lab,37.5,73.5,71.4,Lowest Quintile,Second Quintile,Second Quintile
E14001378,Lab,45.8,77.4,72.1,Second Quintile,Second Quintile,Third Quintile
E14001379,Lab,67.8,77.3,75.3,Second Quintile,Third Quintile,Highest Quintile
W07000104,Lab,37.4,74.9,70.4,Second Quintile,Second Quintile,Second Quintile
W07000105,Lab,49.4,80.4,79.1,Third Quintile,Fourth Quintile,Fourth Quintile
N05000011,SF,,,,,,
E14001381,Con,41.3,84.8,82.7,Highest Quintile,Highest Quintile,Second Quintile
E14001382,Con,37.3,77.2,75.7,Second Quintile,Third Quintile,Second Quintile
E14001365,Con,29.8,70.1,67.9,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001396,Con,42.4,75.4,72.5,Second Quintile,Second Quintile,Third Quintile
E14001405,Con,28.5,78.3,74.6,Third Quintile,Second Quintile,Lowest Quintile
E14001489,Con,50.5,79.1,75.2,Third Quintile,Third Quintile,Fourth Quintile
E14001497,Con,30.8,92.4,90.7,Highest Quintile,Highest Quintile,Lowest Quintile
E14001383,Lab,26.3,71.5,68.4,Lowest Quintile,Lowest Quintile,Lowest Quintile
N05000013,All,,,,,,
E14001406,Con,34.1,76.0,70.2,Second Quintile,Second Quintile,Lowest Quintile
E14001407,Con,45.1,83.6,79.6,Fourth Quintile,Fourth Quintile,Third Quintile
E14001490,Con,47.1,89.7,86.0,Highest Quintile,Highest Quintile,Third Quintile
E14001397,Con,43.9,74.8,72.3,Second Quintile,Second Quintile,Third Quintile
E14001408,Con,43.5,81.8,79.9,Fourth Quintile,Fourth Quintile,Third Quintile
E14001409,Lab,72.9,89.1,83.6,Highest Quintile,Highest Quintile,Highest Quintile
E14001410,Lab,45.8,71.5,67.2,Lowest Quintile,Lowest Quintile,Third Quintile
E14001411,Lab,36.1,72.7,69.6,Lowest Quintile,Lowest Quintile,Second Quintile
E14001412,Lab,31.5,69.8,65.1,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001413,Con,32.5,82.6,81.7,Fourth Quintile,Fourth Quintile,Lowest Quintile
E14001414,Con,47.5,83.6,78.6,Fourth Quintile,Fourth Quintile,Third Quintile
E14001415,Lab,34.5,82.3,80.4,Fourth Quintile,Fourth Quintile,Lowest Quintile
E14001416,Lab,25.1,73.6,71.1,Lowest Quintile,Second Quintile,Lowest Quintile
S14000051,LD,36.9,86.2,86.2,Highest Quintile,Highest Quintile,Second Quintile
E14001417,Con,54.1,82.0,80.5,Fourth Quintile,Fourth Quintile,Fourth Quintile
E14001418,Con,40.0,75.0,74.0,Second Quintile,Second Quintile,Second Quintile
E14001419,Lab,71.6,80.5,79.2,Third Quintile,Fourth Quintile,Highest Quintile
E14001420,LD,74.0,93.1,84.8,Highest Quintile,Highest Quintile,Highest Quintile
S14000101,SNP,58.4,72.2,71.8,Lowest Quintile,Second Quintile,Highest Quintile
S14000102,SNP,62.0,76.1,75.3,Second Quintile,Third Quintile,Highest Quintile
E14001421,Lab,58.8,69.2,67.8,Lowest Quintile,Lowest Quintile,Highest Quintile
W07000100,Con,38.8,78.1,77.1,Third Quintile,Third Quintile,Second Quintile
E14001422,Con,33.8,61.6,58.3,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001423,Con,41.4,84.1,80.8,Fourth Quintile,Fourth Quintile,Second Quintile
E14001424,Con,38.9,87.4,85.8,Highest Quintile,Highest Quintile,Second Quintile
S14000103,SNP,65.7,80.5,78.0,Third Quintile,Third Quintile,Highest Quintile
E14001425,Con,34.3,81.9,78.1,Fourth Quintile,Third Quintile,Lowest Quintile
E14001426,Con,24.2,76.3,74.8,Second Quintile,Third Quintile,Lowest Quintile
E14001427,Lab,40.7,73.3,70.0,Lowest Quintile,Lowest Quintile,Second Quintile
E14001428,Lab,29.1,86.2,84.4,Highest Quintile,Highest Quintile,Lowest Quintile
W07000106,Lab,37.9,72.5,67.2,Lowest Quintile,Lowest Quintile,Second Quintile
E14001429,Con,48.1,81.4,79.6,Fourth Quintile,Fourth Quintile,Third Quintile
E14001430,Lab,59.0,76.9,70.1,Second Quintile,Second Quintile,Highest Quintile
E14001431,Con,42.2,82.9,79.7,Fourth Quintile,Fourth Quintile,Second Quintile
E14001432,Lab,53.8,81.4,81.0,Fourth Quintile,Fourth Quintile,Fourth Quintile
E14001433,Lab,37.9,79.9,79.2,Third Quintile,Fourth Quintile,Second Quintile
E14001434,Lab,72.5,84.2,80.8,Fourth Quintile,Fourth Quintile,Highest Quintile
E14001435,Lab,59.5,63.1,57.6,Lowest Quintile,Lowest Quintile,Highest Quintile
E14001436,Lab,27.7,70.2,66.6,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001437,Con,24.6,83.1,81.8,Fourth Quintile,Fourth Quintile,Lowest Quintile
E14001438,Lab,63.4,89.7,86.9,Highest Quintile,Highest Quintile,Highest Quintile
E14001439,Con,55.6,83.9,83.4,Fourth Quintile,Highest Quintile,Fourth Quintile
E14001440,Con,36.5,72.3,69.7,Lowest Quintile,Lowest Quintile,Second Quintile
E14001441,Con,44.1,78.5,77.1,Third Quintile,Third Quintile,Third Quintile
E14001442,Con,65.3,93.2,92.8,Highest Quintile,Highest Quintile,Highest Quintile
S14000021,SNP,70.1,79.6,77.5,Third Quintile,Third Quintile,Highest Quintile
W07000107,Lab,27.8,71.9,70.3,Lowest Quintile,Second Quintile,Lowest Quintile
E14001443,Con,44.6,81.2,79.8,Fourth Quintile,Fourth Quintile,Third Quintile
E14001444,Con,37.2,75.6,71.1,Second Quintile,Second Quintile,Second Quintile
E14001445,LD,79.5,81.2,79.1,Fourth Quintile,Fourth Quintile,Highest Quintile
E14001446,Lab,33.8,71.5,67.8,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001447,Con,38.0,83.8,79.8,Fourth Quintile,Fourth Quintile,Second Quintile
E14001448,Con,44.5,79.4,78.8,Third Quintile,Fourth Quintile,Third Quintile
E14001449,Con,45.8,83.6,82.2,Fourth Quintile,Highest Quintile,Third Quintile
E14001450,Con,42.8,71.4,71.4,Lowest Quintile,Second Quintile,Third Quintile
E14001451,Con,47.2,79.2,75.1,Third Quintile,Third Quintile,Third Quintile
E14001452,Lab,25.9,63.4,58.6,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001453,Con,52.7,85.2,83.5,Highest Quintile,Highest Quintile,Fourth Quintile
E14001454,Con,47.8,82.3,77.5,Fourth Quintile,Third Quintile,Third Quintile
E14001455,Lab,37.5,73.6,68.1,Lowest Quintile,Lowest Quintile,Second Quintile
E14001456,Con,64.1,82.1,82.1,Fourth Quintile,Highest Quintile,Highest Quintile
E14001457,Con,66.0,81.9,79.4,Fourth Quintile,Fourth Quintile,Highest Quintile
S14000104,SNP,50.7,78.7,77.9,Third Quintile,Third Quintile,Fourth Quintile
E14001458,Con,35.6,80.2,76.7,Third Quintile,Third Quintile,Second Quintile
E14001459,Lab,62.8,82.5,78.2,Fourth Quintile,Third Quintile,Highest Quintile
E14001460,Con,56.9,81.1,81.1,Fourth Quintile,Fourth Quintile,Fourth Quintile
E14001461,Con,36.2,73.6,73.6,Lowest Quintile,Second Quintile,Second Quintile
E14001462,Con,28.9,76.6,74.8,Second Quintile,Third Quintile,Lowest Quintile
E14001463,Lab,43.5,81.0,81.0,Fourth Quintile,Fourth Quintile,Third Quintile
E14001464,Con,44.9,85.6,84.1,Highest Quintile,Highest Quintile,Third Quintile
E14001465,Con,48.1,75.5,75.5,Second Quintile,Third Quintile,Third Quintile
E14001466,Lab,31.2,68.5,65.4,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001467,Lab,71.1,80.6,80.6,Third Quintile,Fourth Quintile,Highest Quintile
E14001468,Lab,59.2,77.3,75.6,Second Quintile,Third Quintile,Highest Quintile
E14001469,Lab,54.2,80.3,78.7,Third Quintile,Fourth Quintile,Fourth Quintile
E14001470,Lab,24.8,62.5,58.8,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001471,Con,33.8,79.8,77.9,Third Quintile,Third Quintile,Lowest Quintile
E14001472,Con,47.6,73.6,66.5,Lowest Quintile,Lowest Quintile,Third Quintile
E14001473,Con,36.5,85.9,81.6,Highest Quintile,Fourth Quintile,Second Quintile
E14001398,Con,47.6,74.4,71.1,Second Quintile,Second Quintile,Third Quintile
E14001493,Con,40.4,83.5,80.5,Fourth Quintile,Fourth Quintile,Second Quintile
E14001474,Con,22.8,85.6,84.7,Highest Quintile,Highest Quintile,Lowest Quintile
E14001475,Con,48.2,76.6,76.6,Second Quintile,Third Quintile,Third Quintile
E14001476,Con,49.0,84.7,83.3,Highest Quintile,Highest Quintile,Fourth Quintile
E14001477,Lab,50.9,85.5,80.8,Highest Quintile,Fourth Quintile,Fourth Quintile
E14001478,Lab,42.6,79.4,77.2,Third Quintile,Third Quintile,Third Quintile
E14001479,Con,57.6,80.7,77.5,Fourth Quintile,Third Quintile,Fourth Quintile
E14001399,Con,57.1,88.6,87.3,Highest Quintile,Highest Quintile,Fourth Quintile
E14001394,Con,45.8,83.2,82.4,Fourth Quintile,Highest Quintile,Third Quintile
N05000015,SF,,,,,,
E14001487,Con,28.0,82.2,82.2,Fourth Quintile,Highest Quintile,Lowest Quintile
E14001491,Con,41.4,85.7,85.7,Highest Quintile,Highest Quintile,Second Quintile
E14001492,Lab,37.1,70.7,63.8,Lowest Quintile,Lowest Quintile,Second Quintile
E14001499,Con,42.7,79.5,76.1,Third Quintile,Third Quintile,Third Quintile
E14001500,Lab,34.1,77.3,75.4,Second Quintile,Third Quintile,Lowest Quintile
E14001501,Con,45.2,79.7,76.9,Third Quintile,Third Quintile,Third Quintile
E14001502,Con,39.6,79.3,75.8,Third Quintile,Third Quintile,Second Quintile
E14001503,Lab,47.6,72.8,71.5,Lowest Quintile,Second Quintile,Third Quintile
E14001504,Con,47.0,88.9,88.2,Highest Quintile,Highest Quintile,Third Quintile
E14001505,Con,39.8,76.9,74.3,Second Quintile,Second Quintile,Second Quintile
E14001506,Con,33.8,71.7,69.9,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001507,LD,63.2,85.7,85.0,Highest Quintile,Highest Quintile,Highest Quintile
E14001508,Con,29.5,81.8,80.3,Fourth Quintile,Fourth Quintile,Lowest Quintile
E14001509,Lab,42.9,79.4,76.4,Third Quintile,Third Quintile,Third Quintile
E14001510,Lab,42.3,77.1,74.8,Second Quintile,Third Quintile,Second Quintile
E14001511,Con,35.1,77.1,76.4,Second Quintile,Third Quintile,Lowest Quintile
E14001512,Con,44.1,89.4,82.3,Highest Quintile,Highest Quintile,Third Quintile
E14001513,Con,32.6,85.4,84.6,Highest Quintile,Highest Quintile,Lowest Quintile
E14001514,Con,32.5,76.3,73.8,Second Quintile,Second Quintile,Lowest Quintile
E14001515,Lab,41.9,77.1,76.5,Second Quintile,Third Quintile,Second Quintile
E14001516,Con,26.3,74.9,73.2,Second Quintile,Second Quintile,Lowest Quintile
S14000105,SNP,65.7,83.9,80.8,Fourth Quintile,Fourth Quintile,Highest Quintile
E14001517,Lab,48.8,75.4,67.8,Second Quintile,Lowest Quintile,Fourth Quintile
E14001518,Lab,29.6,71.3,67.1,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001519,Con,42.8,84.3,82.1,Highest Quintile,Highest Quintile,Third Quintile
E14001520,Con,43.0,75.1,72.8,Second Quintile,Second Quintile,Third Quintile
E14001521,Con,28.9,85.2,80.4,Highest Quintile,Fourth Quintile,Lowest Quintile
E14001522,Con,36.2,83.4,83.1,Fourth Quintile,Highest Quintile,Second Quintile
E14001523,Con,52.3,74.2,73.1,Second Quintile,Second Quintile,Fourth Quintile
E14001524,Con,39.5,81.4,76.9,Fourth Quintile,Third Quintile,Second Quintile
N05000016,DUP,,,,,,
E14001525,Lab,53.1,70.7,65.6,Lowest Quintile,Lowest Quintile,Fourth Quintile
E14001526,Con,59.1,88.9,85.4,Highest Quintile,Highest Quintile,Highest Quintile
E14001527,Lab,61.9,74.3,68.2,Second Quintile,Lowest Quintile,Highest Quintile
E14001528,Lab,49.8,81.2,77.9,Fourth Quintile,Third Quintile,Fourth Quintile
E14001529,Con,59.9,88.9,87.5,Highest Quintile,Highest Quintile,Highest Quintile
E14001156,Con,44.6,83.1,81.6,Fourth Quintile,Fourth Quintile,Third Quintile
E14001530,Con,29.5,77.9,77.9,Third Quintile,Third Quintile,Lowest Quintile
E14001494,Con,30.6,75.2,69.7,Second Quintile,Lowest Quintile,Lowest Quintile
E14001578,Con,40.8,84.8,79.9,Highest Quintile,Fourth Quintile,Second Quintile
E14001531,Lab,32.5,74.3,74.3,Second Quintile,Second Quintile,Lowest Quintile
E14001215,Con,45.5,81.9,81.1,Fourth Quintile,Fourth Quintile,Third Quintile
E14001532,Con,41.6,87.3,85.3,Highest Quintile,Highest Quintile,Second Quintile
E14001366,Con,45.3,84.9,83.3,Highest Quintile,Highest Quintile,Third Quintile
E14001533,Con,34.8,81.1,80.2,Fourth Quintile,Fourth Quintile,Lowest Quintile
E14001534,Con,64.2,82.6,76.5,Fourth Quintile,Third Quintile,Highest Quintile
E14001535,Con,58.0,83.1,81.2,Fourth Quintile,Fourth Quintile,Highest Quintile
W07000108,Lab,46.3,71.9,67.1,Lowest Quintile,Lowest Quintile,Third Quintile
E14001536,Con,35.9,77.5,75.7,Second Quintile,Third Quintile,Second Quintile
E14001537,Con,37.2,87.0,85.6,Highest Quintile,Highest Quintile,Second Quintile
E14001538,Con,28.2,79.5,79.5,Third Quintile,Fourth Quintile,Lowest Quintile
E14001539,Con,51.9,79.8,77.2,Third Quintile,Third Quintile,Fourth Quintile
E14001540,Con,45.2,82.0,81.0,Fourth Quintile,Fourth Quintile,Third Quintile
E14001541,Con,30.9,76.9,74.2,Second Quintile,Second Quintile,Lowest Quintile
E14001542,Con,43.3,82.0,77.4,Fourth Quintile,Third Quintile,Third Quintile
E14001216,Con,37.7,72.8,64.1,Lowest Quintile,Lowest Quintile,Second Quintile
E14001544,Con,40.8,90.6,88.9,Highest Quintile,Highest Quintile,Second Quintile
E14001545,Con,51.0,83.2,83.2,Fourth Quintile,Highest Quintile,Fourth Quintile
E14001546,Con,36.6,80.2,77.2,Third Quintile,Third Quintile,Second Quintile
E14001547,Con,17.0,65.2,59.5,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001548,Con,38.3,81.3,80.3,Fourth Quintile,Fourth Quintile,Second Quintile
E14001549,Con,40.2,83.3,83.3,Fourth Quintile,Highest Quintile,Second Quintile
E14001550,Lab,81.4,88.9,86.7,Highest Quintile,Highest Quintile,Highest Quintile
E14001551,Con,35.6,77.0,75.8,Second Quintile,Third Quintile,Second Quintile
W07000109,Lab,34.3,78.8,76.4,Third Quintile,Third Quintile,Lowest Quintile
E14001552,Con,45.0,79.4,79.4,Third Quintile,Fourth Quintile,Third Quintile
E14001553,Lab,55.9,81.3,76.2,Fourth Quintile,Third Quintile,Fourth Quintile
E14001554,Con,59.4,76.8,74.7,Second Quintile,Second Quintile,Highest Quintile
E14001555,Con,46.0,86.6,83.6,Highest Quintile,Highest Quintile,Third Quintile
E14001556,LD,78.3,80.8,74.4,Fourth Quintile,Second Quintile,Highest Quintile
E14001557,Lab,52.2,77.9,76.1,Third Quintile,Third Quintile,Fourth Quintile
N05000018,SF,,,,,,
N05000010,SF,,,,,,
N05000017,DUP,,,,,,
E14001558,Con,50.4,81.2,68.5,Fourth Quintile,Lowest Quintile,Fourth Quintile
W07000110,Con,43.8,75.5,74.9,Second Quintile,Third Quintile,Third Quintile
E14001559,Lab,68.4,82.3,77.6,Fourth Quintile,Third Quintile,Highest Quintile
E14001560,Con,32.0,79.2,72.6,Third Quintile,Second Quintile,Lowest Quintile
E14001561,Lab,44.8,79.7,79.7,Third Quintile,Fourth Quintile,Third Quintile
E14001562,Con,26.5,71.9,67.2,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001563,Lab,65.7,76.9,75.2,Second Quintile,Third Quintile,Highest Quintile
E14001564,Lab,46.9,81.4,75.4,Fourth Quintile,Third Quintile,Third Quintile
E14001565,Lab,49.8,84.4,82.9,Highest Quintile,Highest Quintile,Fourth Quintile
E14001566,Lab,62.2,81.2,76.6,Fourth Quintile,Third Quintile,Highest Quintile
E14001400,Con,30.7,75.0,75.0,Second Quintile,Third Quintile,Lowest Quintile
E14001567,Lab,29.3,77.4,71.8,Second Quintile,Second Quintile,Lowest Quintile
E14001568,Con,62.8,82.3,82.3,Fourth Quintile,Highest Quintile,Highest Quintile
E14001569,Con,37.1,78.0,74.9,Third Quintile,Third Quintile,Second Quintile
E14001570,Con,53.4,79.0,76.7,Third Quintile,Third Quintile,Fourth Quintile
E14001571,Con,23.7,80.8,80.8,Fourth Quintile,Fourth Quintile,Lowest Quintile
E14001572,Con,31.1,78.1,76.9,Third Quintile,Third Quintile,Lowest Quintile
E14001573,Con,58.9,80.3,79.4,Third Quintile,Fourth Quintile,Highest Quintile
E14001574,Con,33.1,74.6,67.6,Second Quintile,Lowest Quintile,Lowest Quintile
E14001576,Lab,53.6,76.6,74.1,Second Quintile,Second Quintile,Fourth Quintile
E14001580,Con,27.9,88.2,86.6,Highest Quintile,Highest Quintile,Lowest Quintile
E14001581,Con,42.7,82.3,75.7,Fourth Quintile,Third Quintile,Third Quintile
E14001582,Con,58.2,71.2,70.2,Lowest Quintile,Second Quintile,Highest Quintile
E14001583,Con,31.3,82.4,81.6,Fourth Quintile,Fourth Quintile,Lowest Quintile
E14001584,Lab,40.3,68.2,64.1,Lowest Quintile,Lowest Quintile,Second Quintile
E14001585,Lab,29.7,72.9,70.5,Lowest Quintile,Second Quintile,Lowest Quintile
E14001217,Con,41.1,80.5,79.2,Third Quintile,Fourth Quintile,Second Quintile
E14001498,Con,40.0,87.9,85.8,Highest Quintile,Highest Quintile,Second Quintile
E14001586,Con,69.2,78.6,70.9,Third Quintile,Second Quintile,Highest Quintile
E14001587,Con,64.7,82.4,80.8,Fourth Quintile,Fourth Quintile,Highest Quintile
E14001588,Con,50.9,82.1,80.0,Fourth Quintile,Fourth Quintile,Fourth Quintile
E14001589,Lab,59.6,78.6,77.5,Third Quintile,Third Quintile,Highest Quintile
E14001590,Con,45.9,83.1,83.1,Fourth Quintile,Highest Quintile,Third Quintile
E14001591,Con,30.9,86.9,86.9,Highest Quintile,Highest Quintile,Lowest Quintile
E14001592,Con,66.8,87.8,83.4,Highest Quintile,Highest Quintile,Highest Quintile
