GSScode,winner_2019,rqf4_rate,activity_rate,employment_rate,activity_rate_quintile,employment_rate_quintile,rqf4_rate_quintile
E14001109,Con,36.8,78.8,71.4,Third Quintile,Second Quintile,Second Quintile
E14001110,Con,30.0,63.6,62.3,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001111,Lab,38.0,69.4,55.6,Lowest Quintile,Lowest Quintile,Second Quintile
E14001112,Con,52.2,80.1,76.8,Third Quintile,Third Quintile,Fourth Quintile
E14001113,Lab,38.7,75.1,74.4,Second Quintile,Second Quintile,Second Quintile
E14001114,Con,23.1,72.9,68.6,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001115,Con,50.0,79.8,76.7,Third Quintile,Third Quintile,Fourth Quintile
E14001116,Con,42.5,82.8,78.4,Fourth Quintile,Fourth Quintile,Third Quintile
E14001117,Con,44.4,84.4,80.6,Highest Quintile,Fourth Quintile,Third Quintile
E14001118,Lab,31.5,70.2,68.0,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001119,Lab,25.2,77.0,71.2,Second Quintile,Second Quintile,Lowest Quintile
E14001120,Lab,32.8,77.3,65.3,Second Quintile,Lowest Quintile,Lowest Quintile
E14001121,Con,39.1,76.2,70.5,Second Quintile,Second Quintile,Second Quintile
W07000085,Con,41.4,77.2,73.8,Second Quintile,Second Quintile,Second Quintile
E14001122,Lab,43.4,71.1,69.1,Lowest Quintile,Lowest Quintile,Third Quintile
E14001123,Lab,57.3,80.6,80.6,Third Quintile,Fourth Quintile,Fourth Quintile
E14001124,Lab,51.1,85.5,84.0,Highest Quintile,Highest Quintile,Fourth Quintile
E14001125,Con,43.8,82.5,82.5,Fourth Quintile,Highest Quintile,Third Quintile
W07000086,Con,45.7,70.2,68.2,Lowest Quintile,Lowest Quintile,Third Quintile
E14001126,Con,33.3,81.0,76.0,Fourth Quintile,Third Quintile,Lowest Quintile
E14001127,Con,29.4,71.9,68.8,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001128,Con,41.6,79.1,76.0,Third Quintile,Third Quintile,Second Quintile
E14001129,Lab,48.7,71.7,69.3,Lowest Quintile,Lowest Quintile,Fourth Quintile
E14001130,Green,57.1,78.5,75.8,Third Quintile,Third Quintile,Fourth Quintile
E14001131,Lab,67.9,69.7,66.7,Lowest Quintile,Lowest Quintile,Highest Quintile
E14001132,Lab,49.9,82.4,79.9,Fourth Quintile,Fourth Quintile,Fourth Quintile
E14001133,Lab,39.3,77.9,74.7,Third Quintile,Second Quintile,Second Quintile
E14001134,Lab,60.1,84.3,81.8,Highest Quintile,Fourth Quintile,Highest Quintile
E14001135,Lab,53.3,81.3,76.9,Fourth Quintile,Third Quintile,Fourth Quintile
E14001136,Con,32.7,74.2,73.1,Second Quintile,Second Quintile,Lowest Quintile
E14001137,Con,53.1,84.8,81.3,Highest Quintile,Fourth Quintile,Fourth Quintile
E14001138,Con,62.2,85.9,85.9,Highest Quintile,Highest Quintile,Highest Quintile
E14001139,Con,26.8,78.0,74.6,Third Quintile,Second Quintile,Lowest Quintile
E14001140,Con,43.0,84.1,81.1,Fourth Quintile,Fourth Quintile,Third Quintile
E14001141,Con,44.6,80.2,76.1,Third Quintile,Third Quintile,Third Quintile
E14001360,Con,52.7,86.5,86.5,Highest Quintile,Highest Quintile,Fourth Quintile
E14001142,Con,38.2,76.5,74.4,Second Quintile,Second Quintile,Second Quintile
E14001143,Con,45.1,80.6,80.6,Third Quintile,Fourth Quintile,Third Quintile
E14001144,Con,40.3,77.4,74.9,Second Quintile,Third Quintile,Second Quintile
E14001145,Con,52.9,74.9,71.1,Second Quintile,Second Quintile,Fourth Quintile
E14001146,Con,33.3,78.2,72.7,Third Quintile,Second Quintile,Lowest Quintile
W07000087,Con,45.8,82.3,80.0,Fourth Quintile,Fourth Quintile,Third Quintile
W07000088,Lab,45.1,77.0,74.9,Second Quintile,Third Quintile,Third Quintile
S14000069,SNP,56.0,78.9,78.9,Third Quintile,Fourth Quintile,Fourth Quintile
E14001147,Con,48.4,79.4,77.6,Third Quintile,Third Quintile,Fourth Quintile
E14001148,Con,40.6,85.6,82.6,Highest Quintile,Highest Quintile,Second Quintile
E14001149,Lab,66.7,80.1,74.4,Third Quintile,Second Quintile,Highest Quintile
E14001390,Con,32.2,71.9,67.8,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001401,Con,37.0,82.9,81.6,Fourth Quintile,Fourth Quintile,Second Quintile
E14001481,Con,54.4,79.9,76.0,Third Quintile,Third Quintile,Fourth Quintile
E14001150,Con,24.3,84.8,84.8,Highest Quintile,Highest Quintile,Lowest Quintile
E14001151,Lab,61.7,68.2,62.1,Lowest Quintile,Lowest Quintile,Highest Quintile
W07000089,Lab,57.0,85.1,81.7,Highest Quintile,Fourth Quintile,Fourth Quintile
W07000090,Lab,53.7,78.0,74.8,Third Quintile,Third Quintile,Fourth Quintile
W07000091,Lab,56.3,84.1,81.1,Fourth Quintile,Fourth Quintile,Fourth Quintile
W07000092,Lab,44.1,71.7,65.5,Lowest Quintile,Lowest Quintile,Third Quintile
E14001152,Con,34.5,87.5,84.4,Highest Quintile,Highest Quintile,Lowest Quintile
E14001153,Con,60.9,88.9,87.7,Highest Quintile,Highest Quintile,Highest Quintile
E14001154,Con,30.2,87.9,85.2,Highest Quintile,Highest Quintile,Lowest Quintile
W07000093,PC,44.4,71.0,67.6,Lowest Quintile,Lowest Quintile,Third Quintile
