typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,84,BLZ,Belize,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,18547.0,18547.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,90,SLB,Solomon Isds,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,438727.0,438727.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,96,BRN,Brunei Darussalam,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,9091132.0,9091132.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,100,BGR,Bulgaria,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,13535214.0,13535214.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,104,MMR,Myanmar,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,217720923.0,217720923.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,108,BDI,Burundi,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,64187.0,64187.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,112,BLR,Belarus,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,2726901.0,2726901.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,116,KHM,Cambodia,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,17535011.0,17535011.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,120,CMR,Cameroon,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,15288794.0,15288794.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,124,CAN,Canada,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,71827656.0,71827656.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,132,CPV,Cabo Verde,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,672939.0,672939.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,140,CAF,Central African Rep.,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,251071.0,251071.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,144,LKA,Sri Lanka,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,39732630.0,39732630.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,148,TCD,Chad,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,12375353.0,12375353.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,152,CHL,Chile,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,449323074.0,449323074.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,170,COL,Colombia,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,95966566.0,95966566.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,174,COM,Comoros,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,269356.0,269356.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,175,MYT,Mayotte (Overseas France),0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,111215.0,111215.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,178,COG,Congo,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,16888956.0,16888956.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,180,COD,Dem. Rep. of the Congo,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,11329563.0,11329563.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,184,COK,Cook Isds,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,37885.0,37885.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,188,CRI,Costa Rica,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,20584969.0,20584969.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,191,HRV,Croatia,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,24510199.0,24510199.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,192,CUB,Cuba,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,81562706.0,81562706.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,196,CYP,Cyprus,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,6231609.0,6231609.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,203,CZE,Czechia,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,7740744.0,7740744.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,204,BEN,Benin,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,7843461.0,7843461.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,208,DNK,Denmark,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,1677006.0,1677006.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,212,DMA,Dominica,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,803188.0,803188.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,214,DOM,Dominican Rep.,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,39923245.0,39923245.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,218,ECU,Ecuador,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,97003610.0,97003610.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,222,SLV,El Salvador,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,18356897.0,18356897.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,226,GNQ,Equatorial Guinea,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,27311792.0,27311792.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,231,ETH,Ethiopia,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,38552080.0,38552080.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,232,ERI,Eritrea,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,633458.0,633458.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,233,EST,Estonia,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,6391260.0,6391260.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,242,FJI,Fiji,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,6794463.0,6794463.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,246,FIN,Finland,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,14431397.0,14431397.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,251,FRA,France,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,38147349.0,38147349.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,258,PYF,French Polynesia,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,200313.0,200313.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,262,DJI,Djibouti,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,13287535.0,13287535.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,266,GAB,Gabon,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,9424483.0,9424483.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,268,GEO,Georgia,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,10405264.0,10405264.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,270,GMB,Gambia,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,1339167.0,1339167.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,275,PSE,State of Palestine,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,92747.0,92747.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,276,DEU,Germany,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,130339993.0,130339993.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,288,GHA,Ghana,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,45928032.0,45928032.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,296,KIR,Kiribati,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,4577888.0,4577888.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,300,GRC,Greece,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,58809321.0,58809321.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,308,GRD,Grenada,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,552328.0,552328.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,320,GTM,Guatemala,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,30757119.0,30757119.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,324,GIN,Guinea,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,7501922.0,7501922.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,328,GUY,Guyana,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,3966961.0,3966961.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,332,HTI,Haiti,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,10277189.0,10277189.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,340,HND,Honduras,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,10665011.0,10665011.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,344,HKG,"China, Hong Kong SAR",0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,708808496.0,708808496.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,348,HUN,Hungary,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,829972.0,829972.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,352,ISL,Iceland,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,1027648.0,1027648.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,360,IDN,Indonesia,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,592758353.0,592758353.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,364,IRN,Iran,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,329655346.0,329655346.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,368,IRQ,Iraq,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,57400351.0,57400351.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,372,IRL,Ireland,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,2348361.0,2348361.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,376,ISR,Israel,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,141526191.0,141526191.0,0,True,False
