Date,Value,Series,Date Label
2008-10-01,2361,Looking after family/home,2008 Q4
2009-01-01,2348,Looking after family/home,2009 Q1
2009-04-01,2374,Looking after family/home,2009 Q2
2009-07-01,2363,Looking after family/home,2009 Q3
2009-10-01,2343,Looking after family/home,2009 Q4
2010-01-01,2374,Looking after family/home,2010 Q1
2010-04-01,2339,Looking after family/home,2010 Q2
2010-07-01,2313,Looking after family/home,2010 Q3
2010-10-01,2312,Looking after family/home,2010 Q4
2011-01-01,2334,Looking after family/home,2011 Q1
2011-04-01,2349,Looking after family/home,2011 Q2
2011-07-01,2351,Looking after family/home,2011 Q3
2011-10-01,2329,Looking after family/home,2011 Q4
2012-01-01,2345,Looking after family/home,2012 Q1
2012-04-01,2335,Looking after family/home,2012 Q2
2012-07-01,2352,Looking after family/home,2012 Q3
2012-10-01,2336,Looking after family/home,2012 Q4
2013-01-01,2309,Looking after family/home,2013 Q1
2013-04-01,2278,Looking after family/home,2013 Q2
2013-07-01,2327,Looking after family/home,2013 Q3
2013-10-01,2302,Looking after family/home,2013 Q4
2014-01-01,2287,Looking after family/home,2014 Q1
2014-04-01,2318,Looking after family/home,2014 Q2
2014-07-01,2291,Looking after family/home,2014 Q3
2014-10-01,2304,Looking after family/home,2014 Q4
2015-01-01,2280,Looking after family/home,2015 Q1
2015-04-01,2282,Looking after family/home,2015 Q2
2015-07-01,2238,Looking after family/home,2015 Q3
2015-10-01,2242,Looking after family/home,2015 Q4
2016-01-01,2254,Looking after family/home,2016 Q1
2016-04-01,2211,Looking after family/home,2016 Q2
2016-07-01,2242,Looking after family/home,2016 Q3
2016-10-01,2202,Looking after family/home,2016 Q4
2017-01-01,2205,Looking after family/home,2017 Q1
2017-04-01,2131,Looking after family/home,2017 Q2
2017-07-01,2069,Looking after family/home,2017 Q3
2017-10-01,2091,Looking after family/home,2017 Q4
2018-01-01,2048,Looking after family/home,2018 Q1
2018-04-01,2036,Looking after family/home,2018 Q2
2018-07-01,2037,Looking after family/home,2018 Q3
2018-10-01,2029,Looking after family/home,2018 Q4
2019-01-01,2030,Looking after family/home,2019 Q1
2019-04-01,2013,Looking after family/home,2019 Q2
2019-07-01,1970,Looking after family/home,2019 Q3
2019-10-01,1885,Looking after family/home,2019 Q4
2020-01-01,1826,Looking after family/home,2020 Q1
2020-04-01,1791,Looking after family/home,2020 Q2
2020-07-01,1654,Looking after family/home,2020 Q3
2020-10-01,1647,Looking after family/home,2020 Q4
2021-01-01,1592,Looking after family/home,2021 Q1
2021-04-01,1599,Looking after family/home,2021 Q2
2021-07-01,1657,Looking after family/home,2021 Q3
2021-10-01,1671,Looking after family/home,2021 Q4
2022-01-01,1740,Looking after family/home,2022 Q1
2022-04-01,1713,Looking after family/home,2022 Q2
2022-07-01,1720,Looking after family/home,2022 Q3
2022-10-01,1702,Looking after family/home,2022 Q4
2023-01-01,1660,Looking after family/home,2023 Q1
2023-04-01,1582,Looking after family/home,2023 Q2
1993-04-01,201,Temp sick,1993 Q2
1993-07-01,200,Temp sick,1993 Q3
1993-10-01,208,Temp sick,1993 Q4
1994-01-01,212,Temp sick,1994 Q1
1994-04-01,212,Temp sick,1994 Q2
1994-07-01,217,Temp sick,1994 Q3
1994-10-01,228,Temp sick,1994 Q4
1995-01-01,230,Temp sick,1995 Q1
1995-04-01,223,Temp sick,1995 Q2
1995-07-01,231,Temp sick,1995 Q3
1995-10-01,225,Temp sick,1995 Q4
1996-01-01,230,Temp sick,1996 Q1
1996-04-01,229,Temp sick,1996 Q2
1996-07-01,216,Temp sick,1996 Q3
1996-10-01,206,Temp sick,1996 Q4
1997-01-01,208,Temp sick,1997 Q1
1997-04-01,221,Temp sick,1997 Q2
1997-07-01,218,Temp sick,1997 Q3
1997-10-01,227,Temp sick,1997 Q4
1998-01-01,219,Temp sick,1998 Q1
1998-04-01,204,Temp sick,1998 Q2
1998-07-01,191,Temp sick,1998 Q3
1998-10-01,182,Temp sick,1998 Q4
1999-01-01,193,Temp sick,1999 Q1
1999-04-01,178,Temp sick,1999 Q2
1999-07-01,167,Temp sick,1999 Q3
1999-10-01,202,Temp sick,1999 Q4
2000-01-01,197,Temp sick,2000 Q1
2000-04-01,190,Temp sick,2000 Q2
2000-07-01,195,Temp sick,2000 Q3
2000-10-01,202,Temp sick,2000 Q4
2001-01-01,182,Temp sick,2001 Q1
2001-04-01,195,Temp sick,2001 Q2
2001-07-01,194,Temp sick,2001 Q3
2001-10-01,197,Temp sick,2001 Q4
2002-01-01,186,Temp sick,2002 Q1
2002-04-01,179,Temp sick,2002 Q2
2002-07-01,202,Temp sick,2002 Q3
2002-10-01,203,Temp sick,2002 Q4
2003-01-01,194,Temp sick,2003 Q1
2003-04-01,196,Temp sick,2003 Q2
2003-07-01,187,Temp sick,2003 Q3
2003-10-01,196,Temp sick,2003 Q4
2004-01-01,197,Temp sick,2004 Q1
2004-04-01,194,Temp sick,2004 Q2
2004-07-01,205,Temp sick,2004 Q3
2004-10-01,186,Temp sick,2004 Q4
2005-01-01,183,Temp sick,2005 Q1
2005-04-01,191,Temp sick,2005 Q2
2005-07-01,199,Temp sick,2005 Q3
2005-10-01,206,Temp sick,2005 Q4
2006-01-01,199,Temp sick,2006 Q1
2006-04-01,196,Temp sick,2006 Q2
2006-07-01,190,Temp sick,2006 Q3
2006-10-01,210,Temp sick,2006 Q4
2007-01-01,215,Temp sick,2007 Q1
2007-04-01,202,Temp sick,2007 Q2
2007-07-01,208,Temp sick,2007 Q3
2007-10-01,198,Temp sick,2007 Q4
2008-01-01,182,Temp sick,2008 Q1
2008-04-01,182,Temp sick,2008 Q2
2008-07-01,186,Temp sick,2008 Q3
2008-10-01,176,Temp sick,2008 Q4
2009-01-01,178,Temp sick,2009 Q1
2009-04-01,183,Temp sick,2009 Q2
2009-07-01,170,Temp sick,2009 Q3
2009-10-01,183,Temp sick,2009 Q4
2010-01-01,179,Temp sick,2010 Q1
2010-04-01,187,Temp sick,2010 Q2
2010-07-01,176,Temp sick,2010 Q3
2010-10-01,169,Temp sick,2010 Q4
2011-01-01,168,Temp sick,2011 Q1
2011-04-01,170,Temp sick,2011 Q2
2011-07-01,173,Temp sick,2011 Q3
2011-10-01,170,Temp sick,2011 Q4
2012-01-01,183,Temp sick,2012 Q1
2012-04-01,178,Temp sick,2012 Q2
2012-07-01,183,Temp sick,2012 Q3
2012-10-01,198,Temp sick,2012 Q4
2013-01-01,181,Temp sick,2013 Q1
2013-04-01,170,Temp sick,2013 Q2
2013-07-01,196,Temp sick,2013 Q3
2013-10-01,201,Temp sick,2013 Q4
2014-01-01,192,Temp sick,2014 Q1
2014-04-01,186,Temp sick,2014 Q2
2014-07-01,180,Temp sick,2014 Q3
2014-10-01,186,Temp sick,2014 Q4
2015-01-01,208,Temp sick,2015 Q1
2015-04-01,211,Temp sick,2015 Q2
2015-07-01,201,Temp sick,2015 Q3
2015-10-01,195,Temp sick,2015 Q4
2016-01-01,192,Temp sick,2016 Q1
2016-04-01,173,Temp sick,2016 Q2
2016-07-01,171,Temp sick,2016 Q3
2016-10-01,163,Temp sick,2016 Q4
2017-01-01,175,Temp sick,2017 Q1
2017-04-01,156,Temp sick,2017 Q2
2017-07-01,189,Temp sick,2017 Q3
2017-10-01,203,Temp sick,2017 Q4
2018-01-01,174,Temp sick,2018 Q1
2018-04-01,174,Temp sick,2018 Q2
2018-07-01,175,Temp sick,2018 Q3
2018-10-01,182,Temp sick,2018 Q4
2019-01-01,178,Temp sick,2019 Q1
2019-04-01,165,Temp sick,2019 Q2
2019-07-01,171,Temp sick,2019 Q3
2019-10-01,160,Temp sick,2019 Q4
2020-01-01,181,Temp sick,2020 Q1
2020-04-01,157,Temp sick,2020 Q2
2020-07-01,155,Temp sick,2020 Q3
2020-10-01,191,Temp sick,2020 Q4
2021-01-01,180,Temp sick,2021 Q1
2021-04-01,187,Temp sick,2021 Q2
2021-07-01,202,Temp sick,2021 Q3
2021-10-01,186,Temp sick,2021 Q4
2022-01-01,204,Temp sick,2022 Q1
2022-04-01,207,Temp sick,2022 Q2
2022-07-01,161,Temp sick,2022 Q3
2022-10-01,200,Temp sick,2022 Q4
2023-01-01,194,Temp sick,2023 Q1
2023-04-01,192,Temp sick,2023 Q2
1993-04-01,1834,Long Term Sick,1993 Q2
1993-07-01,1884,Long Term Sick,1993 Q3
1993-10-01,1930,Long Term Sick,1993 Q4
1994-01-01,1911,Long Term Sick,1994 Q1
1994-04-01,1952,Long Term Sick,1994 Q2
1994-07-01,1971,Long Term Sick,1994 Q3
1994-10-01,2031,Long Term Sick,1994 Q4
1995-01-01,2080,Long Term Sick,1995 Q1
1995-04-01,2120,Long Term Sick,1995 Q2
1995-07-01,2133,Long Term Sick,1995 Q3
1995-10-01,2152,Long Term Sick,1995 Q4
1996-01-01,2165,Long Term Sick,1996 Q1
1996-04-01,2193,Long Term Sick,1996 Q2
1996-07-01,2265,Long Term Sick,1996 Q3
1996-10-01,2301,Long Term Sick,1996 Q4
1997-01-01,2318,Long Term Sick,1997 Q1
