Date,Value,Series,Date Label
2023-04-01,1041,Other,2023 Q2
1993-04-01,1100,Retired,1993 Q2
1993-07-01,1101,Retired,1993 Q3
1993-10-01,1086,Retired,1993 Q4
1994-01-01,1087,Retired,1994 Q1
1994-04-01,1090,Retired,1994 Q2
1994-07-01,1117,Retired,1994 Q3
1994-10-01,1124,Retired,1994 Q4
1995-01-01,1133,Retired,1995 Q1
1995-04-01,1100,Retired,1995 Q2
1995-07-01,1103,Retired,1995 Q3
1995-10-01,1107,Retired,1995 Q4
1996-01-01,1127,Retired,1996 Q1
1996-04-01,1149,Retired,1996 Q2
1996-07-01,1136,Retired,1996 Q3
1996-10-01,1161,Retired,1996 Q4
1997-01-01,1144,Retired,1997 Q1
1997-04-01,1167,Retired,1997 Q2
1997-07-01,1173,Retired,1997 Q3
1997-10-01,1207,Retired,1997 Q4
1998-01-01,1229,Retired,1998 Q1
1998-04-01,1258,Retired,1998 Q2
1998-07-01,1270,Retired,1998 Q3
1998-10-01,1261,Retired,1998 Q4
1999-01-01,1260,Retired,1999 Q1
1999-04-01,1263,Retired,1999 Q2
1999-07-01,1304,Retired,1999 Q3
1999-10-01,1326,Retired,1999 Q4
2000-01-01,1304,Retired,2000 Q1
2000-04-01,1306,Retired,2000 Q2
2000-07-01,1322,Retired,2000 Q3
2000-10-01,1321,Retired,2000 Q4
2001-01-01,1332,Retired,2001 Q1
2001-04-01,1372,Retired,2001 Q2
2001-07-01,1375,Retired,2001 Q3
2001-10-01,1357,Retired,2001 Q4
2002-01-01,1380,Retired,2002 Q1
2002-04-01,1365,Retired,2002 Q2
2002-07-01,1362,Retired,2002 Q3
2002-10-01,1364,Retired,2002 Q4
2003-01-01,1387,Retired,2003 Q1
2003-04-01,1357,Retired,2003 Q2
2003-07-01,1369,Retired,2003 Q3
2003-10-01,1380,Retired,2003 Q4
2004-01-01,1366,Retired,2004 Q1
2004-04-01,1386,Retired,2004 Q2
2004-07-01,1378,Retired,2004 Q3
2004-10-01,1397,Retired,2004 Q4
2005-01-01,1386,Retired,2005 Q1
2005-04-01,1432,Retired,2005 Q2
2005-07-01,1429,Retired,2005 Q3
2005-10-01,1382,Retired,2005 Q4
2006-01-01,1403,Retired,2006 Q1
2006-04-01,1396,Retired,2006 Q2
2006-07-01,1402,Retired,2006 Q3
2006-10-01,1431,Retired,2006 Q4
2007-01-01,1458,Retired,2007 Q1
2007-04-01,1477,Retired,2007 Q2
2007-07-01,1482,Retired,2007 Q3
2007-10-01,1490,Retired,2007 Q4
2008-01-01,1489,Retired,2008 Q1
2008-04-01,1518,Retired,2008 Q2
2008-07-01,1542,Retired,2008 Q3
2008-10-01,1537,Retired,2008 Q4
2009-01-01,1508,Retired,2009 Q1
2009-04-01,1517,Retired,2009 Q2
2009-07-01,1527,Retired,2009 Q3
2009-10-01,1546,Retired,2009 Q4
2010-01-01,1540,Retired,2010 Q1
2010-04-01,1505,Retired,2010 Q2
2010-07-01,1533,Retired,2010 Q3
2010-10-01,1582,Retired,2010 Q4
2011-01-01,1555,Retired,2011 Q1
2011-04-01,1568,Retired,2011 Q2
2011-07-01,1572,Retired,2011 Q3
2011-10-01,1546,Retired,2011 Q4
2012-01-01,1482,Retired,2012 Q1
2012-04-01,1465,Retired,2012 Q2
2012-07-01,1434,Retired,2012 Q3
2012-10-01,1396,Retired,2012 Q4
2013-01-01,1393,Retired,2013 Q1
2013-04-01,1377,Retired,2013 Q2
2013-07-01,1351,Retired,2013 Q3
2013-10-01,1333,Retired,2013 Q4
2014-01-01,1330,Retired,2014 Q1
2014-04-01,1321,Retired,2014 Q2
2014-07-01,1309,Retired,2014 Q3
2014-10-01,1289,Retired,2014 Q4
2015-01-01,1283,Retired,2015 Q1
2015-04-01,1251,Retired,2015 Q2
2015-07-01,1211,Retired,2015 Q3
2015-10-01,1166,Retired,2015 Q4
2016-01-01,1159,Retired,2016 Q1
2016-04-01,1155,Retired,2016 Q2
2016-07-01,1151,Retired,2016 Q3
2016-10-01,1189,Retired,2016 Q4
2017-01-01,1177,Retired,2017 Q1
2017-04-01,1218,Retired,2017 Q2
2017-07-01,1186,Retired,2017 Q3
2017-10-01,1159,Retired,2017 Q4
2018-01-01,1161,Retired,2018 Q1
2018-04-01,1136,Retired,2018 Q2
2018-07-01,1118,Retired,2018 Q3
2018-10-01,1120,Retired,2018 Q4
2019-01-01,1123,Retired,2019 Q1
2019-04-01,1100,Retired,2019 Q2
2019-07-01,1117,Retired,2019 Q3
2019-10-01,1123,Retired,2019 Q4
2020-01-01,1145,Retired,2020 Q1
2020-04-01,1112,Retired,2020 Q2
2020-07-01,1135,Retired,2020 Q3
2020-10-01,1092,Retired,2020 Q4
2021-01-01,1140,Retired,2021 Q1
2021-04-01,1190,Retired,2021 Q2
2021-07-01,1191,Retired,2021 Q3
2021-10-01,1172,Retired,2021 Q4
2022-01-01,1176,Retired,2022 Q1
2022-04-01,1196,Retired,2022 Q2
2022-07-01,1157,Retired,2022 Q3
2022-10-01,1107,Retired,2022 Q4
2023-01-01,1083,Retired,2023 Q1
2023-04-01,1077,Retired,2023 Q2
1993-04-01,1441,Students,1993 Q2
1993-07-01,1455,Students,1993 Q3
1993-10-01,1428,Students,1993 Q4
1994-01-01,1436,Students,1994 Q1
1994-04-01,1481,Students,1994 Q2
1994-07-01,1475,Students,1994 Q3
1994-10-01,1513,Students,1994 Q4
1995-01-01,1496,Students,1995 Q1
1995-04-01,1479,Students,1995 Q2
1995-07-01,1423,Students,1995 Q3
1995-10-01,1433,Students,1995 Q4
1996-01-01,1427,Students,1996 Q1
1996-04-01,1404,Students,1996 Q2
1996-07-01,1438,Students,1996 Q3
1996-10-01,1419,Students,1996 Q4
1997-01-01,1406,Students,1997 Q1
1997-04-01,1384,Students,1997 Q2
1997-07-01,1434,Students,1997 Q3
1997-10-01,1415,Students,1997 Q4
1998-01-01,1443,Students,1998 Q1
1998-04-01,1427,Students,1998 Q2
1998-07-01,1401,Students,1998 Q3
1998-10-01,1455,Students,1998 Q4
1999-01-01,1437,Students,1999 Q1
1999-04-01,1456,Students,1999 Q2
1999-07-01,1422,Students,1999 Q3
1999-10-01,1398,Students,1999 Q4
2000-01-01,1397,Students,2000 Q1
2000-04-01,1449,Students,2000 Q2
2000-07-01,1444,Students,2000 Q3
2000-10-01,1493,Students,2000 Q4
2001-01-01,1503,Students,2001 Q1
2001-04-01,1522,Students,2001 Q2
2001-07-01,1524,Students,2001 Q3
2001-10-01,1496,Students,2001 Q4
2002-01-01,1536,Students,2002 Q1
2002-04-01,1522,Students,2002 Q2
2002-07-01,1560,Students,2002 Q3
2002-10-01,1554,Students,2002 Q4
2003-01-01,1595,Students,2003 Q1
2003-04-01,1659,Students,2003 Q2
2003-07-01,1673,Students,2003 Q3
2003-10-01,1685,Students,2003 Q4
2004-01-01,1668,Students,2004 Q1
2004-04-01,1709,Students,2004 Q2
2004-07-01,1729,Students,2004 Q3
2004-10-01,1729,Students,2004 Q4
2005-01-01,1750,Students,2005 Q1
2005-04-01,1799,Students,2005 Q2
2005-07-01,1882,Students,2005 Q3
2005-10-01,1871,Students,2005 Q4
2006-01-01,1842,Students,2006 Q1
2006-04-01,1815,Students,2006 Q2
2006-07-01,1809,Students,2006 Q3
2006-10-01,1833,Students,2006 Q4
2007-01-01,1876,Students,2007 Q1
2007-04-01,1916,Students,2007 Q2
2007-07-01,1930,Students,2007 Q3
2007-10-01,1950,Students,2007 Q4
2008-01-01,1946,Students,2008 Q1
2008-04-01,1977,Students,2008 Q2
2008-07-01,1999,Students,2008 Q3
2008-10-01,2060,Students,2008 Q4
2009-01-01,2083,Students,2009 Q1
2009-04-01,2150,Students,2009 Q2
2009-07-01,2207,Students,2009 Q3
2009-10-01,2296,Students,2009 Q4
2010-01-01,2322,Students,2010 Q1
2010-04-01,2288,Students,2010 Q2
2010-07-01,2241,Students,2010 Q3
2010-10-01,2245,Students,2010 Q4
2011-01-01,2312,Students,2011 Q1
2011-04-01,2300,Students,2011 Q2
2011-07-01,2331,Students,2011 Q3
2011-10-01,2329,Students,2011 Q4
2012-01-01,2320,Students,2012 Q1
2012-04-01,2229,Students,2012 Q2
2012-07-01,2259,Students,2012 Q3
2012-10-01,2266,Students,2012 Q4
2013-01-01,2319,Students,2013 Q1
2013-04-01,2367,Students,2013 Q2
2013-07-01,2323,Students,2013 Q3
2013-10-01,2324,Students,2013 Q4
2014-01-01,2327,Students,2014 Q1
2014-04-01,2337,Students,2014 Q2
2014-07-01,2333,Students,2014 Q3
2014-10-01,2348,Students,2014 Q4
2015-01-01,2328,Students,2015 Q1
2015-04-01,2305,Students,2015 Q2
2015-07-01,2300,Students,2015 Q3
2015-10-01,2291,Students,2015 Q4
2016-01-01,2263,Students,2016 Q1
2016-04-01,2302,Students,2016 Q2
2016-07-01,2305,Students,2016 Q3
2016-10-01,2317,Students,2016 Q4
2017-01-01,2314,Students,2017 Q1
2017-04-01,2312,Students,2017 Q2
2017-07-01,2383,Students,2017 Q3
2017-10-01,2358,Students,2017 Q4
2018-01-01,2313,Students,2018 Q1
2018-04-01,2335,Students,2018 Q2
2018-07-01,2373,Students,2018 Q3
2018-10-01,2270,Students,2018 Q4
2019-01-01,2247,Students,2019 Q1
2019-04-01,2233,Students,2019 Q2
2019-07-01,2295,Students,2019 Q3
2019-10-01,2255,Students,2019 Q4
2020-01-01,2144,Students,2020 Q1
2020-04-01,2126,Students,2020 Q2
2020-07-01,2376,Students,2020 Q3
2020-10-01,2396,Students,2020 Q4
2021-01-01,2494,Students,2021 Q1
2021-04-01,2471,Students,2021 Q2
2021-07-01,2362,Students,2021 Q3
2021-10-01,2291,Students,2021 Q4
2022-01-01,2318,Students,2022 Q1
2022-04-01,2337,Students,2022 Q2
2022-07-01,2408,Students,2022 Q3
2022-10-01,2274,Students,2022 Q4
2023-01-01,2179,Students,2023 Q1
2023-04-01,2200,Students,2023 Q2
