bin,weighted_count
50500,360968.3767879232
51500,265247.37135804107
52500,237546.75274773725
53500,224635.26965803717
54500,206259.0787598568
55500,196073.77397576527
56500,174730.31783182354
57500,176790.4832019729
58500,161049.00061591342
59500,148153.09135803118
60500,139307.05960379017
61500,137590.55695620962
62500,128017.41443862619
63500,117281.04553772198
64500,112029.5114860599
65500,108382.05792635844
66500,102438.14762453779
67500,102174.16170014816
68500,93698.14685438786
69500,89380.47699650681
70500,85786.41878423827
71500,78766.27638423779
72500,81744.39208605864
73500,72786.68172271605
74500,70044.94697196937
75500,67465.33808423737
76500,65283.017742118165
77500,64524.09655993881
78500,58882.344542118255
79500,57416.012567570484
80500,53457.37077196905
81500,53671.51718423723
82500,52713.53218423726
83500,48000.1033719692
84500,50483.88039999937
85500,47024.6243819692
86500,46983.411184237375
87500,42466.66237196933
88500,43586.98487196938
89500,43330.774442118636
90500,40918.5230719694
91500,38199.144371969465
92500,38925.278670149026
93500,36278.12237196914
94500,36585.48319999943
95500,33001.285171968804
96500,33197.54427196871
97500,32029.37769999896
98500,36916.65274211816
99500,52397.697299999265
100500,32411.766899998736
101500,28387.451099999034
102500,28318.530171968767
103500,26148.847499999196
104500,24127.34409999929
105500,24341.147683332627
106500,22558.015899999416
107500,21035.505299999506
108500,20570.916771969198
109500,20886.897999999517
110500,19614.700799999555
111500,18383.005699999605
112500,18309.301999999636
113500,18069.54828333301
114500,17846.27569999964
115500,17067.978271969383
116500,16690.546199999724
117500,16552.24289999971
118500,15895.502083333087
119500,15114.142099999768
120500,15700.883999999744
121500,14475.631599999784
122500,13839.786199999795
123500,14252.078499999783
124500,13186.151099999817
125500,12957.088799999816
126500,11806.576083333193
127500,12711.11219999982
128500,11977.339899999837
129500,11728.555399999852
130500,12513.81039999983
131500,11390.766499999867
132500,11143.407499999861
133500,10044.260999999888
134500,10540.913899999867
135500,10540.36279999989
136500,10851.802099999872
137500,10046.879199999901
138500,9518.124183333224
139500,10308.579699999891
140500,9494.05439999992
141500,9798.96499999991
142500,9315.857799999923
143500,8659.875799999932
144500,8905.62189999992
145500,8624.738799999934
146500,8866.688299999925
147500,8516.519099999949
148500,8990.80459999993
149500,9926.457099999923
150500,8759.636499999937
151500,8297.780499999939
152500,8260.82239999994
153500,7627.520399999943
154500,7528.848299999951
155500,6733.425999999962
156500,7071.194199999964
157500,7399.664999999955
158500,6798.853399999966
159500,6767.989299999966
160500,6607.569599999959
161500,6703.965899999963
162500,6552.9384999999775
163500,5755.850499999981
164500,5865.1507999999785
165500,6380.891999999967
166500,6106.50999999998
167500,6011.811699999975
168500,5443.346399999985
169500,5486.945899999987
170500,5518.007499999982
171500,5277.921099999985
172500,5058.220899999997
173500,4645.010799999994
174500,4838.074799999998
175500,5218.8084999999855
176500,5011.400299999989
177500,4623.665900000003
178500,4546.463599999997
179500,4887.269999999995
180500,4320.349199999999
181500,4322.057300000003
182500,4212.0927000000065
183500,4456.413300000004
184500,4342.2449000000015
185500,4294.705600000004
186500,4100.742400000007
187500,4191.885600000006
188500,3916.779000000007
189500,3584.8220000000065
190500,3724.561800000006
191500,3943.1970000000056
192500,3564.290700000005
193500,3973.090000000006
194500,3719.9310000000055
195500,3796.8801000000053
196500,3659.4525000000062
197500,3988.107400000005
198500,3531.830600000003
199500,3541.551200000005
