income,type,rate
0,income_tax,0
0,plus_nics,0
0,plus_PA_withdrawl,0
0,plus_child_benefit_withdrawal,0
0,plus_student_loans,0
100,income_tax,0
100,plus_nics,0
100,plus_PA_withdrawl,0
100,plus_child_benefit_withdrawal,0
100,plus_student_loans,0
200,income_tax,0
200,plus_nics,0
200,plus_PA_withdrawl,0
200,plus_child_benefit_withdrawal,0
200,plus_student_loans,0
300,income_tax,0
300,plus_nics,0
300,plus_PA_withdrawl,0
300,plus_child_benefit_withdrawal,0
300,plus_student_loans,0
400,income_tax,0
400,plus_nics,0
400,plus_PA_withdrawl,0
400,plus_child_benefit_withdrawal,0
400,plus_student_loans,0
500,income_tax,0
500,plus_nics,0
500,plus_PA_withdrawl,0
500,plus_child_benefit_withdrawal,0
500,plus_student_loans,0
600,income_tax,0
600,plus_nics,0
600,plus_PA_withdrawl,0
600,plus_child_benefit_withdrawal,0
600,plus_student_loans,0
700,income_tax,0
700,plus_nics,0
700,plus_PA_withdrawl,0
700,plus_child_benefit_withdrawal,0
700,plus_student_loans,0
800,income_tax,0
800,plus_nics,0
800,plus_PA_withdrawl,0
800,plus_child_benefit_withdrawal,0
800,plus_student_loans,0
900,income_tax,0
900,plus_nics,0
900,plus_PA_withdrawl,0
900,plus_child_benefit_withdrawal,0
900,plus_student_loans,0
1000,income_tax,0
1000,plus_nics,0
1000,plus_PA_withdrawl,0
1000,plus_child_benefit_withdrawal,0
1000,plus_student_loans,0
1100,income_tax,0
1100,plus_nics,0
1100,plus_PA_withdrawl,0
1100,plus_child_benefit_withdrawal,0
1100,plus_student_loans,0
1200,income_tax,0
1200,plus_nics,0
1200,plus_PA_withdrawl,0
1200,plus_child_benefit_withdrawal,0
1200,plus_student_loans,0
1300,income_tax,0
1300,plus_nics,0
1300,plus_PA_withdrawl,0
1300,plus_child_benefit_withdrawal,0
1300,plus_student_loans,0
1400,income_tax,0
1400,plus_nics,0
1400,plus_PA_withdrawl,0
1400,plus_child_benefit_withdrawal,0
1400,plus_student_loans,0
1500,income_tax,0
1500,plus_nics,0
1500,plus_PA_withdrawl,0
1500,plus_child_benefit_withdrawal,0
1500,plus_student_loans,0
1600,income_tax,0
1600,plus_nics,0
1600,plus_PA_withdrawl,0
1600,plus_child_benefit_withdrawal,0
1600,plus_student_loans,0
1700,income_tax,0
1700,plus_nics,0
1700,plus_PA_withdrawl,0
1700,plus_child_benefit_withdrawal,0
1700,plus_student_loans,0
1800,income_tax,0
1800,plus_nics,0
1800,plus_PA_withdrawl,0
1800,plus_child_benefit_withdrawal,0
1800,plus_student_loans,0
1900,income_tax,0
1900,plus_nics,0
1900,plus_PA_withdrawl,0
1900,plus_child_benefit_withdrawal,0
1900,plus_student_loans,0
2000,income_tax,0
2000,plus_nics,0
2000,plus_PA_withdrawl,0
2000,plus_child_benefit_withdrawal,0
2000,plus_student_loans,0
2100,income_tax,0
2100,plus_nics,0
2100,plus_PA_withdrawl,0
2100,plus_child_benefit_withdrawal,0
2100,plus_student_loans,0
2200,income_tax,0
2200,plus_nics,0
2200,plus_PA_withdrawl,0
2200,plus_child_benefit_withdrawal,0
2200,plus_student_loans,0
2300,income_tax,0
2300,plus_nics,0
2300,plus_PA_withdrawl,0
2300,plus_child_benefit_withdrawal,0
2300,plus_student_loans,0
2400,income_tax,0
2400,plus_nics,0
2400,plus_PA_withdrawl,0
2400,plus_child_benefit_withdrawal,0
2400,plus_student_loans,0
2500,income_tax,0
2500,plus_nics,0
2500,plus_PA_withdrawl,0
2500,plus_child_benefit_withdrawal,0
2500,plus_student_loans,0
2600,income_tax,0
2600,plus_nics,0
2600,plus_PA_withdrawl,0
2600,plus_child_benefit_withdrawal,0
2600,plus_student_loans,0
2700,income_tax,0
2700,plus_nics,0
2700,plus_PA_withdrawl,0
2700,plus_child_benefit_withdrawal,0
2700,plus_student_loans,0
2800,income_tax,0
2800,plus_nics,0
2800,plus_PA_withdrawl,0
2800,plus_child_benefit_withdrawal,0
2800,plus_student_loans,0
2900,income_tax,0
2900,plus_nics,0
2900,plus_PA_withdrawl,0
2900,plus_child_benefit_withdrawal,0
2900,plus_student_loans,0
3000,income_tax,0
3000,plus_nics,0
3000,plus_PA_withdrawl,0
3000,plus_child_benefit_withdrawal,0
3000,plus_student_loans,0
3100,income_tax,0
3100,plus_nics,0
3100,plus_PA_withdrawl,0
3100,plus_child_benefit_withdrawal,0
3100,plus_student_loans,0
3200,income_tax,0
3200,plus_nics,0
3200,plus_PA_withdrawl,0
3200,plus_child_benefit_withdrawal,0
3200,plus_student_loans,0
3300,income_tax,0
3300,plus_nics,0
3300,plus_PA_withdrawl,0
3300,plus_child_benefit_withdrawal,0
3300,plus_student_loans,0
3400,income_tax,0
3400,plus_nics,0
3400,plus_PA_withdrawl,0
3400,plus_child_benefit_withdrawal,0
3400,plus_student_loans,0
3500,income_tax,0
3500,plus_nics,0
3500,plus_PA_withdrawl,0
3500,plus_child_benefit_withdrawal,0
3500,plus_student_loans,0
3600,income_tax,0
3600,plus_nics,0
3600,plus_PA_withdrawl,0
3600,plus_child_benefit_withdrawal,0
3600,plus_student_loans,0
3700,income_tax,0
3700,plus_nics,0
3700,plus_PA_withdrawl,0
3700,plus_child_benefit_withdrawal,0
3700,plus_student_loans,0
3800,income_tax,0
3800,plus_nics,0
3800,plus_PA_withdrawl,0
3800,plus_child_benefit_withdrawal,0
3800,plus_student_loans,0
3900,income_tax,0
3900,plus_nics,0
3900,plus_PA_withdrawl,0
3900,plus_child_benefit_withdrawal,0
3900,plus_student_loans,0
4000,income_tax,0
4000,plus_nics,0
4000,plus_PA_withdrawl,0
4000,plus_child_benefit_withdrawal,0
4000,plus_student_loans,0
4100,income_tax,0
4100,plus_nics,0
4100,plus_PA_withdrawl,0
4100,plus_child_benefit_withdrawal,0
4100,plus_student_loans,0
4200,income_tax,0
4200,plus_nics,0
4200,plus_PA_withdrawl,0
4200,plus_child_benefit_withdrawal,0
4200,plus_student_loans,0
4300,income_tax,0
4300,plus_nics,0
4300,plus_PA_withdrawl,0
4300,plus_child_benefit_withdrawal,0
4300,plus_student_loans,0
4400,income_tax,0
4400,plus_nics,0
4400,plus_PA_withdrawl,0
4400,plus_child_benefit_withdrawal,0
4400,plus_student_loans,0
4500,income_tax,0
4500,plus_nics,0
4500,plus_PA_withdrawl,0
4500,plus_child_benefit_withdrawal,0
4500,plus_student_loans,0
4600,income_tax,0
4600,plus_nics,0
4600,plus_PA_withdrawl,0
4600,plus_child_benefit_withdrawal,0
4600,plus_student_loans,0
4700,income_tax,0
4700,plus_nics,0
4700,plus_PA_withdrawl,0
4700,plus_child_benefit_withdrawal,0
4700,plus_student_loans,0
4800,income_tax,0
4800,plus_nics,0
4800,plus_PA_withdrawl,0
4800,plus_child_benefit_withdrawal,0
4800,plus_student_loans,0
4900,income_tax,0
4900,plus_nics,0
4900,plus_PA_withdrawl,0
4900,plus_child_benefit_withdrawal,0
4900,plus_student_loans,0
5000,income_tax,0
5000,plus_nics,0
5000,plus_PA_withdrawl,0
5000,plus_child_benefit_withdrawal,0
5000,plus_student_loans,0
5100,income_tax,0
5100,plus_nics,0
5100,plus_PA_withdrawl,0
5100,plus_child_benefit_withdrawal,0
5100,plus_student_loans,0
5200,income_tax,0
5200,plus_nics,0
5200,plus_PA_withdrawl,0
5200,plus_child_benefit_withdrawal,0
5200,plus_student_loans,0
5300,income_tax,0
5300,plus_nics,0
5300,plus_PA_withdrawl,0
5300,plus_child_benefit_withdrawal,0
5300,plus_student_loans,0
5400,income_tax,0
5400,plus_nics,0
5400,plus_PA_withdrawl,0
