product_id,category,product_title
3547762,"[""Dairy, eggs & chilled"", ""Fruit juice & drinks"", ""All fruit juice & smoothies""]","Innocent Strawberries, Bananas & Apples Smoothie 250ml"
6851808,"[""Baby & toddler"", ""Baby meals"", ""All baby meals""]",Ella's Kitchen Organic Strawberries & Apples Baby Food Pouch 4+ Months 120g
7828571,[],[Store Brand] Co. Strawberries 250g
7832898,"[""Frozen"", ""Frozen essentials""]",[Store Brand] Frozen Strawberries & Blueberries 400g
7994911,"[""Fruit & vegetables"", ""Fresh fruit"", ""All fruit""]","[Store Brand] Strawberries, [Store Brand] 250g"
7994916,"[""Dietary & world foods"", ""Organic"", ""All organic""]","[Store Brand] Strawberries, [Store Brand]"
8027508,"[""Dairy, eggs & chilled"", ""Fruit juice & drinks"", ""All fruit juice & smoothies""]","innocent Kids Strawberries, Kiwis & Apples Super Smoothies with Vitamins & Iron 4x150ml"
8036740,"[""Food cupboard"", ""Cereals"", ""All cereals""]",Jordans Deluxe Dark Chocolate & Strawberries Granola Breakfast Cereal 500g
8056495,"[""Baby & toddler"", ""Baby meals"", ""All baby meals""]",Ella's Kitchen Organic Dairy Free Rice Pudding with Bananas & Strawberries Baby Food Pouch 7+ Months 80g
8056788,"[""Baby & toddler"", ""Baby meals"", ""All baby meals""]","Ella's Kitchen Organic Strawberries, Rhubarb & Apples Baby Food Pouch 4+ Months 120g"
8061782,"[""Dairy, eggs & chilled"", ""Fruit juice & drinks"", ""All fruit juice & smoothies""]","innocent Strawberries, Pineapples & Apples Smoothie 750ml"
8071860,"[""Food cupboard"", ""Canned, tinned & packaged foods"", ""Fruit""]",Princes Strawberries in Light Syrup 410g
8072524,"[""Food cupboard"", ""Crisps, nuts & snacking fruit"", ""Snacking fruit & seeds""]",Whitworths Sunny Fruit Mix-Ups Strawberries & Sultanas 4x18g
8079553,[],[Store Brand] Giant Strawberries 160g
8085183,"[""Dairy, eggs & chilled"", ""Dairy & eggs"", ""Milk"", ""Flavoured milk""]",Tom Parker Creamery Free Range Strawberries & Cream Milk 250ml
8097729,"[""Fruit & vegetables"", ""Fresh fruit"", ""All fruit""]",[Store Brand] Strawberries 250g
8109372,"[""Fruit & vegetables"", ""Fresh fruit"", ""All fruit""]",[Store Brand] Strawberries 400g
8114522,"[""Frozen"", ""Fruit, vegetables & herbs"", ""All vegetables""]",[Store Brand] Frozen Whole Strawberries 350g
8198420,"[""Dietary & world foods"", ""Vegetarian & plant based""]","[Store Brand] Strawberries & Clotted Cream Ice Cream, [Store Brand] 480ml"
8201851,"[""Dairy, eggs & chilled"", ""Dairy & eggs"", ""Special offers""]",Arla High Protein Skyr Whipped Yogurt Strawberries & Cream 128g
8204504,"[""Food cupboard"", ""Cereals"", ""All cereals""]",Quaker High in Protein Strawberries & Cream Porridge Sachets 8x42g
6616790,"[""Food cupboard"", ""Crisps, nuts & snacking fruit"", ""Lunchbox snacking""]",Urban Fruit Gently Baked Strawberries 90g
7485206,"[""Dairy, eggs & chilled"", ""Dairy & chilled essentials""]","Innocent Strawberries, Bananas & Apples Smoothie 750ml"
7620449,"[""Food cupboard"", ""Sugar & home baking"", ""Dried fruit & peel""]",[Store Brand] Freeze Dried Strawberries 6g
7669196,"[""Food cupboard"", ""Confectionery"", ""Boxed chocolate""]",Lindt Lindor Strawberries & Cream Chocolate Truffles Box 200g
7748522,"[""Food cupboard"", ""Crisps, nuts & snacking fruit"", ""Lunchbox snacking""]",Urban Fruit Gently Baked Strawberries 35g
7958096,"[""Baby & toddler"", ""Baby meals"", ""All baby meals""]","Little Freddie Organic Strawberries, Blueberries & Oats 100g"
7972188,[],[Store Brand] Strawberries 800g
7972265,[],[Store Brand] Org Strawberries 400g
7972282,[],"[Store Brand] Strawberries, [Store Brand] 400g"
8013061,"[""Dairy, eggs & chilled"", ""Dairy & chilled essentials""]","innocent Kids Strawberries, Raspberries & Apples Smoothies 4x150ml"
8012636,"[""Dairy, eggs & chilled"", ""Fruit juice & drinks"", ""All fruit juice & smoothies""]","innocent Kids Strawberries, Raspberries & Apples Smoothies 10x150ml"
8013219,"[""Dairy, eggs & chilled"", ""Fruit juice & drinks"", ""All fruit juice & smoothies""]","innocent Kids Cherries, Strawberries & Apples Smoothies 4x150ml"
