Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for England
Areal series, starting in 1836
Last updated 03-Aug-2026 09:28
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1871   50.2   56.6   37.9   87.9   29.5   78.0  105.0   38.8  128.4   71.6   35.0   57.9   184.9   155.3   221.8   234.9   776.7
1872  127.9   76.0   74.7   68.2   60.8   96.6  109.4   76.2   89.4  131.2  123.8  121.2   261.8   203.7   282.3   344.5  1155.5
1873   96.7   43.3   67.4   22.1   52.7   54.2   72.6   84.5   61.5   80.1   63.7   22.5   261.3   142.2   211.3   205.3   721.3
1874   67.5   52.8   38.3   44.2   34.8   34.5   41.0   78.2   95.3  100.0   79.8   80.0   142.8   117.3   153.7   275.1   746.3
1875  104.6   38.8   24.6   33.4   51.2   80.2  129.0   58.7   84.3  138.4  127.0   43.7   223.4   109.2   267.8   349.8   913.9
1876   43.1   84.4   90.0   74.8   20.2   55.9   41.2   72.9  123.0   60.2   95.9  172.2   171.2   185.0   170.0   279.2   933.8
1877  132.8   64.4   68.8   82.2   69.0   41.7   96.4  118.9   65.0   77.1  124.8   67.0   369.4   220.0   257.0   266.8  1008.0
1878   61.1   43.0   36.0   62.1  115.5   68.5   32.4  137.2   64.7   88.6  102.5   58.9   171.1   213.6   238.1   255.7   870.4
1879   61.1   89.8   31.6   66.0   69.8  125.3  109.7  128.8   81.4   34.5   32.3   35.4   209.9   167.4   363.8   148.1   865.7
1880   14.7   78.9   42.6   54.0   35.3   75.3  135.3   37.2  109.7  138.4   82.9  101.5   129.0   132.0   247.7   331.1   905.8
1881   32.2   95.2   71.8   28.5   44.0   65.7   68.6  132.4   66.5   77.3   95.1   90.8   228.9   144.3   266.8   238.9   868.2
1882   56.6   55.5   50.9  100.7   48.9  100.0  101.6   69.6   70.9  142.4  112.6  106.3   203.0   200.5   271.2   325.9  1016.0
1883   89.0   95.7   35.4   42.6   45.2   80.7   86.4   42.4  124.1   85.9   99.4   44.7   290.9   123.2   209.4   309.4   871.3
1884   93.9   58.4   60.1   43.0   33.4   40.9   88.2   41.3   59.9   44.6   44.7   87.2   197.0   136.4   170.5   149.2   695.6
1885   59.8   83.8   44.4   56.5   70.9   55.6   21.8   51.5  110.7  129.9   85.3   35.6   230.9   171.8   128.8   325.9   805.8
1886  105.2   21.8   68.9   54.0  111.5   29.1   91.6   47.4   62.3  116.6   82.6  122.7   162.7   234.5   168.1   261.5   913.8
1887   63.6   22.7   43.1   34.8   48.3   19.2   34.4   48.7   82.2   62.9   77.7   59.5   209.0   126.2   102.3   222.8   597.1
1888   31.3   35.2   86.4   49.6   31.9   62.8  142.3   70.7   33.9   39.3  136.3   62.2   125.9   167.8   275.8   209.4   781.7
1889   33.0   52.6   70.2   72.0   79.1   24.8   73.6   90.8   51.6  112.1   36.0   53.1   147.9   221.3   189.2   199.8   749.0
1890   91.9   25.3   54.4   39.6   57.2   70.3   83.1   89.4   39.7   46.8   97.9   29.9   170.2   151.1   242.8   184.4   725.4
1891   58.5    3.3   51.2   40.5   75.6   49.2   80.0  137.9   59.0  147.3   80.9  116.2    91.8   167.3   267.1   287.2   899.6
1892   45.1   52.3   28.1   32.9   57.1   77.0   60.1   95.0   79.0  128.6   59.4   41.3   213.5   118.2   232.1   267.0   756.0
1893   50.2   97.0   15.6    8.5   41.7   34.5   90.3   55.7   53.1   80.0   64.7   81.5   188.6    65.7   180.5   197.8   672.9
1894   75.6   79.4   45.1   51.5   59.9   67.8   92.0   78.7   42.8  103.8  102.2   68.9   236.5   156.6   238.5   248.8   867.8
1895   89.4   10.8   65.8   50.6   16.9   36.1  108.6   81.3   24.0   95.5  111.8   76.6   169.1   133.4   226.0   231.3   767.5
1896   31.7   21.9   89.1   27.4   11.4   65.7   47.7   58.4  139.5  103.5   34.5  116.7   130.2   127.9   171.9   277.5   747.6
