Country,HDI
Afghanistan,0.478
Albania,0.796
Algeria,0.745
Andorra,0.858
Angola,0.586
Antigua and Barbuda,0.788
Argentina,0.842
Armenia,0.759
Australia,0.951
Austria,0.916
Azerbaijan,0.745
Bahamas,0.812
Bahrain,0.875
Bangladesh,0.661
Barbados,0.79
Belarus,0.808
Belgium,0.937
Belize,0.683
Benin,0.525
Bhutan,0.666
Bolivia,0.692
Bosnia and Herzegovina,0.78
Botswana,0.693
Brazil,0.754
Brunei,0.829
Bulgaria,0.795
Burkina Faso,0.449
Burundi,0.426
Cambodia,0.593
Cameroon,0.576
Canada,0.936
Cape Verde,0.662
Central African Republic,0.404
Chad,0.394
Chile,0.855
China,0.768
Colombia,0.752
Comoros,0.558
Costa Rica,0.809
Croatia,0.858
Cuba,0.764
Cyprus,0.896
Czech Republic,0.889
Denmark,0.948
Djibouti,0.509
Dominica,0.72
Dominican Republic,0.767
DR Congo,0.479
Ecuador,0.74
Egypt,0.731
El Salvador,0.675
Equatorial Guinea,0.596
Eritrea,0.492
Estonia,0.89
Eswatini,0.597
Ethiopia,0.498
Fiji,0.73
Finland,0.94
France,0.903
Gabon,0.706
Gambia,0.5
Georgia,0.802
Germany,0.942
Ghana,0.632
Greece,0.887
Grenada,0.795
Guatemala,0.627
Guinea,0.465
Guinea Bissau,0.483
Guyana,0.714
Haiti,0.535
Honduras,0.621
Hong Kong,0.952
Hungary,0.846
Iceland,0.959
India,0.633
Indonesia,0.705
Iran,0.774
Iraq,0.686
Ireland,0.945
Israel,0.919
Italy,0.895
Ivory Coast,0.55
Jamaica,0.709
Japan,0.925
Jordan,0.72
Kazakhstan,0.811
Kenya,0.575
Kiribati,0.624
Kuwait,0.831
Kyrgyzstan,0.692
Laos,0.607
Latvia,0.863
Lebanon,0.706
Lesotho,0.514
Liberia,0.481
Libya,0.718
Liechtenstein,0.935
Lithuania,0.875
Luxembourg,0.93
Madagascar,0.501
Malawi,0.512
Malaysia,0.803
Maldives,0.747
Mali,0.428
Malta,0.918
Marshall Islands,0.639
Mauritania,0.556
Mauritius,0.802
Mexico,0.758
Micronesia,0.628
Moldova,0.767
Mongolia,0.739
Montenegro,0.832
Morocco,0.683
Mozambique,0.446
Myanmar,0.585
Namibia,0.615
Nepal,0.602
Netherlands,0.941
New Zealand,0.937
Nicaragua,0.667
Niger,0.4
Nigeria,0.535
North Macedonia,0.77
Norway,0.961
Oman,0.816
Pakistan,0.544
Palau,0.767
Palestine,0.715
Panama,0.805
Papua New Guinea,0.558
Paraguay,0.717
Peru,0.762
Philippines,0.699
Poland,0.876
Portugal,0.866
Qatar,0.855
Republic of the Congo,0.571
Romania,0.821
Russia,0.829
Rwanda,0.534
Saint Kitts and Nevis,0.777
Saint Lucia,0.715
Saint Vincent and the Grenadines,0.751
Samoa,0.707
San Marino,0.853
Sao Tome and Principe,0.618
Saudi Arabia,0.875
Senegal,0.511
Serbia,0.802
Seychelles,0.785
Sierra Leone,0.477
Singapore,0.939
Slovakia,0.848
Slovenia,0.918
Solomon Islands,0.564
South Africa,0.713
South Korea,0.925
South Sudan,0.385
Spain,0.905
Sri Lanka,0.782
Sudan,0.508
Suriname,0.73
Sweden,0.947
Switzerland,0.962
Syria,0.577
Tajikistan,0.685
Tanzania,0.549
Thailand,0.8
Timor Leste,0.607
Togo,0.539
Tonga,0.745
Trinidad and Tobago,0.81
Tunisia,0.731
Turkey,0.838
Turkmenistan,0.745
Tuvalu,0.641
Uganda,0.525
Ukraine,0.773
United Arab Emirates,0.911
United Kingdom,0.929
United States,0.921
Uruguay,0.809
Uzbekistan,0.727
Vanuatu,0.607
Venezuela,0.691
Vietnam,0.703
Yemen,0.455
Zambia,0.565
Zimbabwe,0.593
