short_name,official_name,tier,mayor_in_post,mayor,mayor_status,party,next_election,date_established,date_established_iso,tier_change_date,tier_change_date_iso,instrument,status_source
Greater London,Greater London Authority,Established Mayoral,True,Sadiq Khan,In post,Labour,May 2028,03/07/2000,2000-07-03,No change since establishment,No change since establishment,Greater London Authority Act 1999,NAO HC 263
Greater Manchester,Greater Manchester Combined Authority,Established Mayoral,True,Bev Craig,In post,Labour Co-op,May 2028,01/04/2011,2011-04-01,No change since establishment,No change since establishment,SI 2011/908,NAO HC 263
West Midlands,West Midlands Combined Authority,Established Mayoral,True,Richard Parker,In post,Labour,May 2028,17/06/2016,2016-06-17,No change since establishment,No change since establishment,SI 2016/653,NAO HC 263
Liverpool City Region,Liverpool City Region Combined Authority,Established Mayoral,True,Steve Rotheram,In post,Labour,May 2028,01/04/2014,2014-04-01,No change since establishment,No change since establishment,SI 2014/865,NAO HC 263
North East,North East Mayoral Strategic Authority,Established Mayoral,True,Kim McGuinness,In post,Labour Co-op,May 2028,07/05/2024,2024-05-07,18/05/2026 (renamed NEMSA),2026-05-18 (renamed NEMSA),SI 2024/402,NAO HC 263
South Yorkshire,South Yorkshire Mayoral Combined Authority,Established Mayoral,True,Oliver Coppard,In post,Labour,May 2028,01/04/2014,2014-04-01,No change since establishment,No change since establishment,SI 2014/863,NAO HC 263
West Yorkshire,West Yorkshire Combined Authority,Established Mayoral,True,Tracy Brabin,In post,Labour Co-op,May 2028,01/04/2014,2014-04-01,No change since establishment,No change since establishment,SI 2014/864,NAO HC 263
Cambridgeshire & Peterborough,Cambridgeshire and Peterborough Combined Authority,Established Mayoral,True,Paul Bristow,In post,Conservative,May 2029,03/03/2017,2017-03-03,31/07/2026,2026-07-31,SI 2017/251,"Rewiring the State Cabinet Statement, 31 Jul 2026"
East Midlands,East Midlands Combined County Authority,Established Mayoral,True,Claire Ward,In post,Labour,May 2028,28/02/2024,2024-02-28,31/07/2026,2026-07-31,SI 2024/232,"Rewiring the State Cabinet Statement, 31 Jul 2026"
West of England,West of England Combined Authority,Established Mayoral,True,Helen Godwin,In post,Labour,May 2029,09/02/2017,2017-02-09,31/07/2026,2026-07-31,SI 2017/126,"Rewiring the State Cabinet Statement, 31 Jul 2026"
York & North Yorkshire,York and North Yorkshire Combined Authority,Established Mayoral,True,David Skaith,In post,Labour Co-op,May 2028,20/12/2023,2023-12-20,31/07/2026,2026-07-31,SI 2023/1432,YNYCA press release 31 Jul 2026; Rewiring the State
Tees Valley,Tees Valley Combined Authority,Mayoral,True,Ben Houchen,In post,Conservative,May 2028,01/04/2016,2016-04-01,No change since establishment,No change since establishment,SI 2016/449,NAO HC 263
Hull & East Yorkshire,Hull and East Yorkshire Combined Authority,Mayoral,True,Luke Campbell,In post,Reform UK,May 2029,05/02/2025,2025-02-05,No change since establishment,No change since establishment,SI 2025/113,NAO HC 263
Greater Lincolnshire,Greater Lincolnshire Combined County Authority,Mayoral,True,Andrea Jenkyns,In post,Reform UK,May 2029,05/02/2025,2025-02-05,No change since establishment,No change since establishment,SI 2025/117,NAO HC 263
Cheshire & Warrington,Cheshire and Warrington Combined Authority,Mayoral,False,First election not yet held (May 2027),"Office vacant, first election not yet held",Not applicable,May 2027,24/02/2026,2026-02-24,No change since establishment,No change since establishment,SI 2026/159,SI 2026/159; inaugural election May 2027
Cumbria,Cumbria Combined Authority,Mayoral,False,First election not yet held (May 2027),"Office vacant, first election not yet held",Not applicable,May 2027,24/02/2026,2026-02-24,No change since establishment,No change since establishment,SI 2026/158,SI 2026/158; inaugural election May 2027
Sussex & Brighton,Sussex and Brighton Combined County Authority,Mayoral,False,First election not yet held (May 2028),"Office vacant, first election not yet held",Not applicable,May 2028,26/03/2026,2026-03-26,No change since establishment,No change since establishment,SI 2026/362,SI 2026/362; inaugural election May 2028
Hampshire & the Solent,Hampshire and the Solent Combined County Authority,Mayoral,False,First election not yet held (May 2028),"Office vacant, first election not yet held",Not applicable,May 2028,04/06/2026,2026-06-04,No change since establishment,No change since establishment,SI 2026/595,SI 2026/595; inaugural election May 2028
Devon & Torbay,Devon and Torbay Combined County Authority,Foundation,False,No mayoral office (Foundation tier),No mayoral office at Foundation tier,Not applicable,None scheduled,05/02/2025,2025-02-05,2026 Act (Foundation SA),2026 Act (Foundation SA),SI 2025/115,NAO HC 263
Lancashire,Lancashire Combined County Authority,Foundation,False,No mayoral office (Foundation tier),No mayoral office at Foundation tier,Not applicable,None scheduled,05/02/2025,2025-02-05,2026 Act (Foundation SA),2026 Act (Foundation SA),SI 2025/118,NAO HC 263
Greater Essex,Greater Essex Combined County Authority (planned),Planned,False,Authority not yet established (election May 2028),Authority not yet established,Not applicable,May 2028,Not yet established,Not yet established,Not applicable,Not applicable,not yet made,Mayoral election deferred to May 2028
Norfolk & Suffolk,Norfolk and Suffolk Combined County Authority (planned),Planned,False,Authority not yet established (election May 2028),Authority not yet established,Not applicable,May 2028,Not yet established,Not yet established,Not applicable,Not applicable,not yet made,Mayoral election deferred to May 2028
