Country,Year,GDP per capita
G20 Average,1980,7784.477733333333
G20 Average,1981,7893.8314
G20 Average,1982,7162.694333333334
G20 Average,1983,7091.134266666666
G20 Average,1984,7180.027866666667
G20 Average,1985,7064.536533333333
G20 Average,1986,8167.5253999999995
G20 Average,1987,9401.418466666666
G20 Average,1988,10622.041066666667
G20 Average,1989,11070.3284
G20 Average,1990,12481.3844
G20 Average,1991,13283.487666666666
G20 Average,1992,13197.2464375
G20 Average,1993,13200.7095625
G20 Average,1994,13996.8501875
G20 Average,1995,15264.3019375
G20 Average,1996,15492.22875
G20 Average,1997,15008.863125
G20 Average,1998,14359.348312499998
G20 Average,1999,14866.375250000001
G20 Average,2000,15067.300875
G20 Average,2001,14529.74375
G20 Average,2002,14795.330375
G20 Average,2003,17047.6268125
G20 Average,2004,19276.06575
G20 Average,2005,20801.429375
G20 Average,2006,22132.8529375
G20 Average,2007,24655.8116875
G20 Average,2008,26611.1236875
G20 Average,2009,24395.3608125
G20 Average,2010,26897.5515
G20 Average,2011,29906.481375
G20 Average,2012,29777.9635625
G20 Average,2013,29684.92825
G20 Average,2014,29379.541624999998
G20 Average,2015,26089.388125
G20 Average,2016,26229.037875
G20 Average,2017,27798.037375
G20 Average,2018,28992.9945625
G20 Average,2019,28578.591562499998
G20 Average,2020,27256.032
G20 Average,2021,31127.2601875
G20 Average,2022,31856.486562500002
G20 Average,2023,32753.72725
G20 Average,2024,33428.9349375
G20 Average,2025,33610.639500000005
Taiwan,1980,2366.797
Taiwan,1981,2691.494
Taiwan,1982,2675.311
Taiwan,1983,2881.66
Taiwan,1984,3202.615
Taiwan,1985,3293.869
Taiwan,1986,4008.134
Taiwan,1987,5325.173
Taiwan,1988,6338.1
Taiwan,1989,7575.906
Taiwan,1990,8167.2
Taiwan,1991,9081.901
Taiwan,1992,10715.536
Taiwan,1993,11256.711
Taiwan,1994,12099.746
Taiwan,1995,13066.128
Taiwan,1996,13588.306
Taiwan,1997,13948.722
Taiwan,1998,12767.078
Taiwan,1999,13752.716
Taiwan,2000,14844.238
Taiwan,2001,13357.195
Taiwan,2002,13651.355
Taiwan,2003,14040.597
Taiwan,2004,15290.307
Taiwan,2005,16427.459
Taiwan,2006,16892.883
Taiwan,2007,17723.704
Taiwan,2008,18053.591
Taiwan,2009,16904.543
Taiwan,2010,19181.358
Taiwan,2011,20838.589
Taiwan,2012,21256.361
Taiwan,2013,21945.46
Taiwan,2014,22844.316
Taiwan,2015,22752.991
Taiwan,2016,23070.733
Taiwan,2017,25102.094
Taiwan,2018,25888.836
Taiwan,2019,25992.849
Taiwan,2020,28727.743
Taiwan,2021,33238.717
Taiwan,2022,32909.322
Taiwan,2023,32336.502
Taiwan,2024,33437.355
Taiwan,2025,34426.354
