"Title","BoP: trade in services balance as per cent of GDP"
"CDID","D28K"
"Source dataset ID","UKEA"
"PreUnit",""
"Unit",""
"Release date","28-03-2024"
"Next release","28 June 2024"
"Important notes",
"1993 Q3","1.6"
"1993 Q4","1.9"
"1994 Q1","2.0"
"1994 Q2","1.3"
"1994 Q3","1.7"
"1994 Q4","1.9"
"1995 Q1","2.7"
"1995 Q2","1.7"
"1995 Q3","1.7"
"1995 Q4","2.2"
"1996 Q1","1.9"
"1996 Q2","2.1"
"1996 Q3","2.0"
"1996 Q4","2.3"
"1997 Q1","2.2"
"1997 Q2","2.1"
"1997 Q3","2.4"
"1997 Q4","2.3"
"1998 Q1","2.1"
"1998 Q2","2.1"
"1998 Q3","2.1"
"1998 Q4","2.3"
"1999 Q1","1.8"
"1999 Q2","2.0"
"1999 Q3","2.3"
"1999 Q4","2.6"
"2000 Q1","2.3"
"2000 Q2","2.6"
"2000 Q3","2.6"
"2000 Q4","2.2"
"2001 Q1","3.0"
"2001 Q2","2.5"
"2001 Q3","2.2"
"2001 Q4","2.3"
"2002 Q1","2.1"
"2002 Q2","2.0"
"2002 Q3","2.5"
"2002 Q4","2.2"
"2003 Q1","2.4"
"2003 Q2","2.4"
"2003 Q3","2.3"
"2003 Q4","2.6"
"2004 Q1","2.8"
"2004 Q2","2.7"
"2004 Q3","2.6"
"2004 Q4","3.0"
"2005 Q1","2.9"
"2005 Q2","3.2"
"2005 Q3","3.2"
"2005 Q4","3.3"
"2006 Q1","3.2"
"2006 Q2","3.2"
"2006 Q3","4.2"
"2006 Q4","4.2"
"2007 Q1","3.9"
"2007 Q2","4.0"
"2007 Q3","4.3"
"2007 Q4","4.2"
"2008 Q1","3.6"
"2008 Q2","4.2"
"2008 Q3","4.4"
"2008 Q4","5.2"
"2009 Q1","4.7"
"2009 Q2","4.6"
"2009 Q3","4.2"
"2009 Q4","4.6"
"2010 Q1","4.4"
"2010 Q2","4.6"
"2010 Q3","4.6"
"2010 Q4","4.9"
"2011 Q1","5.1"
"2011 Q2","5.5"
"2011 Q3","5.9"
"2011 Q4","5.3"
"2012 Q1","5.9"
"2012 Q2","5.4"
"2012 Q3","5.7"
"2012 Q4","5.4"
"2013 Q1","5.9"
"2013 Q2","5.7"
"2013 Q3","5.6"
"2013 Q4","5.1"
"2014 Q1","5.1"
"2014 Q2","5.1"
"2014 Q3","5.2"
"2014 Q4","5.0"
"2015 Q1","5.1"
"2015 Q2","5.2"
"2015 Q3","4.7"
"2015 Q4","5.1"
"2016 Q1","5.1"
"2016 Q2","5.2"
"2016 Q3","4.7"
"2016 Q4","5.4"
"2017 Q1","5.4"
"2017 Q2","5.2"
"2017 Q3","5.7"
"2017 Q4","5.2"
"2018 Q1","5.1"
"2018 Q2","5.2"
"2018 Q3","5.3"
"2018 Q4","5.1"
"2019 Q1","4.7"
"2019 Q2","5.1"
"2019 Q3","5.3"
"2019 Q4","5.3"
"2020 Q1","6.1"
"2020 Q2","7.6"
"2020 Q3","6.4"
"2020 Q4","6.7"
