quarter,growth,recession,date
1955 Q2,0.1,False,1955-04-01
1955 Q3,2.0,False,1955-07-01
1955 Q4,-0.5,False,1955-10-01
1956 Q1,1.1,False,1956-01-01
1956 Q2,-0.2,True,1956-04-01
1956 Q3,-0.1,True,1956-07-01
1956 Q4,0.4,False,1956-10-01
1957 Q1,2.0,False,1957-01-01
1957 Q2,0.0,False,1957-04-01
1957 Q3,-0.6,False,1957-07-01
1957 Q4,0.2,False,1957-10-01
1958 Q1,2.2,False,1958-01-01
1958 Q2,-2.4,False,1958-04-01
1958 Q3,2.2,False,1958-07-01
1958 Q4,0.1,False,1958-10-01
1959 Q1,0.7,False,1959-01-01
1959 Q2,1.7,False,1959-04-01
1959 Q3,2.1,False,1959-07-01
1959 Q4,2.6,False,1959-10-01
1960 Q1,2.5,False,1960-01-01
1960 Q2,-0.8,False,1960-04-01
1960 Q3,1.5,False,1960-07-01
1960 Q4,0.6,False,1960-10-01
1961 Q1,1.6,False,1961-01-01
1961 Q2,0.4,False,1961-04-01
1961 Q3,-0.5,True,1961-07-01
1961 Q4,-0.2,True,1961-10-01
1962 Q1,0.4,False,1962-01-01
1962 Q2,0.9,False,1962-04-01
1962 Q3,0.6,False,1962-07-01
1962 Q4,-0.4,False,1962-10-01
1963 Q1,0.4,False,1963-01-01
1963 Q2,4.4,False,1963-04-01
1963 Q3,0.5,False,1963-07-01
1963 Q4,2.3,False,1963-10-01
1964 Q1,0.6,False,1964-01-01
1964 Q2,1.9,False,1964-04-01
1964 Q3,0.4,False,1964-07-01
1964 Q4,1.5,False,1964-10-01
1965 Q1,-0.3,False,1965-01-01
1965 Q2,0.1,False,1965-04-01
1965 Q3,0.8,False,1965-07-01
1965 Q4,0.6,False,1965-10-01
1966 Q1,0.2,False,1966-01-01
1966 Q2,0.6,False,1966-04-01
1966 Q3,0.3,False,1966-07-01
1966 Q4,-0.4,False,1966-10-01
1967 Q1,1.3,False,1967-01-01
1967 Q2,1.4,False,1967-04-01
1967 Q3,0.4,False,1967-07-01
1967 Q4,0.5,False,1967-10-01
1968 Q1,3.7,False,1968-01-01
1968 Q2,-0.4,False,1968-04-01
1968 Q3,2.0,False,1968-07-01
1968 Q4,0.4,False,1968-10-01
1969 Q1,-0.3,False,1969-01-01
1969 Q2,0.8,False,1969-04-01
1969 Q3,0.6,False,1969-07-01
1969 Q4,0.5,False,1969-10-01
1970 Q1,-0.6,False,1970-01-01
1970 Q2,2.4,False,1970-04-01
1970 Q3,1.0,False,1970-07-01
1970 Q4,0.9,False,1970-10-01
1971 Q1,-0.5,False,1971-01-01
1971 Q2,1.8,False,1971-04-01
1971 Q3,1.8,False,1971-07-01
1971 Q4,0.4,False,1971-10-01
1972 Q1,0.1,False,1972-01-01
1972 Q2,2.6,False,1972-04-01
1972 Q3,0.3,False,1972-07-01
1972 Q4,1.6,False,1972-10-01
1973 Q1,5.0,False,1973-01-01
1973 Q2,0.1,False,1973-04-01
1973 Q3,-0.9,True,1973-07-01
1973 Q4,-0.4,True,1973-10-01
1974 Q1,-2.7,True,1974-01-01
1974 Q2,1.4,False,1974-04-01
1974 Q3,0.6,False,1974-07-01
1974 Q4,-1.5,False,1974-10-01
1975 Q1,0.1,False,1975-01-01
1975 Q2,-1.6,True,1975-04-01
1975 Q3,-0.4,True,1975-07-01
1975 Q4,1.1,False,1975-10-01
1976 Q1,1.7,False,1976-01-01
1976 Q2,-0.1,False,1976-04-01
1976 Q3,1.3,False,1976-07-01
1976 Q4,2.1,False,1976-10-01
1977 Q1,0.0,False,1977-01-01
1977 Q2,-0.7,False,1977-04-01
1977 Q3,0.7,False,1977-07-01
1977 Q4,1.7,False,1977-10-01
1978 Q1,0.9,False,1978-01-01
1978 Q2,1.2,False,1978-04-01
1978 Q3,1.4,False,1978-07-01
1978 Q4,0.9,False,1978-10-01
1979 Q1,-0.4,False,1979-01-01
1979 Q2,4.4,False,1979-04-01
1979 Q3,-2.2,False,1979-07-01
1979 Q4,1.0,False,1979-10-01
1980 Q1,-1.0,True,1980-01-01
1980 Q2,-2.0,True,1980-04-01
1980 Q3,-0.1,True,1980-07-01
1980 Q4,-1.1,True,1980-10-01
1981 Q1,-0.1,True,1981-01-01
1981 Q2,0.2,False,1981-04-01
1981 Q3,1.1,False,1981-07-01
1981 Q4,0.1,False,1981-10-01
1982 Q1,0.2,False,1982-01-01
1982 Q2,1.1,False,1982-04-01
1982 Q3,0.2,False,1982-07-01
1982 Q4,0.7,False,1982-10-01
1983 Q1,1.9,False,1983-01-01
1983 Q2,0.8,False,1983-04-01
1983 Q3,1.1,False,1983-07-01
1983 Q4,0.9,False,1983-10-01
1984 Q1,0.7,False,1984-01-01
1984 Q2,-0.9,False,1984-04-01
1984 Q3,0.6,False,1984-07-01
1984 Q4,2.0,False,1984-10-01
1985 Q1,0.8,False,1985-01-01
1985 Q2,2.1,False,1985-04-01
1985 Q3,0.1,False,1985-07-01
1985 Q4,0.2,False,1985-10-01
1986 Q1,1.1,False,1986-01-01
1986 Q2,0.7,False,1986-04-01
1986 Q3,0.5,False,1986-07-01
1986 Q4,1.8,False,1986-10-01
1987 Q1,0.9,False,1987-01-01
1987 Q2,1.5,False,1987-04-01
1987 Q3,2.4,False,1987-07-01
1987 Q4,1.1,False,1987-10-01
1988 Q1,1.7,False,1988-01-01
1988 Q2,0.5,False,1988-04-01
1988 Q3,1.5,False,1988-07-01
1988 Q4,0.8,False,1988-10-01
1989 Q1,0.4,False,1989-01-01
1989 Q2,0.6,False,1989-04-01
1989 Q3,0.1,False,1989-07-01
1989 Q4,0.1,False,1989-10-01
1990 Q1,0.6,False,1990-01-01
1990 Q2,0.5,False,1990-04-01
1990 Q3,-1.1,True,1990-07-01
1990 Q4,-0.4,True,1990-10-01
1991 Q1,-0.3,True,1991-01-01
1991 Q2,-0.1,True,1991-04-01
1991 Q3,-0.2,True,1991-07-01
1991 Q4,0.2,False,1991-10-01
1992 Q1,0.0,False,1992-01-01
1992 Q2,-0.1,False,1992-04-01
1992 Q3,0.6,False,1992-07-01
1992 Q4,0.7,False,1992-10-01
1993 Q1,0.7,False,1993-01-01
1993 Q2,0.5,False,1993-04-01
1993 Q3,0.8,False,1993-07-01
1993 Q4,0.7,False,1993-10-01
1994 Q1,1.2,False,1994-01-01
1994 Q2,1.1,False,1994-04-01
1994 Q3,1.1,False,1994-07-01
1994 Q4,0.5,False,1994-10-01
1995 Q1,0.4,False,1995-01-01
1995 Q2,0.4,False,1995-04-01
1995 Q3,1.0,False,1995-07-01
1995 Q4,0.2,False,1995-10-01
1996 Q1,0.6,False,1996-01-01
1996 Q2,0.2,False,1996-04-01
1996 Q3,1.1,False,1996-07-01
1996 Q4,1.5,False,1996-10-01
1997 Q1,1.8,False,1997-01-01
1997 Q2,0.8,False,1997-04-01
1997 Q3,0.7,False,1997-07-01
1997 Q4,1.2,False,1997-10-01
1998 Q1,0.7,False,1998-01-01
1998 Q2,0.7,False,1998-04-01
1998 Q3,0.5,False,1998-07-01
1998 Q4,0.7,False,1998-10-01
1999 Q1,0.6,False,1999-01-01
1999 Q2,0.3,False,1999-04-01
1999 Q3,1.6,False,1999-07-01
1999 Q4,1.4,False,1999-10-01
2000 Q1,1.0,False,2000-01-01
2000 Q2,0.6,False,2000-04-01
2000 Q3,0.4,False,2000-07-01
2000 Q4,0.3,False,2000-10-01
