year,date,Private sector,Public sector,Whole economy
2016,01/04/2016,1.477350284,1.143642188,1.465582421
2016,01/05/2016,1.861832373,0.940161142,1.709023248
2016,01/06/2016,1.796693723,1.04031239,1.645028905
2016,01/07/2016,1.724043665,0.772541992,1.572847302
2016,01/08/2016,1.515087931,0.906086286,1.503259234
2016,01/09/2016,1.450851582,0.436484814,1.367035117
2016,01/10/2016,1.456564109,0.303857436,1.302415116
2016,01/11/2016,1.601072509,-0.094325484,1.306842069
2016,01/12/2016,1.154336682,-0.057518674,0.932733993
2017,01/01/2017,0.534856857,-0.324719398,0.38624504
2017,01/02/2017,0.269634092,-0.653110532,0.053150321
2017,01/03/2017,0.300398793,-0.881742101,-0.049459988
2017,01/04/2017,0.137539707,-1.23429523,-0.209661987
2017,01/05/2017,-0.333383612,-1.100831251,-0.541796378
2017,01/06/2017,-0.132428768,-1.292297682,-0.339831857
2017,01/07/2017,-0.266485714,-0.965607897,-0.407139999
2017,01/08/2017,-0.098647679,-1.125865407,-0.307284387
2017,01/09/2017,-0.259492351,-1.023761321,-0.403102407
2017,01/10/2017,-0.120070585,-0.955737944,-0.264873415
2017,01/11/2017,-0.219011012,-0.917647109,-0.361253813
2017,01/12/2017,-0.084955447,-0.784499498,-0.292617254
2018,01/01/2018,0.080337327,-0.689504351,-0.128097807
2018,01/02/2018,0.342692706,-0.303315921,0.198677363
2018,01/03/2018,0.458481613,-0.111852772,0.448786337
2018,01/04/2018,0.456402298,0.022905488,0.449039227
2018,01/05/2018,0.424319817,-0.201004726,0.352607282
2018,01/06/2018,-0.034956029,-0.070627686,-0.039326177
2018,01/07/2018,0.322683526,0.086441893,0.251290131
2018,01/08/2018,0.545452356,0.438136234,0.473819213
2018,01/09/2018,0.906708265,0.533755813,0.76544695
2018,01/10/2018,1.322170417,0.501097538,1.179903454
2018,01/11/2018,1.351227089,0.598453211,1.275633888
2018,01/12/2018,1.54160647,0.723719135,1.467893639
2019,01/01/2019,1.536490349,0.845516511,1.463172289
2019,01/02/2019,1.882539026,0.617066551,1.678327627
2019,01/03/2019,1.098341179,0.549741986,1.024865151
2019,01/04/2019,1.029960765,1.052255028,1.022336215
2019,01/05/2019,1.122236933,1.5264641,1.243920945
2019,01/06/2019,2.246810821,1.868638925,2.238790407
2019,01/07/2019,2.293851502,1.793667191,2.285781228
2019,01/08/2019,2.150512969,1.720283607,2.080121256
2019,01/09/2019,2.204383332,1.777777114,2.006484185
2019,01/10/2019,1.778291908,1.6840905,1.582550523
2019,01/11/2019,1.713346919,1.870684959,1.580316164
2019,01/12/2019,1.268670261,1.865931829,1.325825148
2020,01/01/2020,1.422637616,1.578269581,1.416970805
2020,01/02/2020,1.161008986,1.515497187,1.219385302
2020,01/03/2020,0.423649087,1.450994755,0.542454957
2020,01/04/2020,-0.977078651,1.842034439,-0.481629872
2020,01/05/2020,-2.316798705,2.65912921,-1.382938306
2020,01/06/2020,-3.141548889,3.3454105,-1.905652936
2020,01/07/2020,-2.8836706,3.211588664,-1.715692864
2020,01/08/2020,-1.468399804,2.899356292,-0.673087495
2020,01/09/2020,0.152411435,2.86155136,0.700356662
2020,01/10/2020,1.768721805,3.382601507,2.072264673
2020,01/11/2020,2.77670606,3.646644064,2.955265954
2020,01/12/2020,3.854510443,3.670215042,3.782260271
2021,01/01/2021,3.994314872,4.000329067,3.985677577
2021,01/02/2021,3.494194302,4.358832179,3.60773941
2021,01/03/2021,3.04632292,4.653400362,3.276134055
2021,01/04/2021,4.649858915,3.822449171,4.484248607
2021,01/05/2021,6.537015888,2.271603179,5.755436338
2021,01/06/2021,8.064915467,0.673139103,6.628160777
2021,01/07/2021,7.425680937,0.317445305,6.013704136
2021,01/08/2021,5.702100805,0.108415295,4.606415175
2021,01/09/2021,3.938800442,-0.013930347,3.309403136
2021,01/10/2021,2.179390788,-0.557938199,1.755288408
2021,01/11/2021,0.816799022,-1.175733279,0.462245672
2021,01/12/2021,0.609597923,-1.672953517,0.095296572
2022,01/01/2022,0.66137672,-2.273707908,-0.017888842
2022,01/02/2022,1.337451085,-2.891384388,0.482558031
2022,01/03/2022,2.507383608,-3.639139635,1.395629807
2022,01/04/2022,1.441739516,-4.73723346,0.39987576
2022,01/05/2022,0.095614175,-5.437477018,-0.816091128
2022,01/06/2022,-1.895720777,-5.808517614,-2.595680432
2022,01/07/2022,-1.899250914,-5.781972213,-2.645093411
2022,01/08/2022,-1.580175187,-5.647705107,-2.367005982
2022,01/09/2022,-2.008978573,-5.889786722,-2.639693244
2022,01/10/2022,-2.071903176,-5.718244877,-2.590378414
2022,01/11/2022,-1.680508298,-5.418243576,-2.195570259
2022,01/12/2022,-2.346667047,-4.770370519,-2.686325359
2023,01/01/2023,-2.489415254,-3.889424774,-2.665067735
2023,01/02/2023,-2.887838943,-3.472097669,-3.009395316
2023,01/03/2023,-2.37487628,-3.045204118,-2.54838482
2023,01/04/2023,-1.461456147,-2.677135538,-1.68806965
2023,01/05/2023,-0.674797029,-2.070193939,-0.850905982
2023,01/06/2023,0.056241106,2.805517833,0.65647553
2023,01/07/2023,0.440595202,4.5355808,1.252437494
2023,01/08/2023,0.576002269,5.441350795,1.502518857
2023,01/09/2023,1.283856451,2.129170982,1.534055296
2023,01/10/2023,1.327111643,1.299069818,1.316351373
2023,01/11/2023,1.341597637,1.490727778,1.325516133
2023,01/12/2023,1.358478068,1.403877723,1.244583258
