country,date,value,label
UK,2013-10-01,150120.0,
France,2013-10-01,374100.0,
France,2013-11-01,369600.0,
France,2013-12-01,357900.0,
UK,2014-01-01,162210.0,
France,2014-01-01,356500.0,
France,2014-02-01,350000.0,
France,2014-03-01,344600.0,
UK,2014-04-01,167330.0,
France,2014-04-01,343400.0,
France,2014-05-01,340700.0,
France,2014-06-01,337400.0,
France,2014-07-01,337600.0,
UK,2014-07-01,170200.0,
France,2014-08-01,336100.0,
France,2014-09-01,336700.0,
France,2014-10-01,336000.0,
UK,2014-10-01,170120.0,
France,2014-11-01,335900.0,
France,2014-12-01,337000.0,
France,2015-01-01,334300.0,
UK,2015-01-01,173050.0,
France,2015-02-01,334700.0,
France,2015-03-01,334500.0,
France,2015-04-01,331200.0,
UK,2015-04-01,173040.0,
France,2015-05-01,328600.0,
France,2015-06-01,331100.0,
France,2015-07-01,329000.0,
UK,2015-07-01,175260.0,
France,2015-08-01,330800.0,
France,2015-09-01,332000.0,
France,2015-10-01,332700.0,
UK,2015-10-01,180440.0,
France,2015-11-01,336900.0,
France,2015-12-01,341100.0,
UK,2016-01-01,175540.0,
France,2016-01-01,342100.0,
France,2016-02-01,346700.0,
France,2016-03-01,343600.0,
UK,2016-04-01,178070.0,
France,2016-04-01,346900.0,
France,2016-05-01,356000.0,
France,2016-06-01,357100.0,
France,2016-07-01,357900.0,
UK,2016-07-01,183290.0,
France,2016-08-01,358300.0,
France,2016-09-01,359700.0,
France,2016-10-01,364000.0,
UK,2016-10-01,187570.0,
France,2016-11-01,366600.0,
France,2016-12-01,370000.0,
France,2017-01-01,377200.0,
UK,2017-01-01,194300.0,
France,2017-02-01,379800.0,
France,2017-03-01,391300.0,
UK,2017-04-01,198480.0,
France,2017-04-01,395400.0,
France,2017-05-01,395900.0,
France,2017-06-01,401100.0,
France,2017-07-01,408300.0,
UK,2017-07-01,195950.0,
France,2017-08-01,410200.0,
France,2017-09-01,412900.0,
France,2017-10-01,415900.0,
UK,2017-10-01,197130.0,
France,2017-11-01,423200.0,
France,2017-12-01,434700.0,
UK,2018-01-01,197010.0,
France,2018-01-01,432400.0,
France,2018-02-01,430400.0,
France,2018-03-01,425700.0,
France,2018-04-01,425800.0,
UK,2018-04-01,196280.0,
France,2018-05-01,425900.0,
France,2018-06-01,425200.0,
UK,2018-07-01,203560.0,
France,2018-07-01,421300.0,
France,2018-08-01,419300.0,
France,2018-09-01,417100.0,
UK,2018-10-01,205740.0,
France,2018-10-01,418200.0,
France,2018-11-01,413200.0,
France,2018-12-01,401200.0,
UK,2019-01-01,203850.0,
France,2019-01-01,402000.0,
France,2019-02-01,401800.0,
France,2019-03-01,398600.0,
UK,2019-04-01,201470.0,
France,2019-04-01,398100.0,
France,2019-05-01,394500.0,
France,2019-06-01,389100.0,
France,2019-07-01,391700.0,
UK,2019-07-01,198490.0,
France,2019-08-01,389500.0,
France,2019-09-01,390200.0,
France,2019-10-01,386500.0,
UK,2019-10-01,191360.0,
France,2019-11-01,385600.0,
France,2019-12-01,387600.0,
France,2020-01-01,388200.0,
UK,2020-01-01,187490.0,
France,2020-02-01,388500.0,
France,2020-03-01,383700.0,
France,2020-04-01,368900.0,
France,2020-05-01,365700.0,
France,2020-06-01,369500.0,
France,2020-07-01,368800.0,
France,2020-08-01,372400.0,
France,2020-09-01,371900.0,
France,2020-10-01,372400.0,
France,2020-11-01,371200.0,
France,2020-12-01,368800.0,
France,2021-01-01,366900.0,
France,2021-02-01,367800.0,
France,2021-03-01,377500.0,
France,2021-04-01,392100.0,
France,2021-05-01,399100.0,
France,2021-06-01,399500.0,
France,2021-07-01,399300.0,
France,2021-08-01,399300.0,
France,2021-09-01,401000.0,
France,2021-10-01,404700.0,
France,2021-11-01,407500.0,
France,2021-12-01,410100.0,
France,2022-01-01,412700.0,
France,2022-02-01,412300.0,
France,2022-03-01,414300.0,
France,2022-04-01,411700.0,
France,2022-05-01,409800.0,
France,2022-06-01,409100.0,
France,2022-07-01,404700.0,
France,2022-08-01,402400.0,
France,2022-09-01,400700.0,
France,2022-10-01,395000.0,
France,2022-11-01,390800.0,
France,2022-12-01,392000.0,
UK,2023-01-01,183500.0,
France,2023-01-01,386900.0,
France,2023-02-01,380800.0,
France,2023-03-01,370000.0,
UK,2023-04-01,209330.0,
France,2023-04-01,363600.0,
France,2023-05-01,356200.0,
France,2023-06-01,348200.0,
UK,2023-07-01,198490.0,
France,2023-07-01,341100.0,
France,2023-08-01,335400.0,
France,2023-09-01,327000.0,
UK,2023-10-01,176460.0,UK
France,2023-10-01,317600.0,France
